actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2020-01-14T00:40:57.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-14T00:40:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2020-01-14T00:40:59.3Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2020-01-14T00:40:59Z,40000,,,0,,Jump Ball E. Kanter vs. D. Gafford: Tip to K. Walker,"[202689, 202683, 1629655]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Kanter,202683.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2020-01-14T00:41:21.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,93.77463863337714,53.74540441176471,1610612738,2,0,2020-01-14T00:41:29Z,70000,19.0,6.0,1,right,E. Kanter layup (2 PTS),[202683],1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,2.2,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2020-01-14T00:41:39.1Z,1,REGULAR,3pt,jumpshot,[],1628374,30.699737187910642,70.16697303921569,1610612741,2,0,2020-01-14T00:41:48Z,80000,-101.0,236.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2020-01-14T00:41:41.1Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,2,0,2020-01-14T00:41:48Z,90000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2020-01-14T00:41:47.4Z,1,REGULAR,foul,personal,[],1629655,,,1610612738,2,0,2020-01-14T00:42:06Z,100000,,,0,,D. Gafford FOUL personal (1 PF),"[1629655, 1627759]",1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,1204.0,1.0,0.0,Brown,1627759.0,,,,,,,,
12,PT11M00.00S,2020-01-14T00:42:16.0Z,1,REGULAR,2pt,jumpshot,[],1628369,87.59855453350855,21.147365196078432,1610612738,4,0,2020-01-14T00:42:24Z,120000,-144.0,64.0,1,right,J. Tatum 16' jumpshot (2 PTS) (G. Hayward 1 AST),"[1628369, 202330]",1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,16.02,Made,2.0,,,,,,,,,,G. Hayward,202330.0,1.0,,,,,
13,PT10M37.00S,2020-01-14T00:42:38.4Z,1,REGULAR,2pt,jumpshot,[],203107,20.844283837056505,34.627757352941174,1610612741,4,0,2020-01-14T00:46:31Z,130000,77.0,143.0,1,left,MISS T. Satoransky 17' jumpshot,[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,16.76,Missed,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2020-01-14T00:42:40.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,0,2020-01-14T00:42:48Z,140000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M19.00S,2020-01-14T00:42:58.9Z,1,REGULAR,turnover,traveling,[],202683,,,1610612738,4,0,2020-01-14T00:43:10Z,150000,,,0,,E. Kanter TURNOVER traveling (1 TOV),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,1204.0,,,,,,,,1.0,,,,
17,PT10M06.00S,2020-01-14T00:43:23.2Z,1,REGULAR,2pt,layup,['fromturnover'],1628374,10.85742444152431,33.892463235294116,1610612741,4,0,2020-01-14T00:43:37Z,160000,81.0,50.0,1,left,MISS L. Markkanen 10' layup,[1628374],1610612741.0,CHI,driving,,,Markkanen,L. Markkanen,,,,,9.76,Missed,,,,,,,,,,,,,,,,,,
18,PT10M05.00S,2020-01-14T00:43:24.2Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612741,4,0,2020-01-14T00:44:36Z,170000,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,
19,PT10M05.00S,2020-01-14T00:43:29.1Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628374,5.0,50.0,1610612741,4,2,2020-01-14T00:44:42Z,180000,0.0,-6.0,1,left,L. Markkanen layup (2 PTS),[1628374],1610612741.0,CHI,tip,,,Markkanen,L. Markkanen,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M49.00S,2020-01-14T00:43:40.8Z,1,REGULAR,turnover,outofbounds,[],202330,,,1610612738,4,2,2020-01-14T00:43:55Z,190000,,,0,,G. Hayward TURNOVER outofbounds (1 TOV),[202330],1610612738.0,BOS,badpass,,,Hayward,G. Hayward,,,,,,,,,,,,1193.0,,,,,,,,1.0,,,,
21,PT09M32.00S,2020-01-14T00:44:06.8Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612741,4,2,2020-01-14T00:44:15Z,200000,,,0,,J. Brown FOUL personal (1 PF) (Satoransky 2freethrow),"[1627759, 203107]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,1204.0,1.0,0.0,Satoransky,203107.0,,,,,,,,
23,PT09M32.00S,2020-01-14T00:44:30.0Z,1,REGULAR,freethrow,1of2,['fromturnover'],203107,,,1610612741,4,3,2020-01-14T00:44:30Z,220000,,,0,,T. Satoransky freethrow 1of2 (1 PTS),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT09M32.00S,2020-01-14T00:44:42.4Z,1,REGULAR,freethrow,2of2,['fromturnover'],203107,,,1610612741,4,4,2020-01-14T00:44:42Z,230000,,,0,,T. Satoransky freethrow 2of2 (2 PTS),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M25.00S,2020-01-14T00:44:54.3Z,1,REGULAR,foul,offensive,[],202683,,,1610612738,4,4,2020-01-14T00:45:10Z,240000,,,0,,E. Kanter FOUL offensive (1 PF),"[202683, 1629655]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,1193.0,1.0,0.0,Gafford,1629655.0,,,,,,,,
27,PT09M25.00S,2020-01-14T00:44:54.3Z,1,REGULAR,turnover,offensivefoul,[],202683,,,1610612738,4,4,2020-01-14T00:44:54Z,260000,,,0,,E. Kanter TURNOVER offensivefoul (2 TOV),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,1193.0,,,,,,,,2.0,,,,
28,PT09M13.00S,2020-01-14T00:45:19.3Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1629655,7.440867279894875,48.84344362745098,1610612741,4,6,2020-01-14T00:45:34Z,270000,6.0,17.0,1,left,D. Gafford dunk (2 PTS) (T. Satoransky 1 AST),"[1629655, 203107]",1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,2.36,Made,2.0,,,,,,,,,,T. Satoransky,203107.0,1.0,,,,,
30,PT08M56.00S,2020-01-14T00:45:40.3Z,1,REGULAR,foul,personal,[],1628374,,,1610612738,4,6,2020-01-14T00:45:49Z,290000,,,0,,L. Markkanen FOUL personal (1 PF),"[1628374, 202689]",1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,1193.0,1.0,0.0,Walker,202689.0,,,,,,,,
32,PT08M50.00S,2020-01-14T00:45:57.7Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202683,92.72339027595268,50.55912990196079,1610612738,6,6,2020-01-14T00:46:03Z,310000,3.0,16.0,1,right,E. Kanter dunk (4 PTS) (K. Walker 1 AST),"[202683, 202689]",1610612738.0,BOS,cutting,,,Kanter,E. Kanter,,,,,2.16,Made,4.0,,,,,,,,,,K. Walker,202689.0,1.0,,,,,
34,PT08M34.00S,2020-01-14T00:46:12.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203107,17.427726675427067,57.176776960784316,1610612741,6,6,2020-01-14T00:46:27Z,330000,-36.0,111.0,1,left,MISS T. Satoransky 12' jumpshot,[203107],1610612741.0,CHI,drivingfloating,,,Satoransky,T. Satoransky,,,,,12.22,Missed,,,,,,,,,,,,,,,,,,
35,PT08M32.00S,2020-01-14T00:46:14.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,6,2020-01-14T00:46:34Z,340000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M25.00S,2020-01-14T00:46:23.2Z,1,REGULAR,foul,personal,[],203107,,,1610612738,6,6,2020-01-14T00:46:30Z,350000,,,0,,T. Satoransky FOUL personal (1 PF),"[203107, 1627759]",1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,1204.0,1.0,0.0,Brown,1627759.0,,,,,,,,
38,PT08M19.00S,2020-01-14T00:46:44.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.30026281208936,46.88265931372549,1610612738,8,6,2020-01-14T00:46:49Z,370000,-16.0,1.0,1,right,E. Kanter layup (6 PTS) (G. Hayward 2 AST),"[202683, 202330]",1610612738.0,BOS,cutting,,,Kanter,E. Kanter,,,,,1.69,Made,6.0,,,,,,,,,,G. Hayward,202330.0,2.0,,,,,
40,PT08M09.00S,2020-01-14T00:46:54.4Z,1,REGULAR,2pt,jumpshot,[],203897,22.552562417871222,56.196384803921575,1610612741,8,8,2020-01-14T00:47:01Z,390000,-31.0,159.0,1,left,Z. LaVine 17' jumpshot (2 PTS) (T. Satoransky 2 AST),"[203897, 203107]",1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,16.79,Made,2.0,,,,,,,,,,T. Satoransky,203107.0,2.0,,,,,
41,PT07M55.00S,2020-01-14T00:47:07.7Z,1,REGULAR,turnover,lostball,[],202689,,,1610612738,8,8,2020-01-14T00:47:13Z,400000,,,0,,K. Walker TURNOVER lostball (1 TOV) Stolen,"[202689, 203107]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,Satoransky,203107.0,,
42,PT07M55.00S,2020-01-14T00:47:07.7Z,1,REGULAR,steal,,[],203107,,,1610612741,8,8,2020-01-14T00:47:09Z,410000,,,0,,T. Satoransky STEAL (1 STL),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M52.00S,2020-01-14T00:47:11.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203107,5.995400788436268,43.20618872549019,1610612741,8,8,2020-01-14T00:47:38Z,420000,34.0,4.0,1,left,MISS T. Satoransky layup Blocked,"[203107, 1628369]",1610612741.0,CHI,driving,,,Satoransky,T. Satoransky,,,,,3.53,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0
44,PT07M52.00S,2020-01-14T00:47:11.6Z,1,REGULAR,block,,[],1628369,,,1610612741,8,8,2020-01-14T00:53:04Z,430000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M48.00S,2020-01-14T00:47:15.6Z,1,REGULAR,rebound,offensive,[],203897,,,1610612741,8,8,2020-01-14T00:58:11Z,440000,,,0,,Z. LaVine REBOUND (Off:1 Def:0),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,
46,PT07M47.00S,2020-01-14T00:47:19.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203897,8.229303547963205,44.43167892156863,1610612741,8,8,2020-01-14T00:58:51Z,450000,28.0,25.0,1,left,MISS Z. LaVine layup,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,4.12,Missed,,,,,,,,,,,,,,,,,,
47,PT07M46.00S,2020-01-14T00:47:20.0Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,8,8,2020-01-14T00:58:51Z,460000,,,0,,E. Kanter REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,
