actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
48,PT07M39.00S,2020-01-14T00:47:24.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628369,89.17542706964521,41.73560049019608,1610612738,8,8,2020-01-14T00:48:04Z,470000,-41.0,49.0,1,right,MISS J. Tatum 7' layup Blocked,"[1628369, 1629655]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,6.86,Missed,,,,,,,,,,,,,,,,,Gafford,1629655.0
49,PT07M39.00S,2020-01-14T00:47:24.6Z,1,REGULAR,block,,[],1629655,,,1610612738,8,8,2020-01-14T00:47:27Z,480000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M37.00S,2020-01-14T00:47:26.6Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612741,8,8,2020-01-14T00:48:04Z,490000,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M36.00S,2020-01-14T00:47:29.8Z,1,REGULAR,turnover,outofbounds,[],1627739,,,1610612741,8,8,2020-01-14T00:48:17Z,500000,,,0,,K. Dunn TURNOVER outofbounds (1 TOV),[1627739],1610612741.0,CHI,badpass,,,Dunn,K. Dunn,,,,,,,,,,,,1199.0,,,,,,,,1.0,,,,
52,PT07M22.00S,2020-01-14T00:47:56.8Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1628369,87.72996057818659,70.65716911764706,1610612738,8,8,2020-01-14T00:48:41Z,510000,103.0,63.0,1,right,MISS J. Tatum 12' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,12.38,Missed,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2020-01-14T00:47:58.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612741,8,8,2020-01-14T00:48:41Z,520000,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,
55,PT07M14.00S,2020-01-14T00:48:09.7Z,1,REGULAR,turnover,lostball,[],203107,,,1610612741,8,8,2020-01-14T00:54:08Z,540000,,,0,,T. Satoransky TURNOVER lostball (1 TOV) Stolen,"[203107, 1627759]",1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,
56,PT07M14.00S,2020-01-14T00:48:09.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,8,8,2020-01-14T00:48:12Z,550000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M11.00S,2020-01-14T00:48:15.5Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612738,8,8,2020-01-14T00:48:28Z,560000,,,0,,D. Gafford FOUL personal (2 PF) (Brown 2freethrow),"[1629655, 1627759]",1610612741.0,CHI,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,1199.0,2.0,0.0,Brown,1627759.0,,,,,,,,
60,PT07M11.00S,2020-01-14T00:48:37.6Z,1,REGULAR,substitution,out,[],1629655,,,1610612738,8,8,2020-01-14T00:48:43Z,590000,,,0,,substitution out Gafford,[1629655],1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2020-01-14T00:48:37.6Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,8,8,2020-01-14T00:48:43Z,600000,,,0,,substitution in Kornet,[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2020-01-14T00:48:38.5Z,1,REGULAR,freethrow,1of2,['fromturnover'],1627759,,,1610612738,9,8,2020-01-14T00:54:57Z,602500,,,0,,J. Brown freethrow 1of2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
62,PT07M11.00S,2020-01-14T00:48:38.5Z,1,REGULAR,freethrow,2of2,['fromturnover'],1627759,,,1610612738,10,8,2020-01-14T00:54:57Z,603750,,,0,,J. Brown freethrow 2of2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2020-01-14T00:49:14.9Z,1,REGULAR,2pt,jumpshot,[],203897,6.258212877792378,76.04932598039215,1610612741,10,8,2020-01-14T00:49:32Z,605000,-130.0,6.0,1,left,MISS Z. LaVine 13' jumpshot,[203897],1610612741.0,CHI,turnaroundfadeaway,,,LaVine,Z. LaVine,,,,,13.07,Missed,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2020-01-14T00:49:15.9Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,10,8,2020-01-14T00:49:32Z,607500,,,0,,E. Kanter REBOUND (Off:0 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,
65,PT06M42.00S,2020-01-14T00:49:25.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.51182654402102,45.65716911764706,1610612738,12,8,2020-01-14T00:49:37Z,640000,-22.0,8.0,1,right,K. Walker layup (2 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.58,Made,2.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,
67,PT06M32.00S,2020-01-14T00:49:35.9Z,1,REGULAR,3pt,jumpshot,[],1628374,32.53942181340342,45.65716911764706,1610612741,12,8,2020-01-14T00:49:44Z,660000,22.0,253.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2020-01-14T00:49:37.9Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,12,8,2020-01-14T00:49:44Z,670000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M21.00S,2020-01-14T00:49:49.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627739,,,1610612738,12,8,2020-01-14T00:52:36Z,680000,,,0,,K. Dunn FOUL personal (1 PF) (Walker inpenalty),"[1627739, 202689]",1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,,,,,1193.0,1.0,0.0,Walker,202689.0,,,,,,,,
71,PT06M21.00S,2020-01-14T00:50:07.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,8,2020-01-14T00:50:07Z,700000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2020-01-14T00:52:59.1Z,1,REGULAR,freethrow,1of2,[],202689,,,1610612738,13,8,2020-01-14T00:53:42Z,710000,,,0,,K. Walker freethrow 1of2 (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
74,PT06M21.00S,2020-01-14T00:52:59.1Z,1,REGULAR,freethrow,2of2,[],202689,,,1610612738,13,8,2020-01-14T00:53:42Z,720000,,,0,,MISS K. Walker freethrow 2of2,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M20.00S,2020-01-14T00:53:00.1Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,13,8,2020-01-14T00:53:42Z,730000,,,0,,E. Kanter REBOUND (Off:1 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,,
76,PT06M20.00S,2020-01-14T00:53:23.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,95.0,50.0,1610612738,15,8,2020-01-14T00:53:23Z,740000,0.0,-6.0,1,right,E. Kanter layup (8 PTS),[202683],1610612738.0,BOS,tip,,,Kanter,E. Kanter,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,
77,PT06M20.00S,2020-01-14T00:53:24.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628436,,,1610612738,15,8,2020-01-14T00:53:35Z,750000,,,0,,L. Kornet FOUL personal (1 PF) (Kanter inpenalty),"[1628436, 202683]",1610612741.0,CHI,shooting,,,Kornet,L. Kornet,,,,,,,,,,,,1199.0,1.0,0.0,Kanter,202683.0,,,,,,,,
79,PT06M20.00S,2020-01-14T00:53:39.1Z,1,REGULAR,freethrow,1of1,['2ndchance'],202683,,,1610612738,16,8,2020-01-14T00:53:39Z,770000,,,0,,E. Kanter freethrow 1of1 (9 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
80,PT06M07.00S,2020-01-14T00:53:54.7Z,1,REGULAR,turnover,outofbounds,[],1628436,,,1610612741,16,8,2020-01-14T00:54:01Z,780000,,,0,,L. Kornet TURNOVER outofbounds (1 TOV),[1628436],1610612741.0,CHI,lostball,,,Kornet,L. Kornet,,,,,,,,,,,,1199.0,,,,,,,,1.0,,,,
81,PT05M47.00S,2020-01-14T00:54:20.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,75.77201051248358,12.078737745098039,1610612738,16,8,2020-01-14T00:54:28Z,790000,-190.0,175.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,
82,PT05M43.00S,2020-01-14T00:54:24.2Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612741,16,8,2020-01-14T00:54:28Z,800000,,,0,,K. Dunn REBOUND (Off:0 Def:2),[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,
83,PT05M33.00S,2020-01-14T00:54:35.8Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612741,16,8,2020-01-14T00:54:48Z,810000,,,0,,J. Tatum FOUL personal (1 PF) (Markkanen 2freethrow),"[1628369, 1628374]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,1204.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,
85,PT05M33.00S,2020-01-14T00:55:00.3Z,1,REGULAR,freethrow,1of2,[],1628374,,,1610612741,16,8,2020-01-14T00:55:00Z,830000,,,0,,MISS L. Markkanen freethrow 1of2,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,Missed,,,,,,,,,,,,,,,,,,
86,PT05M33.00S,2020-01-14T00:55:00.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,16,8,2020-01-14T00:55:00Z,840000,,,0,,Team offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,
87,PT05M33.00S,2020-01-14T00:55:00.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612741,16,8,2020-01-14T00:55:10Z,850000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M33.00S,2020-01-14T00:55:00.9Z,1,REGULAR,substitution,out,[],202683,,,1610612741,16,8,2020-01-14T00:55:10Z,860000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M33.00S,2020-01-14T00:55:00.9Z,1,REGULAR,substitution,out,[],203107,,,1610612741,16,8,2020-01-14T00:55:10Z,870000,,,0,,substitution out Satoransky,[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M33.00S,2020-01-14T00:55:00.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612741,16,8,2020-01-14T00:55:10Z,880000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M33.00S,2020-01-14T00:55:00.9Z,1,REGULAR,substitution,in,[],203935,,,1610612741,16,8,2020-01-14T00:55:10Z,890000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M33.00S,2020-01-14T00:55:00.9Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,16,8,2020-01-14T00:55:10Z,900000,,,0,,substitution in White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M33.00S,2020-01-14T00:55:20.7Z,1,REGULAR,freethrow,2of2,[],1628374,,,1610612741,16,9,2020-01-14T00:55:20Z,910000,,,0,,L. Markkanen freethrow 2of2 (3 PTS),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
94,PT05M17.00S,2020-01-14T00:55:39.8Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1627759,92.85479632063075,54.23560049019608,1610612738,16,9,2020-01-14T00:55:49Z,920000,21.0,15.0,1,right,MISS J. Brown dunk,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.93,Missed,,,,,,,,,,,,,,,,,,
