actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
84,PT04M49.00S,2019-12-21T00:52:33.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628971,90.45663600525624,44.5389093137255,1610612765,17,13,2019-12-21T00:52:41Z,840000,-27.0,37.0,1,right,MISS B. Brown jumpshot,[1628971],1610612765.0,DET,drivingfloating,,,Brown,B. Brown,,,,,5.07,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M45.00S,2019-12-21T00:52:37.8Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612765,17,13,2019-12-21T00:52:41Z,850000,,,0,,B. Brown REBOUND (Off:2 Def:1),[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,,,,,84.0,3.0,1.0,2.0,,,,,,,
86,PT04M45.00S,2019-12-21T00:52:36.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628971,95.0,50.0,1610612765,17,15,2019-12-21T00:52:36Z,860000,0.0,-6.0,1,right,B. Brown layup (2 PTS),[1628971],1610612765.0,DET,tip,,,Brown,B. Brown,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2019-12-21T00:52:51.9Z,1,REGULAR,2pt,jumpshot,[],202689,26.19908015768725,33.75459558823529,1610612738,17,15,2019-12-21T00:53:28Z,870000,81.0,194.0,1,left,MISS K. Walker 22' jumpshot,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,21.52,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M31.00S,2019-12-21T00:52:55.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,17,15,2019-12-21T00:52:55Z,880000,,,0,,Team defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,
89,PT04M31.00S,2019-12-21T00:52:59.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612765,17,15,2019-12-21T00:52:59Z,890000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M31.00S,2019-12-21T00:53:00.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612765,17,15,2019-12-21T00:53:15Z,900000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M31.00S,2019-12-21T00:53:00.9Z,1,REGULAR,substitution,out,[],203503,,,1610612765,17,15,2019-12-21T00:53:15Z,910000,,,0,,substitution out Snell,[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M31.00S,2019-12-21T00:53:00.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612765,17,15,2019-12-21T00:53:15Z,930000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M31.00S,2019-12-21T00:53:00.9Z,1,REGULAR,substitution,in,[],201565,,,1610612765,17,15,2019-12-21T00:53:15Z,940000,,,0,,substitution in Rose,[201565],1610612765.0,DET,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M31.00S,2019-12-21T00:53:00.9Z,1,REGULAR,substitution,in,[],204038,,,1610612765,17,15,2019-12-21T00:53:15Z,950000,,,0,,substitution in Galloway,[204038],1610612765.0,DET,,,,Galloway,L. Galloway,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M31.00S,2019-12-21T00:53:00.9Z,1,REGULAR,substitution,out,[],1628971,,,1610612765,17,15,2019-12-21T00:54:00Z,955000,,,0,,substitution out Brown,[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M20.00S,2019-12-21T00:53:35.7Z,1,REGULAR,turnover,outofbounds,[],1629004,,,1610612765,17,15,2019-12-21T01:05:14Z,960000,,,0,,S. Mykhailiuk TURNOVER outofbounds (1 TOV),[1629004],1610612765.0,DET,badpass,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,1626301.0,1.0,,,,,,,,,,,,,
99,PT04M20.00S,2019-12-21T00:53:40.2Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,17,15,2019-12-21T00:53:42Z,970000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M20.00S,2019-12-21T00:53:40.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,17,15,2019-12-21T00:53:42Z,980000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M06.00S,2019-12-21T00:53:59.6Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,15.949408672798953,57.77420343137255,1610612738,19,15,2019-12-21T00:54:16Z,990000,-39.0,97.0,1,left,J. Tatum 11' jumpshot (9 PTS),[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,11.0,Made,9.0,,,,,,,,,,,,,,,,,,
103,PT03M53.00S,2019-12-21T00:54:12.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201565,82.83508541392904,61.69577205882353,1610612765,19,17,2019-12-21T00:54:19Z,1000000,58.0,109.0,1,right,D. Rose 13' jumpshot (2 PTS),[201565],1610612765.0,DET,pullup,,,Rose,D. Rose,,,,,12.85,Made,2.0,,,,,,,,,,,,,,,,,,
104,PT03M41.00S,2019-12-21T00:54:24.5Z,1,REGULAR,3pt,jumpshot,[],1628369,34.346254927726676,60.96047794117647,1610612738,19,17,2019-12-21T00:54:30Z,1010000,-55.0,270.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.13,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M39.00S,2019-12-21T00:54:27.6Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,19,17,2019-12-21T00:54:27Z,1020000,,,0,,E. Kanter REBOUND (Off:3 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,104.0,4.0,1.0,3.0,,,,,,,
106,PT03M30.00S,2019-12-21T00:54:35.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,6.093955321944804,39.88204656862745,1610612738,21,17,2019-12-21T00:54:52Z,1030000,51.0,5.0,1,left,J. Tatum layup (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,5.16,Made,11.0,,,,,,,,,,,,,,,,,,
108,PT03M22.00S,2019-12-21T00:54:54.4Z,1,REGULAR,turnover,badpass,[],201565,,,1610612765,21,17,2019-12-21T00:55:58Z,1035000,,,0,,D. Rose TURNOVER badpass (1 TOV) Stolen,"[201565, 1629641]",1610612765.0,DET,,,,Rose,D. Rose,,,,,,,,,,,,1.0,Langford,1629641.0,,,,,,,,,,,
109,PT03M22.00S,2019-12-21T00:54:54.4Z,1,REGULAR,steal,,[],1629641,,,1610612738,21,17,2019-12-21T00:55:58Z,1037500,,,0,,R. Langford STEAL (1 STL),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M22.00S,2019-12-21T00:55:13.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,17,2019-12-21T00:55:58Z,1040000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M22.00S,2019-12-21T00:56:44.9Z,1,REGULAR,substitution,out,[],202689,,,1610612738,21,17,2019-12-21T00:57:41Z,1050000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M22.00S,2019-12-21T00:56:44.9Z,1,REGULAR,substitution,out,[],202693,,,1610612738,21,17,2019-12-21T00:57:41Z,1060000,,,0,,substitution out Morris,[202693],1610612765.0,DET,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M22.00S,2019-12-21T00:56:44.9Z,1,REGULAR,substitution,in,[],202954,,,1610612738,21,17,2019-12-21T00:57:41Z,1070000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M22.00S,2019-12-21T00:56:44.9Z,1,REGULAR,substitution,in,[],1627748,,,1610612738,21,17,2019-12-21T00:57:41Z,1080000,,,0,,substitution in Maker,[1627748],1610612765.0,DET,,,,Maker,T. Maker,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M05.00S,2019-12-21T00:57:59.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1629641,7.013797634691201,52.38204656862745,1610612738,23,17,2019-12-21T00:58:13Z,1090000,-12.0,13.0,1,left,R. Langford layup (2 PTS),[1629641],1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,2.23,Made,2.0,,,,,,,,,,,,,,,,,,
115,PT02M51.00S,2019-12-21T00:58:17.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612765,23,17,2019-12-21T00:58:17Z,1100000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M40.00S,2019-12-21T00:58:50.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203083,93.2161629434954,52.872242647058826,1610612765,23,19,2019-12-21T00:58:54Z,1110000,14.0,11.0,1,right,A. Drummond layup (4 PTS),[203083],1610612765.0,DET,drivingreverse,,,Drummond,A. Drummond,,,,,2.21,Made,4.0,,,,,,,,,,,,,,,,,,
117,PT02M21.00S,2019-12-21T00:59:08.4Z,1,REGULAR,3pt,jumpshot,[],1629684,12.927069645203687,96.25459558823529,1610612738,26,19,2019-12-21T01:00:14Z,1120000,-231.0,69.0,1,left,G. Williams 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.3,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
119,PT02M09.00S,2019-12-21T00:59:21.2Z,1,REGULAR,turnover,lostball,[],201565,,,1610612765,26,19,2019-12-21T01:00:24Z,1140000,,,0,,D. Rose TURNOVER lostball (2 TOV) Stolen,"[201565, 202954]",1610612765.0,DET,,,,Rose,D. Rose,,,,,,,,,,,,2.0,Wanamaker,202954.0,,,,,,,,,,,
120,PT02M09.00S,2019-12-21T00:59:21.2Z,1,REGULAR,steal,,[],202954,,,1610612738,26,19,2019-12-21T01:00:24Z,1150000,,,0,,B. Wanamaker STEAL (1 STL),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M03.00S,2019-12-21T00:59:26.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,24.885019710906704,89.88204656862746,1610612738,26,19,2019-12-21T01:00:27Z,1160000,-199.0,181.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.33,Missed,,,,,,,,,,,,,,,,,,,
122,PT02M00.00S,2019-12-21T00:59:29.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,26,19,2019-12-21T00:59:29Z,1170000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,121.0,2.0,2.0,0.0,,,,,,,
123,PT01M52.00S,2019-12-21T00:59:40.9Z,1,REGULAR,foul,personal,[],1629641,,,1610612765,26,19,2019-12-21T00:59:49Z,1180000,,,0,,R. Langford FOUL personal (1 PF),"[1629641, 1629004]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,202058.0,,,,,,,,1.0,0.0,Mykhailiuk,1629004.0,,,
125,PT01M52.00S,2019-12-21T00:59:51.9Z,1,REGULAR,substitution,out,[],1629004,,,1610612765,26,19,2019-12-21T00:59:55Z,1200000,,,0,,substitution out Mykhailiuk,[1629004],1610612765.0,DET,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M52.00S,2019-12-21T00:59:51.9Z,1,REGULAR,substitution,in,[],203503,,,1610612765,26,19,2019-12-21T00:59:55Z,1210000,,,0,,substitution in Snell,[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M41.00S,2019-12-21T01:00:14.1Z,1,REGULAR,2pt,jumpshot,[],201565,90.32522996057818,33.99969362745098,1610612765,26,21,2019-12-21T01:05:22Z,1220000,-80.0,38.0,1,right,D. Rose 9' jumpshot (4 PTS),[201565],1610612765.0,DET,drivingfloating,,,Rose,D. Rose,,,,,9.13,Made,4.0,,,,,,,,,,,,,,,,,,
128,PT01M25.00S,2019-12-21T01:00:29.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,5.436925098554539,48.705575980392155,1610612738,28,21,2019-12-21T01:05:36Z,1230000,6.0,-1.0,1,left,J. Tatum layup (13 PTS) (B. Wanamaker 1 AST),"[1628369, 202954]",1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,0.77,Made,13.0,B. Wanamaker,202954.0,1.0,,,,,,,,,,,,,,,
130,PT01M12.00S,2019-12-21T01:00:43.1Z,1,REGULAR,2pt,jumpshot,[],204038,80.46977660972405,71.49969362745098,1610612765,28,23,2019-12-21T01:00:48Z,1250000,107.0,131.0,1,right,L. Galloway 17' jumpshot (2 PTS) (D. Rose 1 AST),"[204038, 201565]",1610612765.0,DET,stepback,,,Galloway,L. Galloway,,,,,17.38,Made,2.0,D. Rose,201565.0,1.0,,,,,,,,,,,,,,,
132,PT00M47.00S,2019-12-21T01:01:08.4Z,1,REGULAR,2pt,jumpshot,[],202954,25.016425755584763,54.09773284313725,1610612738,28,23,2019-12-21T01:01:15Z,1270000,-20.0,183.0,1,left,MISS B. Wanamaker 19' jumpshot,[202954],1610612738.0,BOS,stepback,,,Wanamaker,B. Wanamaker,,,,,18.93,Missed,,,,,,,,,,,,,,,,,,,
133,PT00M45.30S,2019-12-21T01:01:10.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,28,23,2019-12-21T01:01:15Z,1280000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,132.0,3.0,3.0,0.0,,,,,,,
134,PT00M36.30S,2019-12-21T01:01:20.0Z,1,REGULAR,3pt,jumpshot,[],1627748,93.87319316688567,3.1173406862745026,1610612765,28,26,2019-12-21T01:01:24Z,1290000,-234.0,5.0,1,right,T. Maker 23' 3PT  (3 PTS) (A. Drummond 1 AST),"[1627748, 203083]",1610612765.0,DET,,,,Maker,T. Maker,,,,,23.46,Made,3.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
136,PT00M28.70S,2019-12-21T01:01:31.0Z,1,REGULAR,3pt,jumpshot,[],1628369,33.55781865965835,59.98008578431372,1610612738,28,26,2019-12-21T01:01:38Z,1310000,-50.0,263.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.3,Missed,,,,,,,,,,,,,,,,,,,
137,PT00M27.90S,2019-12-21T01:01:31.8Z,1,REGULAR,rebound,defensive,[],204038,,,1610612765,28,26,2019-12-21T01:01:38Z,1320000,,,0,,L. Galloway REBOUND (Off:0 Def:1),[204038],1610612765.0,DET,,,,Galloway,L. Galloway,,,,,,,,,,,,,,,136.0,1.0,1.0,0.0,,,,,,,
138,PT00M07.70S,2019-12-21T01:01:52.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201565,85.67674113009198,46.27757352941176,1610612765,28,26,2019-12-21T01:01:58Z,1330000,-19.0,82.0,1,right,MISS D. Rose 9' jumpshot,[201565],1610612765.0,DET,drivingfloating,,,Rose,D. Rose,,,,,8.96,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M05.40S,2019-12-21T01:01:54.4Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,28,26,2019-12-21T01:01:58Z,1340000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,138.0,1.0,1.0,0.0,,,,,,,
140,PT00M03.90S,2019-12-21T01:01:57.6Z,1,REGULAR,foul,personal,[],203503,,,1610612738,28,26,2019-12-21T01:02:09Z,1350000,,,0,,T. Snell FOUL personal (1 PF),"[203503, 202954]",1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,1626302.0,,,,,,,,1.0,0.0,Wanamaker,202954.0,,,
142,PT00M03.90S,2019-12-21T01:02:10.3Z,1,REGULAR,substitution,out,[],203503,,,1610612738,28,26,2019-12-21T01:02:17Z,1370000,,,0,,substitution out Snell,[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M03.90S,2019-12-21T01:02:10.3Z,1,REGULAR,substitution,in,[],1628971,,,1610612738,28,26,2019-12-21T01:02:17Z,1380000,,,0,,substitution in Brown,[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M01.60S,2019-12-21T01:02:26.6Z,1,REGULAR,2pt,jumpshot,[],1628369,26.461892247043366,64.88204656862746,1610612738,28,26,2019-12-21T01:02:49Z,1390000,-74.0,196.0,1,left,MISS J. Tatum 22' jumpshot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,21.5,Missed,,,,,,,,,,,,,,,,,,,
145,PT00M01.60S,2019-12-21T01:02:26.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,28,26,2019-12-21T01:02:49Z,1400000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,
146,PT00M00.00S,2019-12-21T01:02:34.1Z,1,REGULAR,period,end,[],0,,,1610612738,28,26,2019-12-21T01:02:34Z,1410000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,28,26,2019-12-21T01:04:54Z,1420000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,out,['startperiod'],202683,,,1610612738,28,26,2019-12-21T01:04:54Z,1430000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,out,['startperiod'],1629641,,,1610612738,28,26,2019-12-21T01:04:54Z,1440000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,out,['startperiod'],203083,,,1610612738,28,26,2019-12-21T01:04:54Z,1450000,,,0,,substitution out Drummond,[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,out,['startperiod'],1628971,,,1610612738,28,26,2019-12-21T01:04:54Z,1460000,,,0,,substitution out Brown,[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,28,26,2019-12-21T01:04:54Z,1470000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,in,['startperiod'],1628464,,,1610612738,28,26,2019-12-21T01:04:54Z,1480000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,in,['startperiod'],1629750,,,1610612738,28,26,2019-12-21T01:04:54Z,1490000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,in,['startperiod'],202693,,,1610612738,28,26,2019-12-21T01:04:54Z,1500000,,,0,,substitution in Morris,[202693],1610612765.0,DET,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2019-12-21T01:04:35.5Z,2,REGULAR,substitution,in,['startperiod'],203503,,,1610612738,28,26,2019-12-21T01:04:54Z,1510000,,,0,,substitution in Snell,[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2019-12-21T01:05:08.3Z,2,REGULAR,period,start,[],0,,,1610612738,28,26,2019-12-21T01:05:08Z,1520000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT11M46.00S,2019-12-21T01:05:23.4Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,28,26,2019-12-21T01:05:23Z,1530000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M41.00S,2019-12-21T01:05:40.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1629684,6.4881734559789805,43.803615196078425,1610612738,30,26,2019-12-21T01:05:44Z,1540000,31.0,8.0,1,left,G. Williams layup (5 PTS) (J. Brown 3 AST),"[1629684, 1627759]",1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,3.4,Made,5.0,J. Brown,1627759.0,3.0,,,,,,,,,,,,,,,
161,PT11M20.00S,2019-12-21T01:06:01.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],201565,91.50788436268068,54.34283088235294,1610612765,30,28,2019-12-21T01:06:05Z,1560000,22.0,27.0,1,right,D. Rose layup (6 PTS),[201565],1610612765.0,DET,driving,,,Rose,D. Rose,,,,,3.93,Made,6.0,,,,,,,,,,,,,,,,,,
162,PT11M01.00S,2019-12-21T01:06:19.7Z,2,REGULAR,turnover,badpass,[],1629750,,,1610612738,30,28,2019-12-21T01:06:24Z,1570000,,,0,,J. Green TURNOVER badpass (1 TOV) Stolen,"[1629750, 203503]",1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,1.0,Snell,203503.0,,,,,,,,,,,
163,PT11M01.00S,2019-12-21T01:06:19.7Z,2,REGULAR,steal,,[],203503,,,1610612765,30,28,2019-12-21T01:10:10Z,1580000,,,0,,T. Snell STEAL (1 STL),[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT10M59.00S,2019-12-21T01:06:24.2Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",203503,90.8508541392904,54.34283088235294,1610612765,30,28,2019-12-21T01:09:34Z,1590000,22.0,34.0,1,right,MISS T. Snell layup,[203503],1610612765.0,DET,running,,,Snell,T. Snell,,,,,4.46,Missed,,,,,,,,,,,,,,,,,,,
165,PT10M59.00S,2019-12-21T01:06:24.2Z,2,REGULAR,rebound,offensive,[],1627748,,,1610612765,30,28,2019-12-21T01:06:57Z,1600000,,,0,,T. Maker REBOUND (Off:1 Def:0),[1627748],1610612765.0,DET,,,,Maker,T. Maker,,,,,,,,,,,,,,,164.0,1.0,0.0,1.0,,,,,,,
166,PT10M59.00S,2019-12-21T01:06:27.8Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627748,95.0,50.0,1610612765,30,30,2019-12-21T01:06:27Z,1610000,0.0,-6.0,1,right,T. Maker layup (5 PTS),[1627748],1610612765.0,DET,tip,,,Maker,T. Maker,,,,,0.0,Made,5.0,,,,,,,,,,,,,,,,,,
167,PT10M59.00S,2019-12-21T01:06:28.5Z,2,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612765,30,30,2019-12-21T01:07:06Z,1620000,,,0,,G. Williams FOUL personal (1 PF) (Maker 1freethrow),"[1629684, 1627748]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,1626302.0,,,,,,,,1.0,0.0,Maker,1627748.0,,,
169,PT10M59.00S,2019-12-21T01:06:54.0Z,2,REGULAR,freethrow,1of1,"['fromturnover', '2ndchance']",1627748,,,1610612765,30,31,2019-12-21T01:06:54Z,1640000,,,0,,T. Maker freethrow 1of1 (6 PTS),[1627748],1610612765.0,DET,,,,Maker,T. Maker,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
170,PT10M41.00S,2019-12-21T01:07:13.4Z,2,REGULAR,turnover,lostball,[],202954,,,1610612738,30,31,2019-12-21T01:07:43Z,1650000,,,0,,B. Wanamaker TURNOVER lostball (1 TOV) Stolen,"[202954, 1627748]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,1.0,Maker,1627748.0,,,,,,,,,,,
171,PT10M41.00S,2019-12-21T01:07:13.4Z,2,REGULAR,steal,,[],1627748,,,1610612765,30,31,2019-12-21T01:07:43Z,1660000,,,0,,T. Maker STEAL (1 STL),[1627748],1610612765.0,DET,,,,Maker,T. Maker,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M32.00S,2019-12-21T01:07:25.0Z,2,REGULAR,turnover,outofbounds,[],202693,,,1610612765,30,31,2019-12-21T01:07:54Z,1670000,,,0,,M. Morris TURNOVER outofbounds (1 TOV),[202693],1610612765.0,DET,step,,,Morris,M. Morris,,,,,,,,,,,202058.0,1.0,,,,,,,,,,,,,
173,PT10M15.00S,2019-12-21T01:07:52.6Z,2,REGULAR,2pt,jumpshot,['fromturnover'],1629750,8.065045992115643,31.793811274509807,1610612738,32,31,2019-12-21T01:16:09Z,1680000,91.0,23.0,1,left,J. Green 10' jumpshot (2 PTS) (J. Brown 4 AST),"[1629750, 1627759]",1610612738.0,BOS,drivingfloatingbank,,,Green,J. Green,,,,,9.54,Made,2.0,J. Brown,1627759.0,4.0,,,,,,,,,,,,,,,
175,PT10M00.00S,2019-12-21T01:08:08.0Z,2,REGULAR,turnover,badpass,[],202693,,,1610612765,32,31,2019-12-21T01:08:16Z,1700000,,,0,,M. Morris TURNOVER badpass (2 TOV) Stolen,"[202693, 1628464]",1610612765.0,DET,,,,Morris,M. Morris,,,,,,,,,,,,2.0,Theis,1628464.0,,,,,,,,,,,
