actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
22,PT10M00.00S,2019-12-21T00:42:40.7Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612765,4,6,2019-12-21T00:43:02Z,220000,,,0,,J. Tatum FOUL personal (1 PF) (Morris 2freethrow),"[1628369, 202693]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,1626301.0,,,,,,,,1.0,0.0,Morris,202693.0,,,
24,PT10M00.00S,2019-12-21T00:43:03.5Z,1,REGULAR,freethrow,1of2,[],202693,,,1610612765,4,7,2019-12-21T00:43:03Z,240000,,,0,,M. Morris freethrow 1of2 (4 PTS),[202693],1610612765.0,DET,,,,Morris,M. Morris,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2019-12-21T00:43:12.7Z,1,REGULAR,freethrow,2of2,[],202693,,,1610612765,4,8,2019-12-21T00:43:12Z,250000,,,0,,M. Morris freethrow 2of2 (5 PTS),[202693],1610612765.0,DET,,,,Morris,M. Morris,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
26,PT09M51.00S,2019-12-21T00:43:25.2Z,1,REGULAR,foul,personal,['2freethrow'],202693,,,1610612738,4,8,2019-12-21T00:43:39Z,260000,,,0,,M. Morris FOUL personal (1 PF) (Theis 2freethrow),"[202693, 1628464]",1610612765.0,DET,shooting,,,Morris,M. Morris,,,,,,,,,,,1626301.0,,,,,,,,1.0,0.0,Theis,1628464.0,,,
28,PT09M51.00S,2019-12-21T00:43:45.6Z,1,REGULAR,freethrow,1of2,[],1628464,,,1610612738,4,8,2019-12-21T00:43:45Z,280000,,,0,,MISS D. Theis freethrow 1of2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2019-12-21T00:43:45.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,4,8,2019-12-21T00:43:45Z,290000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,
30,PT09M51.00S,2019-12-21T00:43:58.6Z,1,REGULAR,freethrow,2of2,[],1628464,,,1610612738,5,8,2019-12-21T00:43:58Z,300000,,,0,,D. Theis freethrow 2of2 (1 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2019-12-21T00:44:13.9Z,1,REGULAR,turnover,outofbounds,[],1628971,,,1610612765,5,8,2019-12-21T00:44:24Z,310000,,,0,,B. Brown TURNOVER outofbounds (2 TOV),[1628971],1610612765.0,DET,badpass,,,Brown,B. Brown,,,,,,,,,,,1626301.0,2.0,,,,,,,,,,,,,
33,PT09M27.00S,2019-12-21T00:44:36.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628400,13.18988173455979,95.02910539215686,1610612738,8,8,2019-12-21T00:44:51Z,330000,-225.0,71.0,1,left,S. Ojeleye 24' 3PT  (3 PTS) (K. Walker 1 AST),"[1628400, 202689]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.79,Made,3.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
35,PT09M16.00S,2019-12-21T00:44:49.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203083,93.74178712220763,43.55851715686274,1610612765,8,8,2019-12-21T01:04:25Z,350000,-32.0,6.0,1,right,MISS A. Drummond layup,[203083],1610612765.0,DET,drivingfingerroll,,,Drummond,A. Drummond,,,,,3.43,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M16.00S,2019-12-21T00:44:49.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,8,2019-12-21T00:44:54Z,360000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,
37,PT09M10.00S,2019-12-21T00:44:55.2Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628369,31.32391590013141,75.17616421568627,1610612738,11,8,2019-12-21T00:45:02Z,370000,-126.0,242.0,1,left,J. Tatum 28' 3PT  (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.76,Made,5.0,,,,,,,,,,,,,,,,,,
38,PT08M55.00S,2019-12-21T00:45:08.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203083,81.7838370565046,54.58792892156863,1610612765,11,8,2019-12-21T00:45:15Z,380000,23.0,119.0,1,right,MISS A. Drummond 13' jumpshot,[203083],1610612765.0,DET,drivingfloating,,,Drummond,A. Drummond,,,,,12.63,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M54.00S,2019-12-21T00:45:09.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,8,2019-12-21T00:45:15Z,390000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,
40,PT08M48.00S,2019-12-21T00:45:16.1Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,15.292378449408673,96.00949754901961,1610612738,11,8,2019-12-21T00:45:28Z,400000,-230.0,91.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M46.00S,2019-12-21T00:45:18.1Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612765,11,8,2019-12-21T00:45:28Z,410000,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612765.0,DET,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,
42,PT08M33.00S,2019-12-21T00:45:30.9Z,1,REGULAR,3pt,jumpshot,[],1629004,77.71024967148489,9.734987745098039,1610612765,11,8,2019-12-21T00:45:40Z,420000,-201.0,157.0,1,right,MISS S. Mykhailiuk 26' 3PT,[1629004],1610612765.0,DET,,,,Mykhailiuk,S. Mykhailiuk,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M32.00S,2019-12-21T00:45:31.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612765,11,8,2019-12-21T00:45:40Z,430000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,
44,PT08M29.00S,2019-12-21T00:45:35.1Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202693,96.23850197109067,4.833026960784309,1610612765,11,11,2019-12-21T00:45:43Z,440000,-226.0,-17.0,1,right,M. Morris 23' 3PT  (8 PTS) (B. Brown 2 AST),"[202693, 1628971]",1610612765.0,DET,,,,Morris,M. Morris,,,,,22.61,Made,8.0,B. Brown,1628971.0,2.0,,,,,,,,,,,,,,,
46,PT08M13.00S,2019-12-21T00:45:52.2Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,7.670827858081481,54.09773284313725,1610612738,11,11,2019-12-21T00:46:00Z,460000,-20.0,20.0,1,left,MISS D. Theis dunk,[1628464],1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,3.24,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M12.00S,2019-12-21T00:45:53.2Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,11,11,2019-12-21T00:46:00Z,470000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,
48,PT07M55.00S,2019-12-21T00:46:09.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203083,94.21813403416557,42.064950980392155,1610612765,11,13,2019-12-21T01:04:33Z,480000,-40.0,2.0,1,right,A. Drummond layup (2 PTS) (M. Morris 1 AST),"[203083, 202693]",1610612765.0,DET,,,,Drummond,A. Drummond,,,,,4.04,Made,2.0,M. Morris,202693.0,1.0,,,,,,,,,,,,,,,
50,PT07M43.00S,2019-12-21T00:46:21.1Z,1,REGULAR,3pt,jumpshot,[],1628464,33.03219448094612,37.185968137254896,1610612738,11,13,2019-12-21T00:46:27Z,500000,64.0,258.0,1,left,MISS D. Theis 27' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,27.12,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M42.00S,2019-12-21T00:46:22.1Z,1,REGULAR,rebound,defensive,[],203503,,,1610612765,11,13,2019-12-21T00:46:27Z,510000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,
52,PT07M39.00S,2019-12-21T00:46:29.0Z,1,REGULAR,foul,personal,[],1628464,,,1610612765,11,13,2019-12-21T00:46:37Z,520000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 203083]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,1626301.0,,,,,,,,1.0,0.0,Drummond,203083.0,,,
54,PT07M28.00S,2019-12-21T00:46:57.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202693,84.4119579500657,43.803615196078425,1610612765,11,13,2019-12-21T01:04:45Z,540000,-31.0,94.0,1,right,MISS M. Morris 10' jumpshot,[202693],1610612765.0,DET,turnaroundfadeaway,,,Morris,M. Morris,,,,,10.42,Missed,,,,,,,,,,,,,,,,,,,
