actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
673,PT00M40.80S,2020-03-09T00:25:00.7Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628369,8.492115637319317,45.65716911764706,1610612738,104,103,2020-03-09T00:25:21Z,6620000,left,[BOS] Tatum layup: Made (19 PTS) assist: Walker (5 AST),"[1628369, 202689]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,3.93,: Made,,,,,,,,19.0,Walker,202689.0,5.0,,,,,,,,,,,,
675,PT00M28.40S,2020-03-09T00:25:28.9Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612760,104,103,2020-03-09T00:25:37Z,6630000,,[BOS] Tatum foul personal (4 PF) (Adams inpenalty),"[1628369, 203500]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,2002.0,4.0,1.0,Adams,203500.0,,,
677,PT00M28.40S,2020-03-09T00:25:54.8Z,4,REGULAR,freethrow,1of2,[],203500,,,1610612760,104,103,2020-03-09T00:26:21Z,6650000,,[OKC] Adams freethrow 1of2: Missed,[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
678,PT00M28.40S,2020-03-09T00:25:54.8Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,104,103,2020-03-09T00:26:21Z,6660000,,[OKC] Team offensive rebound,[],1610612760.0,OKC,,,,,,,,,,,,677.0,,,,,,,,,,,,,,,,,,,,,,
679,PT00M28.40S,2020-03-09T00:25:54.8Z,4,REGULAR,freethrow,2of2,[],203500,,,1610612760,104,103,2020-03-09T00:26:21Z,6670000,,[OKC] Adams freethrow 2of2: Missed,[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
680,PT00M28.40S,2020-03-09T00:25:54.8Z,4,REGULAR,rebound,offensive,[],101108,,,1610612760,104,103,2020-03-09T00:26:27Z,6680000,,[OKC] Paul offensive rebound (Off:1 Def:5),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,679.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
681,PT00M15.00S,2020-03-09T00:26:28.1Z,4,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",101108,91.5407358738502,51.78462009803921,1610612760,104,103,2020-03-09T00:26:42Z,6690000,right,[OKC] Paul layup: Missed,[101108],1610612760.0,OKC,driving,,,Paul,C. Paul,,,,,3.37,: Missed,,,,,,,,,,,,,,,,,,,,,,,
682,PT00M13.80S,2020-03-09T00:26:29.3Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612738,104,103,2020-03-09T00:26:42Z,6700000,,[BOS] Team defensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,681.0,,,,,,,,,,,,,,,,,,,,,,
683,PT00M13.80S,2020-03-09T00:26:33.2Z,4,REGULAR,stoppage,outofbounds,[],0,,,1610612738,104,103,2020-03-09T00:26:33Z,6710000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,PT00M13.80S,2020-03-09T00:26:47.6Z,4,REGULAR,substitution,out,[],201568,,,1610612738,104,103,2020-03-09T00:26:55Z,6720000,,[OKC] substitution Gallinari replaced by Ferguson,"[201568, 1628390]",1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferguson,1628390.0,
686,PT00M08.50S,2020-03-09T00:27:12.6Z,4,REGULAR,turnover,lostball,[],202689,,,1610612738,104,103,2020-03-09T00:27:29Z,6740000,,[BOS] Walker lostball turnover (2 TO) Steal: Schroder (2 STL),"[202689, 203471]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,2.0,Schroder,203471.0,2.0,,,,,,,,
688,PT00M08.50S,2020-03-09T00:27:17.6Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",203471,94.1688567674113,47.86305147058824,1610612760,104,105,2020-03-09T00:27:38Z,6760000,right,[OKC] Schroder layup: Made (27 PTS),[203471],1610612760.0,OKC,driving,,,Schroder,D. Schroder,,,,,1.32,: Made,,,,,,,,27.0,,,,,,,,,,,,,,,
689,PT00M08.50S,2020-03-09T00:27:47.4Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,104,105,2020-03-09T00:27:47Z,6770000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,PT00M01.80S,2020-03-09T00:29:33.6Z,4,REGULAR,2pt,jumpshot,[],1628369,23.41491458607096,37.645526960784316,1610612738,104,105,2020-03-09T00:31:00Z,6780000,left,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,18.38,: Missed,,,,,,,,,,,,,,,,,,,,,,,
692,PT00M01.80S,2020-03-09T00:29:33.6Z,4,REGULAR,rebound,offensive,[],202689,,,1610612738,104,105,2020-03-09T00:29:51Z,6790000,,[BOS] Walker offensive rebound (Off:1 Def:5),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,691.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
693,PT00M00.00S,2020-03-09T00:29:38.7Z,4,REGULAR,period,end,[],0,,,1610612738,104,105,2020-03-09T00:29:38Z,6800000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,PT00M00.00S,2020-03-09T00:34:02.8Z,4,REGULAR,game,end,[],0,,,0,104,105,2020-03-09T00:34:02Z,6810000,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
