actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
47,PT07M34.00S,2020-03-08T22:16:16.2Z,1,REGULAR,3pt,jumpshot,[],1628369,72.79894875164258,17.98406862745098,1610612738,11,9,2020-03-08T22:16:29Z,460000,right,[BOS] Tatum 3pt shot: Made (5 PTS) assist: Smart (1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.3,: Made,,,,,,,,5.0,Smart,203935.0,1.0,,,,,,,,,,,,
49,PT07M33.00S,2020-03-08T22:16:24.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,11,9,2020-03-08T22:16:24Z,480000,,[OKC] timeout full,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M23.00S,2020-03-08T22:19:34.1Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],203500,6.783837056504599,48.84344362745098,1610612760,11,11,2020-03-08T22:19:40Z,490000,left,[OKC] Adams dunk: Made (2 PTS) assist: Paul (2 AST),"[203500, 101108]",1610612760.0,OKC,cutting,,,Adams,S. Adams,,,,,1.78,: Made,,,,,,,,2.0,Paul,101108.0,2.0,,,,,,,,,,,,
52,PT07M07.00S,2020-03-08T22:19:51.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,90.22667542706965,58.15716911764706,1610612738,13,11,2020-03-08T22:27:39Z,510000,right,[BOS] Tatum jumpshot: Made (7 PTS),[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,6.07,: Made,,,,,,,,7.0,,,,,,,,,,,,,,,
53,PT07M07.00S,2020-03-08T22:19:57.6Z,1,REGULAR,foul,personal,['1freethrow'],1628390,,,1610612738,13,11,2020-03-08T22:20:12Z,520000,,[OKC] Ferguson foul personal (1 PF) (Tatum 1freethrow),"[1628390, 1628369]",1610612760.0,OKC,shooting,,,Ferguson,T. Ferguson,,,,,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Tatum,1628369.0,,,
55,PT07M07.00S,2020-03-08T22:20:05.7Z,1,REGULAR,substitution,out,[],203500,,,1610612738,13,11,2020-03-08T22:20:22Z,540000,,[OKC] substitution Adams replaced by Noel,"[203500, 203457]",1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,Noel,203457.0,
57,PT07M07.00S,2020-03-08T22:20:19.7Z,1,REGULAR,freethrow,1of1,[],1628369,,,1610612738,13,11,2020-03-08T22:20:28Z,560000,,[BOS] Tatum freethrow 1of1: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M07.00S,2020-03-08T22:20:19.7Z,1,REGULAR,rebound,defensive,[],203457,,,1610612760,13,11,2020-03-08T22:20:28Z,570000,,[OKC] Noel defensive rebound (Off:0 Def:1),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2020-03-08T22:20:35.2Z,1,REGULAR,turnover,badpass,[],101108,,,1610612760,13,11,2020-03-08T22:20:41Z,580000,,[OKC] Paul badpass turnover (1 TO) Steal: Tatum (1 STL),"[101108, 1628369]",1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,1.0,,,,,,,,
61,PT06M43.00S,2020-03-08T22:20:41.8Z,1,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",203935,86.02168199737189,95.90226715686273,1610612738,13,11,2020-03-08T22:21:03Z,600000,right,[BOS] Smart stepback 3pt jumpshot: Missed,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,24.45,: Missed,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2020-03-08T22:20:43.8Z,1,REGULAR,rebound,defensive,[],203457,,,1610612760,13,11,2020-03-08T22:20:54Z,610000,,[OKC] Noel defensive rebound (Off:0 Def:2),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2020-03-08T22:20:55.4Z,1,REGULAR,foul,personal,[],202330,,,1610612760,13,11,2020-03-08T22:20:59Z,620000,,[BOS] Hayward foul personal (1 PF),"[202330, 201568]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Gallinari,201568.0,,,
65,PT06M29.00S,2020-03-08T22:21:20.3Z,1,REGULAR,3pt,jumpshot,[],1629652,14.668199737187912,93.94148284313727,1610612760,13,11,2020-03-08T22:21:32Z,640000,left,[OKC] Dort 3pt jumpshot: Missed,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,23.78,: Missed,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M27.00S,2020-03-08T22:21:22.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,13,11,2020-03-08T22:21:32Z,650000,,[BOS] Hayward defensive rebound (Off:0 Def:4),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,65.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
67,PT06M18.00S,2020-03-08T22:21:31.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,94.08672798948751,54.212622549019606,1610612738,15,11,2020-03-08T22:21:38Z,660000,right,[BOS] Theis layup: Made (2 PTS) assist: Hayward (1 AST),"[1628464, 202330]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.28,: Made,,,,,,,,2.0,Hayward,202330.0,1.0,,,,,,,,,,,,
69,PT06M05.00S,2020-03-08T22:21:43.8Z,1,REGULAR,3pt,jumpshot,[],1629652,31.35676741130092,24.333639705882355,1610612760,15,14,2020-03-08T22:21:50Z,680000,left,[OKC] Dort 3pt shot: Made (3 PTS) assist: Paul (3 AST),"[1629652, 101108]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,27.9,: Made,,,,,,,,3.0,Paul,101108.0,3.0,,,,,,,,,,,,
71,PT05M46.00S,2020-03-08T22:22:02.6Z,1,REGULAR,3pt,jumpshot,[],202689,95.9264126149803,4.258578431372549,1610612738,15,14,2020-03-08T22:22:11Z,700000,right,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,22.89,: Missed,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M44.00S,2020-03-08T22:22:04.6Z,1,REGULAR,rebound,defensive,[],203457,,,1610612760,15,14,2020-03-08T22:22:11Z,710000,,[OKC] Noel defensive rebound (Off:0 Def:3),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
73,PT05M37.00S,2020-03-08T22:22:11.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1629652,9.674770039421814,45.65716911764706,1610612760,15,14,2020-03-08T22:22:24Z,720000,left,[OKC] Dort layup: Missed,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,4.9,: Missed,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M36.00S,2020-03-08T22:22:12.4Z,1,REGULAR,rebound,offensive,[],1628390,,,1610612760,15,14,2020-03-08T22:22:24Z,730000,,[OKC] Ferguson offensive rebound (Off:1 Def:0),[1628390],1610612760.0,OKC,,,,Ferguson,T. Ferguson,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2020-03-08T22:22:15.6Z,1,REGULAR,2pt,dunk,"['2ndchance', 'pointsinthepaint']",1628390,5.0,50.0,1610612760,15,16,2020-03-08T22:27:24Z,740000,left,[OKC] Ferguson dunk: Made (2 PTS),[1628390],1610612760.0,OKC,tip,,,Ferguson,T. Ferguson,,,,,0.0,: Made,,,,,,,,2.0,,,,,,,,,,,,,,,
76,PT05M16.00S,2020-03-08T22:22:33.4Z,1,REGULAR,3pt,jumpshot,[],1628369,68.01905387647832,24.088541666666664,1610612738,15,16,2020-03-08T22:22:43Z,750000,right,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.48,: Missed,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M14.00S,2020-03-08T22:22:35.4Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,15,16,2020-03-08T22:22:43Z,760000,,[BOS] Smart offensive rebound (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2020-03-08T22:22:37.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203935,94.1688567674113,49.08854166666667,1610612738,17,16,2020-03-08T22:22:56Z,770000,right,[BOS] Smart layup: Made (5 PTS),[203935],1610612738.0,BOS,putback,,,Smart,M. Smart,,,,,0.91,: Made,,,,,,,,5.0,,,,,,,,,,,,,,,
79,PT04M53.00S,2020-03-08T22:22:55.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201568,9.149145860709593,45.65716911764706,1610612760,17,16,2020-03-08T22:23:02Z,780000,left,[OKC] Gallinari layup: Missed,[201568],1610612760.0,OKC,driving,,,Gallinari,D. Gallinari,,,,,4.46,: Missed,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M50.00S,2020-03-08T22:22:58.1Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,17,16,2020-03-08T22:23:02Z,800000,,[BOS] Walker defensive rebound (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
82,PT04M45.00S,2020-03-08T22:23:07.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,17,16,2020-03-08T22:23:07Z,810000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M45.00S,2020-03-08T22:23:11.7Z,1,REGULAR,substitution,out,[],202689,,,1610612738,17,16,2020-03-08T22:23:30Z,820000,,[BOS] substitution Walker replaced by Wanamaker,"[202689, 202954]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanamaker,202954.0,
84,PT04M45.00S,2020-03-08T22:23:11.7Z,1,REGULAR,substitution,out,[],202330,,,1610612738,17,16,2020-03-08T22:23:30Z,830000,,[BOS] substitution Hayward replaced by Kanter,"[202330, 202683]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanter,202683.0,
85,PT04M45.00S,2020-03-08T22:23:11.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,17,16,2020-03-08T22:23:30Z,840000,,[BOS] substitution Theis replaced by Ojeleye,"[1628464, 1628400]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,Ojeleye,1628400.0,
86,PT04M45.00S,2020-03-08T22:23:11.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612738,17,16,2020-03-08T22:23:30Z,850000,,[OKC] substitution Dort replaced by Diallo,"[1629652, 1628977]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,,Diallo,1628977.0,
87,PT04M45.00S,2020-03-08T22:23:11.7Z,1,REGULAR,substitution,out,[],1628390,,,1610612738,17,16,2020-03-08T22:23:30Z,860000,,[OKC] substitution Ferguson replaced by Schroder,"[1628390, 203471]",1610612760.0,OKC,,,,Ferguson,T. Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,Schroder,203471.0,
93,PT04M40.00S,2020-03-08T22:23:33.6Z,1,REGULAR,3pt,jumpshot,[],203935,69.33311432325887,65.75520833333334,1610612738,20,16,2020-03-08T22:23:41Z,920000,right,[BOS] Smart 3pt shot: Made (8 PTS) assist: Tatum (1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.38,: Made,,,,,,,,8.0,Tatum,1628369.0,1.0,,,,,,,,,,,,
95,PT04M18.00S,2020-03-08T22:23:54.2Z,1,REGULAR,3pt,jumpshot,[],203471,27.54599211563732,85.11795343137256,1610612760,20,16,2020-03-08T22:24:02Z,940000,left,[OKC] Schroder 3pt jumpshot: Missed,[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,27.52,: Missed,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M16.00S,2020-03-08T22:23:56.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,20,16,2020-03-08T22:24:02Z,950000,,[OKC] Team offensive rebound,[],1610612760.0,OKC,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,
97,PT04M16.00S,2020-03-08T22:24:01.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612760,20,16,2020-03-08T22:24:01Z,960000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M14.00S,2020-03-08T22:24:14.8Z,1,REGULAR,2pt,jumpshot,['2ndchance'],203471,11.383048620236531,72.86305147058823,1610612760,20,18,2020-03-08T22:24:22Z,970000,left,[OKC] Schroder jumpshot: Made (2 PTS) assist: Paul (4 AST),"[203471, 101108]",1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,12.91,: Made,,,,,,,,2.0,Paul,101108.0,4.0,,,,,,,,,,,,
100,PT03M55.00S,2020-03-08T22:24:32.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,86.72798948751642,40.732230392156865,1610612738,20,18,2020-03-08T22:24:44Z,990000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,9.05,: Missed,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M53.00S,2020-03-08T22:24:34.8Z,1,REGULAR,rebound,defensive,[],203457,,,1610612760,20,18,2020-03-08T22:24:44Z,1000000,,[OKC] Noel defensive rebound (Off:0 Def:4),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,100.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
102,PT03M47.00S,2020-03-08T22:24:45.1Z,1,REGULAR,3pt,jumpshot,[],203471,27.414586070959263,81.44148284313727,1610612760,20,21,2020-03-08T22:24:54Z,1010000,left,[OKC] Schroder 3pt shot: Made (5 PTS),[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,26.29,: Made,,,,,,,,5.0,,,,,,,,,,,,,,,
103,PT03M47.00S,2020-03-08T22:24:50.8Z,1,REGULAR,foul,personal,['1freethrow'],203935,,,1610612760,20,21,2020-03-08T22:25:00Z,1020000,,[BOS] Smart foul personal (1 PF) (Schroder 1freethrow),"[203935, 203471]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Schroder,203471.0,,,
105,PT03M47.00S,2020-03-08T22:25:12.6Z,1,REGULAR,freethrow,1of1,[],203471,,,1610612760,20,22,2020-03-08T22:25:12Z,1040000,,[OKC] Schroder freethrow 1of1: Made (6 PTS),[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,,: Made,,,,,,,,6.0,,,,,,,,,,,,,,,
106,PT03M31.00S,2020-03-08T22:25:30.2Z,1,REGULAR,3pt,jumpshot,[],203935,65.65374507227332,48.59834558823529,1610612738,20,22,2020-03-08T22:25:37Z,1050000,right,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.6,: Missed,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M30.00S,2020-03-08T22:25:31.2Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,20,22,2020-03-08T22:26:28Z,1060000,,[BOS] Kanter offensive rebound (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,106.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
108,PT03M29.00S,2020-03-08T22:25:33.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,95.3515111695138,52.27481617647059,1610612738,20,22,2020-03-08T22:40:24Z,1070000,right,[BOS] Kanter layup: Missed,[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,1.19,: Missed,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M27.00S,2020-03-08T22:25:35.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612760,20,22,2020-03-08T22:26:24Z,1080000,,[OKC] Paul defensive rebound (Off:0 Def:4),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,108.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
110,PT03M09.00S,2020-03-08T22:25:52.0Z,1,REGULAR,3pt,jumpshot,[],1628977,6.521024967148489,96.39246323529412,1610612760,20,25,2020-03-08T22:25:59Z,1090000,left,[OKC] Diallo 3pt shot: Made (3 PTS) assist: Paul (5 AST),"[1628977, 101108]",1610612760.0,OKC,,,,Diallo,H. Diallo,,,,,23.24,: Made,,,,,,,,3.0,Paul,101108.0,5.0,,,,,,,,,,,,
112,PT03M00.00S,2020-03-08T22:26:04.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,20,25,2020-03-08T22:26:04Z,1110000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M00.00S,2020-03-08T22:28:38.0Z,1,REGULAR,substitution,out,[],201568,,,1610612738,20,25,2020-03-08T22:28:54Z,1120000,,[OKC] substitution Gallinari replaced by Nader,"[201568, 1627846]",1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,,,Nader,1627846.0,
115,PT02M53.00S,2020-03-08T22:29:05.7Z,1,REGULAR,foul,personal,[],203457,,,1610612738,20,25,2020-03-08T22:29:26Z,1140000,,[OKC] Noel foul personal (1 PF),"[203457, 202683]",1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Kanter,202683.0,,,
117,PT02M43.00S,2020-03-08T22:29:35.8Z,1,REGULAR,2pt,jumpshot,[],1628369,77.08607095926413,63.549325980392155,1610612738,20,25,2020-03-08T22:30:00Z,1160000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,18.15,: Missed,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M42.00S,2020-03-08T22:29:36.8Z,1,REGULAR,rebound,defensive,[],203457,,,1610612760,20,25,2020-03-08T22:39:00Z,1170000,,[OKC] Noel defensive rebound (Off:0 Def:5),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,117.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
121,PT02M19.00S,2020-03-08T22:29:59.4Z,1,REGULAR,3pt,jumpshot,[],101108,32.802233902759525,71.39246323529412,1610612760,20,25,2020-03-08T22:30:09Z,1200000,left,[OKC] Paul 3pt jumpshot: Missed,[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,28.24,: Missed,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M17.00S,2020-03-08T22:30:01.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,20,25,2020-03-08T22:30:09Z,1210000,,[BOS] Tatum defensive rebound (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,121.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
123,PT02M06.00S,2020-03-08T22:30:13.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628400,94.56307490144546,44.921875,1610612738,20,25,2020-03-08T22:30:28Z,1220000,right,[BOS] Ojeleye layup: Missed Block: Nader (1 BLK),"[1628400, 1627846]",1610612738.0,BOS,driving,,,Ojeleye,S. Ojeleye,,,,,2.57,: Missed,,,,,Nader,1627846.0,1.0,,,,,,,,,,,,,,,,
124,PT02M04.00S,2020-03-08T22:30:15.5Z,1,REGULAR,rebound,defensive,[],203457,,,1610612760,20,25,2020-03-08T22:30:28Z,1230000,,[OKC] Noel defensive rebound (Off:0 Def:6),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,123.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
125,PT02M00.00S,2020-03-08T22:30:24.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612760,20,25,2020-03-08T22:30:24Z,1240000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M00.00S,2020-03-08T22:30:26.7Z,1,REGULAR,substitution,out,[],101108,,,1610612760,20,25,2020-03-08T22:30:33Z,1250000,,[OKC] substitution Paul replaced by Dort,"[101108, 1629652]",1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,Dort,1629652.0,
129,PT01M44.00S,2020-03-08T22:31:01.4Z,1,REGULAR,turnover,traveling,[],1627846,,,1610612760,20,25,2020-03-08T22:31:09Z,1270000,,[OKC] Nader traveling turnover (1 TO),[1627846],1610612760.0,OKC,,,,Nader,A. Nader,,,,,,,,,,,,,,,,,,1.0,,,,2715.0,,,,,,,
130,PT01M23.00S,2020-03-08T22:31:33.0Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628400,76.69185282522996,85.11795343137256,1610612738,20,25,2020-03-08T22:31:41Z,1280000,right,[BOS] Ojeleye 3pt jumpshot: Missed,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,24.59,: Missed,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M20.00S,2020-03-08T22:31:36.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,20,25,2020-03-08T22:31:41Z,1290000,,[OKC] Dort defensive rebound (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
132,PT01M16.00S,2020-03-08T22:31:43.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203471,7.046649145860711,52.029718137254896,1610612760,20,27,2020-03-08T22:31:52Z,1300000,left,[OKC] Schroder layup: Made (8 PTS),[203471],1610612760.0,OKC,running,,,Schroder,D. Schroder,,,,,2.17,: Made,,,,,,,,8.0,,,,,,,,,,,,,,,
133,PT01M16.00S,2020-03-08T22:31:47.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",202954,,,1610612760,20,27,2020-03-08T22:32:14Z,1310000,,[BOS] Wanamaker foul personal (1 PF) (Schroder inpenalty),"[202954, 203471]",1610612738.0,BOS,shooting,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Schroder,203471.0,,,
135,PT01M16.00S,2020-03-08T22:31:55.0Z,1,REGULAR,substitution,out,[],203457,,,1610612760,20,27,2020-03-08T22:31:57Z,1330000,,[OKC] substitution Noel replaced by Adams,"[203457, 203500]",1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,,,Adams,203500.0,
137,PT01M16.00S,2020-03-08T22:32:00.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612760,20,27,2020-03-08T22:32:10Z,1350000,,[BOS] substitution Tatum replaced by Hayward,"[1628369, 202330]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayward,202330.0,
138,PT01M16.00S,2020-03-08T22:32:00.6Z,1,REGULAR,substitution,out,[],203935,,,1610612760,20,27,2020-03-08T22:32:10Z,1360000,,[BOS] substitution Smart replaced by Langford,"[203935, 1629641]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,Langford,1629641.0,
139,PT01M16.00S,2020-03-08T22:32:00.6Z,1,REGULAR,substitution,out,[],1628400,,,1610612760,20,27,2020-03-08T22:32:10Z,1370000,,[BOS] substitution Ojeleye replaced by Williams,"[1628400, 1629684]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,Williams,1629684.0,
143,PT01M16.00S,2020-03-08T22:32:27.5Z,1,REGULAR,freethrow,1of1,[],203471,,,1610612760,20,28,2020-03-08T22:32:27Z,1410000,,[OKC] Schroder freethrow 1of1: Made (9 PTS),[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,,: Made,,,,,,,,9.0,,,,,,,,,,,,,,,
144,PT01M05.00S,2020-03-08T22:32:42.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,20,28,2020-03-08T22:32:42Z,1420000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M59.30S,2020-03-08T22:32:59.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,81.8166885676741,37.8140318627451,1610612738,22,28,2020-03-08T22:41:02Z,1430000,right,[BOS] Hayward jumpshot: Made (2 PTS) assist: Kanter (1 AST),"[202330, 202683]",1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,13.81,: Made,,,,,,,,2.0,Kanter,202683.0,1.0,,,,,,,,,,,,
147,PT00M51.90S,2020-03-08T22:33:11.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612760,22,28,2020-03-08T22:33:11Z,1450000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M44.90S,2020-03-08T22:33:31.9Z,1,REGULAR,3pt,jumpshot,[],203471,34.11629434954008,35.11795343137255,1610612760,22,28,2020-03-08T22:33:39Z,1460000,left,[OKC] Schroder 3pt jumpshot: Missed,[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,28.36,: Missed,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M42.30S,2020-03-08T22:33:34.5Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,22,28,2020-03-08T22:33:39Z,1470000,,[BOS] Langford defensive rebound (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
150,PT00M36.10S,2020-03-08T22:33:42.9Z,1,REGULAR,foul,personal,['2freethrow'],1627846,,,1610612738,22,28,2020-03-08T22:33:54Z,1480000,,[OKC] Nader foul personal (1 PF) (Langford 2freethrow),"[1627846, 1629641]",1610612760.0,OKC,shooting,,,Nader,A. Nader,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Langford,1629641.0,,,
