actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,subsInPlayerName,subsInPersonId,assistPlayerName,assistPersonId,assistTotal,blockPlayerName,blockPersonId,blockTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,value
16,PT11M09.00S,2020-02-27T03:42:28.6Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,2,0,2020-02-27T03:42:31Z,160000,,[BOS] Theis offensive rebound (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,
17,PT11M09.00S,2020-02-27T03:42:28.7Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",1628464,95.0,50.0,1610612738,2,2,2020-02-27T03:42:28Z,170000,right,[BOS] Theis dunk: Made (2 PTS),[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,,,,,,: Made,2.0,0.0,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2020-02-27T03:42:46.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201144,15.193823915900131,38.549325980392155,1610612762,2,2,2020-02-27T03:42:51Z,180000,left,[UTA] Conley jumpshot: Missed,[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,,,,,,: Missed,,11.16,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2020-02-27T03:42:50.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,2,2020-02-27T03:42:51Z,190000,,[BOS] Brown defensive rebound (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M37.00S,2020-02-27T03:43:01.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,92.59198423127464,36.58854166666667,1610612738,2,4,2020-02-27T03:43:07Z,200000,right,[BOS] Tatum jumpshot: Made (2 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,: Made,2.0,7.08,,,,,,,,,,,,,,,,,
21,PT10M17.00S,2020-02-27T03:43:21.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628378,20.18725361366623,49.333639705882355,1610612762,2,4,2020-02-27T03:43:36Z,210000,left,[UTA] Mitchell jumpshot: Missed,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,,,: Missed,,14.28,,,,,,,,,,,,,,,,,
22,PT10M13.00S,2020-02-27T03:43:25.5Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,4,2020-02-27T03:43:26Z,220000,,[BOS] Hayward defensive rebound (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M10.00S,2020-02-27T03:43:27.8Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,73.80091984231275,13.794424019607842,1610612738,2,4,2020-02-27T03:43:45Z,230000,right,[BOS] Smart runningpullup 3pt jumpshot: Missed,[203935],1610612738.0,BOS,runningpullup,,,Smart,M. Smart,,,,,,,,,,: Missed,,26.92,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2020-02-27T03:43:31.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,2,4,2020-02-27T03:43:34Z,240000,,[UTA] Mitchell defensive rebound (Off:0 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT10M00.00S,2020-02-27T03:43:37.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202711,30.436925098554536,76.04932598039215,1610612762,2,4,2020-02-27T03:43:45Z,260000,left,[UTA] Bogdanovic 3pt jumpshot: Missed,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,: Missed,,27.23,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2020-02-27T03:43:39.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,4,2020-02-27T03:43:45Z,270000,,[BOS] Hayward defensive rebound (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT09M47.00S,2020-02-27T03:43:51.0Z,1,REGULAR,2pt,hook,['pointsinthepaint'],203935,88.64980289093299,48.10814950980392,1610612738,2,4,2020-02-27T03:43:56Z,280000,right,[BOS] Smart hook: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,: Missed,,6.05,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2020-02-27T03:43:55.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,2,4,2020-02-27T03:43:56Z,290000,,[BOS] Theis offensive rebound (Off:2 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,28.0,3.0,1.0,2.0,,,,,,,,,,,,,
30,PT09M43.00S,2020-02-27T03:43:56.6Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612738,2,4,2020-02-27T03:44:06Z,300000,,[UTA] Mitchell foul personal (1 PF) (Theis 2freethrow),"[1628378, 1628464]",1610612762.0,UTA,shooting,,,Mitchell,D. Mitchell,,,,,202053.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
32,PT09M43.00S,2020-02-27T03:44:23.8Z,1,REGULAR,freethrow,1of2,['2ndchance'],1628464,,,1610612738,2,5,2020-02-27T03:44:23Z,320000,,[BOS] Theis freethrow 1of2: Made (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,: Made,3.0,,,,,,,,,,,,,,,,,,
33,PT09M43.00S,2020-02-27T03:44:39.3Z,1,REGULAR,freethrow,2of2,['2ndchance'],1628464,,,1610612738,2,6,2020-02-27T03:44:39Z,330000,,[BOS] Theis freethrow 2of2: Made (4 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,: Made,4.0,,,,,,,,,,,,,,,,,,
34,PT09M23.00S,2020-02-27T03:45:02.6Z,1,REGULAR,3pt,jumpshot,[],201144,28.597240473061763,74.08854166666666,1610612762,2,6,2020-02-27T03:45:08Z,340000,left,[UTA] Conley 3pt jumpshot: Missed,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,: Missed,,25.24,,,,,,,,,,,,,,,,,
35,PT09M18.00S,2020-02-27T03:45:07.6Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,2,6,2020-02-27T03:45:08Z,350000,,[UTA] Gobert offensive rebound (Off:1 Def:0),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,,
36,PT09M18.00S,2020-02-27T03:45:07.4Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",203497,5.0,50.0,1610612762,4,6,2020-02-27T03:45:07Z,360000,left,[UTA] Gobert dunk: Made (2 PTS),[203497],1610612762.0,UTA,tip,,,Gobert,R. Gobert,,,,,,,,,,: Made,2.0,0.0,,,,,,,,,,,,,,,,,
37,PT09M05.00S,2020-02-27T03:45:22.5Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612738,4,6,2020-02-27T03:45:28Z,370000,,[UTA] Mitchell foul personal (2 PF) (Brown 2freethrow),"[1628378, 1627759]",1610612762.0,UTA,shooting,,,Mitchell,D. Mitchell,,,,,200834.0,2.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,,,
39,PT09M05.00S,2020-02-27T03:45:45.3Z,1,REGULAR,freethrow,1of2,[],1627759,,,1610612738,4,6,2020-02-27T03:45:45Z,390000,,[BOS] Brown freethrow 1of2: Missed,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,: Missed,,,,,,,,,,,,,,,,,,,
40,PT09M05.00S,2020-02-27T03:45:45.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,4,6,2020-02-27T03:45:45Z,400000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,
41,PT09M05.00S,2020-02-27T03:45:45.9Z,1,REGULAR,substitution,out,[],1628378,,,1610612738,4,6,2020-02-27T03:45:48Z,410000,,[UTA] substitution Mitchell replaced by Ingles,"[1628378, 204060]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,Ingles,204060.0,,,,,,,,,,,
43,PT09M05.00S,2020-02-27T03:46:01.3Z,1,REGULAR,freethrow,2of2,[],1627759,,,1610612738,4,7,2020-02-27T03:46:01Z,430000,,[BOS] Brown freethrow 2of2: Made (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,: Made,1.0,,,,,,,,,,,,,,,,,,
44,PT08M49.00S,2020-02-27T03:46:19.7Z,1,REGULAR,3pt,jumpshot,[],1626220,28.597240473061763,18.941482843137255,1610612762,4,7,2020-02-27T03:46:27Z,440000,left,[UTA] O'Neale 3pt jumpshot: Missed,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,: Missed,,27.08,,,,,,,,,,,,,,,,,
45,PT08M45.00S,2020-02-27T03:46:23.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,4,7,2020-02-27T03:46:27Z,450000,,[BOS] Smart defensive rebound (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT08M43.00S,2020-02-27T03:46:25.2Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1628369,92.59198423127464,47.372855392156865,1610612738,4,9,2020-02-27T03:46:34Z,460000,right,[BOS] Tatum dunk: Made (4 PTS) assist: Smart (1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,: Made,4.0,2.61,,,,,,,Smart,203935.0,1.0,,,,,,,,
48,PT08M32.00S,2020-02-27T03:46:40.3Z,1,REGULAR,foul,personal,[],1628464,,,1610612762,4,9,2020-02-27T03:46:42Z,480000,,[BOS] Theis foul personal (1 PF),"[1628464, 203497]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,202053.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
50,PT08M19.00S,2020-02-27T03:47:07.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202711,7.440867279894875,41.490502450980394,1610612762,4,9,2020-02-27T03:47:12Z,500000,left,[UTA] Bogdanovic layup: Missed,[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,: Missed,,4.83,,,,,,,,,,,,,,,,,
51,PT08M18.00S,2020-02-27T03:47:08.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,9,2020-02-27T03:47:12Z,510000,,[BOS] Tatum defensive rebound (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT08M12.00S,2020-02-27T03:47:14.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,89.70105124835742,53.50030637254902,1610612738,4,9,2020-02-27T03:47:18Z,520000,right,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,,,,,,: Missed,,5.28,,,,,,,,,,,,,,,,,
53,PT08M10.00S,2020-02-27T03:47:17.2Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,9,2020-02-27T03:47:17Z,530000,,[BOS] Brown offensive rebound (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,
54,PT08M08.00S,2020-02-27T03:47:19.5Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627759,93.11760840998686,95.90226715686273,1610612738,4,12,2020-02-27T03:47:23Z,540000,right,[BOS] Brown 3pt shot: Made (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,: Made,4.0,23.02,,,,,,,,,,,,,,,,,
55,PT07M41.00S,2020-02-27T03:47:46.1Z,1,REGULAR,2pt,jumpshot,[],1626220,17.296320630749015,10.363051470588236,1610612762,6,12,2020-02-27T03:47:52Z,550000,left,[UTA] O'Neale jumpshot: Made (4 PTS),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,: Made,4.0,22.94,,,,,,,,,,,,,,,,,
56,PT07M24.00S,2020-02-27T03:48:03.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.72339027595268,43.94148284313725,1610612738,6,12,2020-02-27T03:48:11Z,560000,right,[BOS] Tatum layup: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,: Missed,,3.71,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2020-02-27T03:48:06.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,12,2020-02-27T03:48:06Z,570000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,
58,PT07M22.00S,2020-02-27T03:48:07.7Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,6,12,2020-02-27T03:48:07Z,580000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M18.00S,2020-02-27T03:48:53.2Z,1,REGULAR,foul,personal,[],1626220,,,1610612738,6,12,2020-02-27T03:48:58Z,590000,,[UTA] O'Neale foul personal (1 PF),"[1626220, 1628369]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,200834.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2020-02-27T03:49:16.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628464,93.77463863337714,53.01011029411765,1610612738,6,12,2020-02-27T03:49:22Z,610000,right,[BOS] Theis layup: Missed Block: Gobert (1 BLK),"[1628464, 203497]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,,,,,,: Missed,,1.9,,,,,,,,,,Gobert,203497.0,1.0,,,,,
63,PT07M08.00S,2020-02-27T03:49:19.3Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,6,12,2020-02-27T03:49:22Z,630000,,[UTA] Ingles defensive rebound (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,
64,PT06M51.00S,2020-02-27T03:49:36.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201144,7.703679369250986,53.255208333333336,1610612762,6,12,2020-02-27T03:49:40Z,640000,left,[UTA] Conley layup: Missed,[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,,,,,,: Missed,,3.02,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2020-02-27T03:49:38.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,6,12,2020-02-27T03:49:40Z,650000,,[BOS] Theis defensive rebound (Off:2 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,64.0,4.0,2.0,2.0,,,,,,,,,,,,,
66,PT06M33.00S,2020-02-27T03:49:54.1Z,1,REGULAR,turnover,badpass,[],1628369,,,1610612738,6,12,2020-02-27T03:50:00Z,660000,,[BOS] Tatum badpass turnover (1 TO) Steal: Conley (1 STL),"[1628369, 201144]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Conley,201144.0,1.0,
68,PT06M33.00S,2020-02-27T03:49:58.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,6,12,2020-02-27T03:49:58Z,680000,,[UTA] timeout full,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2020-02-27T03:53:54.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],204060,15.719448094612352,95.16697303921569,1610612762,6,12,2020-02-27T03:54:00Z,690000,left,[UTA] Ingles 3pt jumpshot: Missed,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,: Missed,,24.73,,,,,,,,,,,,,,,,,
70,PT06M14.00S,2020-02-27T03:53:57.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,12,2020-02-27T03:54:00Z,700000,,[BOS] Brown defensive rebound (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,69.0,3.0,2.0,1.0,,,,,,,,,,,,,
71,PT06M01.00S,2020-02-27T03:54:10.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,87.99277266754271,42.96109068627451,1610612738,6,12,2020-02-27T03:54:16Z,710000,right,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,,,,,,: Missed,,7.47,,,,,,,,,,,,,,,,,
72,PT05M59.00S,2020-02-27T03:54:12.8Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,6,12,2020-02-27T03:54:16Z,720000,,[UTA] Bogdanovic defensive rebound (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,
73,PT05M52.00S,2020-02-27T03:54:20.2Z,1,REGULAR,turnover,badpass,[],202711,,,1610612762,6,12,2020-02-27T03:54:25Z,730000,,[UTA] Bogdanovic badpass turnover (1 TO) Steal: Smart (1 STL),"[202711, 203935]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,1.0,
75,PT05M50.00S,2020-02-27T03:54:25.0Z,1,REGULAR,foul,personal,[],201144,,,1610612738,6,12,2020-02-27T03:54:40Z,750000,,[UTA] Conley foul personal (1 PF),"[201144, 202330]",1610612762.0,UTA,take,,,Conley,M. Conley,,,,,202053.0,1.0,0.0,Hayward,202330.0,,,,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2020-02-27T03:54:57.6Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1627759,83.78777923784494,78.25520833333334,1610612738,6,12,2020-02-27T03:55:03Z,770000,right,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,: Missed,,17.63,,,,,,,,,,,,,,,,,
78,PT05M31.00S,2020-02-27T03:55:00.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,6,12,2020-02-27T03:55:03Z,780000,,[UTA] O'Neale defensive rebound (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,
79,PT05M14.00S,2020-02-27T03:55:18.2Z,1,REGULAR,3pt,jumpshot,[],204060,12.434296977660972,3.5003063725490198,1610612762,6,12,2020-02-27T03:55:23Z,790000,left,[UTA] Ingles stepback 3pt jumpshot: Missed,[204060],1610612762.0,UTA,stepback,,,Ingles,J. Ingles,,,,,,,,,,: Missed,,24.28,,,,,,,,,,,,,,,,,
80,PT05M10.00S,2020-02-27T03:55:22.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,12,2020-02-27T03:55:23Z,800000,,[BOS] Tatum defensive rebound (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,
81,PT05M07.00S,2020-02-27T03:55:25.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628369,93.51182654402102,54.72579656862745,1610612738,6,14,2020-02-27T03:55:31Z,810000,right,[BOS] Tatum layup: Made (6 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,,,: Made,6.0,2.74,,,,,,,,,,,,,,,,,
82,PT04M51.00S,2020-02-27T03:55:41.1Z,1,REGULAR,3pt,jumpshot,[],202711,10.200394218134035,2.7650122549019605,1610612762,6,14,2020-02-27T03:55:45Z,820000,left,[UTA] Bogdanovic 3pt jumpshot: Missed,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,: Missed,,24.12,,,,,,,,,,,,,,,,,
83,PT04M47.00S,2020-02-27T03:55:45.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,14,2020-02-27T03:55:45Z,830000,,[BOS] Tatum defensive rebound (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,,,,,,
84,PT04M46.00S,2020-02-27T03:55:48.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",204060,,,1610612738,6,14,2020-02-27T03:55:58Z,840000,,[UTA] Ingles foul personal (1 PF) (Tatum inpenalty),"[204060, 1628369]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,200834.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,,,
86,PT04M46.00S,2020-02-27T03:56:22.0Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,6,15,2020-02-27T03:56:52Z,860000,,[BOS] Tatum freethrow 1of2: Made (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,: Made,7.0,,,,,,,,,,,,,,,,,,
87,PT04M46.00S,2020-02-27T03:56:22.8Z,1,REGULAR,substitution,out,[],201144,,,1610612738,6,15,2020-02-27T03:56:29Z,870000,,[UTA] substitution Conley replaced by Clarkson,"[201144, 203903]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,Clarkson,203903.0,,,,,,,,,,,
88,PT04M46.00S,2020-02-27T03:56:22.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,6,15,2020-02-27T03:56:29Z,880000,,[BOS] substitution Brown replaced by Wanamaker,"[1627759, 202954]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,Wanamaker,202954.0,,,,,,,,,,,
91,PT04M46.00S,2020-02-27T03:56:22.0Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,6,15,2020-02-27T03:56:52Z,910000,,[BOS] Tatum freethrow 2of2: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,: Missed,,,,,,,,,,,,,,,,,,,
