actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,subsInPlayerName,subsInPersonId,assistPlayerName,assistPersonId,assistTotal,blockPlayerName,blockPersonId,blockTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,value
2,PT12M00.00S,2020-02-27T03:41:01.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-02-27T03:41:01Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-02-27T03:41:03.6Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,0,0,2020-02-27T03:41:03Z,40000,,Jump Ball: Gobert vs. Theis tip to Conley,"[201144, 203497, 1628464]",1610612762.0,UTA,startperiod,Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2020-02-27T03:41:13.4Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612762,0,0,2020-02-27T03:41:20Z,70000,,[BOS] Hayward foul personal (1 PF) (O'Neale 2freethrow),"[202330, 1626220]",1610612738.0,BOS,shooting,,,Hayward,G. Hayward,,,,,202053.0,1.0,0.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,,,,,
9,PT11M49.00S,2020-02-27T03:41:33.9Z,1,REGULAR,freethrow,1of2,[],1626220,,,1610612762,1,0,2020-02-27T03:41:33Z,90000,,[UTA] O'Neale freethrow 1of2: Made (1 PTS),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,: Made,1.0,,,,,,,,,,,,,,,,,,
10,PT11M49.00S,2020-02-27T03:41:46.8Z,1,REGULAR,freethrow,2of2,[],1626220,,,1610612762,2,0,2020-02-27T03:41:46Z,100000,,[UTA] O'Neale freethrow 2of2: Made (2 PTS),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,: Made,2.0,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2020-02-27T03:42:06.0Z,1,REGULAR,3pt,jumpshot,[],1628464,68.67608409986859,36.833639705882355,1610612738,2,0,2020-02-27T03:42:13Z,110000,right,[BOS] Theis 3pt jumpshot: Missed,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,: Missed,,25.6,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2020-02-27T03:42:09.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,2,0,2020-02-27T03:42:14Z,120000,,[UTA] Mitchell defensive rebound (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M23.00S,2020-02-27T03:42:14.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628378,10.85742444152431,40.510110294117645,1610612762,2,0,2020-02-27T03:42:21Z,130000,left,[UTA] Mitchell jumpshot: Missed,[1628378],1610612762.0,UTA,fadeaway,,,Mitchell,D. Mitchell,,,,,,,,,,: Missed,,7.27,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2020-02-27T03:42:16.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,0,2020-02-27T03:42:21Z,140000,,[BOS] Theis defensive rebound (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT11M13.00S,2020-02-27T03:42:24.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,92.59198423127464,54.48069852941176,1610612738,2,0,2020-02-27T03:42:31Z,150000,right,[BOS] Brown layup: Missed,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,: Missed,,3.18,,,,,,,,,,,,,,,,,
