actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
80,PT05M44.00S,2020-01-17T01:28:41.9Z,1,REGULAR,2pt,jumpshot,[],203114,86.02168199737189,28.990502450980394,1610612749,22,8,2020-01-17T01:28:48Z,800000,-105.0,79.0,1,right,K. Middleton 13' jumpshot (5 PTS),[203114],1610612749.0,MIL,turnaroundfadeaway,,,Middleton,K. Middleton,,,,,13.47,Made,,,,,,,,,,,,5.0,,,,,,,
81,PT05M30.00S,2020-01-17T01:29:00.5Z,1,REGULAR,foul,personal,['3freethrow'],203507,,,1610612738,22,8,2020-01-17T01:29:26Z,810000,,,0,,G. Antetokounmpo FOUL personal (1 PF) (Smart 3freethrow),"[203507, 203935]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,2534.0,1.0,0.0,Smart,203935.0,,,,,,,,
83,PT05M30.00S,2020-01-17T01:29:28.1Z,1,REGULAR,freethrow,1of3,[],203935,,,1610612738,22,9,2020-01-17T01:29:28Z,830000,,,0,,M. Smart freethrow 1of3 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
84,PT05M30.00S,2020-01-17T01:29:38.5Z,1,REGULAR,freethrow,2of3,[],203935,,,1610612738,22,10,2020-01-17T01:29:38Z,840000,,,0,,M. Smart freethrow 2of3 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
85,PT05M30.00S,2020-01-17T01:29:40.1Z,1,REGULAR,substitution,out,[],203507,,,1610612738,22,10,2020-01-17T01:29:46Z,850000,,,0,,substitution out Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M30.00S,2020-01-17T01:29:40.1Z,1,REGULAR,substitution,in,[],101141,,,1610612738,22,10,2020-01-17T01:29:46Z,860000,,,0,,substitution in Ilyasova,[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M30.00S,2020-01-17T01:29:55.7Z,1,REGULAR,freethrow,3of3,[],203935,,,1610612738,22,11,2020-01-17T01:29:55Z,870000,,,0,,M. Smart freethrow 3of3 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,,,,,,3.0,,,,,,,
88,PT05M16.00S,2020-01-17T01:30:12.4Z,1,REGULAR,3pt,jumpshot,[],1628978,90.3580814717477,4.725796568627451,1610612749,22,11,2020-01-17T01:30:17Z,880000,-226.0,38.0,1,right,MISS D. DiVincenzo 23' 3PT,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,23.06,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M12.00S,2020-01-17T01:30:16.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,22,11,2020-01-17T01:35:50Z,890000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,
90,PT05M01.00S,2020-01-17T01:30:32.4Z,1,REGULAR,foul,personal,[],1628978,,,1610612738,22,11,2020-01-17T01:30:41Z,900000,,,0,,D. DiVincenzo FOUL personal (1 PF),"[1628978, 202689]",1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,202037.0,1.0,0.0,Walker,202689.0,,,,,,,,
92,PT05M01.00S,2020-01-17T01:30:41.6Z,1,REGULAR,substitution,out,[],202339,,,1610612738,22,11,2020-01-17T01:30:47Z,920000,,,0,,substitution out Bledsoe,[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M01.00S,2020-01-17T01:30:41.6Z,1,REGULAR,substitution,in,[],201588,,,1610612738,22,11,2020-01-17T01:30:47Z,930000,,,0,,substitution in Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M47.00S,2020-01-17T01:31:05.6Z,1,REGULAR,2pt,jumpshot,[],1628369,21.107095926412615,55.21599264705882,1610612738,22,11,2020-01-17T01:31:18Z,940000,-26.0,146.0,1,left,MISS J. Tatum 15' jumpshot,[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,15.36,Missed,,,,,,,,,,,,,,,,,,,
95,PT04M45.00S,2020-01-17T01:31:07.6Z,1,REGULAR,rebound,defensive,[],101141,,,1610612749,22,11,2020-01-17T01:31:18Z,950000,,,0,,E. Ilyasova REBOUND (Off:0 Def:1),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,
97,PT04M40.00S,2020-01-17T01:31:19.6Z,1,REGULAR,foul,offensive,[],201588,,,1610612749,22,11,2020-01-17T01:34:19Z,960000,,,0,,G. Hill FOUL offensive (1 PF),"[201588, 202689]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,203591.0,1.0,0.0,Walker,202689.0,,,,,,,,
99,PT04M40.00S,2020-01-17T01:31:19.6Z,1,REGULAR,turnover,offensivefoul,[],201588,,,1610612749,22,11,2020-01-17T01:31:19Z,980000,,,0,,G. Hill TURNOVER offensivefoul (1 TOV),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,203591.0,,,,,,1.0,,,,,,
100,PT04M40.00S,2020-01-17T01:31:29.0Z,1,REGULAR,substitution,out,[],201572,,,1610612738,22,11,2020-01-17T01:31:41Z,990000,,,0,,substitution out Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M40.00S,2020-01-17T01:31:29.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,22,11,2020-01-17T01:31:41Z,1000000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M40.00S,2020-01-17T01:31:29.0Z,1,REGULAR,substitution,in,[],201577,,,1610612738,22,11,2020-01-17T01:31:41Z,1010000,,,0,,substitution in Lopez,[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M40.00S,2020-01-17T01:31:29.0Z,1,REGULAR,substitution,in,[],202683,,,1610612738,22,11,2020-01-17T01:31:41Z,1020000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M25.00S,2020-01-17T01:32:00.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628369,7.178055190538765,51.53952205882353,1610612738,22,13,2020-01-17T01:32:04Z,1030000,-8.0,15.0,1,left,J. Tatum layup (6 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.19,Made,,,,,,,,,,,,6.0,,,,,,,
105,PT04M12.00S,2020-01-17T01:32:13.7Z,1,REGULAR,2pt,hook,['pointsinthepaint'],201577,90.75229960578186,63.30422794117647,1610612749,22,13,2020-01-17T01:32:18Z,1040000,67.0,34.0,1,right,MISS R. Lopez 8' hook,[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,7.76,Missed,,,,,,,,,,,,,,,,,,,
106,PT04M09.00S,2020-01-17T01:32:16.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,22,13,2020-01-17T01:32:18Z,1050000,,,0,,K. Walker REBOUND (Off:1 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,105.0,2.0,1.0,1.0,,,,,,,,,,,,,
107,PT04M04.00S,2020-01-17T01:32:21.6Z,1,REGULAR,3pt,jumpshot,[],203935,35.8245729303548,28.745404411764707,1610612738,22,13,2020-01-17T01:32:32Z,1060000,106.0,284.0,1,left,MISS M. Smart 31' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,30.87,Missed,,,,,,,,,,,,,,,,,,,
108,PT04M00.00S,2020-01-17T01:32:25.6Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612738,22,13,2020-01-17T01:38:42Z,1070000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,107.0,1.0,0.0,1.0,,,,,,,,,,,,,
109,PT04M00.00S,2020-01-17T01:32:28.2Z,1,REGULAR,2pt,dunk,"['2ndchance', 'pointsinthepaint']",1629750,5.0,50.0,1610612738,22,13,2020-01-17T01:37:48Z,1080000,0.0,-6.0,1,left,MISS J. Green dunk,[1629750],1610612738.0,BOS,tip,,,Green,J. Green,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
110,PT03M58.00S,2020-01-17T01:32:30.2Z,1,REGULAR,rebound,defensive,[],201577,,,1610612749,22,13,2020-01-17T01:44:31Z,1090000,,,0,,R. Lopez REBOUND (Off:0 Def:1),[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,,,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,
111,PT03M48.00S,2020-01-17T01:32:37.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201577,90.3580814717477,51.78462009803921,1610612749,22,13,2020-01-17T01:34:52Z,1100000,9.0,38.0,1,right,MISS R. Lopez layup,[201577],1610612749.0,MIL,cutting,,,Lopez,R. Lopez,,,,,4.45,Missed,,,,,,,,,,,,,,,,,,,
112,PT03M44.00S,2020-01-17T01:32:41.8Z,1,REGULAR,rebound,offensive,[],1628978,,,1610612749,22,13,2020-01-17T01:35:17Z,1110000,,,0,,D. DiVincenzo REBOUND (Off:1 Def:0),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,111.0,1.0,0.0,1.0,,,,,,,,,,,,,
113,PT03M44.00S,2020-01-17T01:32:40.9Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1628978,95.0,50.0,1610612749,22,13,2020-01-17T01:35:07Z,1120000,0.0,-6.0,1,right,MISS D. DiVincenzo layup,[1628978],1610612749.0,MIL,tip,,,DiVincenzo,D. DiVincenzo,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
114,PT03M42.00S,2020-01-17T01:32:42.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,22,13,2020-01-17T01:33:23Z,1130000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,
115,PT03M40.00S,2020-01-17T01:32:45.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203935,7.835085413929041,48.84344362745098,1610612738,22,13,2020-01-17T01:32:51Z,1140000,6.0,21.0,1,left,MISS M. Smart layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,,
116,PT03M37.00S,2020-01-17T01:32:47.8Z,1,REGULAR,rebound,defensive,[],101141,,,1610612749,22,13,2020-01-17T01:32:47Z,1150000,,,0,,E. Ilyasova REBOUND (Off:0 Def:2),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,115.0,2.0,2.0,0.0,,,,,,,,,,,,,
117,PT03M33.00S,2020-01-17T01:32:57.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612749,22,13,2020-01-17T01:33:21Z,1160000,,,0,,M. Smart FOUL personal (1 PF) (Ilyasova inpenalty),"[203935, 101141]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,2534.0,1.0,0.0,Ilyasova,101141.0,,,,,,,,
119,PT03M33.00S,2020-01-17T01:33:28.0Z,1,REGULAR,freethrow,1of2,[],101141,,,1610612749,23,13,2020-01-17T01:33:28Z,1180000,,,0,,E. Ilyasova freethrow 1of2 (1 PTS),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
120,PT03M33.00S,2020-01-17T01:33:29.7Z,1,REGULAR,substitution,out,[],203114,,,1610612749,23,13,2020-01-17T01:33:37Z,1190000,,,0,,substitution out Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M33.00S,2020-01-17T01:33:29.7Z,1,REGULAR,substitution,out,[],202689,,,1610612749,23,13,2020-01-17T01:33:37Z,1200000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M33.00S,2020-01-17T01:33:29.7Z,1,REGULAR,substitution,in,[],2594,,,1610612749,23,13,2020-01-17T01:33:37Z,1210000,,,0,,substitution in Korver,[2594],1610612749.0,MIL,,,,Korver,K. Korver,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M33.00S,2020-01-17T01:33:29.7Z,1,REGULAR,substitution,in,[],202954,,,1610612749,23,13,2020-01-17T01:33:37Z,1220000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M33.00S,2020-01-17T01:33:45.5Z,1,REGULAR,freethrow,2of2,[],101141,,,1610612749,24,13,2020-01-17T01:33:45Z,1230000,,,0,,E. Ilyasova freethrow 2of2 (2 PTS),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
125,PT03M20.00S,2020-01-17T01:34:00.2Z,1,REGULAR,3pt,jumpshot,[],1628369,30.436925098554536,74.08854166666666,1610612738,24,13,2020-01-17T01:34:05Z,1240000,-120.0,234.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,,
126,PT03M20.00S,2020-01-17T01:34:00.2Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,24,13,2020-01-17T01:34:05Z,1250000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,
127,PT03M11.00S,2020-01-17T01:34:09.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",201588,92.59198423127464,52.27481617647059,1610612749,26,13,2020-01-17T01:34:15Z,1260000,11.0,17.0,1,right,G. Hill layup (2 PTS),[201588],1610612749.0,MIL,running,,,Hill,G. Hill,,,,,2.53,Made,,,,,,,,,,,,2.0,,,,,,,
128,PT03M05.00S,2020-01-17T01:34:23.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,26,13,2020-01-17T01:34:23Z,1270000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M49.00S,2020-01-17T01:38:08.7Z,1,REGULAR,3pt,jumpshot,[],203935,29.911300919842315,75.55912990196079,1610612738,26,16,2020-01-17T01:38:14Z,1280000,-128.0,229.0,1,left,M. Smart 27' 3PT  (6 PTS),[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,26.68,Made,,,,,,,,,,,,6.0,,,,,,,
130,PT02M32.00S,2020-01-17T01:38:26.2Z,1,REGULAR,2pt,hook,['pointsinthepaint'],201577,86.02168199737189,46.392463235294116,1610612749,26,16,2020-01-17T01:38:29Z,1290000,-18.0,79.0,1,right,MISS R. Lopez 9' hook Blocked,"[201577, 202683]",1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,8.63,Missed,Kanter,202683.0,,,,,,,,,,,,,,,,,
131,PT02M32.00S,2020-01-17T01:38:26.2Z,1,REGULAR,block,,[],202683,,,1610612749,26,16,2020-01-17T01:38:29Z,1300000,,,0,,E. Kanter BLOCK (1 BLK),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M29.00S,2020-01-17T01:38:29.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,26,16,2020-01-17T01:38:29Z,1310000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,130.0,3.0,3.0,0.0,,,,,,,,,,,,,
133,PT02M26.00S,2020-01-17T01:38:34.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,8.886333771353483,45.90226715686275,1610612738,26,16,2020-01-17T01:38:40Z,1320000,20.0,31.0,1,left,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.19,Missed,,,,,,,,,,,,,,,,,,,
135,PT02M26.00S,2020-01-17T01:38:34.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,26,16,2020-01-17T01:38:40Z,1340000,,,0,,Team defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,
136,PT02M26.00S,2020-01-17T01:38:42.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612749,26,16,2020-01-17T01:38:42Z,1350000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M11.00S,2020-01-17T01:38:56.6Z,1,REGULAR,3pt,jumpshot,[],2594,68.41327201051249,28.745404411764707,1610612749,29,16,2020-01-17T01:39:01Z,1360000,-106.0,244.0,1,right,K. Korver 27' 3PT  (3 PTS) (R. Lopez 1 AST),"[2594, 201577]",1610612749.0,MIL,,,,Korver,K. Korver,,,,,27.16,Made,,,,,,,,,,,,3.0,,,,R. Lopez,201577.0,1.0,
139,PT01M52.00S,2020-01-17T01:39:16.1Z,1,REGULAR,2pt,jumpshot,[],202954,14.668199737187912,72.12775735294117,1610612738,29,18,2020-01-17T01:39:21Z,1380000,-111.0,85.0,1,left,B. Wanamaker 14' jumpshot (2 PTS),[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,14.32,Made,,,,,,,,,,,,2.0,,,,,,,
140,PT01M34.00S,2020-01-17T01:39:34.2Z,1,REGULAR,2pt,jumpshot,[],101141,93.9060446780552,69.43167892156863,1610612749,31,18,2020-01-17T01:39:37Z,1390000,97.0,5.0,1,right,E. Ilyasova 10' jumpshot (4 PTS) (D. DiVincenzo 1 AST),"[101141, 1628978]",1610612749.0,MIL,turnaround,,,Ilyasova,E. Ilyasova,,,,,9.77,Made,,,,,,,,,,,,4.0,,,,D. DiVincenzo,1628978.0,1.0,
142,PT01M18.00S,2020-01-17T01:39:50.0Z,1,REGULAR,3pt,jumpshot,[],202954,33.85348226018397,63.05912990196079,1610612738,31,18,2020-01-17T01:39:55Z,1410000,-65.0,266.0,1,left,MISS B. Wanamaker 28' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,27.9,Missed,,,,,,,,,,,,,,,,,,,
143,PT01M15.00S,2020-01-17T01:39:53.0Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612749,31,18,2020-01-17T01:39:55Z,1420000,,,0,,D. DiVincenzo REBOUND (Off:1 Def:1),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,142.0,2.0,1.0,1.0,,,,,,,,,,,,,
144,PT01M08.00S,2020-01-17T01:40:00.7Z,1,REGULAR,2pt,jumpshot,[],1628978,76.16622864651774,44.921875,1610612749,33,18,2020-01-17T01:40:05Z,1430000,-25.0,172.0,1,right,D. DiVincenzo 18' jumpshot (2 PTS),[1628978],1610612749.0,MIL,pullup,,,DiVincenzo,D. DiVincenzo,,,,,17.88,Made,,,,,,,,,,,,2.0,,,,,,,
145,PT00M52.30S,2020-01-17T01:40:16.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629750,9.806176084099869,48.84344362745098,1610612738,33,20,2020-01-17T01:40:22Z,1440000,6.0,40.0,1,left,J. Green layup (2 PTS),[1629750],1610612738.0,BOS,driving,,,Green,J. Green,,,,,4.56,Made,,,,,,,,,,,,2.0,,,,,,,
146,PT00M46.00S,2020-01-17T01:40:24.9Z,1,REGULAR,3pt,jumpshot,[],1628978,68.01905387647832,67.71599264705883,1610612749,36,20,2020-01-17T01:40:30Z,1450000,89.0,248.0,1,right,D. DiVincenzo 27' 3PT  (5 PTS),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,26.86,Made,,,,,,,,,,,,5.0,,,,,,,
147,PT00M32.30S,2020-01-17T01:40:46.4Z,1,REGULAR,3pt,jumpshot,[],1628369,34.247700394218136,46.88265931372549,1610612738,36,20,2020-01-17T01:40:50Z,1460000,16.0,269.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.53,Missed,,,,,,,,,,,,,,,,,,,
148,PT00M31.60S,2020-01-17T01:40:47.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,36,20,2020-01-17T01:40:50Z,1470000,,,0,,Team defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,
149,PT00M31.60S,2020-01-17T01:40:52.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612749,36,20,2020-01-17T01:40:52Z,1480000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M31.60S,2020-01-17T01:40:55.8Z,1,REGULAR,substitution,out,[],101141,,,1610612749,36,20,2020-01-17T01:41:10Z,1490000,,,0,,substitution out Ilyasova,[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M31.60S,2020-01-17T01:40:55.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612749,36,20,2020-01-17T01:41:10Z,1500000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M31.60S,2020-01-17T01:40:55.8Z,1,REGULAR,substitution,out,[],203935,,,1610612749,36,20,2020-01-17T01:41:10Z,1510000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M31.60S,2020-01-17T01:40:55.8Z,1,REGULAR,substitution,in,[],203507,,,1610612749,36,20,2020-01-17T01:41:10Z,1520000,,,0,,substitution in Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M31.60S,2020-01-17T01:40:55.8Z,1,REGULAR,substitution,in,[],202330,,,1610612749,36,20,2020-01-17T01:41:10Z,1530000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M31.60S,2020-01-17T01:40:55.8Z,1,REGULAR,substitution,in,[],1628400,,,1610612749,36,20,2020-01-17T01:41:10Z,1540000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M16.20S,2020-01-17T01:41:18.6Z,1,REGULAR,turnover,badpass,[],203507,,,1610612749,36,20,2020-01-17T01:41:24Z,1550000,,,0,,G. Antetokounmpo TURNOVER badpass (1 TOV) Stolen,"[203507, 1629750]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,1.0,Green,1629750.0,,,,
157,PT00M16.20S,2020-01-17T01:41:18.6Z,1,REGULAR,steal,,[],1629750,,,1610612738,36,20,2020-01-17T01:41:22Z,1560000,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M00.00S,2020-01-17T01:41:36.4Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",202954,11.514454664914586,62.07873774509803,1610612738,36,20,2020-01-17T01:41:41Z,1570000,-60.0,56.0,1,left,MISS B. Wanamaker 9' jumpshot,[202954],1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,8.6,Missed,,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2020-01-17T01:41:38.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,36,20,2020-01-17T01:41:38Z,1580000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,
160,PT00M00.00S,2020-01-17T01:41:58.2Z,1,REGULAR,period,end,[],0,,,1610612738,36,20,2020-01-17T01:41:58Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2020-01-17T01:44:19.0Z,2,REGULAR,substitution,out,['startperiod'],1628978,,,1610612738,36,20,2020-01-17T01:45:06Z,1600000,,,0,,substitution out DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2020-01-17T01:44:19.0Z,2,REGULAR,substitution,out,['startperiod'],201577,,,1610612738,36,20,2020-01-17T01:45:06Z,1610000,,,0,,substitution out Lopez,[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2020-01-17T01:44:19.0Z,2,REGULAR,substitution,in,['startperiod'],202339,,,1610612738,36,20,2020-01-17T01:45:06Z,1620000,,,0,,substitution in Bledsoe,[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2020-01-17T01:44:19.0Z,2,REGULAR,substitution,in,['startperiod'],201572,,,1610612738,36,20,2020-01-17T01:45:06Z,1630000,,,0,,substitution in Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2020-01-17T01:45:14.5Z,2,REGULAR,period,start,[],0,,,1610612738,36,20,2020-01-17T01:45:14Z,1640000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M46.00S,2020-01-17T01:45:28.4Z,2,REGULAR,3pt,jumpshot,[],1628400,30.436925098554536,74.57873774509804,1610612738,36,20,2020-01-17T01:45:38Z,1650000,-123.0,234.0,1,left,MISS S. Ojeleye 27' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,,
