actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
21,PT10M25.00S,2020-01-17T01:18:14.9Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612749,4,2,2020-01-17T01:18:25Z,210000,,,0,,K. Walker FOUL personal (1 PF) (Bledsoe 2freethrow),"[202689, 202339]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,203591.0,1.0,0.0,Bledsoe,202339.0,,,,,,,,
23,PT10M25.00S,2020-01-17T01:18:35.7Z,1,REGULAR,freethrow,1of2,['fastbreak'],202339,,,1610612749,5,2,2020-01-17T01:18:35Z,230000,,,0,,E. Bledsoe freethrow 1of2 (1 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
24,PT10M25.00S,2020-01-17T01:18:47.8Z,1,REGULAR,freethrow,2of2,['fastbreak'],202339,,,1610612749,6,2,2020-01-17T01:18:47Z,240000,,,0,,E. Bledsoe freethrow 2of2 (2 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
25,PT10M08.00S,2020-01-17T01:19:06.5Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,6,2,2020-01-17T01:19:10Z,250000,,,0,,G. Hayward TURNOVER badpass (1 TOV) Stolen,"[202330, 202339]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,1.0,Bledsoe,202339.0,,,,
26,PT10M08.00S,2020-01-17T01:19:06.5Z,1,REGULAR,steal,,[],202339,,,1610612749,6,2,2020-01-17T01:19:08Z,260000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M00.00S,2020-01-17T01:19:14.6Z,1,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",201572,68.15045992115637,24.333639705882355,1610612749,9,2,2020-01-17T01:19:58Z,270000,-128.0,247.0,1,right,B. Lopez 28' 3PT  (3 PTS) (E. Bledsoe 1 AST),"[201572, 202339]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,28.31,Made,,,,,,,,,,,,3.0,,,,E. Bledsoe,202339.0,1.0,
29,PT09M41.00S,2020-01-17T01:19:33.1Z,1,REGULAR,3pt,jumpshot,[],202330,29.517082785808146,78.25520833333334,1610612738,9,2,2020-01-17T01:19:40Z,290000,-141.0,225.0,1,left,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.04,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M38.00S,2020-01-17T01:19:36.1Z,1,REGULAR,rebound,defensive,[],202339,,,1610612749,9,2,2020-01-17T01:19:40Z,300000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M34.00S,2020-01-17T01:19:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612749,9,2,2020-01-17T01:20:03Z,310000,,,0,,D. Theis FOUL personal (1 PF) (Antetokounmpo 2freethrow),"[1628464, 203507]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,2534.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
33,PT09M34.00S,2020-01-17T01:20:15.2Z,1,REGULAR,freethrow,1of2,['fastbreak'],203507,,,1610612749,9,2,2020-01-17T01:20:39Z,330000,,,0,,MISS G. Antetokounmpo freethrow 1of2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M34.00S,2020-01-17T01:20:15.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,9,2,2020-01-17T01:20:39Z,340000,,,0,,Team offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,
35,PT09M34.00S,2020-01-17T01:20:15.2Z,1,REGULAR,freethrow,2of2,['fastbreak'],203507,,,1610612749,9,2,2020-01-17T01:20:39Z,350000,,,0,,MISS G. Antetokounmpo freethrow 2of2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M33.00S,2020-01-17T01:20:16.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,9,2,2020-01-17T01:20:39Z,360000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,
37,PT09M33.00S,2020-01-17T01:20:40.1Z,1,REGULAR,foul,personal,[],201572,,,1610612738,9,2,2020-01-17T01:20:57Z,370000,,,0,,B. Lopez FOUL personal (1 PF),"[201572, 1628464]",1610612749.0,MIL,looseball,,,Lopez,B. Lopez,,,,,,,,,,,,,203591.0,1.0,0.0,Theis,1628464.0,,,,,,,,
39,PT09M17.00S,2020-01-17T01:21:02.2Z,1,REGULAR,2pt,jumpshot,[],1628369,25.04927726675427,61.588541666666664,1610612738,9,2,2020-01-17T01:21:06Z,390000,-58.0,183.0,1,left,MISS J. Tatum 20' jumpshot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,19.72,Missed,,,,,,,,,,,,,,,,,,,
40,PT09M14.00S,2020-01-17T01:21:05.2Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,9,2,2020-01-17T01:21:06Z,400000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,
41,PT09M11.00S,2020-01-17T01:21:08.3Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fastbreak']",202339,86.28449408672799,48.353247549019606,1610612749,9,2,2020-01-17T01:21:14Z,410000,-8.0,76.0,1,right,MISS E. Bledsoe 8' jumpshot Blocked,"[202339, 1628464]",1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,8.23,Missed,Theis,1628464.0,,,,,,,,,,,,,,,,,
42,PT09M11.00S,2020-01-17T01:21:08.3Z,1,REGULAR,block,,[],1628464,,,1610612749,9,2,2020-01-17T01:21:11Z,420000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M08.00S,2020-01-17T01:21:11.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,2,2020-01-17T01:21:14Z,430000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,
