actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT10M00.00S,2020-07-24T21:06:55.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-07-24T21:06:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT09M56.00S,2020-07-24T21:06:58.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612760,0,0,2020-07-24T21:06:58Z,40000,,,0,,Jump Ball S. Adams vs. D. Theis: Tip to C. Paul,"[101108, 203500, 1628464]",1610612760.0,OKC,startperiod,C. Paul,101108.0,Paul,C. Paul,Adams,203500.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT09M47.00S,2020-07-24T21:07:06.8Z,1,REGULAR,3pt,jumpshot,[],203500,8.09789750328515,3.7454044117647056,1610612760,0,0,2020-07-24T21:07:12Z,70000,231.0,24.0,1,left,MISS S. Adams 23' 3PT,[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,,
8,PT09M43.00S,2020-07-24T21:07:10.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2020-07-24T21:07:12Z,80000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT09M22.00S,2020-07-24T21:07:31.6Z,1,REGULAR,2pt,jumpshot,[],1627759,87.86136662286465,79.23560049019608,1610612738,2,0,2020-07-24T21:07:38Z,90000,146.0,62.0,1,right,J. Brown 16' jumpshot (2 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,16.09,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT09M10.00S,2020-07-24T21:07:45.0Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],203500,6.438896189224705,51.5625,1610612760,2,2,2020-07-24T21:07:57Z,100000,-8.0,8.0,1,left,S. Adams dunk (2 PTS) (D. Gallinari 1 AST),"[203500, 201568]",1610612760.0,OKC,cutting,,,Adams,S. Adams,,,,,1.56,Made,,,,,2.0,D. Gallinari,201568.0,1.0,,,,,,,,,,,
12,PT08M56.00S,2020-07-24T21:07:58.3Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202330,94.1688567674113,48.10814950980392,1610612738,4,2,2020-07-24T21:08:04Z,120000,-9.0,2.0,1,right,G. Hayward dunk (2 PTS) (J. Tatum 1 AST),"[202330, 1628369]",1610612738.0,BOS,cutting,,,Hayward,G. Hayward,,,,,1.23,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
14,PT08M49.00S,2020-07-24T21:08:07.7Z,1,REGULAR,foul,personal,[],1627759,,,1610612760,4,2,2020-07-24T21:08:16Z,140000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 1628983]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,201640.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
16,PT08M36.00S,2020-07-24T21:08:36.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628983,5.338370565045992,48.10814950980392,1610612760,4,4,2020-07-24T21:08:41Z,160000,9.0,-2.0,1,left,S. Gilgeous-Alexander layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1.0,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT08M18.00S,2020-07-24T21:08:53.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.85479632063075,47.127757352941174,1610612738,4,4,2020-07-24T21:08:58Z,170000,-14.0,15.0,1,right,MISS J. Tatum layup Blocked,"[1628369, 203500]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.48,Missed,,,,,,,,,,,,,,Adams,203500.0,,,,
