actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
20,PT10M15.00S,2020-08-09T21:12:28.5Z,1,REGULAR,3pt,jumpshot,[],1628411,69.85873850197109,67.71599264705883,1610612753,2,3,2020-08-09T21:12:32Z,200000,89.0,231.0,1,right,MISS W. Iwundu 25' 3PT,[1628411],1610612753.0,ORL,,,,Iwundu,W. Iwundu,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2020-08-09T21:12:33.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,3,2020-08-09T21:12:32Z,210000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M03.00S,2020-08-09T21:12:45.8Z,1,REGULAR,foul,personal,[],201571,,,1610612738,2,3,2020-08-09T21:13:01Z,220000,,,0,,D. Augustin FOUL personal (1 PF),"[201571, 1627759]",1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Brown,1627759.0,,,
24,PT09M52.00S,2020-08-09T21:13:12.0Z,1,REGULAR,turnover,badpass,[],202689,,,1610612738,2,3,2020-08-09T21:13:17Z,240000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 201571]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,1.0,Augustin,201571.0
25,PT09M52.00S,2020-08-09T21:13:12.0Z,1,REGULAR,steal,,[],201571,,,1610612753,2,3,2020-08-09T21:13:13Z,250000,,,0,,D. Augustin STEAL (1 STL),[201571],1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2020-08-09T21:13:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612753,2,3,2020-08-09T21:13:26Z,260000,,,0,,J. Tatum FOUL personal (1 PF) (Ennis III 2freethrow),"[1628369, 203516]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Ennis III,203516.0,,,
28,PT09M48.00S,2020-08-09T21:13:43.6Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",203516,,,1610612753,2,4,2020-08-09T21:13:43Z,280000,,,0,,J. Ennis III freethrow 1of2 (1 PTS),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
29,PT09M48.00S,2020-08-09T21:13:56.9Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",203516,,,1610612753,2,5,2020-08-09T21:13:56Z,290000,,,0,,J. Ennis III freethrow 2of2 (2 PTS),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
30,PT09M40.00S,2020-08-09T21:14:11.9Z,1,REGULAR,foul,personal,[],203516,,,1610612738,2,5,2020-08-09T21:14:42Z,300000,,,0,,J. Ennis III FOUL personal (1 PF),"[203516, 1627759]",1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Brown,1627759.0,,,
32,PT09M30.00S,2020-08-09T21:14:33.5Z,1,REGULAR,2pt,jumpshot,[],1628369,4.02431011826544,16.245404411764707,1610612738,2,5,2020-08-09T21:14:38Z,320000,169.0,-15.0,1,left,MISS J. Tatum 17' jumpshot,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,16.91,Missed,,,,,,,,,,,,,,,,,,
33,PT09M27.00S,2020-08-09T21:14:36.5Z,1,REGULAR,rebound,defensive,[],203516,,,1610612753,2,5,2020-08-09T21:14:38Z,330000,,,0,,J. Ennis III REBOUND (Off:0 Def:3),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,32.0,3.0,3.0,0.0,,,,,,,,,,,,,,
34,PT09M20.00S,2020-08-09T21:14:43.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203516,95.6143232588699,45.90226715686275,1610612753,2,5,2020-08-09T21:14:48Z,340000,-20.0,-11.0,1,right,MISS J. Ennis III layup,[203516],1610612753.0,ORL,driving,,,Ennis III,J. Ennis III,,,,,2.13,Missed,,,,,,,,,,,,,,,,,,
35,PT09M19.00S,2020-08-09T21:14:44.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,5,2020-08-09T21:14:48Z,350000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT09M14.00S,2020-08-09T21:14:50.1Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",202330,6.389618922470433,51.049325980392155,1610612738,2,5,2020-08-09T21:16:05Z,360000,-5.0,8.0,1,left,MISS G. Hayward layup Blocked,"[202330, 1629109]",1610612738.0,BOS,reverse,,,Hayward,G. Hayward,,,,,1.41,Missed,,,,,,,,,Clark,1629109.0,,,,,,,,
37,PT09M14.00S,2020-08-09T21:14:50.1Z,1,REGULAR,block,,[],1629109,,,1610612738,2,5,2020-08-09T21:14:52Z,370000,,,0,,G. Clark BLOCK (1 BLK),[1629109],1610612753.0,ORL,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M10.00S,2020-08-09T21:14:54.1Z,1,REGULAR,rebound,offensive,[],202330,,,1610612738,2,5,2020-08-09T21:15:01Z,380000,,,0,,G. Hayward REBOUND (Off:1 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,
39,PT09M08.00S,2020-08-09T21:14:56.1Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",202330,6.915243101182654,49.333639705882355,1610612738,4,5,2020-08-09T21:19:24Z,390000,3.0,13.0,1,left,G. Hayward dunk (4 PTS),[202330],1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,1.83,Made,,,,,4.0,,,,,,,,,,,,,
40,PT08M51.00S,2020-08-09T21:15:13.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628411,94.30026281208936,50.314031862745104,1610612753,4,7,2020-08-09T21:15:18Z,400000,2.0,1.0,1,right,W. Iwundu layup (2 PTS) (D. Augustin 2 AST),"[1628411, 201571]",1610612753.0,ORL,driving,,,Iwundu,W. Iwundu,,,,,0.68,Made,,,,,2.0,D. Augustin,201571.0,2.0,,,,,,,,,,
42,PT08M38.00S,2020-08-09T21:15:27.9Z,1,REGULAR,turnover,traveling,[],202689,,,1610612738,4,7,2020-08-09T21:15:34Z,420000,,,0,,K. Walker TURNOVER traveling (2 TOV),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,2529.0,,,,,2.0,,
43,PT08M23.00S,2020-08-09T21:15:56.6Z,1,REGULAR,turnover,badpass,[],202696,,,1610612753,4,7,2020-08-09T21:16:01Z,430000,,,0,,N. Vucevic TURNOVER badpass (1 TOV) Stolen,"[202696, 1627759]",1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0
44,PT08M23.00S,2020-08-09T21:15:56.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,4,7,2020-08-09T21:15:58Z,440000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M07.00S,2020-08-09T21:16:12.8Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,20.18725361366623,61.09834558823529,1610612738,6,7,2020-08-09T21:16:17Z,450000,-55.0,137.0,1,left,J. Tatum 15' jumpshot (2 PTS) (G. Hayward 1 AST),"[1628369, 202330]",1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,15.32,Made,,,,,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,
47,PT07M50.00S,2020-08-09T21:16:29.2Z,1,REGULAR,2pt,jumpshot,[],202696,75.9526938239159,56.68275122549019,1610612753,6,9,2020-08-09T21:16:39Z,470000,33.0,174.0,1,right,N. Vucevic 18' jumpshot (5 PTS) (J. Ennis III 1 AST),"[202696, 203516]",1610612753.0,ORL,turnaround,,,Vucevic,N. Vucevic,,,,,18.21,Made,,,,,5.0,J. Ennis III,203516.0,1.0,,,,,,,,,,
49,PT07M26.00S,2020-08-09T21:16:53.0Z,1,REGULAR,3pt,jumpshot,[],1628369,32.53942181340342,23.353247549019606,1610612738,6,9,2020-08-09T21:20:59Z,490000,133.0,253.0,1,left,MISS J. Tatum 29' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,29.12,Missed,,,,,,,,,,,,,,,,,,
50,PT07M22.00S,2020-08-09T21:16:57.0Z,1,REGULAR,rebound,defensive,[],203516,,,1610612753,6,9,2020-08-09T21:16:58Z,500000,,,0,,J. Ennis III REBOUND (Off:0 Def:4),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,49.0,4.0,4.0,0.0,,,,,,,,,,,,,,
51,PT07M13.00S,2020-08-09T21:17:06.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203516,90.01314060446781,41.11519607843137,1610612753,6,11,2020-08-09T21:17:16Z,510000,-44.0,41.0,1,right,J. Ennis III 6' jumpshot (4 PTS) (N. Vucevic 1 AST),"[203516, 202696]",1610612753.0,ORL,floating,,,Ennis III,J. Ennis III,,,,,6.46,Made,,,,,4.0,N. Vucevic,202696.0,1.0,,,,,,,,,,
53,PT07M13.00S,2020-08-09T21:17:12.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,11,2020-08-09T21:17:12Z,530000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M03.00S,2020-08-09T21:20:42.3Z,1,REGULAR,3pt,jumpshot,[],202689,22.946780551905388,87.07873774509804,1610612738,6,11,2020-08-09T21:20:47Z,540000,-185.0,163.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2020-08-09T21:20:44.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,6,11,2020-08-09T21:20:47Z,550000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT06M54.00S,2020-08-09T21:20:52.9Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612753,6,11,2020-08-09T21:21:07Z,560000,,,0,,K. Walker FOUL personal (1 PF) (Augustin 2freethrow),"[202689, 201571]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,,,2529.0,1.0,0.0,Augustin,201571.0,,,
58,PT06M54.00S,2020-08-09T21:21:17.6Z,1,REGULAR,freethrow,1of2,[],201571,,,1610612753,6,12,2020-08-09T21:21:17Z,580000,,,0,,D. Augustin freethrow 1of2 (1 PTS),[201571],1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
59,PT06M54.00S,2020-08-09T21:21:31.9Z,1,REGULAR,freethrow,2of2,[],201571,,,1610612753,6,13,2020-08-09T21:21:31Z,590000,,,0,,D. Augustin freethrow 2of2 (2 PTS),[201571],1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
60,PT06M33.00S,2020-08-09T21:21:54.4Z,1,REGULAR,2pt,jumpshot,[],202689,25.04927726675427,30.706188725490197,1610612738,6,13,2020-08-09T21:22:01Z,600000,96.0,183.0,1,left,MISS K. Walker 21' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,21.18,Missed,,,,,,,,,,,,,,,,,,
61,PT06M31.00S,2020-08-09T21:21:56.4Z,1,REGULAR,rebound,defensive,[],203516,,,1610612753,6,13,2020-08-09T21:22:01Z,610000,,,0,,J. Ennis III REBOUND (Off:0 Def:5),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,60.0,5.0,5.0,0.0,,,,,,,,,,,,,,
