actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,subsInPlayerName,subsInPersonId,blockPlayerName,blockPersonId,blockTotal,value
392,PT07M04.00S,2020-02-23T22:07:54.1Z,3,REGULAR,substitution,out,[],201580,,,1610612738,68,73,2020-02-23T22:08:00Z,3860000,,[LAL] substitution McGee replaced by Caldwell-Pope,"[201580, 203484]",1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,Caldwell-Pope,203484.0,,,,
394,PT07M04.00S,2020-02-23T22:08:19.1Z,3,REGULAR,freethrow,2of2,[],1628369,,,1610612738,68,74,2020-02-23T22:08:19Z,3880000,,[BOS] Tatum freethrow 2of2: Made (30 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,30.0,,,,,,,,,,,,,,,,,,,,,,
395,PT06M54.00S,2020-02-23T22:08:30.5Z,3,REGULAR,2pt,layup,['pointsinthepaint'],203076,91.63929040735874,43.31341911764706,1610612747,68,74,2020-02-23T22:08:34Z,3890000,right,[LAL] Davis layup: Missed,[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,4.6,: Missed,,,,,,,,,,,,,,,,,,,,,,,
396,PT06M52.00S,2020-02-23T22:08:32.5Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,68,74,2020-02-23T22:08:34Z,3900000,,[BOS] Theis defensive rebound (Off:1 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,395.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
397,PT06M52.00S,2020-02-23T22:08:44.6Z,3,REGULAR,foul,personal,[],201980,,,1610612738,68,74,2020-02-23T22:08:51Z,3910000,,[LAL] Green foul personal (1 PF),"[201980, 1628464]",1610612747.0,LAL,,,,Green,D. Green,,,,,,,,,,,,,,,1830.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,
399,PT06M52.00S,2020-02-23T22:08:51.3Z,3,REGULAR,foul,technical,['1freethrow'],201980,,,1610612738,68,74,2020-02-23T22:08:57Z,3930000,,[LAL] Green foul technical (1 Tech),[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,,,,,,,,,,,1830.0,1.0,1.0,,,,,,,,,,,,
400,PT06M52.00S,2020-02-23T22:08:59.0Z,3,REGULAR,freethrow,1of1,[],1628369,,,1610612738,68,75,2020-02-23T22:08:59Z,3940000,,[BOS] Tatum technical freethrow 1of1: Made (31 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,: Made,31.0,,,,,,,,,,,,,,,,,,,,,,
401,PT06M43.00S,2020-02-23T22:09:24.0Z,3,REGULAR,3pt,jumpshot,[],202330,31.32391590013141,32.0389093137255,1610612738,68,75,2020-02-23T22:09:29Z,3950000,left,[BOS] Hayward 3pt jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.32,: Missed,,,,,,,,,,,,,,,,,,,,,,,
402,PT06M40.00S,2020-02-23T22:09:27.0Z,3,REGULAR,rebound,defensive,[],203076,,,1610612747,68,75,2020-02-23T22:09:29Z,3960000,,[LAL] Davis defensive rebound (Off:3 Def:6),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,401.0,9.0,6.0,3.0,,,,,,,,,,,,,,,
403,PT06M32.00S,2020-02-23T22:09:37.2Z,3,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612747,68,75,2020-02-23T22:09:42Z,3970000,,[BOS] Theis foul personal (3 PF) (James 2freethrow),"[1628464, 2544]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1830.0,3.0,0.0,James,2544.0,,,,,,,,,,
405,PT06M32.00S,2020-02-23T22:10:01.8Z,3,REGULAR,freethrow,1of2,[],2544,,,1610612747,69,75,2020-02-23T22:12:33Z,3990000,,[LAL] James freethrow 1of2: Made (17 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,: Made,17.0,,,,,,,,,,,,,,,,,,,,,,
408,PT06M32.00S,2020-02-23T22:10:01.8Z,3,REGULAR,freethrow,2of2,[],2544,,,1610612747,70,75,2020-02-23T22:12:33Z,3995000,,[LAL] James freethrow 2of2: Made (18 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,: Made,18.0,,,,,,,,,,,,,,,,,,,,,,
406,PT06M32.00S,2020-02-23T22:10:04.6Z,3,REGULAR,substitution,out,[],1628464,,,1610612738,70,75,2020-02-23T22:12:33Z,4000000,,[BOS] substitution Theis replaced by Williams,"[1628464, 1629684]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,Williams,1629684.0,,,,
409,PT06M17.00S,2020-02-23T22:10:39.9Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,10.430354796320628,49.44087009803921,1610612738,70,75,2020-02-23T22:11:55Z,4015000,left,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,5.11,: Missed,,,,,,,,,,,,,,,,,,,,,,,
410,PT06M16.00S,2020-02-23T22:10:40.9Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,70,75,2020-02-23T22:11:55Z,4017500,,[BOS] Brown offensive rebound (Off:2 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,409.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
