actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,subsInPlayerName,subsInPersonId,blockPlayerName,blockPersonId,blockTotal,value
453,PT03M44.00S,2020-02-23T22:16:42.3Z,3,REGULAR,turnover,lostball,[],202954,,,1610612738,75,79,2020-02-23T22:16:46Z,4470000,,[BOS] Wanamaker lostball turnover (3 TO) Steal: Rondo (3 STL),"[202954, 200765]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,3.0,Rondo,200765.0,3.0,,,,,,
455,PT03M41.00S,2020-02-23T22:16:45.7Z,3,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628398,92.55913272010513,49.44087009803921,1610612747,77,79,2020-02-23T22:18:26Z,4490000,right,[LAL] Kuzma layup: Made (14 PTS) assist: Rondo (4 AST),"[1628398, 200765]",1610612747.0,LAL,cutting,,,Kuzma,K. Kuzma,,,,,2.31,: Made,14.0,Rondo,200765.0,4.0,,,,,,,,,,,,,,,,,,,
457,PT03M41.00S,2020-02-23T22:16:50.2Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,77,79,2020-02-23T22:16:50Z,4510000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,PT03M41.00S,2020-02-23T22:19:02.7Z,3,REGULAR,substitution,out,[],1629684,,,1610612738,77,79,2020-02-23T22:20:03Z,4520000,,[BOS] substitution Williams replaced by Theis,"[1629684, 1628464]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,Theis,1628464.0,,,,
460,PT03M30.00S,2020-02-23T22:20:28.4Z,3,REGULAR,turnover,discontinuedribble,[],203935,,,1610612738,77,79,2020-02-23T22:20:36Z,4540000,,[BOS] Smart discontinuedribble turnover (1 TO),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1830.0,,,,,1.0,,,,,,,,,
461,PT03M15.00S,2020-02-23T22:20:49.2Z,3,REGULAR,3pt,jumpshot,['fromturnover'],203484,89.27398160315374,96.74479166666667,1610612747,77,79,2020-02-23T22:20:53Z,4550000,right,[LAL] Caldwell-Pope 3pt jumpshot: Missed,[203484],1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.98,: Missed,,,,,,,,,,,,,,,,,,,,,,,
462,PT03M13.00S,2020-02-23T22:20:51.2Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,77,79,2020-02-23T22:20:53Z,4560000,,[BOS] Theis defensive rebound (Off:1 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,461.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
463,PT03M05.00S,2020-02-23T22:20:59.2Z,3,REGULAR,turnover,badpass,[],203935,,,1610612738,77,79,2020-02-23T22:21:02Z,4570000,,[BOS] Smart badpass turnover (2 TO) Steal: Caldwell-Pope (2 STL),"[203935, 203484]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,2.0,Caldwell-Pope,203484.0,2.0,,,,,,
465,PT03M02.00S,2020-02-23T22:21:02.1Z,3,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203484,90.45663600525624,50.91145833333333,1610612747,79,79,2020-02-23T22:21:09Z,4590000,right,[LAL] Caldwell-Pope dunk: Made (4 PTS),[203484],1610612747.0,LAL,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,4.29,: Made,4.0,,,,,,,,,,,,,,,,,,,,,,
466,PT02M46.00S,2020-02-23T22:21:21.2Z,3,REGULAR,stoppage,outofbounds,[],0,,,1610612738,79,79,2020-02-23T22:21:21Z,4600000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,PT02M46.00S,2020-02-23T22:21:25.0Z,3,REGULAR,substitution,out,[],203935,,,1610612738,79,79,2020-02-23T22:21:30Z,4610000,,[BOS] substitution Smart replaced by Hayward,"[203935, 202330]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,Hayward,202330.0,,,,
468,PT02M46.00S,2020-02-23T22:21:25.0Z,3,REGULAR,substitution,out,[],1629641,,,1610612738,79,79,2020-02-23T22:21:30Z,4620000,,[BOS] substitution Langford replaced by Brown,"[1629641, 1627759]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,Brown,1627759.0,,,,
471,PT02M43.00S,2020-02-23T22:21:40.2Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,19.23455978975032,51.89185049019608,1610612738,79,81,2020-02-23T22:21:44Z,4650000,left,[BOS] Hayward jumpshot: Made (8 PTS) assist: Wanamaker (2 AST),"[202330, 202954]",1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,13.41,: Made,8.0,Wanamaker,202954.0,2.0,,,,,,,,,,,,,,,,,,,
473,PT02M27.00S,2020-02-23T22:21:56.5Z,3,REGULAR,2pt,dunk,['pointsinthepaint'],203076,95.58147174770039,50.17616421568628,1610612747,81,81,2020-02-23T22:24:08Z,4670000,right,[LAL] Davis dunk: Made (21 PTS) assist: Rondo (5 AST),"[203076, 200765]",1610612747.0,LAL,alleyoop,,,Davis,A. Davis,,,,,0.56,: Made,21.0,Rondo,200765.0,5.0,,,,,,,,,,,,,,,,,,,
475,PT02M07.00S,2020-02-23T22:22:17.7Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200765,,,1610612738,81,81,2020-02-23T22:22:22Z,4690000,,[LAL] Rondo foul personal (1 PF) (Tatum inpenalty),"[200765, 1628369]",1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,1830.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
477,PT02M07.00S,2020-02-23T22:22:54.0Z,3,REGULAR,freethrow,1of2,[],1628369,,,1610612738,81,82,2020-02-23T22:22:54Z,4710000,,[BOS] Tatum freethrow 1of2: Made (36 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,36.0,,,,,,,,,,,,,,,,,,,,,,
478,PT02M07.00S,2020-02-23T22:23:09.1Z,3,REGULAR,freethrow,2of2,[],1628369,,,1610612738,81,83,2020-02-23T22:23:09Z,4720000,,[BOS] Tatum freethrow 2of2: Made (37 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,37.0,,,,,,,,,,,,,,,,,,,,,,
479,PT02M01.00S,2020-02-23T22:23:20.5Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202954,,,1610612747,81,83,2020-02-23T22:23:26Z,4730000,,[BOS] Wanamaker foul personal (2 PF) (Davis inpenalty),"[202954, 203076]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,2529.0,2.0,0.0,Davis,203076.0,,,,,,,,,,
481,PT02M01.00S,2020-02-23T22:23:43.6Z,3,REGULAR,freethrow,1of2,[],203076,,,1610612747,81,83,2020-02-23T22:23:43Z,4750000,,[LAL] Davis freethrow 1of2: Missed,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
482,PT02M01.00S,2020-02-23T22:23:43.6Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,81,83,2020-02-23T22:23:43Z,4760000,,[LAL] Team offensive rebound,[],1610612747.0,LAL,,,,,,,,,,,,,,,,481.0,,,,,,,,,,,,,,,,,,
483,PT02M01.00S,2020-02-23T22:23:45.6Z,3,REGULAR,substitution,out,[],202340,,,1610612747,81,83,2020-02-23T22:23:49Z,4770000,,[LAL] substitution Bradley replaced by James,"[202340, 2544]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,James,2544.0,,,,
485,PT02M01.00S,2020-02-23T22:24:00.9Z,3,REGULAR,freethrow,2of2,[],203076,,,1610612747,82,83,2020-02-23T22:24:00Z,4790000,,[LAL] Davis freethrow 2of2: Made (22 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,: Made,22.0,,,,,,,,,,,,,,,,,,,,,,
486,PT01M45.00S,2020-02-23T22:24:20.3Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,8.853482260183966,57.284007352941174,1610612738,82,83,2020-02-23T22:24:26Z,4800000,left,[BOS] Tatum jumpshot: Missed Block: Kuzma (1 BLK),"[1628369, 1628398]",1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,5.13,: Missed,,,,,,,,,,,,,,,,,,,,Kuzma,1628398.0,1.0,
488,PT01M45.00S,2020-02-23T22:24:20.3Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612738,82,83,2020-02-23T22:24:26Z,4820000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,486.0,,,,,,,,,,,,,,,,,,
489,PT01M45.00S,2020-02-23T22:24:25.6Z,3,REGULAR,stoppage,outofbounds,[],0,,,1610612738,82,83,2020-02-23T22:24:25Z,4830000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,PT01M42.00S,2020-02-23T22:24:33.8Z,3,REGULAR,2pt,jumpshot,['2ndchance'],202330,19.103153745072277,82.0389093137255,1610612738,82,83,2020-02-23T22:24:37Z,4840000,left,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,20.8,: Missed,,,,,,,,,,,,,,,,,,,,,,,
491,PT01M39.00S,2020-02-23T22:24:36.8Z,3,REGULAR,rebound,defensive,[],2544,,,1610612747,82,83,2020-02-23T22:24:37Z,4850000,,[LAL] James defensive rebound (Off:0 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,490.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
492,PT01M23.00S,2020-02-23T22:24:51.1Z,3,REGULAR,3pt,jumpshot,[],203484,92.69053876478318,5.568321078431367,1610612747,85,83,2020-02-23T22:24:54Z,4860000,right,[LAL] Caldwell-Pope 3pt shot: Made (7 PTS) assist: Davis (3 AST),"[203484, 203076]",1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,22.33,: Made,7.0,Davis,203076.0,3.0,,,,,,,,,,,,,,,,,,,
494,PT01M02.00S,2020-02-23T22:25:14.2Z,3,REGULAR,2pt,layup,['pointsinthepaint'],202954,8.459264126149804,50.42126225490196,1610612738,85,83,2020-02-23T22:25:32Z,4880000,left,[BOS] Wanamaker layup: Missed,[202954],1610612738.0,BOS,driving,,,Wanamaker,B. Wanamaker,,,,,3.26,: Missed,,,,,,,,,,,,,,,,,,,,,,,
495,PT01M00.00S,2020-02-23T22:25:16.2Z,3,REGULAR,rebound,offensive,[],1628464,,,1610612738,85,83,2020-02-23T22:25:32Z,4890000,,[BOS] Theis offensive rebound (Off:2 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,494.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
496,PT01M00.00S,2020-02-23T22:25:17.1Z,3,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628464,7.408015768725363,51.40165441176471,1610612738,85,85,2020-02-23T22:25:21Z,4900000,left,[BOS] Theis layup: Made (11 PTS),[1628464],1610612738.0,BOS,putback,,,Theis,D. Theis,,,,,2.37,: Made,11.0,,,,,,,,,,,,,,,,,,,,,,
497,PT00M50.90S,2020-02-23T22:25:27.5Z,3,REGULAR,3pt,jumpshot,[],203484,90.5880420499343,98.21537990196079,1610612747,85,85,2020-02-23T22:25:35Z,4910000,right,[LAL] Caldwell-Pope 3pt jumpshot: Missed,[203484],1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,24.46,: Missed,,,,,,,,,,,,,,,,,,,,,,,
498,PT00M47.50S,2020-02-23T22:25:30.9Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,85,85,2020-02-23T22:25:35Z,4920000,,[BOS] Theis defensive rebound (Off:2 Def:5),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,497.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
499,PT00M46.10S,2020-02-23T22:25:36.3Z,3,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,85,85,2020-02-23T22:25:41Z,4930000,,[BOS] Brown outofbounds turnover (3 TO),[1627759],1610612738.0,BOS,lostball,,,Brown,J. Brown,,,,,,,,,,,,,,,203592.0,,,,,3.0,,,,,,,,,
500,PT00M46.10S,2020-02-23T22:25:47.0Z,3,REGULAR,substitution,out,[],1628369,,,1610612747,85,85,2020-02-23T22:25:49Z,4940000,,[BOS] substitution Tatum replaced by Langford,"[1628369, 1629641]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,Langford,1629641.0,,,,
502,PT00M38.90S,2020-02-23T22:26:15.2Z,3,REGULAR,3pt,jumpshot,['fromturnover'],2544,67.7233902759527,74.19577205882354,1610612747,85,85,2020-02-23T22:26:19Z,4960000,right,[LAL] James 3pt jumpshot: Missed,[2544],1610612747.0,LAL,,,,James,L. James,,,,,28.35,: Missed,,,,,,,,,,,,,,,,,,,,,,,
503,PT00M36.90S,2020-02-23T22:26:17.3Z,3,REGULAR,rebound,defensive,[],202330,,,1610612738,85,85,2020-02-23T22:26:17Z,4970000,,[BOS] Hayward defensive rebound (Off:0 Def:6),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,502.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
504,PT00M30.60S,2020-02-23T22:26:23.7Z,3,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202330,8.196452036793687,51.646752450980394,1610612738,85,85,2020-02-23T22:26:27Z,4980000,left,[BOS] Hayward layup: Missed,[202330],1610612738.0,BOS,running,,,Hayward,G. Hayward,,,,,3.11,: Missed,,,,,,,,,,,,,,,,,,,,,,,
505,PT00M28.60S,2020-02-23T22:26:25.7Z,3,REGULAR,rebound,defensive,[],1628398,,,1610612747,85,85,2020-02-23T22:26:27Z,4990000,,[LAL] Kuzma defensive rebound (Off:1 Def:3),[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,,,,,,504.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
506,PT00M16.50S,2020-02-23T22:26:37.9Z,3,REGULAR,2pt,layup,['pointsinthepaint'],1628398,90.06241787122208,55.323223039215684,1610612747,85,85,2020-02-23T22:26:54Z,5000000,right,[LAL] Kuzma layup: Missed,[1628398],1610612747.0,LAL,driving,,,Kuzma,K. Kuzma,,,,,5.35,: Missed,,,,,,,,,,,,,,,,,,,,,,,
507,PT00M16.40S,2020-02-23T22:26:38.0Z,3,REGULAR,rebound,offensive,[],203076,,,1610612747,85,85,2020-02-23T22:28:59Z,5010000,,[LAL] Davis offensive rebound (Off:5 Def:7),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,506.0,12.0,7.0,5.0,,,,,,,,,,,,,,,
508,PT00M16.30S,2020-02-23T22:26:40.7Z,3,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",203076,92.55913272010513,50.42126225490196,1610612747,87,85,2020-02-23T22:28:28Z,5020000,right,[LAL] Davis dunk: Made (24 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,2.3,: Made,24.0,,,,,,,,,,,,,,,,,,,,,,
509,PT00M02.20S,2020-02-23T22:26:57.9Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628464,18.31471747700394,47.23498774509803,1610612738,87,87,2020-02-23T22:27:02Z,5030000,left,[BOS] Theis jumpshot: Made (13 PTS) assist: Hayward (7 AST),"[1628464, 202330]",1610612738.0,BOS,floating,,,Theis,D. Theis,,,,,12.6,: Made,13.0,Hayward,202330.0,7.0,,,,,,,,,,,,,,,,,,,
511,PT00M00.30S,2020-02-23T22:27:07.1Z,3,REGULAR,3pt,jumpshot,[],1628398,55.839356110381075,57.276348039215684,1610612747,87,87,2020-02-23T22:27:57Z,5050000,right,[LAL] Kuzma 3pt jumpshot: Missed,[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,36.99,: Missed,,,,,,,,,,,,,,,,,,,,,,,
512,PT00M00.10S,2020-02-23T22:27:07.3Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612747,87,87,2020-02-23T22:27:57Z,5060000,,[LAL] Team offensive rebound,[],1610612747.0,LAL,,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,,,,
513,PT00M00.00S,2020-02-23T22:27:16.9Z,3,REGULAR,period,end,[],0,,,1610612747,87,87,2020-02-23T22:27:16Z,5070000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,PT12M00.00S,2020-02-23T22:29:10.3Z,4,REGULAR,substitution,out,['startperiod'],203076,,,1610612747,87,87,2020-02-23T22:30:41Z,5080000,,[LAL] substitution Davis replaced by Howard,"[203076, 2730]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,Howard,2730.0,,,,
516,PT12M00.00S,2020-02-23T22:30:56.0Z,4,REGULAR,period,start,[],0,,,1610612747,87,87,2020-02-23T22:30:56Z,5100000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,PT11M41.00S,2020-02-23T22:31:18.0Z,4,REGULAR,foul,offensive,[],2730,,,1610612747,87,87,2020-02-23T22:31:45Z,5110000,,[LAL] Howard foul offensive (3 PF),"[2730, 202330]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,2529.0,3.0,0.0,Hayward,202330.0,,,,,,,,,,
519,PT11M41.00S,2020-02-23T22:31:18.0Z,4,REGULAR,turnover,offensivefoul,[],2730,,,1610612747,87,87,2020-02-23T22:31:18Z,5130000,,[LAL] Howard offensivefoul turnover (1 TO),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,2529.0,,,,,1.0,,,,,,,,,
520,PT11M21.00S,2020-02-23T22:31:54.6Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1629641,6.225361366622863,48.46047794117647,1610612738,87,89,2020-02-23T22:32:03Z,5140000,left,[BOS] Langford layup: Made (5 PTS) assist: Hayward (8 AST),"[1629641, 202330]",1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,1.38,: Made,5.0,Hayward,202330.0,8.0,,,,,,,,,,,,,,,,,,,
522,PT11M21.00S,2020-02-23T22:31:57.3Z,4,REGULAR,violation,defensivegoaltending,[],2544,,,1610612738,87,89,2020-02-23T22:32:03Z,5160000,,[LAL] James violation defensivegoaltending,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,1830.0,,,,,,,,,,,,,,
523,PT11M00.00S,2020-02-23T22:32:22.0Z,4,REGULAR,3pt,jumpshot,[],1628398,65.48948751642575,29.097732843137265,1610612747,87,89,2020-02-23T22:32:27Z,5170000,right,[LAL] Kuzma stepback 3pt jumpshot: Missed,[1628398],1610612747.0,LAL,stepback,,,Kuzma,K. Kuzma,,,,,29.64,: Missed,,,,,,,,,,,,,,,,,,,,,,,
524,PT10M56.00S,2020-02-23T22:32:26.0Z,4,REGULAR,rebound,defensive,[],1628464,,,1610612738,87,89,2020-02-23T22:32:27Z,5180000,,[BOS] Theis defensive rebound (Off:2 Def:6),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,523.0,8.0,6.0,2.0,,,,,,,,,,,,,,,
525,PT10M52.00S,2020-02-23T22:32:34.2Z,4,REGULAR,violation,kickedball,[],203484,,,1610612738,87,89,2020-02-23T22:32:39Z,5190000,,[LAL] Caldwell-Pope violation kickedball,[203484],1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,203592.0,,,,,,,,,,,,,,
526,PT10M52.00S,2020-02-23T22:32:51.7Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,87,89,2020-02-23T22:32:51Z,5200000,,[LAL] timeout full,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,PT10M48.00S,2020-02-23T22:36:16.9Z,4,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,7.670827858081481,49.93106617647059,1610612738,87,91,2020-02-23T22:36:24Z,5210000,left,[BOS] Theis dunk: Made (15 PTS) assist: Wanamaker (3 AST),"[1628464, 202954]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,2.51,: Made,15.0,Wanamaker,202954.0,3.0,,,,,,,,,,,,,,,,,,,
528,PT10M48.00S,2020-02-23T22:36:21.8Z,4,REGULAR,foul,personal,['1freethrow'],2730,,,1610612738,87,91,2020-02-23T22:36:27Z,5220000,,[LAL] Howard foul personal (4 PF) (Theis 1freethrow),"[2730, 1628464]",1610612747.0,LAL,shooting,,,Howard,D. Howard,,,,,,,,,,,,,,,1830.0,4.0,0.0,Theis,1628464.0,,,,,,,,,,
530,PT10M48.00S,2020-02-23T22:36:37.3Z,4,REGULAR,substitution,out,[],203484,,,1610612738,87,91,2020-02-23T22:37:38Z,5240000,,[LAL] substitution Caldwell-Pope replaced by Caruso,"[203484, 1627936]",1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,Caruso,1627936.0,,,,
532,PT10M48.00S,2020-02-23T22:36:54.8Z,4,REGULAR,freethrow,1of1,[],1628464,,,1610612738,87,92,2020-02-23T22:36:54Z,5260000,,[BOS] Theis freethrow 1of1: Made (16 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,: Made,16.0,,,,,,,,,,,,,,,,,,,,,,
533,PT10M36.00S,2020-02-23T22:37:21.9Z,4,REGULAR,foul,personal,[],1627759,,,1610612747,87,92,2020-02-23T22:37:38Z,5270000,,[BOS] Brown foul personal (3 PF),"[1627759, 2544]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1830.0,3.0,0.0,James,2544.0,,,,,,,,,,
535,PT10M27.00S,2020-02-23T22:37:36.5Z,4,REGULAR,2pt,dunk,['pointsinthepaint'],2730,91.77069645203679,52.627144607843135,1610612747,89,92,2020-02-23T22:38:30Z,5290000,right,[LAL] Howard dunk: Made (6 PTS) assist: James (7 AST),"[2730, 2544]",1610612747.0,LAL,alleyoop,,,Howard,D. Howard,,,,,3.31,: Made,6.0,James,2544.0,7.0,,,,,,,,,,,,,,,,,,,
538,PT09M59.00S,2020-02-23T22:38:04.4Z,4,REGULAR,turnover,lostball,[],202330,,,1610612738,89,92,2020-02-23T22:38:08Z,5310000,,[BOS] Hayward lostball turnover (1 TO) Steal: Rondo (4 STL),"[202330, 200765]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,1.0,Rondo,200765.0,4.0,,,,,,
540,PT09M50.00S,2020-02-23T22:38:15.5Z,4,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612747,89,92,2020-02-23T22:38:20Z,5330000,,[BOS] Langford foul personal (2 PF) (Howard 2freethrow),"[1629641, 2730]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,,,,203592.0,2.0,0.0,Howard,2730.0,,,,,,,,,,
542,PT09M50.00S,2020-02-23T22:38:45.9Z,4,REGULAR,freethrow,1of2,['fromturnover'],2730,,,1610612747,90,92,2020-02-23T22:38:45Z,5350000,,[LAL] Howard freethrow 1of2: Made (7 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,: Made,7.0,,,,,,,,,,,,,,,,,,,,,,
543,PT09M50.00S,2020-02-23T22:39:05.2Z,4,REGULAR,freethrow,2of2,['fromturnover'],2730,,,1610612747,91,92,2020-02-23T22:39:05Z,5360000,,[LAL] Howard freethrow 2of2: Made (8 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,: Made,8.0,,,,,,,,,,,,,,,,,,,,,,
544,PT09M35.00S,2020-02-23T22:39:21.4Z,4,REGULAR,2pt,layup,['pointsinthepaint'],1627759,6.619579500657039,50.42126225490196,1610612738,91,94,2020-02-23T22:39:26Z,5370000,left,[BOS] Brown layup: Made (12 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.53,: Made,12.0,,,,,,,,,,,,,,,,,,,,,,
545,PT09M19.00S,2020-02-23T22:39:37.8Z,4,REGULAR,2pt,layup,['pointsinthepaint'],1627936,93.2161629434954,48.950674019607845,1610612747,93,94,2020-02-23T22:39:41Z,5380000,right,[LAL] Caruso layup: Made (6 PTS) assist: James (8 AST),"[1627936, 2544]",1610612747.0,LAL,fingerroll,,,Caruso,A. Caruso,,,,,1.76,: Made,6.0,James,2544.0,8.0,,,,,,,,,,,,,,,,,,,
547,PT08M57.00S,2020-02-23T22:39:59.5Z,4,REGULAR,turnover,badpass,[],1628464,,,1610612738,93,94,2020-02-23T22:40:04Z,5400000,,[BOS] Theis badpass turnover (1 TO) Steal: Caruso (1 STL),"[1628464, 1627936]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,1.0,Caruso,1627936.0,1.0,,,,,,
549,PT08M56.00S,2020-02-23T22:40:02.9Z,4,REGULAR,turnover,outofbounds,[],1628398,,,1610612747,93,94,2020-02-23T22:40:09Z,5420000,,[LAL] Kuzma outofbounds turnover (2 TO),[1628398],1610612747.0,LAL,badpass,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,2529.0,,,,,2.0,,,,,,,,,
550,PT08M39.00S,2020-02-23T22:40:24.5Z,4,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1627759,14.766754270696453,57.529105392156865,1610612738,93,96,2020-02-23T22:40:29Z,5430000,left,[BOS] Brown jumpshot: Made (14 PTS),[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,9.92,: Made,14.0,,,,,,,,,,,,,,,,,,,,,,
551,PT08M29.00S,2020-02-23T22:40:35.1Z,4,REGULAR,2pt,dunk,['pointsinthepaint'],2730,92.16491458607096,51.646752450980394,1610612747,93,96,2020-02-23T22:40:41Z,5440000,right,[LAL] Howard dunk: Missed,[2730],1610612747.0,LAL,alleyoop,,,Howard,D. Howard,,,,,2.78,: Missed,,,,,,,,,,,,,,,,,,,,,,,
552,PT08M27.00S,2020-02-23T22:40:37.1Z,4,REGULAR,rebound,offensive,[],2730,,,1610612747,93,96,2020-02-23T22:40:41Z,5450000,,[LAL] Howard offensive rebound (Off:2 Def:5),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,551.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
