actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-09-09T22:45:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-09T22:45:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-09-09T22:45:26.6Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2020-09-09T22:45:26Z,40000,,,0,,Jump Ball M. Gasol vs. D. Theis: Tip to F. VanVleet,"[1627832, 201188, 1628464]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Gasol,201188.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2020-09-09T22:45:37.8Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612761,0,0,2020-09-09T22:45:48Z,80000,,,0,,J. Brown FOUL personal (1 PF) (Siakam 2freethrow),"[1627759, 1627783]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,1146.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,,,,,
10,PT11M48.00S,2020-09-09T22:46:06.3Z,1,REGULAR,freethrow,1of2,[],1627783,,,1610612761,0,1,2020-09-09T22:46:36Z,100000,,,0,,P. Siakam freethrow 1of2 (1 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
11,PT11M48.00S,2020-09-09T22:46:06.3Z,1,REGULAR,freethrow,2of2,[],1627783,,,1610612761,0,1,2020-09-09T22:46:36Z,110000,,,0,,MISS P. Siakam freethrow 2of2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,Missed,,,,,,,,,,,,,,,
12,PT11M47.00S,2020-09-09T22:46:07.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,1,2020-09-09T22:46:36Z,120000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT11M47.00S,2020-09-09T22:46:36.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,0,1,2020-09-09T22:46:36Z,130000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M39.00S,2020-09-09T22:46:51.0Z,1,REGULAR,2pt,jumpshot,['2ndchance'],200768,28.07161629434954,44.921875,1610612761,0,1,2020-09-09T22:46:55Z,140000,25.0,211.0,1,left,MISS K. Lowry 22' jumpshot,[200768],1610612761.0,TOR,turnaround,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,21.84,,,,,,,,,,,,
15,PT11M38.00S,2020-09-09T22:46:52.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,1,2020-09-09T22:46:58Z,150000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,14.0,,1.0,1.0,0.0,,,,,,,,,
16,PT11M22.00S,2020-09-09T22:47:07.9Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,0,1,2020-09-09T22:47:11Z,160000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,Lowry,200768.0,,,,,,
