actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
17,PT11M22.00S,2020-09-09T22:47:07.9Z,1,REGULAR,steal,,[],200768,,,1610612761,0,1,2020-09-09T22:47:09Z,170000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M13.00S,2020-09-09T22:47:17.0Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1627783,9.411957950065702,60.36305147058824,1610612761,0,1,2020-09-09T22:47:32Z,180000,-52.0,36.0,1,left,MISS P. Siakam 7' jumpshot,[1627783],1610612761.0,TOR,turnaroundfadeaway,,,Siakam,P. Siakam,,,,,,,,,,Missed,,,6.64,,,,,,,,,,,,
19,PT11M12.00S,2020-09-09T22:47:18.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,1,2020-09-09T22:47:32Z,190000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,
20,PT11M12.00S,2020-09-09T22:47:21.9Z,1,REGULAR,foul,personal,[],201188,,,1610612738,0,1,2020-09-09T22:47:25Z,200000,,,0,,M. Gasol FOUL personal (1 PF),"[201188, 1628464]",1610612761.0,TOR,looseball,,,Gasol,M. Gasol,,,,,2882.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,,,,,,,
22,PT11M01.00S,2020-09-09T22:47:43.4Z,1,REGULAR,3pt,jumpshot,[],203935,94.69448094612353,4.235600490196079,1610612738,3,1,2020-09-09T22:47:46Z,220000,-229.0,-3.0,1,right,M. Smart 23' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,3.0,,22.88,,,,,,,J. Tatum,1628369.0,1.0,,,
24,PT10M39.00S,2020-09-09T22:48:04.6Z,1,REGULAR,3pt,jumpshot,[],201188,32.53942181340342,61.83363970588235,1610612761,3,1,2020-09-09T22:48:08Z,240000,-59.0,253.0,1,left,MISS M. Gasol 27' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,Missed,,,26.56,,,,,,,,,,,,
25,PT10M38.00S,2020-09-09T22:48:05.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,3,1,2020-09-09T22:48:11Z,250000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,24.0,,1.0,1.0,0.0,,,,,,,,,
26,PT10M22.00S,2020-09-09T22:48:21.4Z,1,REGULAR,turnover,lostball,[],202689,,,1610612738,3,1,2020-09-09T22:48:29Z,260000,,,0,,K. Walker TURNOVER lostball (1 TOV) Stolen,"[202689, 1627832]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,,,
27,PT10M22.00S,2020-09-09T22:48:21.4Z,1,REGULAR,steal,,[],1627832,,,1610612761,3,1,2020-09-09T22:48:23Z,270000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M19.00S,2020-09-09T22:48:27.0Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612761,3,1,2020-09-09T22:48:38Z,280000,,,0,,M. Smart FOUL personal (1 PF) (Anunoby 2freethrow),"[203935, 1628384]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1146.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,
30,PT10M19.00S,2020-09-09T22:48:51.6Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1628384,,,1610612761,3,1,2020-09-09T22:48:51Z,300000,,,0,,MISS O. Anunoby freethrow 1of2,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,Missed,,,,,,,,,,,,,,,
31,PT10M19.00S,2020-09-09T22:48:51.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,3,1,2020-09-09T22:48:51Z,310000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
32,PT10M19.00S,2020-09-09T22:49:05.7Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1628384,,,1610612761,3,2,2020-09-09T22:49:05Z,320000,,,0,,O. Anunoby freethrow 2of2 (1 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
33,PT10M09.00S,2020-09-09T22:49:18.4Z,1,REGULAR,3pt,jumpshot,[],203935,65.39093298291722,46.88265931372549,1610612738,3,2,2020-09-09T22:50:11Z,330000,-16.0,273.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,,,Missed,,,27.87,,,,,,,,,,,,
34,PT10M06.00S,2020-09-09T22:49:21.4Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,3,2,2020-09-09T22:49:33Z,340000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,33.0,,1.0,0.0,1.0,,,,,,,,,
35,PT10M01.00S,2020-09-09T22:49:25.7Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202689,71.30420499342969,77.51991421568627,1610612738,3,2,2020-09-09T22:49:29Z,350000,138.0,217.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Missed,,,26.18,,,,,,,,,,,,
36,PT10M01.00S,2020-09-09T22:49:25.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,3,2,2020-09-09T22:49:29Z,360000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,
37,PT10M01.00S,2020-09-09T22:49:29.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,3,2,2020-09-09T22:49:29Z,370000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M55.00S,2020-09-09T22:49:45.6Z,1,REGULAR,foul,personal,[],203935,,,1610612761,3,2,2020-09-09T22:50:40Z,380000,,,0,,M. Smart FOUL personal (2 PF),"[203935, 201188]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,2882.0,2.0,0.0,Gasol,201188.0,,,,,,,,,,,,,,,,
40,PT09M46.00S,2020-09-09T22:50:13.2Z,1,REGULAR,3pt,jumpshot,[],200768,34.773324572930356,46.63756127450981,1610612761,3,2,2020-09-09T22:50:16Z,400000,17.0,274.0,1,left,MISS K. Lowry 28' 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,28.04,,,,,,,,,,,,
41,PT09M45.00S,2020-09-09T22:50:14.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,2,2020-09-09T22:50:19Z,410000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,40.0,,1.0,1.0,0.0,,,,,,,,,
42,PT09M36.00S,2020-09-09T22:50:22.5Z,1,REGULAR,3pt,jumpshot,[],203935,92.19776609724047,4.235600490196079,1610612738,6,2,2020-09-09T22:50:25Z,420000,-229.0,21.0,1,right,M. Smart 23' 3PT  (6 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,6.0,,23.03,,,,,,,D. Theis,1628464.0,1.0,,,
44,PT09M18.00S,2020-09-09T22:50:40.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628384,5.601182654402102,47.86305147058824,1610612761,6,2,2020-09-09T22:50:44Z,440000,11.0,0.0,1,left,MISS O. Anunoby layup,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,Missed,,,1.21,,,,,,,,,,,,
45,PT09M17.00S,2020-09-09T22:50:41.3Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,6,2,2020-09-09T22:50:44Z,450000,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,44.0,,1.0,0.0,1.0,,,,,,,,,
46,PT09M15.00S,2020-09-09T22:50:43.0Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",1628384,5.863994743758213,48.84344362745098,1610612761,6,4,2020-09-09T22:50:48Z,460000,6.0,3.0,1,left,O. Anunoby dunk (3 PTS),[1628384],1610612761.0,TOR,putback,,,Anunoby,O. Anunoby,,,,,,,,,,Made,3.0,,1.0,,,,,,,,,,,,
47,PT09M00.00S,2020-09-09T22:50:58.2Z,1,REGULAR,3pt,jumpshot,[],203935,94.43166885676742,96.14736519607843,1610612738,9,4,2020-09-09T22:51:02Z,470000,231.0,0.0,1,right,M. Smart 23' 3PT  (9 PTS) (J. Tatum 2 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,9.0,,23.08,,,,,,,J. Tatum,1628369.0,2.0,,,
49,PT08M45.00S,2020-09-09T22:51:13.4Z,1,REGULAR,3pt,jumpshot,[],1627832,12.697109067017081,94.18658088235294,1610612761,9,4,2020-09-09T22:51:17Z,490000,-221.0,67.0,1,left,MISS F. VanVleet 23' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,Missed,,,23.25,,,,,,,,,,,,
50,PT08M44.00S,2020-09-09T22:51:14.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,4,2020-09-09T22:51:20Z,500000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,49.0,,2.0,2.0,0.0,,,,,,,,,
51,PT08M36.00S,2020-09-09T22:51:21.6Z,1,REGULAR,3pt,jumpshot,[],203935,71.04139290407359,75.80422794117648,1610612738,9,4,2020-09-09T22:51:26Z,510000,129.0,220.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Missed,,,25.95,,,,,,,,,,,,
52,PT08M35.00S,2020-09-09T22:51:22.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,9,4,2020-09-09T22:51:29Z,520000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,51.0,,1.0,1.0,0.0,,,,,,,,,
53,PT08M13.00S,2020-09-09T22:51:45.3Z,1,REGULAR,3pt,jumpshot,[],1628384,33.459264126149804,53.255208333333336,1610612761,9,7,2020-09-09T22:51:49Z,530000,-16.0,262.0,1,left,O. Anunoby 27' 3PT  (6 PTS),[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,,,,,,Made,6.0,,26.8,,,,,,,,,,,,
54,PT08M00.00S,2020-09-09T22:52:00.4Z,1,REGULAR,foul,personal,[],1628384,,,1610612738,9,7,2020-09-09T22:52:03Z,540000,,,0,,O. Anunoby FOUL personal (1 PF),"[1628384, 1628369]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1146.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
56,PT07M49.00S,2020-09-09T22:52:27.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,92.85479632063075,54.23560049019608,1610612738,9,7,2020-09-09T22:52:32Z,560000,21.0,15.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,Missed,,,2.93,,,,,,,,,,,,
57,PT07M48.00S,2020-09-09T22:52:28.8Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,9,7,2020-09-09T22:52:40Z,570000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,56.0,,1.0,1.0,0.0,,,,,,,,,
58,PT07M42.00S,2020-09-09T22:52:35.7Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1627832,5.995400788436268,46.88265931372549,1610612761,9,9,2020-09-09T22:52:48Z,580000,16.0,4.0,1,left,F. VanVleet layup (2 PTS),[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,,,,,,Made,2.0,,1.82,,,,,,,,,,,,
59,PT07M23.00S,2020-09-09T22:52:52.9Z,1,REGULAR,3pt,jumpshot,[],1627759,94.30026281208936,3.2552083333333335,1610612738,12,9,2020-09-09T22:52:55Z,590000,-234.0,1.0,1,right,J. Brown 23' 3PT  (3 PTS) (J. Tatum 3 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,3.0,,23.38,,,,,,,J. Tatum,1628369.0,3.0,,,
61,PT07M07.00S,2020-09-09T22:53:09.0Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627783,13.61695137976347,48.10814950980392,1610612761,12,9,2020-09-09T22:53:12Z,610000,9.0,75.0,1,left,MISS P. Siakam 8' hook Blocked,"[1627783, 1628464]",1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,,,,,,Missed,,,8.16,,,,,,,,,,Theis,1628464.0,
62,PT07M07.00S,2020-09-09T22:53:09.0Z,1,REGULAR,block,,[],1628464,,,1610612761,12,9,2020-09-09T22:53:11Z,620000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2020-09-09T22:53:10.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,12,9,2020-09-09T22:53:17Z,630000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,61.0,,2.0,2.0,0.0,,,,,,,,,
64,PT07M00.00S,2020-09-09T22:53:17.9Z,1,REGULAR,3pt,jumpshot,[],1628369,93.11760840998686,5.46109068627451,1610612738,12,9,2020-09-09T22:53:28Z,640000,-223.0,12.0,1,right,MISS J. Tatum 22' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,22.34,,,,,,,,,,,,
65,PT06M59.00S,2020-09-09T22:53:18.9Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,12,9,2020-09-09T22:53:28Z,650000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,64.0,,2.0,1.0,1.0,,,,,,,,,
66,PT06M59.00S,2020-09-09T22:53:20.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627759,92.59198423127464,53.50030637254902,1610612738,14,9,2020-09-09T22:53:31Z,660000,18.0,17.0,1,right,J. Brown layup (5 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,,,,,,Made,5.0,,2.86,,,,,,,,,,,,
67,PT06M59.00S,2020-09-09T22:53:32.0Z,1,REGULAR,foul,personal,['1freethrow'],200768,,,1610612738,14,9,2020-09-09T22:53:38Z,670000,,,0,,K. Lowry FOUL personal (1 PF) (Brown 1freethrow),"[200768, 1627759]",1610612761.0,TOR,shooting,,,Lowry,K. Lowry,,,,,101284.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
69,PT06M59.00S,2020-09-09T22:53:42.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,9,2020-09-09T22:53:42Z,690000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2020-09-09T22:57:29.2Z,1,REGULAR,freethrow,1of1,['2ndchance'],1627759,,,1610612738,15,9,2020-09-09T22:57:29Z,700000,,,0,,J. Brown freethrow 1of1 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
71,PT06M46.00S,2020-09-09T22:57:45.1Z,1,REGULAR,3pt,jumpshot,[],200768,20.45006570302234,3.2552083333333335,1610612761,15,12,2020-09-09T22:57:49Z,710000,234.0,140.0,1,left,K. Lowry 28' 3PT  (3 PTS) (M. Gasol 1 AST),"[200768, 201188]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,Made,3.0,,27.51,,,,,,,M. Gasol,201188.0,1.0,,,
73,PT06M46.00S,2020-09-09T22:57:49.1Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612761,15,12,2020-09-09T22:58:02Z,730000,,,0,,J. Tatum FOUL personal (1 PF) (Lowry 1freethrow),"[1628369, 200768]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,1146.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,,
75,PT06M46.00S,2020-09-09T22:58:16.9Z,1,REGULAR,freethrow,1of1,[],200768,,,1610612761,15,13,2020-09-09T22:58:16Z,750000,,,0,,K. Lowry freethrow 1of1 (4 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
76,PT06M34.00S,2020-09-09T22:58:34.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,15,13,2020-09-09T22:58:34Z,760000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M23.00S,2020-09-09T22:59:01.5Z,1,REGULAR,2pt,jumpshot,[],1628369,92.46057818659659,90.26501225490196,1610612738,15,13,2020-09-09T22:59:08Z,770000,201.0,18.0,1,right,MISS J. Tatum 20' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,20.27,,,,,,,,,,,,
78,PT06M19.00S,2020-09-09T22:59:05.5Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,15,13,2020-09-09T23:17:57Z,780000,,,0,,D. Theis REBOUND (Off:2 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,77.0,,2.0,0.0,2.0,,,,,,,,,
79,PT06M10.00S,2020-09-09T22:59:16.5Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,15,13,2020-09-09T22:59:27Z,790000,,,0,,F. VanVleet FOUL personal (1 PF),"[1627832, 202689]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,2882.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,,
81,PT05M59.00S,2020-09-09T22:59:44.7Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628369,70.51576872536137,76.78462009803921,1610612738,15,13,2020-09-09T22:59:47Z,810000,134.0,225.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,26.63,,,,,,,,,,,,
82,PT05M58.00S,2020-09-09T22:59:45.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,15,13,2020-09-09T22:59:51Z,820000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,81.0,,1.0,1.0,0.0,,,,,,,,,
83,PT05M49.00S,2020-09-09T22:59:54.6Z,1,REGULAR,2pt,jumpshot,[],201188,20.97568988173456,45.90226715686275,1610612761,15,13,2020-09-09T22:59:58Z,830000,20.0,145.0,1,left,MISS M. Gasol 15' jumpshot,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,Missed,,,15.16,,,,,,,,,,,,
84,PT05M48.00S,2020-09-09T22:59:55.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,13,2020-09-09T22:59:58Z,840000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,83.0,,3.0,3.0,0.0,,,,,,,,,
85,PT05M43.00S,2020-09-09T23:00:01.1Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627759,69.85873850197109,20.657169117647058,1610612738,15,13,2020-09-09T23:02:28Z,850000,-147.0,231.0,1,right,MISS J. Brown 28' 3PT,[1627759],1610612738.0,BOS,runningpullup,,,Brown,J. Brown,,,,,,,,,,Missed,,,27.81,,,,,,,,,,,,
86,PT05M42.00S,2020-09-09T23:00:02.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,15,13,2020-09-09T23:00:10Z,860000,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,85.0,,2.0,2.0,0.0,,,,,,,,,
87,PT05M30.00S,2020-09-09T23:00:13.6Z,1,REGULAR,2pt,jumpshot,[],1627783,16.507884362680684,12.814031862745098,1610612761,15,13,2020-09-09T23:00:16Z,870000,186.0,103.0,1,left,MISS P. Siakam 22' jumpshot,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,Missed,,,21.51,,,,,,,,,,,,
88,PT05M29.00S,2020-09-09T23:00:14.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,13,2020-09-09T23:00:19Z,880000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,87.0,,4.0,4.0,0.0,,,,,,,,,
89,PT05M21.00S,2020-09-09T23:00:23.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,89.83245729303549,54.48069852941176,1610612738,15,13,2020-09-09T23:00:42Z,890000,22.0,43.0,1,right,MISS J. Tatum jumpshot,[1628369],1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,5.35,,,,,,,,,,,,
90,PT05M20.00S,2020-09-09T23:00:24.6Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,15,13,2020-09-09T23:00:33Z,900000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,89.0,,5.0,4.0,1.0,,,,,,,,,
91,PT05M19.00S,2020-09-09T23:00:26.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,92.59198423127464,52.51991421568627,1610612738,15,13,2020-09-09T23:02:12Z,910000,13.0,17.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,2.59,,,,,,,,,,,,
