actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2019-12-27T21:10:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-27T21:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-27T21:10:41.2Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2019-12-27T21:10:41Z,40000,,,0,,Jump Ball D. Theis vs. T. Thompson: Tip to J. Brown,"[1627759, 1628464, 202684]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2019-12-27T21:10:53.8Z,1,REGULAR,2pt,jumpshot,[],1627759,12.959921156373195,22.61795343137255,1610612738,2,0,2019-12-27T21:11:22Z,70000,137.0,69.0,1,left,J. Brown 16' jumpshot (2 PTS) (G. Hayward 1 AST),"[1627759, 202330]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,15.6,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2019-12-27T21:11:15.9Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202684,90.09526938239159,51.294424019607845,1610612739,2,0,2019-12-27T21:11:22Z,90000,6.0,41.0,1,right,MISS T. Thompson hook,[202684],1610612739.0,CLE,turnaround,,,Thompson,T. Thompson,,,,,4.66,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2019-12-27T21:11:16.9Z,1,REGULAR,rebound,offensive,[],201567,,,1610612739,2,0,2019-12-27T21:11:28Z,100000,,,0,,K. Love REBOUND (Off:1 Def:0),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M19.00S,2019-12-27T21:11:20.2Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",201567,95.0,50.0,1610612739,2,2,2019-12-27T21:11:32Z,110000,0.0,-6.0,1,right,K. Love layup (2 PTS),[201567],1610612739.0,CLE,tip,,,Love,K. Love,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2019-12-27T21:11:35.9Z,1,REGULAR,3pt,jumpshot,[],1627759,3.679369250985545,95.18995098039215,1610612738,2,2,2019-12-27T21:11:44Z,120000,-226.0,-18.0,1,left,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.62,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2019-12-27T21:11:37.9Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,2,2,2019-12-27T21:11:44Z,130000,,,0,,K. Love REBOUND (Off:1 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,
14,PT10M51.00S,2019-12-27T21:11:46.5Z,1,REGULAR,2pt,jumpshot,[],1626224,70.43363994743758,52.05269607843137,1610612739,2,4,2019-12-27T21:11:55Z,140000,10.0,225.0,1,right,C. Osman 23' jumpshot (2 PTS),[1626224],1610612739.0,CLE,stepback,,,Osman,C. Osman,,,,,23.11,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M30.00S,2019-12-27T21:12:07.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,8.278580814717477,50.51700367647059,1610612738,4,4,2019-12-27T21:12:14Z,150000,-3.0,25.0,1,left,J. Brown layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.09,Made,4.0,,,,,,,,,,,,,,,,,,
16,PT10M12.00S,2019-12-27T21:12:25.7Z,1,REGULAR,2pt,jumpshot,[],1629012,78.9257555847569,54.970894607843135,1610612739,4,4,2019-12-27T21:12:33Z,160000,25.0,146.0,1,right,MISS C. Sexton 15' jumpshot,[1629012],1610612739.0,CLE,pullup,,,Sexton,C. Sexton,,,,,15.31,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M11.00S,2019-12-27T21:12:26.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,4,4,2019-12-27T21:12:33Z,170000,,,0,,Team offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
18,PT10M11.00S,2019-12-27T21:12:32.6Z,1,REGULAR,foul,personal,[],1628464,,,1610612739,4,4,2019-12-27T21:12:42Z,180000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 202684]",1610612738.0,BOS,looseball,,,Theis,D. Theis,,,,,,,,,,,,,,,201640.0,1.0,0.0,Thompson,202684.0,,,,,,
