actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2020-09-01T21:45:31.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-01T21:45:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2020-09-01T21:45:36.3Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2020-09-01T21:45:36Z,40000,,,0,,Jump Ball M. Gasol vs. D. Theis: Tip to F. VanVleet,"[1627832, 201188, 1628464]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Gasol,201188.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2020-09-01T21:45:51.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,7.966491458607096,53.255208333333336,1610612761,0,0,2020-09-01T21:45:56Z,70000,-16.0,22.0,1,left,MISS K. Lowry layup Blocked,"[200768, 1628464]",1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,3.23,Missed,Theis,1628464.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2020-09-01T21:45:51.4Z,1,REGULAR,block,,[],1628464,,,1610612761,0,0,2020-09-01T21:45:53Z,80000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2020-09-01T21:45:52.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2020-09-01T21:45:59Z,90000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M26.00S,2020-09-01T21:46:04.0Z,1,REGULAR,2pt,jumpshot,[],202689,72.7496714848883,48.84344362745098,1610612738,0,0,2020-09-01T21:46:07Z,100000,-6.0,204.0,1,right,MISS K. Walker 21' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,20.93,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2020-09-01T21:46:05.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2020-09-01T21:46:09Z,110000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M13.00S,2020-09-01T21:46:17.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201188,6.652431011826544,48.59834558823529,1610612761,2,0,2020-09-01T21:46:20Z,120000,7.0,10.0,1,left,M. Gasol layup (2 PTS) (P. Siakam 1 AST),"[201188, 1627783]",1610612761.0,TOR,cutting,,,Gasol,M. Gasol,,,,,1.7,Made,,,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,
14,PT10M53.00S,2020-09-01T21:46:37.1Z,1,REGULAR,3pt,jumpshot,[],203935,70.12155059132719,72.37285539215686,1610612738,2,3,2020-09-01T21:46:42Z,140000,112.0,228.0,1,right,M. Smart 26' 3PT  (3 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.93,Made,,,,,,,3.0,D. Theis,1628464.0,1.0,,,,,,,,,
16,PT10M35.00S,2020-09-01T21:46:55.0Z,1,REGULAR,3pt,jumpshot,[],1627832,26.757555847568987,15.265012254901961,1610612761,2,3,2020-09-01T21:46:58Z,160000,174.0,199.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.83,Missed,,,,,,,,,,,,,,,,,,,
