actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2020-09-17T23:15:45.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-17T23:15:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-17T23:15:48.3Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2020-09-17T23:15:48Z,40000,,,0,,Jump Ball D. Theis vs. B. Adebayo: Tip to K. Walker,"[202689, 1628464, 1628389]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-09-17T23:16:01.6Z,1,REGULAR,3pt,jumpshot,[],202689,67.23061760840999,49.333639705882355,1610612738,3,0,2020-09-17T23:16:07Z,70000,-3.0,256.0,1,right,K. Walker 26' 3PT  (3 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.1,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2020-09-17T23:16:18.6Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628389,11.908672798948752,44.18658088235294,1610612748,3,0,2020-09-17T23:16:23Z,80000,29.0,59.0,1,left,MISS B. Adebayo 7' hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,7.11,Missed,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2020-09-17T23:16:21.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2020-09-17T23:16:23Z,90000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M09.00S,2020-09-17T23:16:37.6Z,1,REGULAR,turnover,outofbounds,[],202689,,,1610612738,3,0,2020-09-17T23:16:43Z,100000,,,0,,K. Walker TURNOVER outofbounds (1 TOV),[202689],1610612738.0,BOS,badpass,,,Walker,K. Walker,,,,,,,,,,,,2714.0,1.0,,,,,,,,,,,
11,PT10M53.00S,2020-09-17T23:16:58.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629130,30.56833114323259,66.24540441176471,1610612748,3,3,2020-09-17T23:17:03Z,110000,-81.0,235.0,1,left,D. Robinson 25' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.36,Made,3.0,,,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,
13,PT10M39.00S,2020-09-17T23:17:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,3,3,2020-09-17T23:17:24Z,130000,,,0,,B. Adebayo FOUL personal (1 PF) (Theis 2freethrow),"[1628389, 1628464]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,2529.0,,,,,1.0,0.0,Theis,1628464.0,,,,
15,PT10M39.00S,2020-09-17T23:17:39.8Z,1,REGULAR,freethrow,1of2,[],1628464,,,1610612738,4,3,2020-09-17T23:17:39Z,150000,,,0,,D. Theis freethrow 1of2 (1 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2020-09-17T23:17:51.6Z,1,REGULAR,freethrow,2of2,[],1628464,,,1610612738,5,3,2020-09-17T23:17:51Z,160000,,,0,,D. Theis freethrow 2of2 (2 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
