actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M28.00S,2020-09-17T23:18:02.7Z,1,REGULAR,3pt,jumpshot,[],1629130,30.831143232588698,69.43167892156863,1610612748,5,6,2020-09-17T23:18:09Z,170000,-97.0,237.0,1,left,D. Robinson 26' 3PT  (6 PTS) (B. Adebayo 2 AST),"[1629130, 1628389]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,26.15,Made,6.0,,,,,,,B. Adebayo,1628389.0,2.0,,,,,,,,
19,PT10M14.00S,2020-09-17T23:18:19.0Z,1,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,5,6,2020-09-17T23:18:25Z,190000,,,0,,J. Brown TURNOVER outofbounds (1 TOV),[1627759],1610612738.0,BOS,badpass,,,Brown,J. Brown,,,,,,,,,,,,2529.0,1.0,,,,,,,,,,,
20,PT09M58.00S,2020-09-17T23:18:43.0Z,1,REGULAR,2pt,jumpshot,['fromturnover'],203109,10.85742444152431,23.108149509803923,1610612748,5,6,2020-09-17T23:18:47Z,200000,134.0,50.0,1,left,MISS J. Crowder 15' jumpshot,[203109],1610612748.0,MIA,fadeaway,,,Crowder,J. Crowder,,,,,14.53,Missed,,,,,,,,,,,,,,,,,,
21,PT09M55.00S,2020-09-17T23:18:46.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,5,6,2020-09-17T23:18:47Z,210000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,
22,PT09M50.00S,2020-09-17T23:18:50.5Z,1,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",203109,14.668199737187912,3.2552083333333335,1610612748,5,9,2020-09-17T23:18:54Z,220000,234.0,85.0,1,left,J. Crowder 25' 3PT  (3 PTS) (G. Dragic 1 AST),"[203109, 201609]",1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,25.08,Made,3.0,,,,,,,G. Dragic,201609.0,1.0,,,,,,,,
24,PT09M33.00S,2020-09-17T23:19:08.0Z,1,REGULAR,2pt,jumpshot,[],1627759,78.13731931668858,56.68658088235294,1610612738,7,9,2020-09-17T23:19:12Z,240000,33.0,153.0,1,right,J. Brown 16' jumpshot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.2,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M23.00S,2020-09-17T23:19:17.7Z,1,REGULAR,2pt,jumpshot,[],1628389,16.770696452036795,67.47089460784314,1610612748,7,9,2020-09-17T23:19:22Z,250000,-87.0,105.0,1,left,MISS B. Adebayo 14' jumpshot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,14.1,Missed,,,,,,,,,,,,,,,,,,
26,PT09M20.00S,2020-09-17T23:19:20.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,7,9,2020-09-17T23:19:22Z,260000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M13.00S,2020-09-17T23:19:30.1Z,1,REGULAR,foul,personal,[],1629130,,,1610612738,7,9,2020-09-17T23:19:38Z,270000,,,0,,D. Robinson FOUL personal (1 PF),"[1629130, 203935]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,1148.0,,,,,1.0,0.0,Smart,203935.0,,,,
29,PT09M10.00S,2020-09-17T23:19:50.6Z,1,REGULAR,violation,kickedball,[],1628389,,,1610612738,7,9,2020-09-17T23:19:54Z,290000,,,0,,B. Adebayo violation kickedball,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,1148.0,,,,,,,,,,,,
30,PT09M04.00S,2020-09-17T23:20:03.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.56307490144546,49.08854166666667,1610612738,9,9,2020-09-17T23:21:44Z,300000,-5.0,-1.0,1,right,J. Tatum layup (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,0.62,Made,2.0,,,,,,,M. Smart,203935.0,1.0,,,,,,,,
32,PT08M50.00S,2020-09-17T23:20:20.1Z,1,REGULAR,foul,personal,[],203935,,,1610612748,9,9,2020-09-17T23:20:26Z,320000,,,0,,M. Smart FOUL personal (1 PF),"[203935, 1629130]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,2529.0,,,,,1.0,0.0,Robinson,1629130.0,,,,
34,PT08M42.00S,2020-09-17T23:20:48.3Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628389,13.222733245729303,49.82383578431372,1610612748,9,9,2020-09-17T23:20:52Z,340000,1.0,72.0,1,left,MISS B. Adebayo 8' hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,7.73,Missed,,,,,,,,,,,,,,,,,,
35,PT08M40.00S,2020-09-17T23:20:50.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,9,9,2020-09-17T23:20:52Z,350000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M33.00S,2020-09-17T23:20:56.8Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,94.82588699080158,48.353247549019606,1610612738,11,9,2020-09-17T23:21:02Z,360000,-8.0,-4.0,1,right,D. Theis dunk (4 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,0.84,Made,4.0,,,,,,,K. Walker,202689.0,1.0,,,,,,,,
38,PT08M15.00S,2020-09-17T23:21:14.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202710,14.931011826544022,49.333639705882355,1610612748,11,9,2020-09-17T23:21:19Z,380000,3.0,88.0,1,left,MISS J. Butler 9' jumpshot,[202710],1610612748.0,MIA,turnaroundfadeaway,,,Butler,J. Butler,,,,,9.35,Missed,,,,,,,,,,,,,,,,,,
39,PT08M13.00S,2020-09-17T23:21:17.3Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,11,9,2020-09-17T23:21:17Z,390000,,,0,,B. Adebayo REBOUND (Off:2 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,38.0,2.0,0.0,2.0,,,,,,,,,,,,,
40,PT08M11.00S,2020-09-17T23:21:18.5Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1629130,4.681340341655716,96.14736519607843,1610612748,11,12,2020-09-17T23:21:23Z,400000,-231.0,-8.0,1,left,D. Robinson 23' 3PT  (9 PTS) (B. Adebayo 3 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,23.07,Made,9.0,,,,,,,B. Adebayo,1628389.0,3.0,,,,,,,,
42,PT07M46.00S,2020-09-17T23:21:43.6Z,1,REGULAR,turnover,badpass,[],202689,,,1610612738,11,12,2020-09-17T23:21:49Z,420000,,,0,,K. Walker TURNOVER badpass (2 TOV) Stolen,"[202689, 203109]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,2.0,,,,,,,,Crowder,203109.0,,
43,PT07M46.00S,2020-09-17T23:21:43.6Z,1,REGULAR,steal,,[],203109,,,1610612748,11,12,2020-09-17T23:21:45Z,430000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M43.00S,2020-09-17T23:21:47.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201609,6.258212877792378,49.333639705882355,1610612748,11,12,2020-09-17T23:21:54Z,440000,3.0,6.0,1,left,MISS G. Dragic layup,[201609],1610612748.0,MIA,runningfingerroll,,,Dragic,G. Dragic,,,,,1.23,Missed,,,,,,,,,,,,,,,,,,
45,PT07M40.00S,2020-09-17T23:21:49.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,11,12,2020-09-17T23:21:49Z,450000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,
46,PT07M38.00S,2020-09-17T23:21:52.2Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,68.80749014454665,67.9610906862745,1610612738,11,12,2020-09-17T23:21:59Z,460000,90.0,241.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,runningpullup,,,Smart,M. Smart,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,
47,PT07M33.00S,2020-09-17T23:21:57.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,12,2020-09-17T23:21:59Z,470000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
48,PT07M29.00S,2020-09-17T23:22:02.7Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612748,11,12,2020-09-17T23:22:14Z,480000,,,0,,K. Walker FOUL personal (1 PF) (Butler 2freethrow),"[202689, 202710]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,2714.0,,,,,1.0,0.0,Butler,202710.0,,,,
50,PT07M29.00S,2020-09-17T23:22:32.9Z,1,REGULAR,freethrow,1of2,[],202710,,,1610612748,11,13,2020-09-17T23:22:32Z,500000,,,0,,J. Butler freethrow 1of2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
51,PT07M29.00S,2020-09-17T23:22:33.6Z,1,REGULAR,substitution,out,[],203935,,,1610612748,11,13,2020-09-17T23:22:42Z,510000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M29.00S,2020-09-17T23:22:33.6Z,1,REGULAR,substitution,out,[],1628464,,,1610612748,11,13,2020-09-17T23:22:42Z,520000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M29.00S,2020-09-17T23:22:33.6Z,1,REGULAR,substitution,in,[],202683,,,1610612748,11,13,2020-09-17T23:22:42Z,530000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M29.00S,2020-09-17T23:22:33.6Z,1,REGULAR,substitution,in,[],1629641,,,1610612748,11,13,2020-09-17T23:22:42Z,540000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M29.00S,2020-09-17T23:22:56.0Z,1,REGULAR,freethrow,2of2,[],202710,,,1610612748,11,14,2020-09-17T23:22:56Z,550000,,,0,,J. Butler freethrow 2of2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
56,PT07M14.00S,2020-09-17T23:23:14.8Z,1,REGULAR,3pt,jumpshot,[],202689,70.51576872536137,22.37285539215686,1610612738,14,14,2020-09-17T23:23:19Z,560000,-138.0,225.0,1,right,K. Walker 27' 3PT  (6 PTS) (R. Langford 1 AST),"[202689, 1629641]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.84,Made,6.0,,,,,,,R. Langford,1629641.0,1.0,,,,,,,,
58,PT07M00.00S,2020-09-17T23:23:27.5Z,1,REGULAR,3pt,jumpshot,[],201609,34.641918528252305,26.049325980392158,1610612748,14,17,2020-09-17T23:23:32Z,580000,120.0,273.0,1,left,G. Dragic 30' 3PT  (3 PTS),[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,30.33,Made,3.0,,,,,,,,,,,,,,,,,
59,PT06M48.00S,2020-09-17T23:23:40.0Z,1,REGULAR,turnover,lostball,[],202689,,,1610612738,14,17,2020-09-17T23:23:48Z,590000,,,0,,K. Walker TURNOVER lostball (3 TOV) Stolen,"[202689, 1628389]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,3.0,,,,,,,,Adebayo,1628389.0,,
60,PT06M48.00S,2020-09-17T23:23:40.0Z,1,REGULAR,steal,,[],1628389,,,1610612748,14,17,2020-09-17T23:26:46Z,600000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2020-09-17T23:23:46.3Z,1,REGULAR,turnover,badpass,[],201609,,,1610612748,14,17,2020-09-17T23:23:50Z,610000,,,0,,G. Dragic TURNOVER badpass (1 TOV) Stolen,"[201609, 202689]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,1.0,,,,,,,,Walker,202689.0,,
62,PT06M42.00S,2020-09-17T23:23:46.3Z,1,REGULAR,steal,,[],202689,,,1610612738,14,17,2020-09-17T23:23:48Z,620000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M32.00S,2020-09-17T23:23:56.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202683,94.95729303547962,49.57873774509804,1610612738,16,17,2020-09-17T23:28:40Z,630000,-2.0,-5.0,1,right,E. Kanter layup (2 PTS) (J. Brown 1 AST),"[202683, 1627759]",1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,0.21,Made,2.0,,,,,,,J. Brown,1627759.0,1.0,,,,,,,,
65,PT06M15.00S,2020-09-17T23:24:12.4Z,1,REGULAR,3pt,jumpshot,[],1629130,7.5722733245729295,95.90226715686273,1610612748,16,17,2020-09-17T23:24:18Z,650000,-230.0,19.0,1,left,MISS D. Robinson 23' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,23.08,Missed,,,,,,,,,,,,,,,,,,
66,PT06M11.00S,2020-09-17T23:24:16.4Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,16,17,2020-09-17T23:24:18Z,660000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT06M08.00S,2020-09-17T23:24:24.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,17,2020-09-17T23:24:24Z,670000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M08.00S,2020-09-17T23:26:45.6Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,16,17,2020-09-17T23:27:48Z,680000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M08.00S,2020-09-17T23:26:45.6Z,1,REGULAR,substitution,out,[],201609,,,1610612738,16,17,2020-09-17T23:27:48Z,690000,,,0,,substitution out Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M08.00S,2020-09-17T23:26:45.6Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,16,17,2020-09-17T23:27:48Z,700000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M08.00S,2020-09-17T23:26:45.6Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,16,17,2020-09-17T23:27:48Z,710000,,,0,,substitution in Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M54.00S,2020-09-17T23:28:13.3Z,1,REGULAR,turnover,lostball,[],202683,,,1610612738,16,17,2020-09-17T23:28:17Z,720000,,,0,,E. Kanter TURNOVER lostball (1 TOV) Stolen,"[202683, 202710]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,1.0,,,,,,,,Butler,202710.0,,
73,PT05M54.00S,2020-09-17T23:28:13.3Z,1,REGULAR,steal,,[],202710,,,1610612748,16,17,2020-09-17T23:28:14Z,730000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M42.00S,2020-09-17T23:28:25.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629639,22.946780551905388,86.58854166666666,1610612748,16,17,2020-09-17T23:28:30Z,740000,-183.0,163.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
75,PT05M38.00S,2020-09-17T23:28:29.6Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,16,17,2020-09-17T23:28:30Z,750000,,,0,,E. Kanter REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,
76,PT05M33.00S,2020-09-17T23:28:33.7Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628400,94.69448094612353,94.921875,1610612738,16,17,2020-09-17T23:28:39Z,760000,225.0,-3.0,1,right,MISS S. Ojeleye 22' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.46,Missed,,,,,,,,,,,,,,,,,,
77,PT05M29.00S,2020-09-17T23:28:37.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,16,17,2020-09-17T23:28:39Z,770000,,,0,,B. Adebayo REBOUND (Off:2 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,76.0,3.0,1.0,2.0,,,,,,,,,,,,,
78,PT05M21.00S,2020-09-17T23:28:46.9Z,1,REGULAR,3pt,jumpshot,[],203109,10.726018396846255,94.43167892156863,1610612748,16,17,2020-09-17T23:28:58Z,780000,-222.0,48.0,1,left,MISS J. Crowder 23' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
79,PT05M20.00S,2020-09-17T23:28:47.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,16,17,2020-09-17T23:28:58Z,790000,,,0,,Team offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,
80,PT05M19.00S,2020-09-17T23:28:53.0Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,16,17,2020-09-17T23:29:01Z,800000,,,0,,J. Tatum FOUL personal (1 PF),"[1628369, 202710]",1610612738.0,BOS,looseball,,,Tatum,J. Tatum,,,,,,,,,,,,2714.0,,,,,1.0,0.0,Butler,202710.0,,,,
82,PT05M19.00S,2020-09-17T23:29:01.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,16,17,2020-09-17T23:29:10Z,820000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M19.00S,2020-09-17T23:29:01.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,16,17,2020-09-17T23:29:10Z,830000,,,0,,substitution out Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2020-09-17T23:29:01.0Z,1,REGULAR,substitution,in,[],203935,,,1610612748,16,17,2020-09-17T23:29:10Z,840000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M19.00S,2020-09-17T23:29:01.0Z,1,REGULAR,substitution,in,[],203482,,,1610612748,16,17,2020-09-17T23:29:10Z,850000,,,0,,substitution in Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2020-09-17T23:29:01.0Z,1,REGULAR,substitution,out,[],202683,,,1610612748,16,17,2020-09-17T23:29:17Z,860000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M19.00S,2020-09-17T23:29:01.0Z,1,REGULAR,substitution,in,[],1628464,,,1610612748,16,17,2020-09-17T23:29:17Z,870000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M06.00S,2020-09-17T23:29:37.5Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202710,10.200394218134035,3.990502450980392,1610612748,16,17,2020-09-17T23:29:42Z,880000,230.0,43.0,1,left,MISS J. Butler 24' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,23.51,Missed,,,,,,,,,,,,,,,,,,
89,PT05M02.00S,2020-09-17T23:29:41.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,16,17,2020-09-17T23:29:42Z,890000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,88.0,3.0,3.0,0.0,,,,,,,,,,,,,
90,PT04M50.00S,2020-09-17T23:29:53.8Z,1,REGULAR,2pt,jumpshot,[],1627759,78.66294349540078,66.73560049019608,1610612738,16,17,2020-09-17T23:29:59Z,900000,84.0,148.0,1,right,MISS J. Brown 17' jumpshot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,17.49,Missed,,,,,,,,,,,,,,,,,,
91,PT04M46.00S,2020-09-17T23:29:57.8Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,16,17,2020-09-17T23:29:59Z,910000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,90.0,2.0,2.0,0.0,,,,,,,,,,,,,
92,PT04M30.00S,2020-09-17T23:30:12.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202710,6.1268068331143235,48.10814950980392,1610612748,16,17,2020-09-17T23:30:16Z,920000,9.0,5.0,1,left,MISS J. Butler layup,[202710],1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,1.42,Missed,,,,,,,,,,,,,,,,,,
