actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
88,PT05M16.00S,2020-08-30T17:31:21.1Z,1,REGULAR,foul,offensive,[],1627783,,,1610612761,11,17,2020-08-30T17:31:27Z,880000,,,0,,P. Siakam FOUL offensive (2 PF),"[1627783, 203935]",1610612761.0,TOR,charge,,,Siakam,P. Siakam,,,,,,,,,,,,,,,2530.0,,2.0,0.0,Smart,203935.0,,,,,
90,PT05M16.00S,2020-08-30T17:31:21.1Z,1,REGULAR,turnover,offensivefoul,[],1627783,,,1610612761,11,17,2020-08-30T17:31:21Z,900000,,,0,,P. Siakam TURNOVER offensivefoul (1 TOV),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,2530.0,1.0,,,,,,,,,
91,PT05M16.00S,2020-08-30T17:31:31.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,11,17,2020-08-30T17:31:40Z,910000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M16.00S,2020-08-30T17:31:31.7Z,1,REGULAR,substitution,in,[],202954,,,1610612738,11,17,2020-08-30T17:31:40Z,920000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M03.00S,2020-08-30T17:31:59.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627832,,,1610612738,11,17,2020-08-30T17:32:05Z,930000,,,0,,F. VanVleet FOUL personal (1 PF) (Walker inpenalty),"[1627832, 202689]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,101284.0,,1.0,0.0,Walker,202689.0,,,,,
95,PT05M03.00S,2020-08-30T17:32:31.8Z,1,REGULAR,freethrow,1of2,['fromturnover'],202689,,,1610612738,11,18,2020-08-30T17:32:31Z,950000,,,0,,K. Walker freethrow 1of2 (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
96,PT05M03.00S,2020-08-30T17:32:32.5Z,1,REGULAR,substitution,out,[],200768,,,1610612738,11,18,2020-08-30T17:32:35Z,960000,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M03.00S,2020-08-30T17:32:32.5Z,1,REGULAR,substitution,in,[],1626181,,,1610612738,11,18,2020-08-30T17:32:35Z,970000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M03.00S,2020-08-30T17:32:54.2Z,1,REGULAR,freethrow,2of2,['fromturnover'],202689,,,1610612738,11,19,2020-08-30T17:32:54Z,980000,,,0,,K. Walker freethrow 2of2 (4 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
99,PT04M52.00S,2020-08-30T17:33:07.9Z,1,REGULAR,3pt,jumpshot,[],1627783,27.94021024967148,11.34344362745098,1610612761,11,19,2020-08-30T17:33:25Z,990000,193.0,210.0,1,left,MISS P. Siakam 29' 3PT,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,28.96,Missed,,,,,,,,,,,,,,,,,,,
100,PT04M50.00S,2020-08-30T17:33:09.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,19,2020-08-30T17:33:13Z,1000000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,99.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
101,PT04M42.00S,2020-08-30T17:33:17.7Z,1,REGULAR,3pt,jumpshot,[],203935,89.70105124835742,93.94148284313727,1610612738,11,22,2020-08-30T17:33:25Z,1010000,220.0,44.0,1,right,M. Smart 23' 3PT  (8 PTS),[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,22.53,Made,,,,,8.0,,,,,,,,,,,,,,
102,PT04M28.00S,2020-08-30T17:33:35.0Z,1,REGULAR,foul,personal,['2freethrow'],202954,,,1610612761,11,22,2020-08-30T17:33:43Z,1020000,,,0,,B. Wanamaker FOUL personal (1 PF) (Ibaka 2freethrow),"[202954, 201586]",1610612738.0,BOS,shooting,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,101284.0,,1.0,0.0,Ibaka,201586.0,,,,,
106,PT04M28.00S,2020-08-30T17:34:09.7Z,1,REGULAR,freethrow,1of2,[],201586,,,1610612761,12,22,2020-08-30T17:34:09Z,1040000,,,0,,S. Ibaka freethrow 1of2 (7 PTS),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
107,PT04M28.00S,2020-08-30T17:34:26.9Z,1,REGULAR,freethrow,2of2,[],201586,,,1610612761,13,22,2020-08-30T17:34:26Z,1050000,,,0,,S. Ibaka freethrow 2of2 (8 PTS),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
108,PT04M15.00S,2020-08-30T17:34:46.3Z,1,REGULAR,3pt,jumpshot,[],1627759,93.38042049934296,2.7650122549019605,1610612738,13,25,2020-08-30T17:34:52Z,1060000,-236.0,10.0,1,right,J. Brown 24' 3PT  (8 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.67,Made,,,,,8.0,K. Walker,202689.0,3.0,,,,,,,,,,,
110,PT04M15.00S,2020-08-30T17:34:49.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627783,,,1610612738,13,25,2020-08-30T17:34:56Z,1080000,,,0,,P. Siakam FOUL personal (3 PF) (Brown inpenalty),"[1627783, 1627759]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,,,,,202058.0,,3.0,0.0,Brown,1627759.0,,,,,
112,PT04M15.00S,2020-08-30T17:35:21.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,25,2020-08-30T17:38:51Z,1100000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M15.00S,2020-08-30T17:35:24.6Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612738,13,25,2020-08-30T17:38:51Z,1110000,,,0,,,[],1610612761.0,TOR,stands,,,,,,,,,,,,,,,,,,,101284.0,,,,,,,,,,
115,PT04M15.00S,2020-08-30T17:38:52.4Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",203606,,,1610612738,13,25,2020-08-30T17:39:02Z,1130000,,,0,,Team foul technical,[203606],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,202058.0,,,,,,,,,,
128,PT04M15.00S,2020-08-30T17:38:58.1Z,1,REGULAR,substitution,out,[],1627783,,,1610612738,13,25,2020-08-30T17:40:22Z,1138750,,,0,,substitution out Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT04M15.00S,2020-08-30T17:38:58.1Z,1,REGULAR,substitution,in,[],1629056,,,1610612738,13,25,2020-08-30T17:40:22Z,1139375,,,0,,substitution in Davis,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M15.00S,2020-08-30T17:39:03.8Z,1,REGULAR,freethrow,1of1,[],1627759,,,1610612738,13,25,2020-08-30T17:39:03Z,1140000,,,0,,MISS J. Brown technical freethrow 1of1,[1627759],1610612738.0,BOS,technical,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
117,PT04M15.00S,2020-08-30T17:39:03.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,13,25,2020-08-30T17:39:03Z,1150000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,
118,PT04M15.00S,2020-08-30T17:39:19.5Z,1,REGULAR,freethrow,1of1,[],1627759,,,1610612738,13,26,2020-08-30T17:39:19Z,1160000,,,0,,J. Brown freethrow 1of1 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
119,PT03M56.00S,2020-08-30T17:39:43.7Z,1,REGULAR,turnover,lostball,[],1629056,,,1610612761,13,26,2020-08-30T17:39:51Z,1170000,,,0,,T. Davis TURNOVER lostball (1 TOV) Stolen,"[1629056, 1629057]",1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,1.0,,,,,Williams III,1629057.0,,,
120,PT03M56.00S,2020-08-30T17:39:43.7Z,1,REGULAR,steal,,[],1629057,,,1610612738,13,26,2020-08-30T17:39:46Z,1180000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M51.00S,2020-08-30T17:39:48.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,92.85479632063075,55.951286764705884,1610612738,13,26,2020-08-30T17:42:19Z,1190000,30.0,15.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,runningalleyoop,,,Brown,J. Brown,,,,,3.6,Missed,,,,,,,,,,,,,,,,,,,
122,PT03M44.00S,2020-08-30T17:39:55.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,13,26,2020-08-30T17:39:55Z,1200000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,121.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
123,PT03M44.00S,2020-08-30T17:39:55.4Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,95.0,50.0,1610612738,13,28,2020-08-30T17:39:55Z,1210000,0.0,-6.0,1,right,R. Williams III dunk (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,0.0,Made,,,,,4.0,,,,,,,,,,,,,,
126,PT03M30.00S,2020-08-30T17:40:09.0Z,1,REGULAR,3pt,jumpshot,[],1626181,19.136005256241788,2.5199142156862746,1610612761,13,28,2020-08-30T17:40:14Z,1220000,237.0,127.0,1,left,MISS N. Powell 27' 3PT,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,27.21,Missed,,,,,,,,,,,,,,,,,,,
127,PT03M27.00S,2020-08-30T17:40:11.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,13,28,2020-08-30T17:40:11Z,1230000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
130,PT03M13.00S,2020-08-30T17:40:25.8Z,1,REGULAR,3pt,jumpshot,[],202689,66.83639947437582,47.127757352941174,1610612738,13,31,2020-08-30T17:43:17Z,1240000,-14.0,259.0,1,right,K. Walker 27' 3PT  (7 PTS) (R. Williams III 1 AST),"[202689, 1629057]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.51,Made,,,,,7.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,
132,PT03M06.00S,2020-08-30T17:40:33.5Z,1,REGULAR,3pt,jumpshot,[],1627832,21.23850197109067,6.931678921568627,1610612761,13,31,2020-08-30T17:43:37Z,1260000,215.0,147.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,,
133,PT03M03.00S,2020-08-30T17:40:36.5Z,1,REGULAR,rebound,offensive,[],1629056,,,1610612761,13,31,2020-08-30T17:40:38Z,1270000,,,0,,T. Davis REBOUND (Off:1 Def:0),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,132.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
134,PT03M02.00S,2020-08-30T17:40:37.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629056,5.338370565045992,47.372855392156865,1610612761,15,31,2020-08-30T17:40:56Z,1280000,13.0,-2.0,1,left,T. Davis layup (2 PTS),[1629056],1610612761.0,TOR,putback,,,Davis,T. Davis,,,,,1.35,Made,,,,,2.0,,,,,,,,,,,,,,
135,PT02M41.00S,2020-08-30T17:40:58.4Z,1,REGULAR,2pt,jumpshot,[],202689,80.50262812089356,75.3140318627451,1610612738,15,31,2020-08-30T17:43:53Z,1290000,127.0,131.0,1,right,MISS K. Walker 19' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,18.6,Missed,,,,,,,,,,,,,,,,,,,
136,PT02M39.00S,2020-08-30T17:41:00.4Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,15,31,2020-08-30T17:41:02Z,1300000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,135.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
137,PT02M35.00S,2020-08-30T17:41:05.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627832,6.389618922470433,52.51991421568627,1610612761,17,31,2020-08-30T17:44:12Z,1310000,-13.0,8.0,1,left,F. VanVleet layup (2 PTS),[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,1.82,Made,,,,,2.0,,,,,,,,,,,,,,
138,PT02M16.00S,2020-08-30T17:41:23.1Z,1,REGULAR,3pt,jumpshot,[],202954,80.76544021024968,4.970894607843137,1610612738,17,31,2020-08-30T17:41:30Z,1320000,-225.0,128.0,1,right,MISS B. Wanamaker 26' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,,
139,PT02M13.00S,2020-08-30T17:41:26.1Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,17,31,2020-08-30T17:41:30Z,1330000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,138.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
140,PT02M02.00S,2020-08-30T17:41:37.3Z,1,REGULAR,3pt,jumpshot,[],1629056,18.347568988173457,90.75520833333334,1610612761,17,31,2020-08-30T17:41:43Z,1340000,-204.0,120.0,1,left,MISS T. Davis 24' 3PT,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,23.93,Missed,,,,,,,,,,,,,,,,,,,
141,PT02M01.00S,2020-08-30T17:41:38.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,17,31,2020-08-30T17:41:43Z,1350000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,
142,PT02M01.00S,2020-08-30T17:41:42.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201586,,,1610612738,17,31,2020-08-30T17:42:05Z,1360000,,,0,,S. Ibaka FOUL personal (1 PF) (Smart inpenalty),"[201586, 203935]",1610612761.0,TOR,looseball,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,2530.0,,1.0,0.0,Smart,203935.0,,,,,
144,PT02M01.00S,2020-08-30T17:42:17.5Z,1,REGULAR,freethrow,1of2,[],203935,,,1610612738,17,32,2020-08-30T17:42:17Z,1380000,,,0,,M. Smart freethrow 1of2 (9 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
145,PT02M01.00S,2020-08-30T17:42:18.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,17,32,2020-08-30T17:42:25Z,1390000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M01.00S,2020-08-30T17:42:18.3Z,1,REGULAR,substitution,out,[],202689,,,1610612738,17,32,2020-08-30T17:42:25Z,1400000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M01.00S,2020-08-30T17:42:18.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,17,32,2020-08-30T17:42:25Z,1410000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M01.00S,2020-08-30T17:42:18.3Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,17,32,2020-08-30T17:42:25Z,1420000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M01.00S,2020-08-30T17:42:44.4Z,1,REGULAR,freethrow,2of2,[],203935,,,1610612738,17,33,2020-08-30T17:42:44Z,1430000,,,0,,M. Smart freethrow 2of2 (10 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,10.0,,,,,,,,,,,,,,
150,PT01M48.00S,2020-08-30T17:42:58.1Z,1,REGULAR,2pt,jumpshot,[],1626181,19.92444152431012,69.18658088235294,1610612761,17,33,2020-08-30T17:43:03Z,1440000,-96.0,135.0,1,left,MISS N. Powell 17' jumpshot Blocked,"[1626181, 1629057]",1610612761.0,TOR,pullup,,,Powell,N. Powell,,,,,16.99,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
152,PT01M48.00S,2020-08-30T17:42:58.1Z,1,REGULAR,block,,[],1629057,,,1610612761,17,33,2020-08-30T17:43:05Z,1445000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M46.00S,2020-08-30T17:43:00.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,17,33,2020-08-30T17:43:03Z,1450000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,150.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
153,PT01M42.00S,2020-08-30T17:43:11.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201586,,,1610612738,17,33,2020-08-30T17:43:23Z,1460000,,,0,,S. Ibaka FOUL personal (2 PF) (Williams III inpenalty),"[201586, 1629057]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,202058.0,,2.0,0.0,Williams III,1629057.0,,,,,
155,PT01M42.00S,2020-08-30T17:43:39.6Z,1,REGULAR,freethrow,1of2,[],1629057,,,1610612738,17,33,2020-08-30T17:43:39Z,1480000,,,0,,MISS R. Williams III freethrow 1of2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,,
156,PT01M42.00S,2020-08-30T17:43:39.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,17,33,2020-08-30T17:43:39Z,1490000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,
157,PT01M42.00S,2020-08-30T17:43:39.6Z,1,REGULAR,freethrow,2of2,[],1629057,,,1610612738,17,33,2020-08-30T17:43:57Z,1500000,,,0,,MISS R. Williams III freethrow 2of2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,,
158,PT01M40.00S,2020-08-30T17:43:41.6Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,17,33,2020-08-30T17:43:57Z,1510000,,,0,,S. Ibaka REBOUND (Off:0 Def:3),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,157.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
159,PT01M23.00S,2020-08-30T17:44:13.7Z,1,REGULAR,3pt,jumpshot,[],201586,33.065045992115635,34.627757352941174,1610612761,17,33,2020-08-30T17:44:19Z,1520000,77.0,258.0,1,left,MISS S. Ibaka 27' 3PT,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
160,PT01M19.00S,2020-08-30T17:44:17.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,17,33,2020-08-30T17:44:19Z,1530000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,159.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
161,PT01M04.00S,2020-08-30T17:44:35.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629056,,,1610612738,17,33,2020-08-30T17:44:43Z,1540000,,,0,,T. Davis FOUL personal (1 PF) (Wanamaker inpenalty),"[1629056, 202954]",1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,2530.0,,1.0,0.0,Wanamaker,202954.0,,,,,
163,PT01M04.00S,2020-08-30T17:44:56.6Z,1,REGULAR,freethrow,1of2,[],202954,,,1610612738,17,34,2020-08-30T17:45:14Z,1560000,,,0,,B. Wanamaker freethrow 1of2 (1 PTS),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
164,PT01M04.00S,2020-08-30T17:44:56.6Z,1,REGULAR,freethrow,2of2,[],202954,,,1610612738,17,34,2020-08-30T17:45:14Z,1570000,,,0,,MISS B. Wanamaker freethrow 2of2,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
165,PT01M01.00S,2020-08-30T17:44:59.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,17,34,2020-08-30T17:45:14Z,1580000,,,0,,O. Anunoby REBOUND (Off:0 Def:3),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,164.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
166,PT00M51.80S,2020-08-30T17:45:22.8Z,1,REGULAR,3pt,jumpshot,[],1627832,33.722076215505915,32.91207107843137,1610612761,17,34,2020-08-30T17:45:27Z,1590000,85.0,264.0,1,left,MISS F. VanVleet 28' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,28.32,Missed,,,,,,,,,,,,,,,,,,,
167,PT00M50.50S,2020-08-30T17:45:25.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,17,34,2020-08-30T17:45:25Z,1600000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,
168,PT00M50.50S,2020-08-30T17:45:27.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,17,34,2020-08-30T17:45:27Z,1610000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M39.90S,2020-08-30T17:45:47.6Z,1,REGULAR,2pt,jumpshot,[],1628369,79.84559789750328,16.00030637254902,1610612738,17,36,2020-08-30T17:45:52Z,1620000,-170.0,137.0,1,right,J. Tatum 22' jumpshot (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,22.18,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,
171,PT00M32.50S,2020-08-30T17:45:59.6Z,1,REGULAR,3pt,jumpshot,[],1629056,4.599211563731932,93.96446078431373,1610612761,20,36,2020-08-30T17:46:10Z,1640000,-220.0,-9.0,1,left,T. Davis 22' 3PT  (5 PTS) (F. VanVleet 2 AST),"[1629056, 1627832]",1610612761.0,TOR,,,,Davis,T. Davis,,,,,21.98,Made,,,,,5.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,
173,PT00M09.20S,2020-08-30T17:46:26.8Z,1,REGULAR,3pt,jumpshot,[],202954,93.9060446780552,95.41207107843137,1610612738,20,39,2020-08-30T17:46:33Z,1660000,227.0,5.0,1,right,B. Wanamaker 23' 3PT  (4 PTS) (J. Tatum 1 AST),"[202954, 1628369]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,22.73,Made,,,,,4.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
175,PT00M02.70S,2020-08-30T17:46:39.9Z,1,REGULAR,3pt,jumpshot,[],1626181,34.11629434954008,12.568933823529413,1610612761,23,39,2020-08-30T17:46:45Z,1680000,187.0,268.0,1,left,N. Powell 33' 3PT  (3 PTS) (F. VanVleet 3 AST),"[1626181, 1627832]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,33.16,Made,,,,,3.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,,
177,PT00M00.60S,2020-08-30T17:46:48.3Z,1,REGULAR,3pt,jumpshot,[],1628369,52.907358738501976,84.1375612745098,1610612738,23,39,2020-08-30T17:47:05Z,1700000,171.0,390.0,1,right,MISS J. Tatum 43' 3PT,[1628369],1610612738.0,BOS,bank,,,Tatum,J. Tatum,,,,,43.09,Missed,,,,,,,,,,,,,,,,,,,
178,PT00M00.10S,2020-08-30T17:46:48.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,23,39,2020-08-30T17:47:05Z,1710000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,,
179,PT00M00.00S,2020-08-30T17:46:51.1Z,1,REGULAR,period,end,[],0,,,1610612738,23,39,2020-08-30T17:46:51Z,1720000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2020-08-30T17:49:49.1Z,2,REGULAR,substitution,out,['startperiod'],1628384,,,1610612738,23,39,2020-08-30T17:50:18Z,1730000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2020-08-30T17:49:49.1Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612738,23,39,2020-08-30T17:50:18Z,1740000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2020-08-30T17:49:49.1Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,23,39,2020-08-30T17:50:18Z,1750000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2020-08-30T17:49:49.1Z,2,REGULAR,substitution,out,['startperiod'],1629057,,,1610612738,23,39,2020-08-30T17:50:18Z,1760000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
