actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-08-02T19:40:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-02T19:40:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2020-08-02T19:40:31.6Z,1,REGULAR,jumpball,recovered,[],1628380,,,1610612757,0,0,2020-08-02T19:40:31Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Theis: Tip to Z. Collins,"[1628380, 203994, 1628464]",1610612757.0,POR,startperiod,Z. Collins,1628380.0,Collins,Z. Collins,Nurkic,203994.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2020-08-02T19:40:44.1Z,1,REGULAR,2pt,hook,['pointsinthepaint'],203994,92.24704336399473,39.368872549019606,1610612757,0,0,2020-08-02T19:41:50Z,70000,-53.0,20.0,1,right,MISS J. Nurkic 6' hook,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,5.92,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2020-08-02T19:40:46.1Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,0,0,2020-08-02T19:41:36Z,80000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2020-08-02T19:40:47.8Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",203994,95.0,50.0,1610612757,0,2,2020-08-02T19:41:41Z,90000,0.0,-6.0,1,right,J. Nurkic layup (2 PTS),[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M23.00S,2020-08-02T19:41:05.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,7.178055190538765,49.57873774509804,1610612738,2,2,2020-08-02T19:41:09Z,100000,2.0,15.0,1,left,D. Theis layup (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.06,Made,,,,,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,
12,PT11M23.00S,2020-08-02T19:41:07.9Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612738,2,2,2020-08-02T19:41:17Z,120000,,,0,,J. Nurkic FOUL personal (1 PF) (Theis 1freethrow),"[203994, 1628464]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,1830.0,1.0,0.0,Theis,1628464.0,,,,,,
14,PT11M23.00S,2020-08-02T19:41:27.2Z,1,REGULAR,freethrow,1of1,[],1628464,,,1610612738,3,2,2020-08-02T19:41:27Z,140000,,,0,,D. Theis freethrow 1of1 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
15,PT11M04.00S,2020-08-02T19:41:46.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203994,93.38042049934296,41.24540441176471,1610612757,3,2,2020-08-02T19:41:51Z,150000,-44.0,10.0,1,right,MISS J. Nurkic jumpshot,[203994],1610612757.0,POR,bank,,,Nurkic,J. Nurkic,,,,,4.64,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2020-08-02T19:41:47.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,2,2020-08-02T19:41:51Z,160000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M56.00S,2020-08-02T19:41:55.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,6.915243101182654,50.06893382352941,1610612738,5,2,2020-08-02T19:41:59Z,170000,0.0,13.0,1,left,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.8,Made,,,,,2.0,,,,,,,,,,,,,,
18,PT10M40.00S,2020-08-02T19:42:10.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628380,92.37844940867281,41.23391544117647,1610612757,5,4,2020-08-02T19:42:20Z,180000,-44.0,19.0,1,right,Z. Collins jumpshot (2 PTS) (C. Anthony 1 AST),"[1628380, 2546]",1610612757.0,POR,turnaroundbank,,,Collins,Z. Collins,,,,,5.02,Made,,,,,2.0,C. Anthony,2546.0,1.0,,,,,,,,,,,
20,PT10M29.00S,2020-08-02T19:42:24.2Z,1,REGULAR,foul,personal,[],203081,,,1610612738,5,4,2020-08-02T19:42:30Z,200000,,,0,,D. Lillard FOUL personal (1 PF),"[203081, 202689]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,2004.0,1.0,0.0,Walker,202689.0,,,,,,
22,PT10M19.00S,2020-08-02T19:42:50.7Z,1,REGULAR,3pt,jumpshot,[],1628369,32.40801576872536,30.215992647058826,1610612738,5,4,2020-08-02T19:42:55Z,220000,99.0,252.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.59,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2020-08-02T19:42:53.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,5,4,2020-08-02T19:42:55Z,230000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
24,PT10M08.00S,2020-08-02T19:43:01.6Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],203994,94.30026281208936,49.82383578431372,1610612757,5,6,2020-08-02T19:43:07Z,240000,-1.0,1.0,1,right,J. Nurkic dunk (4 PTS) (D. Lillard 1 AST),"[203994, 203081]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,0.67,Made,,,,,4.0,D. Lillard,203081.0,1.0,,,,,,,,,,,
26,PT09M49.00S,2020-08-02T19:43:20.7Z,1,REGULAR,3pt,jumpshot,[],202689,18.610381077529567,94.18658088235294,1610612738,8,6,2020-08-02T19:43:25Z,260000,-221.0,122.0,1,left,K. Walker 26' 3PT  (5 PTS) (D. Theis 1 AST),"[202689, 1628464]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.53,Made,,,,,5.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
28,PT09M31.00S,2020-08-02T19:43:38.8Z,1,REGULAR,3pt,jumpshot,[],2546,75.50919842312747,13.794424019607842,1610612757,8,9,2020-08-02T19:43:44Z,280000,-181.0,178.0,1,right,C. Anthony 26' 3PT  (3 PTS) (D. Lillard 2 AST),"[2546, 203081]",1610612757.0,POR,,,,Anthony,C. Anthony,,,,,25.75,Made,,,,,3.0,D. Lillard,203081.0,2.0,,,,,,,,,,,
30,PT09M11.00S,2020-08-02T19:43:59.0Z,1,REGULAR,3pt,jumpshot,[],202330,3.630091984231275,96.14736519607843,1610612738,11,9,2020-08-02T19:44:06Z,300000,-231.0,-18.0,1,left,G. Hayward 23' 3PT  (3 PTS) (J. Tatum 1 AST),"[202330, 1628369]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,23.11,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
32,PT08M53.00S,2020-08-02T19:44:16.4Z,1,REGULAR,2pt,jumpshot,[],203468,96.00854139290408,76.04932598039215,1610612757,11,9,2020-08-02T19:44:21Z,320000,130.0,-15.0,1,right,MISS C. McCollum 13' jumpshot,[203468],1610612757.0,POR,turnaroundfadeaway,,,McCollum,C. McCollum,,,,,13.05,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M51.00S,2020-08-02T19:44:18.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,9,2020-08-02T19:44:21Z,330000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT08M46.00S,2020-08-02T19:44:26.6Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612738,11,9,2020-08-02T19:44:38Z,340000,,,0,,Z. Collins FOUL personal (1 PF) (Brown 2freethrow),"[1628380, 1627759]",1610612757.0,POR,shooting,,,Collins,Z. Collins,,,,,,,,,,,,,,,202053.0,1.0,0.0,Brown,1627759.0,,,,,,
36,PT08M46.00S,2020-08-02T19:44:47.3Z,1,REGULAR,freethrow,1of2,['fastbreak'],1627759,,,1610612738,12,9,2020-08-02T19:45:11Z,360000,,,0,,J. Brown freethrow 1of2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
37,PT08M46.00S,2020-08-02T19:44:47.3Z,1,REGULAR,freethrow,2of2,['fastbreak'],1627759,,,1610612738,12,9,2020-08-02T19:45:11Z,370000,,,0,,MISS J. Brown freethrow 2of2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M44.00S,2020-08-02T19:44:49.3Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612757,12,9,2020-08-02T19:45:11Z,380000,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612757.0,POR,,,,Collins,Z. Collins,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M31.00S,2020-08-02T19:45:16.6Z,1,REGULAR,2pt,jumpshot,[],2546,95.3515111695138,76.29442401960785,1610612757,12,9,2020-08-02T19:45:21Z,390000,131.0,-9.0,1,right,MISS C. Anthony 13' jumpshot,[2546],1610612757.0,POR,turnaroundfadeaway,,,Anthony,C. Anthony,,,,,13.15,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2020-08-02T19:45:19.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,9,2020-08-02T19:45:21Z,400000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M23.00S,2020-08-02T19:45:27.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,12,9,2020-08-02T19:45:27Z,410000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M08.00S,2020-08-02T19:45:55.3Z,1,REGULAR,2pt,jumpshot,[],1627759,21.895532194480946,61.83363970588235,1610612738,12,9,2020-08-02T19:46:01Z,420000,-59.0,153.0,1,left,MISS J. Brown 17' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.95,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M04.00S,2020-08-02T19:45:59.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,12,9,2020-08-02T19:46:01Z,430000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
44,PT08M00.00S,2020-08-02T19:46:03.3Z,1,REGULAR,turnover,badpass,[],203081,,,1610612757,12,9,2020-08-02T19:46:07Z,440000,,,0,,D. Lillard TURNOVER badpass (1 TOV) Stolen,"[203081, 1628464]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,1.0,Theis,1628464.0,,,
45,PT08M00.00S,2020-08-02T19:46:03.3Z,1,REGULAR,steal,,[],1628464,,,1610612738,12,9,2020-08-02T19:46:04Z,450000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M49.00S,2020-08-02T19:46:16.3Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612738,12,9,2020-08-02T19:46:25Z,460000,,,0,,Z. Collins FOUL personal (2 PF) (Tatum 2freethrow),"[1628380, 1628369]",1610612757.0,POR,shooting,,,Collins,Z. Collins,,,,,,,,,,,,,,,2004.0,2.0,0.0,Tatum,1628369.0,,,,,,
48,PT07M49.00S,2020-08-02T19:46:40.2Z,1,REGULAR,freethrow,1of2,['fromturnover'],1628369,,,1610612738,12,9,2020-08-02T19:46:40Z,480000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M49.00S,2020-08-02T19:46:40.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,12,9,2020-08-02T19:46:40Z,490000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,
50,PT07M49.00S,2020-08-02T19:46:41.2Z,1,REGULAR,substitution,out,[],1628380,,,1610612738,12,9,2020-08-02T19:46:57Z,500000,,,0,,substitution out Collins,[1628380],1610612757.0,POR,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M49.00S,2020-08-02T19:46:41.2Z,1,REGULAR,substitution,in,[],1626209,,,1610612738,12,9,2020-08-02T19:46:57Z,510000,,,0,,substitution in Hezonja,[1626209],1610612757.0,POR,,,,Hezonja,M. Hezonja,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M49.00S,2020-08-02T19:47:01.2Z,1,REGULAR,freethrow,2of2,['fromturnover'],1628369,,,1610612738,13,9,2020-08-02T19:47:01Z,520000,,,0,,J. Tatum freethrow 2of2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
53,PT07M35.00S,2020-08-02T19:47:16.8Z,1,REGULAR,3pt,jumpshot,[],2546,80.76544021024968,6.686580882352941,1610612757,13,9,2020-08-02T19:47:22Z,530000,-217.0,128.0,1,right,MISS C. Anthony 25' 3PT,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M33.00S,2020-08-02T19:47:18.8Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,13,9,2020-08-02T19:47:22Z,540000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,53.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
55,PT07M33.00S,2020-08-02T19:47:23.7Z,1,REGULAR,foul,personal,[],202689,,,1610612757,13,9,2020-08-02T19:47:44Z,550000,,,0,,K. Walker FOUL personal (1 PF),"[202689, 203994]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,1830.0,1.0,0.0,Nurkic,203994.0,,,,,,
57,PT07M26.00S,2020-08-02T19:47:49.7Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203081,74.06373193166885,83.64736519607843,1610612757,13,9,2020-08-02T19:47:54Z,570000,168.0,191.0,1,right,MISS D. Lillard 26' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2020-08-02T19:47:52.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,13,9,2020-08-02T19:47:54Z,580000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT07M13.00S,2020-08-02T19:48:02.2Z,1,REGULAR,3pt,jumpshot,[],202330,28.465834428383708,9.627757352941178,1610612738,13,9,2020-08-02T19:48:14Z,590000,202.0,215.0,1,left,MISS G. Hayward 30' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,29.9,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M11.00S,2020-08-02T19:48:04.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,13,9,2020-08-02T19:48:14Z,600000,,,0,,Team defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2020-08-02T19:48:12.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612757,13,9,2020-08-02T19:48:12Z,610000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M11.00S,2020-08-02T19:48:19.4Z,1,REGULAR,foul,personal,[],1628464,,,1610612757,13,9,2020-08-02T19:48:29Z,630000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 1626209]",1610612738.0,BOS,looseball,,,Theis,D. Theis,,,,,,,,,,,,,,,2004.0,1.0,0.0,Hezonja,1626209.0,,,,,,
65,PT07M00.00S,2020-08-02T19:48:32.3Z,1,REGULAR,2pt,jumpshot,[],203468,84.05059132720105,73.59834558823529,1610612757,13,11,2020-08-02T19:48:36Z,650000,118.0,97.0,1,right,C. McCollum 16' jumpshot (2 PTS) (J. Nurkic 1 AST),"[203468, 203994]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,15.66,Made,,,,,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,
67,PT06M48.00S,2020-08-02T19:48:43.9Z,1,REGULAR,3pt,jumpshot,[],202689,31.488173455978973,28.745404411764707,1610612738,16,11,2020-08-02T19:48:48Z,670000,106.0,243.0,1,left,K. Walker 27' 3PT  (8 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.07,Made,,,,,8.0,,,,,,,,,,,,,,
68,PT06M40.00S,2020-08-02T19:48:53.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203468,84.44480946123521,35.853247549019606,1610612757,16,11,2020-08-02T19:48:58Z,680000,-71.0,94.0,1,right,MISS C. McCollum 12' jumpshot,[203468],1610612757.0,POR,drivingfloating,,,McCollum,C. McCollum,,,,,12.18,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M36.00S,2020-08-02T19:48:57.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,16,11,2020-08-02T19:48:58Z,690000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
70,PT06M30.00S,2020-08-02T19:49:02.7Z,1,REGULAR,turnover,badpass,[],202689,,,1610612738,16,11,2020-08-02T19:49:08Z,700000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 203994]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,Nurkic,203994.0,,,
71,PT06M30.00S,2020-08-02T19:49:02.7Z,1,REGULAR,steal,,[],203994,,,1610612757,16,11,2020-08-02T19:49:05Z,710000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
