actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2020-09-12T01:26:06.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-12T01:26:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-12T01:26:09.0Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2020-09-12T01:26:09Z,40000,,,0,,Jump Ball D. Theis vs. M. Gasol: Tip to J. Brown,"[1627759, 1628464, 201188]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Gasol,201188.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-09-12T01:26:22.5Z,1,REGULAR,3pt,jumpshot,[],1627759,91.93495400788436,3.990502450980392,1610612738,0,0,2020-09-12T01:26:26Z,70000,-230.0,23.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2020-09-12T01:26:24.5Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,0,0,2020-09-12T01:26:26Z,80000,,,0,,M. Gasol REBOUND (Off:0 Def:1),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2020-09-12T01:26:39.0Z,1,REGULAR,3pt,jumpshot,[],200768,21.895532194480946,90.01991421568627,1610612761,3,0,2020-09-12T01:26:42Z,90000,-200.0,153.0,1,left,K. Lowry 26' 3PT  (3 PTS) (M. Gasol 1 AST),"[200768, 201188]",1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,25.55,Made,,,,,3.0,M. Gasol,201188.0,1.0,,,,,,,,,,
11,PT11M06.00S,2020-09-12T01:26:59.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,80.76544021024968,49.82383578431372,1610612738,3,2,2020-09-12T01:27:03Z,110000,-1.0,128.0,1,right,J. Tatum 13' jumpshot (2 PTS) (K. Walker 1 AST),"[1628369, 202689]",1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,13.38,Made,,,,,2.0,K. Walker,202689.0,1.0,,,,,,,,,,
13,PT10M51.00S,2020-09-12T01:27:14.4Z,1,REGULAR,2pt,jumpshot,[],201188,22.815374507227332,36.833639705882355,1610612761,5,2,2020-09-12T01:27:17Z,130000,66.0,162.0,1,left,M. Gasol 18' jumpshot (2 PTS) (F. VanVleet 1 AST),"[201188, 1627832]",1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,18.0,Made,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
15,PT10M36.00S,2020-09-12T01:27:30.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,95.0886990801577,50.06893382352941,1610612738,5,4,2020-09-12T01:27:35Z,150000,0.0,-6.0,1,right,J. Brown layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,0.09,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
17,PT10M15.00S,2020-09-12T01:27:51.1Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627783,9.937582128777924,46.88265931372549,1610612761,5,4,2020-09-12T01:27:54Z,170000,16.0,41.0,1,left,MISS P. Siakam hook,[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,4.9,Missed,,,,,,,,,,,,,,,,,,
18,PT10M13.00S,2020-09-12T01:27:53.1Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,5,4,2020-09-12T01:27:54Z,180000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
