actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
18,PT10M13.00S,2019-12-12T00:12:07.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,94.03745072273325,49.82383578431372,1610612738,5,7,2019-12-12T00:12:12Z,180000,-1.0,4.0,1,right,K. Walker layup (2 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,0.9,Made,2.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
20,PT09M57.00S,2019-12-12T00:12:23.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627763,7.440867279894875,51.53952205882353,1610612754,7,7,2019-12-12T00:12:27Z,200000,-8.0,17.0,1,left,M. Brogdon layup (5 PTS) (D. Sabonis 1 AST),"[1627763, 1627734]",1610612754.0,IND,reverse,,,Brogdon,M. Brogdon,,,,,2.42,Made,5.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
22,PT09M37.00S,2019-12-12T00:12:43.2Z,1,REGULAR,2pt,jumpshot,[],1628369,90.22667542706965,28.500306372549016,1610612738,7,9,2019-12-12T00:12:47Z,220000,-107.0,39.0,1,right,J. Tatum 12' jumpshot (2 PTS) (K. Walker 2 AST),"[1628369, 202689]",1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,11.65,Made,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,,
24,PT09M16.00S,2019-12-12T00:13:03.8Z,1,REGULAR,turnover,badpass,[],1627734,,,1610612754,7,9,2019-12-12T00:13:06Z,240000,,,0,,D. Sabonis TURNOVER badpass (1 TOV) Stolen,"[1627734, 1628369]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,
25,PT09M16.00S,2019-12-12T00:13:03.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,7,9,2019-12-12T00:13:05Z,250000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M12.00S,2019-12-12T00:13:08.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202330,93.64323258869908,51.78462009803921,1610612738,7,9,2019-12-12T00:13:15Z,260000,9.0,7.0,1,right,MISS G. Hayward layup Blocked,"[202330, 203087]",1610612738.0,BOS,running,,,Hayward,G. Hayward,,,,,1.56,Missed,,,,,,,,,,,,Lamb,203087.0,,,,,,
27,PT09M12.00S,2019-12-12T00:13:08.3Z,1,REGULAR,block,,[],203087,,,1610612738,7,9,2019-12-12T00:13:10Z,270000,,,0,,J. Lamb BLOCK (1 BLK),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M12.00S,2019-12-12T00:13:08.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,7,9,2019-12-12T00:13:15Z,280000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,
29,PT09M12.00S,2019-12-12T00:13:14.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,7,9,2019-12-12T00:13:14Z,290000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M05.00S,2019-12-12T00:13:30.7Z,1,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",1628464,67.09921156373193,29.480698529411764,1610612738,7,12,2019-12-12T00:13:34Z,300000,-103.0,257.0,1,right,D. Theis 28' 3PT  (5 PTS) (J. Brown 1 AST),"[1628464, 1627759]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,28.17,Made,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
32,PT08M46.00S,2019-12-12T00:13:50.6Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612754,7,12,2019-12-12T00:13:58Z,320000,,,0,,D. Theis FOUL personal (1 PF) (Sabonis 2freethrow),"[1628464, 1627734]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Sabonis,1627734.0,
34,PT08M46.00S,2019-12-12T00:14:17.9Z,1,REGULAR,freethrow,1of2,[],1627734,,,1610612754,8,12,2019-12-12T00:14:17Z,340000,,,0,,D. Sabonis freethrow 1of2 (1 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
35,PT08M46.00S,2019-12-12T00:14:31.3Z,1,REGULAR,freethrow,2of2,[],1627734,,,1610612754,9,12,2019-12-12T00:14:31Z,350000,,,0,,D. Sabonis freethrow 2of2 (2 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
36,PT08M30.00S,2019-12-12T00:14:49.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,95.22010512483574,53.990502450980394,1610612738,9,12,2019-12-12T00:14:53Z,360000,20.0,-8.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1626167]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.01,Missed,,,,,,,,,,,,Turner,1626167.0,,,,,,
37,PT08M30.00S,2019-12-12T00:14:49.5Z,1,REGULAR,block,,[],1626167,,,1610612738,9,12,2019-12-12T00:14:51Z,370000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M29.00S,2019-12-12T00:14:50.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,9,12,2019-12-12T00:14:53Z,380000,,,0,,Team defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,
39,PT08M29.00S,2019-12-12T00:14:53.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612754,9,12,2019-12-12T00:14:53Z,390000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M17.00S,2019-12-12T00:15:09.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203087,7.440867279894875,52.27481617647059,1610612754,9,12,2019-12-12T00:15:12Z,400000,-11.0,17.0,1,left,MISS J. Lamb jumpshot,[203087],1610612754.0,IND,drivingfloating,,,Lamb,J. Lamb,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M15.00S,2019-12-12T00:15:11.0Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,9,12,2019-12-12T00:15:12Z,410000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,,
42,PT08M11.00S,2019-12-12T00:15:14.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203933,28.597240473061763,83.15716911764706,1610612754,12,12,2019-12-12T00:15:18Z,420000,-166.0,216.0,1,left,T. Warren 28' 3PT  (3 PTS) (M. Brogdon 1 AST),"[203933, 1627763]",1610612754.0,IND,,,,Warren,T. Warren,,,,,27.69,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,,
44,PT07M54.00S,2019-12-12T00:15:37.2Z,1,REGULAR,foul,personal,[],203087,,,1610612738,12,12,2019-12-12T00:15:43Z,440000,,,0,,J. Lamb FOUL personal (1 PF),"[203087, 1628464]",1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Theis,1628464.0,
46,PT07M47.00S,2019-12-12T00:15:57.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,91.80354796320631,48.84344362745098,1610612738,12,12,2019-12-12T00:16:00Z,460000,-6.0,25.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,3.06,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M45.00S,2019-12-12T00:15:59.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,12,12,2019-12-12T00:16:00Z,470000,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,46.0,3.0,2.0,1.0,,,,,,,,,,,
48,PT07M33.00S,2019-12-12T00:16:11.4Z,1,REGULAR,3pt,jumpshot,[],1627763,6.652431011826544,4.4806985294117645,1610612754,15,12,2019-12-12T00:16:15Z,480000,228.0,10.0,1,left,M. Brogdon 23' 3PT  (8 PTS) (D. Sabonis 2 AST),"[1627763, 1627734]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,22.81,Made,8.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,,,,
50,PT07M11.00S,2019-12-12T00:16:33.3Z,1,REGULAR,2pt,jumpshot,[],202689,84.44480946123521,75.06893382352942,1610612738,15,14,2019-12-12T00:16:37Z,500000,125.0,94.0,1,right,K. Walker 16' jumpshot (4 PTS) (G. Hayward 1 AST),"[202689, 202330]",1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,15.98,Made,4.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
52,PT06M53.00S,2019-12-12T00:16:50.8Z,1,REGULAR,turnover,badpass,[],203933,,,1610612754,15,14,2019-12-12T00:16:53Z,520000,,,0,,T. Warren TURNOVER badpass (1 TOV) Stolen,"[203933, 1628369]",1610612754.0,IND,,,,Warren,T. Warren,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,
53,PT06M53.00S,2019-12-12T00:16:50.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,15,14,2019-12-12T00:16:52Z,530000,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M46.00S,2019-12-12T00:16:57.8Z,1,REGULAR,foul,personal,['3freethrow'],1627734,,,1610612738,15,14,2019-12-12T00:17:09Z,540000,,,0,,D. Sabonis FOUL personal (1 PF) (Walker 3freethrow),"[1627734, 202689]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Walker,202689.0,
56,PT06M46.00S,2019-12-12T00:17:08.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,14,2019-12-12T00:17:08Z,560000,,,0,,timeout full,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2019-12-12T00:19:41.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,14,2019-12-12T00:19:47Z,570000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2019-12-12T00:19:41.0Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,15,14,2019-12-12T00:19:47Z,580000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2019-12-12T00:20:13.9Z,1,REGULAR,freethrow,1of3,['fromturnover'],202689,,,1610612738,15,14,2019-12-12T00:20:13Z,590000,,,0,,MISS K. Walker freethrow 1of3,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2019-12-12T00:20:13.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,15,14,2019-12-12T00:20:13Z,600000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,
61,PT06M46.00S,2019-12-12T00:20:28.2Z,1,REGULAR,freethrow,2of3,['fromturnover'],202689,,,1610612738,15,15,2019-12-12T00:20:28Z,610000,,,0,,K. Walker freethrow 2of3 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
62,PT06M46.00S,2019-12-12T00:20:43.5Z,1,REGULAR,freethrow,3of3,['fromturnover'],202689,,,1610612738,15,16,2019-12-12T00:20:43Z,620000,,,0,,K. Walker freethrow 3of3 (6 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
63,PT06M34.00S,2019-12-12T00:20:59.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627734,6.1268068331143235,52.029718137254896,1610612754,17,16,2019-12-12T00:21:05Z,630000,-10.0,5.0,1,left,D. Sabonis layup (4 PTS) (J. Lamb 1 AST),"[1627734, 203087]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,1.46,Made,4.0,J. Lamb,203087.0,1.0,,,,,,,,,,,,,,,
65,PT06M34.00S,2019-12-12T00:21:01.0Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612754,17,16,2019-12-12T00:21:07Z,650000,,,0,,D. Theis FOUL personal (2 PF) (Sabonis 1freethrow),"[1628464, 1627734]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,1193.0,2.0,0.0,Sabonis,1627734.0,
67,PT06M34.00S,2019-12-12T00:21:23.9Z,1,REGULAR,freethrow,1of1,[],1627734,,,1610612754,18,16,2019-12-12T00:21:23Z,670000,,,0,,D. Sabonis freethrow 1of1 (5 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2019-12-12T00:21:44.2Z,1,REGULAR,3pt,jumpshot,[],1628464,75.24638633377135,8.892463235294118,1610612738,18,16,2019-12-12T00:21:49Z,680000,-206.0,180.0,1,right,MISS D. Theis 28' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,27.7,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M14.00S,2019-12-12T00:21:47.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,18,16,2019-12-12T00:21:49Z,690000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,
70,PT05M58.00S,2019-12-12T00:22:10.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612754,18,16,2019-12-12T00:22:14Z,700000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M58.00S,2019-12-12T00:22:10.1Z,1,REGULAR,substitution,in,[],202683,,,1610612754,18,16,2019-12-12T00:22:14Z,710000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M58.00S,2019-12-12T00:22:22.8Z,1,REGULAR,substitution,out,[],1627734,,,1610612754,18,16,2019-12-12T00:22:29Z,720000,,,0,,substitution out Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M58.00S,2019-12-12T00:22:22.8Z,1,REGULAR,substitution,in,[],203200,,,1610612754,18,16,2019-12-12T00:22:29Z,730000,,,0,,substitution in Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2019-12-12T00:22:44.9Z,1,REGULAR,jumpball,recovered,[],202683,,,1610612754,18,16,2019-12-12T00:22:44Z,740000,,,0,,Jump Ball K. Walker vs. M. Brogdon: Tip to E. Kanter,"[202683, 202689, 1627763]",1610612738.0,BOS,heldball,E. Kanter,202683.0,Kanter,E. Kanter,Walker,202689.0,Brogdon,1627763.0,,,,,,,,,,,,,,,,,,,,,
77,PT05M56.00S,2019-12-12T00:22:44.9Z,1,REGULAR,turnover,lostball,[],1627763,,,1610612754,18,16,2019-12-12T00:22:44Z,770000,,,0,,M. Brogdon TURNOVER lostball (1 TOV) Stolen,"[1627763, 202689]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,,,,,,
78,PT05M56.00S,2019-12-12T00:22:44.9Z,1,REGULAR,steal,,[],202689,,,1610612738,18,16,2019-12-12T00:22:44Z,780000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2019-12-12T00:23:00.6Z,1,REGULAR,2pt,jumpshot,['fromturnover'],202330,85.23324572930355,69.18658088235294,1610612738,18,18,2019-12-12T00:23:07Z,790000,96.0,86.0,1,right,G. Hayward 13' jumpshot (2 PTS) (J. Brown 2 AST),"[202330, 1627759]",1610612738.0,BOS,drivingfloating,,,Hayward,G. Hayward,,,,,13.28,Made,2.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
81,PT05M25.00S,2019-12-12T00:23:16.0Z,1,REGULAR,3pt,jumpshot,[],1626167,29.911300919842315,77.27481617647058,1610612754,18,18,2019-12-12T00:23:20Z,810000,-136.0,229.0,1,left,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2019-12-12T00:23:20.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,18,2019-12-12T00:23:20Z,820000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,
83,PT05M15.00S,2019-12-12T00:23:25.6Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,78.13731931668858,4.970894607843137,1610612738,18,21,2019-12-12T00:23:29Z,830000,-225.0,153.0,1,right,K. Walker 28' 3PT  (9 PTS) (J. Brown 3 AST),"[202689, 1627759]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.53,Made,9.0,J. Brown,1627759.0,3.0,,,,,,,,,,,,,,,
85,PT05M03.00S,2019-12-12T00:23:38.0Z,1,REGULAR,2pt,jumpshot,[],203087,23.866622864651774,30.95128676470588,1610612754,20,21,2019-12-12T00:23:41Z,850000,95.0,172.0,1,left,J. Lamb 20' jumpshot (2 PTS),[203087],1610612754.0,IND,pullup,,,Lamb,J. Lamb,,,,,20.12,Made,2.0,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2019-12-12T00:23:57.3Z,1,REGULAR,foul,technical,['1freethrow'],203200,,,1610612738,20,21,2019-12-12T00:24:01Z,860000,,,0,,Team foul technical,[203200],1610612754.0,IND,defensive3second,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,1193.0,,,,,
87,PT04M50.00S,2019-12-12T00:24:17.3Z,1,REGULAR,freethrow,1of1,[],202689,,,1610612738,20,22,2019-12-12T00:24:17Z,870000,,,0,,K. Walker technical freethrow 1of1 (10 PTS),[202689],1610612738.0,BOS,technical,,,Walker,K. Walker,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
88,PT04M50.00S,2019-12-12T00:24:18.5Z,1,REGULAR,substitution,out,[],202330,,,1610612738,20,22,2019-12-12T00:24:21Z,880000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M50.00S,2019-12-12T00:24:18.5Z,1,REGULAR,substitution,in,[],202954,,,1610612738,20,22,2019-12-12T00:24:21Z,890000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M42.00S,2019-12-12T00:24:41.5Z,1,REGULAR,3pt,jumpshot,[],202689,68.80749014454665,76.78462009803921,1610612738,20,25,2019-12-12T00:26:27Z,900000,134.0,241.0,1,right,K. Walker 28' 3PT  (13 PTS) (J. Brown 4 AST),"[202689, 1627759]",1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,28.03,Made,13.0,J. Brown,1627759.0,4.0,,,,,,,,,,,,,,,
91,PT04M27.00S,2019-12-12T00:24:56.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203087,7.440867279894875,50.80422794117647,1610612754,20,25,2019-12-12T00:25:02Z,910000,-4.0,17.0,1,left,MISS J. Lamb layup Blocked,"[203087, 202683]",1610612754.0,IND,driving,,,Lamb,J. Lamb,,,,,2.32,Missed,,,,,,,,,,,,Kanter,202683.0,,,,,,
92,PT04M27.00S,2019-12-12T00:24:56.4Z,1,REGULAR,block,,[],202683,,,1610612754,20,25,2019-12-12T00:24:59Z,920000,,,0,,E. Kanter BLOCK (1 BLK),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M27.00S,2019-12-12T00:24:56.4Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,20,25,2019-12-12T00:25:02Z,930000,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,91.0,2.0,1.0,1.0,,,,,,,,,,,
94,PT04M25.00S,2019-12-12T00:25:01.1Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1626167,6.389618922470433,43.69638480392157,1610612754,20,25,2019-12-12T00:25:09Z,940000,32.0,8.0,1,left,MISS M. Turner jumpshot Blocked,"[1626167, 202954]",1610612754.0,IND,,,,Turner,M. Turner,,,,,3.41,Missed,,,,,,,,,,,,Wanamaker,202954.0,,,,,,
95,PT04M25.00S,2019-12-12T00:25:01.1Z,1,REGULAR,block,,[],202954,,,1610612754,20,25,2019-12-12T00:25:09Z,950000,,,0,,B. Wanamaker BLOCK (1 BLK),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M25.00S,2019-12-12T00:25:01.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,20,25,2019-12-12T00:25:09Z,960000,,,0,,Team offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,
