actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2019-12-12T00:10:20.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-12T00:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2019-12-12T00:10:21.9Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2019-12-12T00:10:21Z,40000,,,0,,Jump Ball D. Theis vs. M. Turner: Tip to J. Brown,"[1627759, 1628464, 1626167]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2019-12-12T00:10:33.9Z,1,REGULAR,3pt,jumpshot,[],1627759,69.85873850197109,20.412071078431374,1610612738,0,3,2019-12-12T00:10:38Z,70000,-148.0,231.0,1,right,J. Brown 28' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.88,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2019-12-12T00:10:54.6Z,1,REGULAR,3pt,jumpshot,[],203087,16.113666228646515,4.970894607843137,1610612754,0,3,2019-12-12T00:10:58Z,90000,225.0,99.0,1,left,MISS J. Lamb 25' 3PT,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2019-12-12T00:10:57.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,3,2019-12-12T00:10:58Z,100000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M14.00S,2019-12-12T00:11:05.7Z,1,REGULAR,2pt,jumpshot,[],1628464,89.96386333771353,73.84344362745098,1610612738,0,3,2019-12-12T00:11:09Z,110000,119.0,42.0,1,right,MISS D. Theis 13' jumpshot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,12.82,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2019-12-12T00:11:07.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,0,3,2019-12-12T00:11:09Z,120000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M06.00S,2019-12-12T00:11:13.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627763,25.57490144546649,86.58854166666666,1610612754,3,3,2019-12-12T00:11:18Z,130000,-183.0,188.0,1,left,M. Brogdon 27' 3PT  (3 PTS),[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,26.62,Made,3.0,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2019-12-12T00:11:33.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.38042049934296,49.82383578431372,1610612738,3,5,2019-12-12T00:11:36Z,140000,-1.0,10.0,1,right,D. Theis layup (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,cuttingfingerroll,,,Theis,D. Theis,,,,,1.52,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
16,PT10M35.00S,2019-12-12T00:11:45.5Z,1,REGULAR,2pt,jumpshot,[],1626167,10.200394218134035,74.82383578431373,1610612754,5,5,2019-12-12T00:11:48Z,160000,-124.0,43.0,1,left,M. Turner 13' jumpshot (2 PTS) (T. Warren 1 AST),"[1626167, 203933]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,13.34,Made,2.0,T. Warren,203933.0,1.0,,,,,,,,,,,,,,,
