actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
26,PT09M54.00S,2019-12-22T23:12:58.6Z,1,REGULAR,steal,,[],1626179,,,1610612766,7,6,2019-12-22T23:19:53Z,250000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2019-12-22T23:13:07.1Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1626179,24.52365308804205,86.83363970588235,1610612766,7,6,2019-12-22T23:13:12Z,260000,-184.0,178.0,1,left,MISS T. Rozier 26' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,26.0,Missed,,,,,,,,,,,,,,
28,PT09M45.00S,2019-12-22T23:13:08.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,6,2019-12-22T23:13:12Z,270000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT09M39.00S,2019-12-22T23:13:13.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202689,94.69448094612353,57.666973039215684,1610612738,7,6,2019-12-22T23:13:25Z,280000,38.0,-3.0,1,right,MISS K. Walker layup Blocked,"[202689, 1628970]",1610612738.0,BOS,running,,,Walker,K. Walker,,,,,,,,,,3.84,Missed,Bridges,1628970.0,,,,,,,,,,,,
30,PT09M39.00S,2019-12-22T23:13:13.8Z,1,REGULAR,block,,[],1628970,,,1610612738,7,6,2019-12-22T23:13:15Z,290000,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2019-12-22T23:13:15.8Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612766,7,6,2019-12-22T23:13:25Z,300000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
32,PT09M18.00S,2019-12-22T23:13:35.7Z,1,REGULAR,3pt,jumpshot,[],1628970,31.779730617608408,35.64261642156863,1610612766,7,9,2019-12-22T23:13:40Z,310000,72.0,246.0,1,left,M. Bridges 26' 3PT  (3 PTS) (D. Graham 1 AST),"[1628970, 1628984]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,26.17,Made,,,,,,,3.0,D. Graham,1628984.0,1.0,,,,
34,PT08M55.00S,2019-12-22T23:13:57.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,79.71419185282524,44.18658088235294,1610612738,7,9,2019-12-22T23:14:02Z,330000,-29.0,138.0,1,right,MISS J. Tatum 15' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,14.66,Missed,,,,,,,,,,,,,,
35,PT08M52.00S,2019-12-22T23:14:00.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,9,2019-12-22T23:14:02Z,340000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT08M35.00S,2019-12-22T23:14:18.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626179,16.245072273324574,50.06893382352941,1610612766,7,9,2019-12-22T23:14:27Z,350000,0.0,100.0,1,left,MISS T. Rozier 11' jumpshot,[1626179],1610612766.0,CHA,drivingfloating,,,Rozier,T. Rozier,,,,,,,,,,10.57,Missed,,,,,,,,,,,,,,
37,PT08M34.00S,2019-12-22T23:14:19.4Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,7,9,2019-12-22T23:14:27Z,360000,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,
38,PT08M33.00S,2019-12-22T23:14:21.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1626179,6.438896189224705,46.51501225490196,1610612766,7,11,2019-12-22T23:14:41Z,370000,17.0,8.0,1,left,T. Rozier layup (2 PTS),[1626179],1610612766.0,CHA,putback,,,Rozier,T. Rozier,,,,,,,,,,2.2,Made,,,,,,,2.0,,,,,,,
39,PT08M11.00S,2019-12-22T23:14:41.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.1688567674113,43.69638480392157,1610612738,9,11,2019-12-22T23:14:45Z,380000,-32.0,2.0,1,right,J. Tatum layup (2 PTS) (K. Walker 1 AST),"[1628369, 202689]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,3.25,Made,,,,,,,2.0,K. Walker,202689.0,1.0,,,,
41,PT07M57.00S,2019-12-22T23:14:55.1Z,1,REGULAR,3pt,jumpshot,[],1628984,37.27003942181341,53.255208333333336,1610612766,9,14,2019-12-22T23:15:00Z,400000,-16.0,298.0,1,left,D. Graham 30' 3PT  (9 PTS) (M. Bridges 1 AST),"[1628984, 1628970]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,30.37,Made,,,,,,,9.0,M. Bridges,1628970.0,1.0,,,,
43,PT07M57.00S,2019-12-22T23:15:03.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,14,2019-12-22T23:15:03Z,420000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M57.00S,2019-12-22T23:17:08.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,9,14,2019-12-22T23:17:55Z,430000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M57.00S,2019-12-22T23:17:08.7Z,1,REGULAR,substitution,in,[],202683,,,1610612738,9,14,2019-12-22T23:17:55Z,440000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M41.00S,2019-12-22T23:18:19.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,83.311432325887,51.50505514705882,1610612738,9,14,2019-12-22T23:18:27Z,450000,8.0,104.0,1,right,MISS J. Tatum 11' jumpshot,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,,,,,,11.02,Missed,,,,,,,,,,,,,,
47,PT07M38.00S,2019-12-22T23:18:22.8Z,1,REGULAR,rebound,defensive,[],202687,,,1610612766,9,14,2019-12-22T23:18:27Z,460000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,
48,PT07M27.00S,2019-12-22T23:18:34.0Z,1,REGULAR,3pt,jumpshot,[],1628984,27.020367936925098,12.568933823529413,1610612766,9,14,2019-12-22T23:27:01Z,470000,187.0,201.0,1,left,MISS D. Graham 28' 3PT,[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,,,,,,27.91,Missed,,,,,,,,,,,,,,
49,PT07M24.00S,2019-12-22T23:18:37.0Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,9,14,2019-12-22T23:18:45Z,480000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,
50,PT07M10.00S,2019-12-22T23:18:51.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,92.72339027595268,53.01011029411765,1610612738,9,14,2019-12-22T23:19:06Z,490000,15.0,16.0,1,right,MISS J. Brown layup Blocked,"[1627759, 202687]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,2.62,Missed,Biyombo,202687.0,,,,,,,,,,,,
56,PT07M10.00S,2019-12-22T23:18:51.7Z,1,REGULAR,block,,[],202687,,,1610612738,9,14,2019-12-22T23:19:37Z,495000,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M09.00S,2019-12-22T23:18:52.7Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,9,14,2019-12-22T23:19:37Z,500000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,
