actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
85,PT04M54.00S,2019-12-22T23:22:40.1Z,1,REGULAR,foul,personal,['2freethrow'],203469,,,1610612738,15,23,2019-12-22T23:22:51Z,810000,,,0,,C. Zeller FOUL personal (1 PF) (Kanter 2freethrow),"[203469, 202683]",1610612766.0,CHA,shooting,,,Zeller,C. Zeller,,,,,1627524.0,1.0,0.0,Kanter,202683.0,,,,,,,,,,,,,,,,
87,PT04M54.00S,2019-12-22T23:23:08.5Z,1,REGULAR,freethrow,1of2,[],202683,,,1610612738,16,23,2019-12-22T23:23:08Z,830000,,,0,,E. Kanter freethrow 1of2 (1 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
88,PT04M54.00S,2019-12-22T23:23:09.4Z,1,REGULAR,substitution,out,[],201587,,,1610612738,16,23,2019-12-22T23:23:17Z,840000,,,0,,substitution out Batum,[201587],1610612766.0,CHA,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M54.00S,2019-12-22T23:23:09.4Z,1,REGULAR,substitution,in,[],1628998,,,1610612738,16,23,2019-12-22T23:23:17Z,850000,,,0,,substitution in Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M54.00S,2019-12-22T23:23:28.1Z,1,REGULAR,freethrow,2of2,[],202683,,,1610612738,17,23,2019-12-22T23:23:28Z,860000,,,0,,E. Kanter freethrow 2of2 (2 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,Made,,,,,,,2.0,,,,,,,
91,PT04M38.00S,2019-12-22T23:23:45.2Z,1,REGULAR,3pt,jumpshot,[],1626179,29.6484888304862,78.74540441176471,1610612766,17,23,2019-12-22T23:23:52Z,870000,-144.0,226.0,1,left,MISS T. Rozier 27' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,27.26,Missed,,,,,,,,,,,,,,
92,PT04M37.00S,2019-12-22T23:23:46.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,17,23,2019-12-22T23:23:52Z,880000,,,0,,E. Kanter REBOUND (Off:1 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,91.0,2.0,1.0,1.0,,,,,,,,
93,PT04M27.00S,2019-12-22T23:23:56.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.43166885676742,52.76501225490197,1610612738,19,23,2019-12-22T23:24:07Z,890000,14.0,0.0,1,right,E. Kanter layup (4 PTS) (J. Brown 2 AST),"[202683, 1627759]",1610612738.0,BOS,cutting,,,Kanter,E. Kanter,,,,,,,,,,1.48,Made,,,,,,,4.0,J. Brown,1627759.0,2.0,,,,
95,PT04M27.00S,2019-12-22T23:24:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,19,23,2019-12-22T23:24:01Z,910000,,,0,,timeout full,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M27.00S,2019-12-22T23:26:32.1Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,19,23,2019-12-22T23:26:41Z,920000,,,0,,substitution out Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M27.00S,2019-12-22T23:26:32.1Z,1,REGULAR,substitution,in,[],101107,,,1610612766,19,23,2019-12-22T23:26:41Z,930000,,,0,,substitution in Williams,[101107],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M14.00S,2019-12-22T23:27:11.4Z,1,REGULAR,turnover,traveling,[],203469,,,1610612766,19,23,2019-12-22T23:27:18Z,940000,,,0,,C. Zeller TURNOVER traveling (1 TOV),[203469],1610612766.0,CHA,,,,Zeller,C. Zeller,,,,,1627524.0,,,,,,,,,,,,,,,,,1.0,,,
99,PT04M03.00S,2019-12-22T23:27:34.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202689,94.95729303547962,52.51991421568627,1610612738,21,23,2019-12-22T23:27:37Z,950000,13.0,-5.0,1,right,K. Walker layup (7 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,,,,,,1.26,Made,,,,,,,7.0,,,,,,,
100,PT03M44.00S,2019-12-22T23:27:54.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628370,12.828515111695138,48.10814950980392,1610612766,21,23,2019-12-22T23:31:18Z,960000,9.0,68.0,1,left,MISS M. Monk 7' jumpshot,[1628370],1610612766.0,CHA,turnaroundfadeaway,,,Monk,M. Monk,,,,,,,,,,7.42,Missed,,,,,,,,,,,,,,
101,PT03M43.00S,2019-12-22T23:27:55.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,21,23,2019-12-22T23:28:01Z,970000,,,0,,E. Kanter REBOUND (Off:1 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,100.0,3.0,2.0,1.0,,,,,,,,
102,PT03M36.00S,2019-12-22T23:28:02.2Z,1,REGULAR,3pt,jumpshot,[],202689,66.83639947437582,30.215992647058826,1610612738,21,23,2019-12-22T23:28:10Z,980000,-99.0,259.0,1,right,MISS K. Walker 28' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,28.26,Missed,,,,,,,,,,,,,,
103,PT03M35.00S,2019-12-22T23:28:03.2Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,21,23,2019-12-22T23:28:10Z,990000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,
104,PT03M17.00S,2019-12-22T23:28:22.8Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612766,21,23,2019-12-22T23:28:38Z,1000000,,,0,,K. Walker FOUL personal (2 PF) (Martin 2freethrow),"[202689, 1628998]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,201639.0,2.0,0.0,Martin,1628998.0,,,,,,,,,,,,,,,,
106,PT03M17.00S,2019-12-22T23:28:42.6Z,1,REGULAR,freethrow,1of2,[],1628998,,,1610612766,21,24,2019-12-22T23:29:09Z,1020000,,,0,,C. Martin freethrow 1of2 (1 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
107,PT03M17.00S,2019-12-22T23:28:44.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612766,21,24,2019-12-22T23:28:53Z,1030000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M17.00S,2019-12-22T23:28:44.2Z,1,REGULAR,substitution,out,[],202689,,,1610612766,21,24,2019-12-22T23:28:53Z,1040000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M17.00S,2019-12-22T23:28:44.2Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,21,24,2019-12-22T23:28:53Z,1050000,,,0,,substitution out Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M17.00S,2019-12-22T23:28:44.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612766,21,24,2019-12-22T23:28:53Z,1060000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M17.00S,2019-12-22T23:28:44.2Z,1,REGULAR,substitution,in,[],1629750,,,1610612766,21,24,2019-12-22T23:28:53Z,1070000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M17.00S,2019-12-22T23:28:44.2Z,1,REGULAR,substitution,in,[],1628984,,,1610612766,21,24,2019-12-22T23:28:53Z,1080000,,,0,,substitution in Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M17.00S,2019-12-22T23:28:42.6Z,1,REGULAR,freethrow,2of2,[],1628998,,,1610612766,21,24,2019-12-22T23:29:09Z,1090000,,,0,,MISS C. Martin freethrow 2of2,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,Missed,,,,,,,,,,,,,,
114,PT03M17.00S,2019-12-22T23:28:42.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,24,2019-12-22T23:29:09Z,1100000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,
115,PT03M01.00S,2019-12-22T23:29:21.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629684,94.82588699080158,51.78462009803921,1610612738,23,24,2019-12-22T23:29:25Z,1110000,9.0,-4.0,1,right,G. Williams layup (2 PTS) (B. Wanamaker 1 AST),"[1629684, 202954]",1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,,,,,,0.9,Made,,,,,,,2.0,B. Wanamaker,202954.0,1.0,,,,
117,PT02M48.00S,2019-12-22T23:29:34.2Z,1,REGULAR,2pt,jumpshot,[],1628984,17.559132720105126,25.06893382352941,1610612766,23,24,2019-12-22T23:29:40Z,1130000,125.0,113.0,1,left,MISS D. Graham 17' jumpshot Blocked,"[1628984, 1628369]",1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,,,,,,17.17,Missed,Tatum,1628369.0,,,,,,,,,,,,
118,PT02M48.00S,2019-12-22T23:29:34.2Z,1,REGULAR,block,,[],1628369,,,1610612766,23,24,2019-12-22T23:29:36Z,1140000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M47.00S,2019-12-22T23:29:35.2Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,23,24,2019-12-22T23:29:40Z,1150000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,
120,PT02M43.00S,2019-12-22T23:29:39.0Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1629750,94.82588699080158,50.314031862745104,1610612738,25,24,2019-12-22T23:29:45Z,1160000,2.0,-4.0,1,right,J. Green dunk (2 PTS) (B. Wanamaker 2 AST),"[1629750, 202954]",1610612738.0,BOS,running,,,Green,J. Green,,,,,,,,,,0.23,Made,,,,,,,2.0,B. Wanamaker,202954.0,2.0,,,,
122,PT02M23.00S,2019-12-22T23:29:59.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203469,7.35873850197109,46.61458333333333,1610612766,25,26,2019-12-22T23:30:08Z,1180000,17.0,17.0,1,left,C. Zeller layup (2 PTS) (D. Graham 3 AST),"[203469, 1628984]",1610612766.0,CHA,cutting,,,Zeller,C. Zeller,,,,,,,,,,2.79,Made,,,,,,,2.0,D. Graham,1628984.0,3.0,,,,
124,PT02M03.00S,2019-12-22T23:30:22.6Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,25,26,2019-12-22T23:30:31Z,1200000,,,0,,J. Tatum FOUL offensive (1 PF),"[1628369, 1628998]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1627524.0,1.0,0.0,Martin,1628998.0,,,,,,,,,,,,,,,,
126,PT02M03.00S,2019-12-22T23:30:22.6Z,1,REGULAR,turnover,offensivefoul,[],1628369,,,1610612738,25,26,2019-12-22T23:30:22Z,1220000,,,0,,J. Tatum TURNOVER offensivefoul (1 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1627524.0,,,,,,,,,,,,,,,,,1.0,,,
127,PT02M03.00S,2019-12-22T23:30:35.8Z,1,REGULAR,substitution,out,[],202683,,,1610612766,25,26,2019-12-22T23:30:41Z,1230000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M03.00S,2019-12-22T23:30:35.8Z,1,REGULAR,substitution,in,[],1628464,,,1610612766,25,26,2019-12-22T23:30:41Z,1240000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M45.00S,2019-12-22T23:31:06.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628984,30.145367936925098,31.954656862745097,1610612766,25,29,2019-12-22T23:31:12Z,1250000,90.0,231.0,1,left,D. Graham 25' 3PT  (12 PTS),[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,,,,,,25.3,Made,,,,,,,12.0,,,,,,,
130,PT01M32.00S,2019-12-22T23:31:24.5Z,1,REGULAR,foul,offensive,[],1628464,,,1610612738,25,29,2019-12-22T23:31:39Z,1260000,,,0,,D. Theis FOUL offensive (1 PF),"[1628464, 1628998]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,204059.0,1.0,0.0,Martin,1628998.0,,,,,,,,,,,,,,,,
132,PT01M32.00S,2019-12-22T23:31:24.5Z,1,REGULAR,turnover,offensivefoul,[],1628464,,,1610612738,25,29,2019-12-22T23:31:24Z,1280000,,,0,,D. Theis TURNOVER offensivefoul (1 TOV),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,204059.0,,,,,,,,,,,,,,,,,1.0,,,
133,PT01M16.00S,2019-12-22T23:31:55.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628998,29.122864651773984,80.21599264705883,1610612766,25,32,2019-12-22T23:31:58Z,1290000,-151.0,221.0,1,left,C. Martin 27' 3PT  (4 PTS) (D. Graham 4 AST),"[1628998, 1628984]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,27.25,Made,,,,,,,4.0,D. Graham,1628984.0,4.0,,,,
135,PT01M01.00S,2019-12-22T23:32:10.5Z,1,REGULAR,2pt,jumpshot,[],1628369,78.53153745072274,41.98069852941176,1610612738,27,32,2019-12-22T23:32:15Z,1310000,-40.0,149.0,1,right,J. Tatum 16' jumpshot (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,15.99,Made,,,,,,,4.0,,,,,,,
136,PT00M45.50S,2019-12-22T23:32:30.4Z,1,REGULAR,3pt,jumpshot,[],1628984,23.866622864651774,88.05912990196079,1610612766,27,35,2019-12-22T23:32:33Z,1320000,-190.0,172.0,1,left,D. Graham 26' 3PT  (15 PTS) (C. Martin 1 AST),"[1628984, 1628998]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,26.01,Made,,,,,,,15.0,C. Martin,1628998.0,1.0,,,,
138,PT00M34.50S,2019-12-22T23:32:47.4Z,1,REGULAR,3pt,jumpshot,[],1628369,66.17936925098554,47.127757352941174,1610612738,30,35,2019-12-22T23:32:51Z,1340000,-14.0,265.0,1,right,J. Tatum 27' 3PT  (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,27.13,Made,,,,,,,7.0,,,,,,,
139,PT00M10.70S,2019-12-22T23:33:15.0Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612766,30,35,2019-12-22T23:33:22Z,1350000,,,0,,G. Williams FOUL personal (2 PF) (Graham 2freethrow),"[1629684, 1628984]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,204059.0,2.0,0.0,Graham,1628984.0,,,,,,,,,,,,,,,,
141,PT00M10.70S,2019-12-22T23:33:41.5Z,1,REGULAR,freethrow,1of2,[],1628984,,,1610612766,30,36,2019-12-22T23:33:41Z,1370000,,,0,,D. Graham freethrow 1of2 (16 PTS),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,Made,,,,,,,16.0,,,,,,,
142,PT00M10.70S,2019-12-22T23:33:46.1Z,1,REGULAR,substitution,out,[],1629684,,,1610612766,30,36,2019-12-22T23:33:51Z,1380000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M10.70S,2019-12-22T23:33:46.1Z,1,REGULAR,substitution,in,[],202689,,,1610612766,30,36,2019-12-22T23:33:51Z,1390000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M10.70S,2019-12-22T23:34:08.1Z,1,REGULAR,freethrow,2of2,[],1628984,,,1610612766,30,37,2019-12-22T23:34:08Z,1400000,,,0,,D. Graham freethrow 2of2 (17 PTS),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,Made,,,,,,,17.0,,,,,,,
145,PT00M02.20S,2019-12-22T23:34:20.6Z,1,REGULAR,foul,personal,[],1628998,,,1610612738,30,37,2019-12-22T23:34:47Z,1410000,,,0,,C. Martin FOUL personal (1 PF),"[1628998, 202689]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,201639.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,,
147,PT00M00.40S,2019-12-22T23:34:40.7Z,1,REGULAR,3pt,jumpshot,[],1628464,90.48948751642575,95.41207107843137,1610612738,30,37,2019-12-22T23:34:51Z,1430000,227.0,37.0,1,right,MISS D. Theis 23' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,23.1,Missed,,,,,,,,,,,,,,
148,PT00M00.40S,2019-12-22T23:34:40.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,30,37,2019-12-22T23:34:51Z,1440000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,147.0,,,,,,,,,,,
149,PT00M00.00S,2019-12-22T23:34:46.1Z,1,REGULAR,period,end,[],0,,,1610612738,30,37,2019-12-22T23:34:46Z,1450000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2019-12-22T23:36:46.9Z,2,REGULAR,substitution,out,['startperiod'],202689,,,1610612738,30,37,2019-12-22T23:37:21Z,1460000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2019-12-22T23:36:46.9Z,2,REGULAR,substitution,in,['startperiod'],1629641,,,1610612738,30,37,2019-12-22T23:37:21Z,1470000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2019-12-22T23:37:31.8Z,2,REGULAR,period,start,[],0,,,1610612738,30,37,2019-12-22T23:37:31Z,1480000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M42.00S,2019-12-22T23:38:04.4Z,2,REGULAR,foul,technical,['1freethrow'],203469,,,1610612738,30,37,2019-12-22T23:38:13Z,1500000,,,0,,Team foul technical,[203469],1610612766.0,CHA,defensive3second,,,Zeller,C. Zeller,,,,,201639.0,,,,,,,,,,,,,,,,,,,,
155,PT11M42.00S,2019-12-22T23:38:14.7Z,2,REGULAR,freethrow,1of1,[],1628369,,,1610612738,31,37,2019-12-22T23:38:14Z,1510000,,,0,,J. Tatum technical freethrow 1of1 (8 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,,,,Made,,,,,,,8.0,,,,,,,
156,PT11M31.00S,2019-12-22T23:38:33.0Z,2,REGULAR,2pt,jumpshot,[],1628369,91.19579500657031,28.03308823529412,1610612738,33,37,2019-12-22T23:38:40Z,1520000,-110.0,30.0,1,right,J. Tatum 12' jumpshot (10 PTS),[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,,,,,,11.55,Made,,,,,,,10.0,,,,,,,
157,PT11M12.00S,2019-12-22T23:38:52.1Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],101107,10.85742444152431,55.70618872549019,1610612766,33,37,2019-12-22T23:39:33Z,1530000,-29.0,50.0,1,left,MISS M. Williams 6' jumpshot Blocked,"[101107, 1628369]",1610612766.0,CHA,drivingfloating,,,Williams,M. Williams,,,,,,,,,,6.2,Missed,Tatum,1628369.0,,,,,,,,,,,,
158,PT11M12.00S,2019-12-22T23:38:52.1Z,2,REGULAR,block,,[],1628369,,,1610612766,33,37,2019-12-22T23:38:53Z,1540000,,,0,,J. Tatum BLOCK (2 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M11.00S,2019-12-22T23:38:53.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,33,37,2019-12-22T23:39:00Z,1550000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,157.0,2.0,2.0,0.0,,,,,,,,
160,PT11M07.00S,2019-12-22T23:38:57.8Z,2,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1628369,94.69448094612353,41.98069852941176,1610612738,33,37,2019-12-22T23:39:12Z,1560000,-40.0,-3.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,,,4.02,Missed,,,,,,,,,,,,,,
161,PT11M06.00S,2019-12-22T23:38:58.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,37,2019-12-22T23:39:12Z,1570000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,
162,PT11M06.00S,2019-12-22T23:39:05.2Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,33,37,2019-12-22T23:39:05Z,1580000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M00.00S,2019-12-22T23:39:41.4Z,2,REGULAR,foul,personal,['2freethrow'],1628998,,,1610612738,33,37,2019-12-22T23:39:55Z,1590000,,,0,,C. Martin FOUL personal (2 PF) (Tatum 2freethrow),"[1628998, 1628369]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,204059.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
165,PT11M00.00S,2019-12-22T23:40:06.0Z,2,REGULAR,freethrow,1of2,['2ndchance'],1628369,,,1610612738,34,37,2019-12-22T23:40:06Z,1610000,,,0,,J. Tatum freethrow 1of2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,,,,,,,11.0,,,,,,,
166,PT11M00.00S,2019-12-22T23:40:22.8Z,2,REGULAR,freethrow,2of2,['2ndchance'],1628369,,,1610612738,35,37,2019-12-22T23:40:22Z,1620000,,,0,,J. Tatum freethrow 2of2 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,,,,,,,12.0,,,,,,,
167,PT10M38.00S,2019-12-22T23:40:44.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628998,6.964520367936925,42.76194852941176,1610612766,35,37,2019-12-22T23:40:53Z,1630000,36.0,13.0,1,left,MISS C. Martin layup Blocked,"[1628998, 1629641]",1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,,,,,,4.07,Missed,Langford,1629641.0,,,,,,,,,,,,
168,PT10M38.00S,2019-12-22T23:40:44.5Z,2,REGULAR,block,,[],1629641,,,1610612766,35,37,2019-12-22T23:40:46Z,1640000,,,0,,R. Langford BLOCK (1 BLK),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M36.00S,2019-12-22T23:40:46.5Z,2,REGULAR,rebound,defensive,[],1629750,,,1610612738,35,37,2019-12-22T23:40:53Z,1650000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,
170,PT10M32.00S,2019-12-22T23:40:51.1Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1628369,68.28186596583443,48.353247549019606,1610612738,35,37,2019-12-22T23:41:30Z,1660000,-8.0,246.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,,,25.13,Missed,,,,,,,,,,,,,,
171,PT10M32.00S,2019-12-22T23:40:51.1Z,2,REGULAR,rebound,defensive,[],101107,,,1610612766,35,37,2019-12-22T23:40:58Z,1670000,,,0,,M. Williams REBOUND (Off:0 Def:1),[101107],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,
172,PT10M25.00S,2019-12-22T23:40:58.6Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1628984,30.72848226018397,27.05269607843137,1610612766,35,37,2019-12-22T23:41:06Z,1680000,115.0,236.0,1,left,MISS D. Graham 27' 3PT,[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,,,,,,26.76,Missed,,,,,,,,,,,,,,
173,PT10M23.00S,2019-12-22T23:41:00.6Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,35,37,2019-12-22T23:41:06Z,1690000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,172.0,2.0,2.0,0.0,,,,,,,,
174,PT10M17.00S,2019-12-22T23:41:06.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.32917214191852,54.23560049019608,1610612738,35,37,2019-12-22T23:41:10Z,1700000,21.0,20.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,3.29,Missed,,,,,,,,,,,,,,
175,PT10M16.00S,2019-12-22T23:41:07.5Z,2,REGULAR,rebound,defensive,[],101107,,,1610612766,35,37,2019-12-22T23:44:06Z,1710000,,,0,,M. Williams REBOUND (Off:0 Def:2),[101107],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,174.0,2.0,2.0,0.0,,,,,,,,
176,PT10M13.00S,2019-12-22T23:41:12.0Z,2,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612766,35,37,2019-12-22T23:41:20Z,1720000,,,0,,J. Green FOUL personal (1 PF) (Martin 2freethrow),"[1629750, 1628998]",1610612738.0,BOS,shooting,,,Green,J. Green,,,,,204059.0,1.0,0.0,Martin,1628998.0,,,,,,,,,,,,,,,,
