actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2020-09-26T00:45:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-26T00:45:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2020-09-26T00:45:29.4Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612748,0,0,2020-09-26T00:45:29Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Theis: Tip to J. Crowder,"[203109, 1628389, 1628464]",1610612748.0,MIA,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Adebayo,1628389.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2020-09-26T00:45:46.5Z,1,REGULAR,3pt,jumpshot,[],1629130,24.78646517739816,82.91207107843137,1610612748,0,3,2020-09-26T00:45:50Z,70000,-165.0,180.0,1,left,D. Robinson 25' 3PT  (3 PTS) (J. Crowder 1 AST),"[1629130, 203109]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,24.84,Made,3.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2020-09-26T00:46:04.5Z,1,REGULAR,3pt,jumpshot,[],1628464,93.64323258869908,94.43167892156863,1610612738,0,3,2020-09-26T00:46:09Z,90000,222.0,7.0,1,right,MISS D. Theis 22' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,22.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2020-09-26T00:46:05.5Z,1,REGULAR,rebound,defensive,[],201609,,,1610612748,0,3,2020-09-26T00:46:12Z,100000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M05.00S,2020-09-26T00:46:19.3Z,1,REGULAR,3pt,jumpshot,[],203109,6.521024967148489,3.2552083333333335,1610612748,0,3,2020-09-26T00:46:22Z,110000,234.0,9.0,1,left,MISS J. Crowder 23' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2020-09-26T00:46:20.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,3,2020-09-26T00:46:26Z,120000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M57.00S,2020-09-26T00:46:28.1Z,1,REGULAR,3pt,jumpshot,[],1627759,70.90998685939553,15.265012254901961,1610612738,0,3,2020-09-26T00:46:32Z,130000,-174.0,221.0,1,right,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,28.54,Missed,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2020-09-26T00:46:29.1Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,0,3,2020-09-26T00:46:43Z,140000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M53.00S,2020-09-26T00:46:32.4Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,66.3107752956636,49.08854166666667,1610612738,0,3,2020-09-26T00:46:35Z,150000,-5.0,264.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.97,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2020-09-26T00:46:33.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,0,3,2020-09-26T00:46:38Z,160000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M41.00S,2020-09-26T00:46:44.2Z,1,REGULAR,3pt,jumpshot,[],201609,31.61957950065703,40.510110294117645,1610612748,0,3,2020-09-26T00:46:47Z,170000,47.0,245.0,1,left,MISS G. Dragic 25' 3PT,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2020-09-26T00:46:45.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,3,2020-09-26T00:46:47Z,180000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
