actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M34.00S,2020-09-26T00:46:52.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,92.59198423127464,45.41207107843137,1610612738,0,3,2020-09-26T00:46:55Z,190000,-23.0,17.0,1,right,MISS K. Walker layup Blocked,"[202689, 203109]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,3.22,Missed,,,,,,,,,Crowder,203109.0,,,,,,,,
20,PT10M34.00S,2020-09-26T00:46:52.2Z,1,REGULAR,block,,[],203109,,,1610612738,0,3,2020-09-26T00:46:54Z,200000,,,0,,J. Crowder BLOCK (1 BLK),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2020-09-26T00:46:53.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,3,2020-09-26T00:46:58Z,210000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M27.00S,2020-09-26T00:46:59.1Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1629130,6.389618922470433,49.08854166666667,1610612748,0,5,2020-09-26T00:47:05Z,220000,5.0,8.0,1,left,D. Robinson layup (5 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,1.39,Made,5.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,
42,PT10M08.00S,2020-09-26T00:47:22.4Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,0,5,2020-09-26T00:49:51Z,265000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 202710]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,Butler,202710.0,,,,,
43,PT10M08.00S,2020-09-26T00:47:22.4Z,1,REGULAR,steal,,[],202710,,,1610612748,0,5,2020-09-26T00:49:51Z,267500,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2020-09-26T00:47:28.2Z,1,REGULAR,foul,offensive,[],202710,,,1610612748,0,5,2020-09-26T00:47:46Z,270000,,,0,,J. Butler FOUL offensive (1 PF),"[202710, 203935]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Smart,203935.0
29,PT10M01.00S,2020-09-26T00:47:28.2Z,1,REGULAR,turnover,offensivefoul,[],202710,,,1610612748,0,5,2020-09-26T00:47:28Z,290000,,,0,,J. Butler TURNOVER offensivefoul (1 TOV),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,1.0,,,202041.0,,,,
30,PT09M48.00S,2020-09-26T00:47:56.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203935,89.43823915900131,3.990502450980392,1610612738,3,5,2020-09-26T00:48:00Z,300000,-230.0,47.0,1,right,M. Smart 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.59,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
32,PT09M31.00S,2020-09-26T00:48:13.3Z,1,REGULAR,2pt,jumpshot,[],1628389,7.440867279894875,22.37285539215686,1610612748,3,5,2020-09-26T00:48:16Z,320000,138.0,17.0,1,left,MISS B. Adebayo 14' jumpshot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,14.0,Missed,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2020-09-26T00:48:14.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,5,2020-09-26T00:48:16Z,330000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT09M23.00S,2020-09-26T00:48:24.3Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,3,5,2020-09-26T00:48:32Z,340000,,,0,,B. Adebayo FOUL personal (1 PF) (Tatum 2freethrow),"[1628389, 1628369]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Tatum,1628369.0
36,PT09M23.00S,2020-09-26T00:48:47.6Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,4,5,2020-09-26T00:48:47Z,360000,,,0,,J. Tatum freethrow 1of2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
37,PT09M23.00S,2020-09-26T00:49:04.3Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,5,5,2020-09-26T00:49:04Z,370000,,,0,,J. Tatum freethrow 2of2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2020-09-26T00:49:21.0Z,1,REGULAR,3pt,jumpshot,[],1629130,35.69316688567674,47.86305147058824,1610612748,5,5,2020-09-26T00:49:28Z,380000,11.0,283.0,1,left,MISS D. Robinson 29' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,28.87,Missed,,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2020-09-26T00:49:22.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,5,5,2020-09-26T00:49:28Z,390000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,
40,PT08M56.00S,2020-09-26T00:49:33.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,5,2020-09-26T00:49:33Z,400000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M50.00S,2020-09-26T00:49:49.5Z,1,REGULAR,3pt,jumpshot,[],202689,65.91655716162943,55.70618872549019,1610612738,5,5,2020-09-26T00:49:56Z,410000,29.0,268.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,
44,PT08M49.00S,2020-09-26T00:49:50.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,5,5,2020-09-26T00:50:03Z,420000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,
45,PT08M40.00S,2020-09-26T00:50:00.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628389,6.389618922470433,46.63756127450981,1610612748,5,7,2020-09-26T00:52:13Z,430000,17.0,8.0,1,left,B. Adebayo layup (2 PTS) (J. Butler 2 AST),"[1628389, 202710]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,2.13,Made,2.0,J. Butler,202710.0,2.0,,,,,,,,,,,,,,
47,PT08M15.00S,2020-09-26T00:50:24.7Z,1,REGULAR,3pt,jumpshot,[],1627759,75.64060446780552,86.58854166666666,1610612738,5,7,2020-09-26T00:50:31Z,450000,183.0,176.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
48,PT08M13.00S,2020-09-26T00:50:26.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,7,2020-09-26T00:50:31Z,460000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
49,PT08M13.00S,2020-09-26T00:50:31.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,7,2020-09-26T00:50:31Z,470000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M13.00S,2020-09-26T00:50:36.4Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,5,7,2020-09-26T00:50:42Z,480000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M13.00S,2020-09-26T00:50:36.4Z,1,REGULAR,substitution,in,[],202330,,,1610612738,5,7,2020-09-26T00:50:42Z,490000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M08.00S,2020-09-26T00:50:53.6Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202330,66.83639947437582,65.75520833333334,1610612738,5,7,2020-09-26T00:52:57Z,500000,79.0,259.0,1,right,MISS G. Hayward 28' 3PT,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,27.62,Missed,,,,,,,,,,,,,,,,,,
53,PT08M07.00S,2020-09-26T00:50:54.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,5,7,2020-09-26T00:50:59Z,510000,,,0,,J. Butler REBOUND (Off:0 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,
54,PT07M59.00S,2020-09-26T00:51:02.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628389,9.937582128777924,47.127757352941174,1610612748,5,7,2020-09-26T00:51:07Z,520000,14.0,41.0,1,left,MISS B. Adebayo layup,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,4.86,Missed,,,,,,,,,,,,,,,,,,
55,PT07M57.00S,2020-09-26T00:51:04.8Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,5,7,2020-09-26T00:51:04Z,530000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,
56,PT07M56.00S,2020-09-26T00:51:05.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628389,7.5722733245729295,46.392463235294116,1610612748,5,7,2020-09-26T00:51:10Z,540000,18.0,19.0,1,left,MISS B. Adebayo layup Blocked,"[1628389, 202330]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,3.02,Missed,,,,,,,,,Hayward,202330.0,,,,,,,,
57,PT07M56.00S,2020-09-26T00:51:05.7Z,1,REGULAR,block,,[],202330,,,1610612748,5,7,2020-09-26T00:51:07Z,550000,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M56.00S,2020-09-26T00:51:05.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,7,2020-09-26T00:51:10Z,560000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M48.00S,2020-09-26T00:51:13.2Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628369,65.65374507227332,36.833639705882355,1610612738,5,7,2020-09-26T00:51:19Z,570000,-66.0,270.0,1,right,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,28.36,Missed,,,,,,,,,,,,,,,,,,
60,PT07M47.00S,2020-09-26T00:51:14.2Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,5,7,2020-09-26T00:51:26Z,580000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,
61,PT07M35.00S,2020-09-26T00:51:28.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'defensivegoaltending']",203109,8.229303547963205,49.57873774509804,1610612748,5,9,2020-09-26T00:51:37Z,590000,2.0,25.0,1,left,J. Crowder layup (2 PTS) (J. Butler 3 AST),"[203109, 202710]",1610612748.0,MIA,cutting,,,Crowder,J. Crowder,,,,,3.05,Made,2.0,J. Butler,202710.0,3.0,,,,,,,,,,,,,,
63,PT07M35.00S,2020-09-26T00:51:31.6Z,1,REGULAR,violation,defensivegoaltending,[],1628369,,,1610612748,5,9,2020-09-26T00:51:37Z,610000,,,0,,J. Tatum violation defensivegoaltending,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,202041.0,,,,
64,PT07M22.00S,2020-09-26T00:51:50.8Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,5,9,2020-09-26T00:51:56Z,620000,,,0,,G. Hayward TURNOVER badpass (1 TOV) Stolen,"[202330, 1629130]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,1.0,Robinson,1629130.0,,,,,
65,PT07M22.00S,2020-09-26T00:51:50.8Z,1,REGULAR,steal,,[],1629130,,,1610612748,5,9,2020-09-26T00:51:52Z,630000,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M18.00S,2020-09-26T00:51:55.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629130,7.178055190538765,51.53952205882353,1610612748,5,11,2020-09-26T00:52:00Z,640000,-8.0,15.0,1,left,D. Robinson layup (7 PTS) (J. Crowder 2 AST),"[1629130, 203109]",1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,2.19,Made,7.0,J. Crowder,203109.0,2.0,,,,,,,,,,,,,,
68,PT07M10.00S,2020-09-26T00:52:07.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,11,2020-09-26T00:52:07Z,660000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M03.00S,2020-09-26T00:55:52.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,91.27792378449409,45.166973039215684,1610612738,5,11,2020-09-26T00:55:56Z,670000,-24.0,29.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,4.26,Missed,,,,,,,,,,,,,,,,,,
70,PT07M02.00S,2020-09-26T00:55:53.9Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,5,11,2020-09-26T00:56:02Z,680000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,
71,PT07M02.00S,2020-09-26T00:55:55.3Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1627759,95.0,50.0,1610612738,5,11,2020-09-26T00:56:06Z,690000,0.0,-6.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1628389]",1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Missed,,,,,,,,,Adebayo,1628389.0,,,,,,,,
72,PT07M02.00S,2020-09-26T00:55:55.3Z,1,REGULAR,block,,[],1628389,,,1610612738,5,11,2020-09-26T00:55:56Z,700000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M01.00S,2020-09-26T00:55:56.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,5,11,2020-09-26T00:56:06Z,710000,,,0,,J. Butler REBOUND (Off:0 Def:4),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,71.0,4.0,4.0,0.0,,,,,,,,,,
74,PT06M47.00S,2020-09-26T00:56:10.9Z,1,REGULAR,foul,personal,[],203935,,,1610612748,5,11,2020-09-26T00:56:18Z,720000,,,0,,M. Smart FOUL personal (1 PF),"[203935, 1628389]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Adebayo,1628389.0
76,PT06M39.00S,2020-09-26T00:56:33.5Z,1,REGULAR,turnover,traveling,[],1628389,,,1610612748,5,11,2020-09-26T00:56:38Z,740000,,,0,,B. Adebayo TURNOVER traveling (1 TOV),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,1.0,,,101284.0,,,,
77,PT06M30.00S,2020-09-26T00:56:56.4Z,1,REGULAR,turnover,outofbounds,[],202689,,,1610612738,5,11,2020-09-26T00:57:04Z,750000,,,0,,K. Walker TURNOVER outofbounds (1 TOV),[202689],1610612738.0,BOS,badpass,,,Walker,K. Walker,,,,,,,,,,,,,,,,,1.0,,,202041.0,,,,
78,PT06M14.00S,2020-09-26T00:57:24.4Z,1,REGULAR,foul,personal,['3freethrow'],202689,,,1610612748,5,11,2020-09-26T00:57:36Z,760000,,,0,,K. Walker FOUL personal (1 PF) (Crowder 3freethrow),"[202689, 203109]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Crowder,203109.0
80,PT06M14.00S,2020-09-26T00:57:55.8Z,1,REGULAR,freethrow,1of3,['fromturnover'],203109,,,1610612748,5,11,2020-09-26T00:57:55Z,780000,,,0,,MISS J. Crowder freethrow 1of3,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT06M14.00S,2020-09-26T00:57:55.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,5,11,2020-09-26T00:57:55Z,790000,,,0,,Team offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,
82,PT06M14.00S,2020-09-26T00:58:06.7Z,1,REGULAR,freethrow,2of3,['fromturnover'],203109,,,1610612748,5,12,2020-09-26T00:58:06Z,800000,,,0,,J. Crowder freethrow 2of3 (3 PTS),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
83,PT06M14.00S,2020-09-26T00:58:09.8Z,1,REGULAR,substitution,out,[],201609,,,1610612748,5,12,2020-09-26T00:58:13Z,810000,,,0,,substitution out Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M14.00S,2020-09-26T00:58:09.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,5,12,2020-09-26T00:58:13Z,820000,,,0,,substitution out Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M14.00S,2020-09-26T00:58:09.8Z,1,REGULAR,substitution,in,[],2738,,,1610612748,5,12,2020-09-26T00:58:13Z,830000,,,0,,substitution in Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M14.00S,2020-09-26T00:58:09.8Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,5,12,2020-09-26T00:58:13Z,840000,,,0,,substitution in Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M14.00S,2020-09-26T00:58:23.5Z,1,REGULAR,freethrow,3of3,['fromturnover'],203109,,,1610612748,5,13,2020-09-26T00:58:23Z,850000,,,0,,J. Crowder freethrow 3of3 (4 PTS),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
88,PT06M06.00S,2020-09-26T00:58:37.6Z,1,REGULAR,foul,personal,[],1629639,,,1610612738,5,13,2020-09-26T00:58:43Z,860000,,,0,,T. Herro FOUL personal (1 PF),"[1629639, 202689]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Walker,202689.0
90,PT05M57.00S,2020-09-26T00:59:01.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,90.09526938239159,51.294424019607845,1610612738,5,13,2020-09-26T00:59:04Z,880000,6.0,41.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,4.66,Missed,,,,,,,,,,,,,,,,,,
91,PT05M56.00S,2020-09-26T00:59:02.0Z,1,REGULAR,rebound,defensive,[],2738,,,1610612748,5,13,2020-09-26T00:59:06Z,890000,,,0,,A. Iguodala REBOUND (Off:0 Def:1),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
92,PT05M42.00S,2020-09-26T00:59:15.2Z,1,REGULAR,2pt,jumpshot,[],202710,21.76412614980289,54.970894607843135,1610612748,5,15,2020-09-26T00:59:18Z,900000,-25.0,152.0,1,left,J. Butler 16' jumpshot (2 PTS),[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,15.96,Made,2.0,,,,,,,,,,,,,,,,,
93,PT05M25.00S,2020-09-26T00:59:35.6Z,1,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,5,15,2020-09-26T00:59:42Z,910000,,,0,,J. Brown TURNOVER outofbounds (2 TOV),[1627759],1610612738.0,BOS,badpass,,,Brown,J. Brown,,,,,,,,,,,,,,,,,2.0,,,202041.0,,,,
