actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
2,PT12M00.00S,2020-03-01T01:40:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-03-01T01:40:28Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-03-01T01:40:30.4Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2020-03-01T01:40:30Z,40000,,Jump Ball: Theis vs. Covington tip to Brown,"[1627759, 1628464, 203496]",1610612738.0,BOS,startperiod,Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Covington,203496.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2020-03-01T01:40:41.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,94.30026281208936,56.93167892156863,1610612738,2,0,2020-03-01T01:40:46Z,70000,right,[BOS] Brown layup: Made (2 PTS) assist: Tatum (1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.53,: Made,2.0,Tatum,1628369.0,1.0,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2020-03-01T01:40:54.5Z,1,REGULAR,turnover,badpass,[],201566,,,1610612745,2,0,2020-03-01T01:40:59Z,90000,,[HOU] Westbrook badpass turnover (1 TO) Steal: Hayward (1 STL),"[201566, 202330]",1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,1.0,Hayward,202330.0,1.0,,,,,,,,,,,,,,,
11,PT11M30.00S,2020-03-01T01:40:57.6Z,1,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",1627759,79.31997371879106,91.24540441176471,1610612738,2,0,2020-03-01T01:41:07Z,110000,right,[BOS] Brown 3pt jumpshot: Missed,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.35,: Missed,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2020-03-01T01:40:59.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612745,2,0,2020-03-01T01:41:07Z,120000,,[HOU] Westbrook defensive rebound (Off:0 Def:1),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M15.00S,2020-03-01T01:41:13.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201566,7.884362680683312,41.291360294117645,1610612745,2,0,2020-03-01T01:41:21Z,130000,left,[HOU] Westbrook layup: Missed Block: Tatum (1 BLK),"[201566, 1628369]",1610612745.0,HOU,driving,,,Westbrook,R. Westbrook,,,,,5.13,: Missed,,,,,,,,,,,,,Tatum,1628369.0,1.0,,,,,,,,
15,PT11M14.00S,2020-03-01T01:41:14.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,2,0,2020-03-01T01:41:21Z,150000,,[HOU] Team offensive rebound,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,
16,PT11M14.00S,2020-03-01T01:41:18.7Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612745,2,0,2020-03-01T01:41:18Z,160000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M07.00S,2020-03-01T01:41:31.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",201935,6.915243101182654,56.44148284313726,1610612745,2,0,2020-03-01T01:41:38Z,170000,left,[HOU] Harden layup: Missed,[201935],1610612745.0,HOU,drivingreverse,,,Harden,J. Harden,,,,,3.69,: Missed,,,,,,,,,,,,,,,,,,,,,,,
