actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
18,PT11M05.00S,2020-03-01T01:41:33.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,0,2020-03-01T01:41:38Z,180000,,[BOS] Theis defensive rebound (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT11M00.00S,2020-03-01T01:41:41.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,89.70105124835742,61.588541666666664,1610612738,2,0,2020-03-01T01:45:43Z,190000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,7.64,: Missed,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M58.00S,2020-03-01T01:41:43.3Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,2,0,2020-03-01T01:45:09Z,200000,,[HOU] Tucker defensive rebound (Off:0 Def:1),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M50.00S,2020-03-01T01:41:48.3Z,1,REGULAR,turnover,badpass,[],203496,,,1610612745,2,0,2020-03-01T01:41:52Z,230000,,[HOU] Covington badpass turnover (1 TO) Steal: Smart (1 STL),"[203496, 203935]",1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,1.0,Smart,203935.0,1.0,,,,,,,,,,,,,,,
25,PT10M42.00S,2020-03-01T01:41:56.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203935,72.35545335085413,82.66697303921569,1610612738,2,0,2020-03-01T01:42:04Z,250000,right,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.83,: Missed,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M40.00S,2020-03-01T01:41:58.4Z,1,REGULAR,rebound,defensive,[],203496,,,1610612745,2,0,2020-03-01T01:42:04Z,260000,,[HOU] Covington defensive rebound (Off:0 Def:1),[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M29.00S,2020-03-01T01:42:09.0Z,1,REGULAR,2pt,jumpshot,[],201566,18.873193166885677,80.95128676470588,1610612745,2,0,2020-03-01T01:42:15Z,270000,left,[HOU] Westbrook jumpshot: Missed,[201566],1610612745.0,HOU,pullupbank,,,Westbrook,R. Westbrook,,,,,20.24,: Missed,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M27.00S,2020-03-01T01:42:11.0Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,0,2020-03-01T01:42:15Z,280000,,[BOS] Hayward defensive rebound (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT10M10.00S,2020-03-01T01:42:28.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.06636005256242,42.470894607843135,1610612738,2,0,2020-03-01T01:42:35Z,290000,right,[BOS] Tatum layup: Missed,[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,4.66,: Missed,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M09.00S,2020-03-01T01:42:29.7Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,2,0,2020-03-01T01:42:35Z,300000,,[BOS] Smart offensive rebound (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,
33,PT10M05.00S,2020-03-01T01:42:32.7Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1628464,81.2910643889619,40.510110294117645,1610612738,4,0,2020-03-01T01:42:39Z,330000,right,[BOS] Theis jumpshot: Made (2 PTS) assist: Smart (1 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,13.73,: Made,2.0,Smart,203935.0,1.0,,,,,,,,,,,,,,,,,,,
35,PT09M50.00S,2020-03-01T01:42:48.0Z,1,REGULAR,3pt,jumpshot,[],1627863,27.414586070959263,82.421875,1610612745,4,0,2020-03-01T01:42:53Z,350000,left,[HOU] House Jr. 3pt jumpshot: Missed,[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,26.58,: Missed,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M48.00S,2020-03-01T01:42:50.0Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,4,0,2020-03-01T01:42:53Z,360000,,[BOS] Hayward defensive rebound (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,
37,PT09M38.00S,2020-03-01T01:43:00.6Z,1,REGULAR,3pt,jumpshot,[],203935,94.21813403416557,94.94485294117648,1610612738,4,0,2020-03-01T01:43:09Z,370000,right,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.48,: Missed,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M36.00S,2020-03-01T01:43:02.6Z,1,REGULAR,rebound,defensive,[],203496,,,1610612745,4,0,2020-03-01T01:43:09Z,380000,,[HOU] Covington defensive rebound (Off:0 Def:2),[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,
39,PT09M28.00S,2020-03-01T01:43:10.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",201566,6.783837056504599,48.84344362745098,1610612745,4,2,2020-03-01T01:43:15Z,390000,left,[HOU] Westbrook layup: Made (2 PTS),[201566],1610612745.0,HOU,runningfingerroll,,,Westbrook,R. Westbrook,,,,,1.78,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
40,PT09M12.00S,2020-03-01T01:43:25.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.77463863337714,57.666973039215684,1610612738,4,2,2020-03-01T01:43:31Z,400000,right,[BOS] Theis layup: Missed Block: Tucker (1 BLK),"[1628464, 200782]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,4.0,: Missed,,,,,,,,,,,,,Tucker,200782.0,1.0,,,,,,,,
42,PT09M10.00S,2020-03-01T01:43:27.7Z,1,REGULAR,rebound,defensive,[],203496,,,1610612745,4,2,2020-03-01T01:43:31Z,420000,,[HOU] Covington defensive rebound (Off:0 Def:3),[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,,,,,40.0,3.0,3.0,0.0,,,,,,,,,,,
43,PT09M01.00S,2020-03-01T01:43:36.9Z,1,REGULAR,3pt,jumpshot,[],201935,31.488173455978973,76.78462009803921,1610612745,4,2,2020-03-01T01:43:44Z,430000,left,[HOU] Harden stepback 3pt jumpshot: Missed,[201935],1610612745.0,HOU,stepback,,,Harden,J. Harden,,,,,28.27,: Missed,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M59.00S,2020-03-01T01:43:38.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,4,2,2020-03-01T01:43:44Z,440000,,[BOS] Theis defensive rebound (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,
45,PT08M55.00S,2020-03-01T01:43:43.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202330,94.1688567674113,50.55912990196079,1610612738,6,2,2020-03-01T01:43:50Z,450000,right,[BOS] Hayward layup: Made (2 PTS) assist: Smart (2 AST),"[202330, 203935]",1610612738.0,BOS,cutting,,,Hayward,G. Hayward,,,,,0.83,: Made,2.0,Smart,203935.0,2.0,,,,,,,,,,,,,,,,,,,
47,PT08M41.00S,2020-03-01T01:43:57.9Z,1,REGULAR,3pt,jumpshot,[],201566,11.826544021024969,4.013480392156863,1610612745,6,2,2020-03-01T01:44:04Z,470000,left,[HOU] Westbrook 3pt jumpshot: Missed,[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,23.87,: Missed,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M39.00S,2020-03-01T01:43:59.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,2,2020-03-01T01:44:04Z,480000,,[BOS] Tatum defensive rebound (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT08M30.00S,2020-03-01T01:44:08.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,93.38042049934296,61.588541666666664,1610612738,6,2,2020-03-01T01:44:12Z,490000,right,[BOS] Tatum layup: Missed,[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,5.99,: Missed,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M28.00S,2020-03-01T01:44:10.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,6,2,2020-03-01T01:44:12Z,500000,,[HOU] Tucker defensive rebound (Off:0 Def:2),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,
51,PT08M23.00S,2020-03-01T01:44:15.2Z,1,REGULAR,turnover,lostball,[],203496,,,1610612745,6,2,2020-03-01T01:44:19Z,510000,,[HOU] Covington lostball turnover (2 TO) Steal: Smart (2 STL),"[203496, 203935]",1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,2.0,Smart,203935.0,2.0,,,,,,,,,,,,,,,
53,PT08M19.00S,2020-03-01T01:44:20.6Z,1,REGULAR,foul,personal,[],200782,,,1610612738,6,2,2020-03-01T01:44:36Z,530000,,[HOU] Tucker foul personal (1 PF),"[200782, 1628464]",1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Theis,1628464.0,,,
55,PT08M10.00S,2020-03-01T01:44:53.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,6,2,2020-03-01T01:44:53Z,550000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M02.00S,2020-03-01T01:45:22.6Z,1,REGULAR,foul,personal,['2freethrow'],1627863,,,1610612738,6,2,2020-03-01T01:45:31Z,560000,,[HOU] House Jr. foul personal (1 PF) (Tatum 2freethrow),"[1627863, 1628369]",1610612745.0,HOU,shooting,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Tatum,1628369.0,,,
58,PT08M02.00S,2020-03-01T01:45:56.8Z,1,REGULAR,freethrow,1of2,['fromturnover'],1628369,,,1610612738,7,2,2020-03-01T01:45:56Z,580000,,[BOS] Tatum freethrow 1of2: Made (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,1.0,,,,,,,,,,,,,,,,,,,,,,
59,PT08M02.00S,2020-03-01T01:46:12.4Z,1,REGULAR,freethrow,2of2,['fromturnover'],1628369,,,1610612738,8,2,2020-03-01T01:46:12Z,590000,,[BOS] Tatum freethrow 2of2: Made (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
60,PT07M43.00S,2020-03-01T01:46:35.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612745,8,2,2020-03-01T01:46:35Z,600000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M40.00S,2020-03-01T01:46:50.8Z,1,REGULAR,3pt,jumpshot,[],201935,12.828515111695138,95.41207107843137,1610612745,8,5,2020-03-01T01:54:25Z,610000,left,[HOU] Harden 3pt shot: Made (3 PTS) assist: Westbrook (1 AST),"[201935, 201566]",1610612745.0,HOU,stepback,,,Harden,J. Harden,,,,,23.87,: Made,3.0,Westbrook,201566.0,1.0,,,,,,,,,,,,,,,,,,,
63,PT07M24.00S,2020-03-01T01:47:05.4Z,1,REGULAR,3pt,jumpshot,[],203935,65.39093298291722,53.74540441176471,1610612738,11,5,2020-03-01T01:54:59Z,630000,right,[BOS] Smart 3pt shot: Made (3 PTS) assist: Theis (1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.89,: Made,3.0,Theis,1628464.0,1.0,,,,,,,,,,,,,,,,,,,
67,PT07M12.00S,2020-03-01T01:47:24.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'defensivegoaltending']",201935,8.229303547963205,57.666973039215684,1610612745,11,7,2020-03-01T01:47:40Z,670000,left,[HOU] Harden layup: Made (5 PTS),[201935],1610612745.0,HOU,driving,,,Harden,J. Harden,,,,,4.89,: Made,5.0,,,,,,,,,,,,,,,,,,,,,,
68,PT07M12.00S,2020-03-01T01:47:29.6Z,1,REGULAR,violation,defensivegoaltending,[],1628464,,,1610612745,11,7,2020-03-01T01:47:40Z,680000,,[BOS] Theis violation defensivegoaltending,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,
69,PT07M12.00S,2020-03-01T01:47:46.2Z,1,REGULAR,violation,delayofgame,['team'],0,,,1610612738,11,7,2020-03-01T01:47:51Z,690000,,[BOS] Team violation delayofgame,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,101283.0,,,,,,,
70,PT07M01.00S,2020-03-01T01:48:00.5Z,1,REGULAR,3pt,jumpshot,[],1628369,88.12417871222075,3.990502450980392,1610612738,11,7,2020-03-01T01:48:06Z,700000,right,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.89,: Missed,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M59.00S,2020-03-01T01:48:02.5Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,11,7,2020-03-01T01:48:06Z,710000,,[HOU] Tucker defensive rebound (Off:0 Def:3),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,
72,PT06M48.00S,2020-03-01T01:48:13.3Z,1,REGULAR,3pt,jumpshot,[],1627863,27.414586070959263,14.529718137254902,1610612745,11,7,2020-03-01T01:48:21Z,720000,left,[HOU] House Jr. stepback 3pt jumpshot: Missed,[1627863],1610612745.0,HOU,stepback,,,House Jr.,D. House Jr.,,,,,27.54,: Missed,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M45.00S,2020-03-01T01:48:16.3Z,1,REGULAR,rebound,offensive,[],201566,,,1610612745,11,7,2020-03-01T01:48:21Z,730000,,[HOU] Westbrook offensive rebound (Off:1 Def:1),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,,,,
74,PT06M38.00S,2020-03-01T01:48:22.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",201566,7.30946123521682,53.50030637254902,1610612745,11,9,2020-03-01T01:48:25Z,740000,left,[HOU] Westbrook layup: Made (4 PTS),[201566],1610612745.0,HOU,drivingfingerroll,,,Westbrook,R. Westbrook,,,,,2.79,: Made,4.0,,,,,,,,,,,,,,,,,,,,,,
75,PT06M36.00S,2020-03-01T01:48:29.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,9,2020-03-01T01:48:29Z,750000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M36.00S,2020-03-01T01:50:50.7Z,1,REGULAR,substitution,out,[],1627863,,,1610612738,11,9,2020-03-01T01:51:17Z,760000,,[HOU] substitution House Jr. replaced by Gordon,"[1627863, 201569]",1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,Gordon,201569.0,
78,PT06M23.00S,2020-03-01T01:52:00.1Z,1,REGULAR,turnover,lostball,[],1628369,,,1610612738,11,9,2020-03-01T01:52:03Z,780000,,[BOS] Tatum lostball turnover (1 TO) Steal: Westbrook (1 STL),"[1628369, 201566]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1.0,Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
80,PT06M12.00S,2020-03-01T01:52:11.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",201566,6.83311432325887,45.565257352941174,1610612745,11,11,2020-03-01T01:52:24Z,800000,left,[HOU] Westbrook layup: Made (6 PTS),[201566],1610612745.0,HOU,driving,,,Westbrook,R. Westbrook,,,,,2.81,: Made,6.0,,,,,,,,,,,,,,,,,,,,,,
81,PT06M12.00S,2020-03-01T01:52:17.0Z,1,REGULAR,violation,defensivegoaltending,[],1628464,,,1610612745,11,11,2020-03-01T01:52:24Z,810000,,[BOS] Theis violation defensivegoaltending,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,
82,PT05M59.00S,2020-03-01T01:52:37.2Z,1,REGULAR,2pt,jumpshot,[],1627759,81.68528252299606,32.421875,1610612738,13,11,2020-03-01T01:52:43Z,820000,right,[BOS] Brown jumpshot: Made (4 PTS) assist: Hayward (1 AST),"[1627759, 202330]",1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,15.3,: Made,4.0,Hayward,202330.0,1.0,,,,,,,,,,,,,,,,,,,
84,PT05M46.00S,2020-03-01T01:52:51.1Z,1,REGULAR,turnover,outofbounds,[],203496,,,1610612745,13,11,2020-03-01T01:52:58Z,840000,,[HOU] Covington outofbounds turnover (3 TO),[203496],1610612745.0,HOU,badpass,,,Covington,R. Covington,,,,,,,,,,,3.0,,,,,,,,,,,101283.0,,,,,,,
85,PT05M35.00S,2020-03-01T01:53:06.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1627759,93.9060446780552,53.74540441176471,1610612738,15,11,2020-03-01T01:53:10Z,850000,right,[BOS] Brown layup: Made (6 PTS) assist: Smart (3 AST),"[1627759, 203935]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.13,: Made,6.0,Smart,203935.0,3.0,,,,,,,,,,,,,,,,,,,
87,PT05M17.00S,2020-03-01T01:53:24.3Z,1,REGULAR,3pt,jumpshot,[],201566,20.71287779237845,8.64736519607843,1610612745,15,14,2020-03-01T01:53:30Z,870000,left,[HOU] Westbrook 3pt shot: Made (9 PTS) assist: Gordon (1 AST),"[201566, 201569]",1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,25.41,: Made,9.0,Gordon,201569.0,1.0,,,,,,,,,,,,,,,,,,,
89,PT05M03.00S,2020-03-01T01:53:39.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,92.85479632063075,66.00030637254902,1610612738,15,14,2020-03-01T01:57:42Z,890000,right,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,8.25,: Missed,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M02.00S,2020-03-01T01:53:40.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,15,14,2020-03-01T01:53:47Z,900000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,
91,PT05M02.00S,2020-03-01T01:53:44.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,15,14,2020-03-01T01:53:44Z,910000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M02.00S,2020-03-01T01:53:45.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,14,2020-03-01T01:53:54Z,920000,,[BOS] substitution Tatum replaced by Langford,"[1628369, 1629641]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,Langford,1629641.0,
93,PT05M02.00S,2020-03-01T01:53:45.8Z,1,REGULAR,substitution,out,[],201566,,,1610612738,15,14,2020-03-01T01:53:54Z,930000,,[HOU] substitution Westbrook replaced by Rivers,"[201566, 203085]",1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,Rivers,203085.0,
94,PT05M02.00S,2020-03-01T01:53:45.8Z,1,REGULAR,substitution,out,[],203496,,,1610612738,15,14,2020-03-01T01:53:54Z,940000,,[HOU] substitution Covington replaced by McLemore,"[203496, 203463]",1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,,,McLemore,203463.0,
98,PT04M54.00S,2020-03-01T01:54:09.3Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,67.36202365308804,32.421875,1610612738,15,14,2020-03-01T01:54:20Z,980000,right,[BOS] Smart stepback 3pt jumpshot: Missed,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,27.43,: Missed,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M53.00S,2020-03-01T01:54:10.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,15,14,2020-03-01T01:54:20Z,990000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,
100,PT04M53.00S,2020-03-01T01:54:18.6Z,1,REGULAR,foul,personal,[],203463,,,1610612738,15,14,2020-03-01T01:54:25Z,1000000,,[HOU] McLemore foul personal (1 PF),"[203463, 1628464]",1610612745.0,HOU,looseball,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Theis,1628464.0,,,
102,PT04M46.00S,2020-03-01T01:54:42.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203935,81.68528252299606,46.392463235294116,1610612738,15,14,2020-03-01T01:54:50Z,1020000,right,[BOS] Smart layup: Missed Block: Tucker (2 BLK),"[203935, 200782]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,12.65,: Missed,,,,,,,,,,,,,Tucker,200782.0,2.0,,,,,,,,
104,PT04M44.00S,2020-03-01T01:54:44.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,15,14,2020-03-01T01:55:07Z,1040000,,[HOU] Team defensive rebound,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,
