actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT09M47.00S,2019-12-31T20:12:34.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628464,90.88370565045992,49.57873774509804,1610612738,6,4,2019-12-31T20:12:40Z,210000,-2.0,33.0,1,right,MISS D. Theis layup,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,3.88,Missed,,,,,,,,,,,,,,,,,,
22,PT09M45.00S,2019-12-31T20:12:36.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,4,2019-12-31T20:12:40Z,220000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M44.00S,2019-12-31T20:12:38.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1626179,5.338370565045992,48.84344362745098,1610612766,8,4,2019-12-31T20:12:46Z,230000,6.0,-2.0,1,left,T. Rozier layup (2 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,0.66,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
25,PT09M26.00S,2019-12-31T20:12:56.0Z,1,REGULAR,3pt,jumpshot,[],1628464,66.04796320630749,55.4610906862745,1610612738,8,4,2019-12-31T20:12:59Z,250000,27.0,267.0,1,right,MISS D. Theis 27' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,27.35,Missed,,,,,,,,,,,,,,,,,,
26,PT09M24.00S,2019-12-31T20:12:58.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,4,2019-12-31T20:12:59Z,260000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,
27,PT09M21.00S,2019-12-31T20:13:01.0Z,1,REGULAR,turnover,badpass,[],1628970,,,1610612766,8,4,2019-12-31T20:13:07Z,270000,,,0,,M. Bridges TURNOVER badpass (1 TOV) Stolen,"[1628970, 1628369]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,
28,PT09M21.00S,2019-12-31T20:13:01.0Z,1,REGULAR,steal,,[],1628369,,,1610612738,8,4,2019-12-31T20:13:02Z,280000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M18.00S,2019-12-31T20:13:04.2Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,92.9862023653088,49.08854166666667,1610612738,8,6,2019-12-31T20:14:19Z,290000,-5.0,13.0,1,right,J. Tatum dunk (4 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.95,Made,4.0,,,,,,,,,,,,,,,,,
30,PT08M54.00S,2019-12-31T20:13:28.3Z,1,REGULAR,turnover,lostball,[],1629023,,,1610612766,8,6,2019-12-31T20:13:33Z,300000,,,0,,P. Washington TURNOVER lostball (1 TOV) Stolen,"[1629023, 203935]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,
31,PT08M54.00S,2019-12-31T20:13:28.3Z,1,REGULAR,steal,,[],203935,,,1610612738,8,6,2019-12-31T20:13:30Z,310000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M50.00S,2019-12-31T20:13:32.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202689,91.67214191852825,51.049325980392155,1610612738,8,6,2019-12-31T20:15:53Z,320000,5.0,26.0,1,right,MISS K. Walker layup,[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,3.17,Missed,,,,,,,,,,,,,,,,,,
33,PT08M47.00S,2019-12-31T20:13:35.5Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612766,8,6,2019-12-31T20:13:36Z,330000,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,
34,PT08M43.00S,2019-12-31T20:13:39.3Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1626179,27.808804204993432,18.45128676470588,1610612766,8,6,2019-12-31T20:16:20Z,340000,158.0,209.0,1,left,MISS T. Rozier 27' 3PT,[1626179],1610612766.0,CHA,runningpullup,,,Rozier,T. Rozier,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,
35,PT08M40.00S,2019-12-31T20:13:42.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,8,6,2019-12-31T20:13:43Z,350000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M23.00S,2019-12-31T20:13:59.4Z,1,REGULAR,3pt,jumpshot,[],202330,74.32654402102497,13.059129901960784,1610612738,8,6,2019-12-31T20:14:03Z,360000,-185.0,189.0,1,right,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.81,Missed,,,,,,,,,,,,,,,,,,
37,PT08M20.00S,2019-12-31T20:14:01.6Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,8,6,2019-12-31T20:14:01Z,370000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M03.00S,2019-12-31T20:14:18.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629023,9.411957950065702,50.314031862745104,1610612766,8,6,2019-12-31T20:14:25Z,380000,-2.0,36.0,1,left,MISS P. Washington jumpshot Blocked,"[1629023, 1628369]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,4.15,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0
39,PT08M03.00S,2019-12-31T20:14:18.7Z,1,REGULAR,block,,[],1628369,,,1610612766,8,6,2019-12-31T20:14:21Z,390000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M03.00S,2019-12-31T20:14:18.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,8,6,2019-12-31T20:14:25Z,400000,,,0,,Team offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
41,PT08M03.00S,2019-12-31T20:14:24.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612766,8,6,2019-12-31T20:14:24Z,410000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M59.00S,2019-12-31T20:14:43.3Z,1,REGULAR,2pt,hook,"['pointsinthepaint', '2ndchance']",202687,9.674770039421814,49.82383578431372,1610612766,10,6,2019-12-31T20:14:47Z,420000,1.0,38.0,1,left,B. Biyombo hook (2 PTS) (T. Rozier 2 AST),"[202687, 1626179]",1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,4.39,Made,2.0,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,,
44,PT07M40.00S,2019-12-31T20:15:04.2Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612738,10,6,2019-12-31T20:15:15Z,440000,,,0,,P. Washington FOUL personal (1 PF) (Theis 2freethrow),"[1629023, 1628464]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,,,,,,,,,,,1628953.0,1.0,0.0,Theis,1628464.0,,,,,
46,PT07M40.00S,2019-12-31T20:15:26.5Z,1,REGULAR,freethrow,1of2,[],1628464,,,1610612738,10,6,2019-12-31T20:15:26Z,460000,,,0,,MISS D. Theis freethrow 1of2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,
47,PT07M40.00S,2019-12-31T20:15:26.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,10,6,2019-12-31T20:15:26Z,470000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,
48,PT07M40.00S,2019-12-31T20:15:40.3Z,1,REGULAR,freethrow,2of2,[],1628464,,,1610612738,10,7,2019-12-31T20:15:40Z,480000,,,0,,D. Theis freethrow 2of2 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
49,PT07M20.00S,2019-12-31T20:16:01.8Z,1,REGULAR,3pt,jumpshot,[],1628984,31.61957950065703,35.11795343137255,1610612766,10,7,2019-12-31T20:16:06Z,490000,74.0,245.0,1,left,MISS D. Graham 26' 3PT,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,
50,PT07M18.00S,2019-12-31T20:16:03.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,7,2019-12-31T20:16:06Z,500000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,
51,PT07M05.00S,2019-12-31T20:16:16.9Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,10,7,2019-12-31T20:16:23Z,510000,,,0,,G. Hayward TURNOVER badpass (1 TOV) Stolen,"[202330, 1628970]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,1.0,Bridges,1628970.0,,
52,PT07M05.00S,2019-12-31T20:16:16.9Z,1,REGULAR,steal,,[],1628970,,,1610612766,10,7,2019-12-31T20:16:18Z,520000,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M01.00S,2019-12-31T20:16:21.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628970,6.915243101182654,49.57873774509804,1610612766,12,7,2019-12-31T20:16:27Z,530000,2.0,13.0,1,left,M. Bridges layup (2 PTS),[1628970],1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,1.81,Made,2.0,,,,,,,,,,,,,,,,,
54,PT06M39.00S,2019-12-31T20:16:43.3Z,1,REGULAR,3pt,jumpshot,[],1628369,66.3107752956636,47.86305147058824,1610612738,12,10,2019-12-31T20:16:47Z,540000,-11.0,264.0,1,right,J. Tatum 27' 3PT  (7 PTS) (K. Walker 1 AST),"[1628369, 202689]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.99,Made,7.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
56,PT06M24.00S,2019-12-31T20:16:57.2Z,1,REGULAR,turnover,badpass,[],1629023,,,1610612766,12,10,2019-12-31T20:17:02Z,560000,,,0,,P. Washington TURNOVER badpass (2 TOV) Stolen,"[1629023, 202689]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,2.0,Walker,202689.0,,
57,PT06M24.00S,2019-12-31T20:16:57.2Z,1,REGULAR,steal,,[],202689,,,1610612738,12,10,2019-12-31T20:16:59Z,570000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M21.00S,2019-12-31T20:17:01.5Z,1,REGULAR,turnover,lostball,[],1628369,,,1610612738,12,10,2019-12-31T20:17:06Z,580000,,,0,,J. Tatum TURNOVER lostball (1 TOV) Stolen,"[1628369, 1628984]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,1.0,Graham,1628984.0,,
59,PT06M21.00S,2019-12-31T20:17:01.5Z,1,REGULAR,steal,,[],1628984,,,1610612766,12,10,2019-12-31T20:17:02Z,590000,,,0,,D. Graham STEAL (1 STL),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M11.00S,2019-12-31T20:17:11.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628984,32.14520367936925,38.05912990196079,1610612766,12,10,2019-12-31T20:17:14Z,600000,60.0,250.0,1,left,MISS D. Graham 26' 3PT,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,
61,PT06M08.00S,2019-12-31T20:17:14.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,12,10,2019-12-31T20:17:14Z,610000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,
62,PT05M58.00S,2019-12-31T20:17:24.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,87.07293035479631,47.127757352941174,1610612738,12,10,2019-12-31T20:17:29Z,620000,-14.0,69.0,1,right,MISS K. Walker 8' layup Blocked,"[202689, 1628984]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,7.59,Missed,,,,,,,,,,,,,,,,,Graham,1628984.0
63,PT05M58.00S,2019-12-31T20:17:24.1Z,1,REGULAR,block,,[],1628984,,,1610612738,12,10,2019-12-31T20:17:26Z,630000,,,0,,D. Graham BLOCK (1 BLK),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M55.00S,2019-12-31T20:17:27.1Z,1,REGULAR,rebound,offensive,[],202689,,,1610612738,12,10,2019-12-31T20:17:29Z,640000,,,0,,K. Walker REBOUND (Off:1 Def:0),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,
65,PT05M53.00S,2019-12-31T20:17:29.6Z,1,REGULAR,2pt,jumpshot,['2ndchance'],202330,78.9257555847569,85.36305147058823,1610612738,12,12,2019-12-31T20:18:00Z,650000,177.0,146.0,1,right,G. Hayward 23' jumpshot (2 PTS) (K. Walker 2 AST),"[202330, 202689]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,23.26,Made,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,
67,PT05M52.00S,2019-12-31T20:17:35.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,12,2019-12-31T20:17:35Z,670000,,,0,,timeout full,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M52.00S,2019-12-31T20:18:30.5Z,1,REGULAR,substitution,out,[],202687,,,1610612766,12,12,2019-12-31T20:20:24Z,680000,,,0,,substitution out Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M52.00S,2019-12-31T20:18:30.5Z,1,REGULAR,substitution,out,[],1628984,,,1610612766,12,12,2019-12-31T20:20:24Z,690000,,,0,,substitution out Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M52.00S,2019-12-31T20:18:30.5Z,1,REGULAR,substitution,in,[],203469,,,1610612766,12,12,2019-12-31T20:20:24Z,700000,,,0,,substitution in Zeller,[203469],1610612766.0,CHA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2019-12-31T20:18:30.5Z,1,REGULAR,substitution,in,[],1628370,,,1610612766,12,12,2019-12-31T20:20:24Z,710000,,,0,,substitution in Monk,[1628370],1610612766.0,CHA,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2019-12-31T20:20:54.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203469,8.886333771353483,49.82383578431372,1610612766,14,12,2019-12-31T20:21:01Z,720000,1.0,31.0,1,left,C. Zeller jumpshot (2 PTS) (M. Monk 1 AST),"[203469, 1628370]",1610612766.0,CHA,turnaround,,,Zeller,C. Zeller,,,,,3.65,Made,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,
74,PT05M21.00S,2019-12-31T20:21:08.6Z,1,REGULAR,3pt,jumpshot,[],202689,69.46452036793693,26.049325980392158,1610612738,14,15,2019-12-31T20:21:12Z,740000,-120.0,235.0,1,right,K. Walker 27' 3PT  (3 PTS) (M. Smart 2 AST),"[202689, 203935]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.82,Made,3.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
76,PT05M04.00S,2019-12-31T20:21:24.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626179,8.623521681997373,50.06893382352941,1610612766,14,15,2019-12-31T20:21:29Z,760000,0.0,29.0,1,left,MISS T. Rozier layup Blocked,"[1626179, 202689]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,3.41,Missed,,,,,,,,,,,,,,,,,Walker,202689.0
77,PT05M04.00S,2019-12-31T20:21:24.6Z,1,REGULAR,block,,[],202689,,,1610612766,14,15,2019-12-31T20:26:03Z,770000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2019-12-31T20:21:27.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,14,15,2019-12-31T20:21:29Z,780000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,
79,PT04M57.00S,2019-12-31T20:21:32.5Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,90.75229960578186,49.82383578431372,1610612738,14,15,2019-12-31T20:23:03Z,790000,-1.0,34.0,1,right,MISS D. Theis dunk,[1628464],1610612738.0,BOS,running,,,Theis,D. Theis,,,,,3.99,Missed,,,,,,,,,,,,,,,,,,
