actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
25,PT09M58.00S,2020-01-16T00:13:21.6Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,4,7,2020-01-16T00:14:36Z,250000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 203083]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,Drummond,203083.0,,,
26,PT09M58.00S,2020-01-16T00:13:21.6Z,1,REGULAR,steal,,[],203083,,,1610612765,4,7,2020-01-16T00:14:36Z,260000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M47.00S,2020-01-16T00:13:33.2Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628971,14.4053876478318,40.75520833333333,1610612765,4,9,2020-01-16T00:13:42Z,270000,46.0,83.0,1,left,B. Brown 10' jumpshot (2 PTS) (D. Rose 2 AST),"[1628971, 201565]",1610612765.0,DET,drivingfloating,,,Brown,B. Brown,,,,,9.97,Made,2.0,D. Rose,201565.0,2.0,,,,,,,,,,,,,,,
29,PT09M38.00S,2020-01-16T00:13:43.7Z,1,REGULAR,foul,personal,[],1629635,,,1610612738,4,9,2020-01-16T00:13:56Z,290000,,,0,,S. Doumbouya FOUL personal (1 PF),"[1629635, 202689]",1610612765.0,DET,,,,Doumbouya,S. Doumbouya,,,,,,,,,,,2003.0,1.0,0.0,Walker,202689.0,,,,,,,,,,
31,PT09M28.00S,2020-01-16T00:14:14.5Z,1,REGULAR,violation,kickedball,[],1628971,,,1610612738,4,9,2020-01-16T00:14:23Z,310000,,,0,,B. Brown violation kickedball,[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,1188.0,,,,,,,,,,,,,,
32,PT09M23.00S,2020-01-16T00:14:32.7Z,1,REGULAR,3pt,jumpshot,[],202330,66.04796320630749,42.22579656862745,1610612738,4,9,2020-01-16T00:14:45Z,320000,-39.0,267.0,1,right,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M20.00S,2020-01-16T00:14:35.7Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,4,9,2020-01-16T00:14:45Z,330000,,,0,,D. Theis REBOUND (Off:2 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,32.0,2.0,0.0,2.0,,,,,,
34,PT09M09.00S,2020-01-16T00:14:46.4Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202689,78.0059132720105,93.2061887254902,1610612738,4,9,2020-01-16T00:17:28Z,340000,216.0,154.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M07.00S,2020-01-16T00:14:48.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,4,9,2020-01-16T00:14:53Z,350000,,,0,,Team defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,
36,PT09M07.00S,2020-01-16T00:14:52.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612765,4,9,2020-01-16T00:14:52Z,360000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
