actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
22,PT10M45.00S,2020-01-12T00:12:10.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,3,2,2020-01-12T00:12:22Z,220000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,
23,PT10M37.00S,2020-01-12T00:12:20.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627742,7.5722733245729295,55.21599264705882,1610612740,3,2,2020-01-12T00:25:37Z,230000,-26.0,19.0,1,left,MISS B. Ingram jumpshot,[1627742],1610612740.0,NOP,drivingfloatingbank,,,Ingram,B. Ingram,,,,,,,,3.56,Missed,,,,,,,,,,,,,,,,
24,PT10M36.00S,2020-01-12T00:12:21.4Z,1,REGULAR,rebound,offensive,[],1628366,,,1610612740,3,2,2020-01-12T00:13:56Z,240000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,
25,PT10M30.00S,2020-01-12T00:12:27.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629637,8.09789750328515,49.333639705882355,1610612740,3,4,2020-01-12T00:12:35Z,250000,3.0,24.0,1,left,J. Hayes layup (2 PTS) (B. Ingram 1 AST),"[1629637, 1627742]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,,,,2.93,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,
27,PT10M30.00S,2020-01-12T00:12:30.4Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612740,3,4,2020-01-12T00:12:37Z,270000,,,0,,J. Brown FOUL personal (1 PF) (Hayes 1freethrow),"[1627759, 1629637]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,1662.0,1.0,0.0,Hayes,1629637.0,,,,,,,
29,PT10M30.00S,2020-01-12T00:12:49.4Z,1,REGULAR,freethrow,1of1,['2ndchance'],1629637,,,1610612740,3,5,2020-01-12T00:12:49Z,290000,,,0,,J. Hayes freethrow 1of1 (3 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
31,PT10M16.00S,2020-01-12T00:13:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1628366,,,1610612738,3,5,2020-01-12T00:13:16Z,300000,,,0,,L. Ball FOUL personal (1 PF) (Walker 2freethrow),"[1628366, 202689]",1610612740.0,NOP,shooting,,,Ball,L. Ball,,,,,,,,,,,,,,1162.0,1.0,0.0,Walker,202689.0,,,,,,,
33,PT10M16.00S,2020-01-12T00:13:30.3Z,1,REGULAR,freethrow,1of2,[],202689,,,1610612738,4,5,2020-01-12T00:13:30Z,320000,,,0,,K. Walker freethrow 1of2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
34,PT10M16.00S,2020-01-12T00:13:46.1Z,1,REGULAR,freethrow,2of2,[],202689,,,1610612738,5,5,2020-01-12T00:13:46Z,330000,,,0,,K. Walker freethrow 2of2 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
35,PT10M01.00S,2020-01-12T00:14:03.7Z,1,REGULAR,turnover,lostball,[],202734,,,1610612740,5,5,2020-01-12T00:14:08Z,340000,,,0,,E. Moore TURNOVER lostball (1 TOV) Stolen,"[202734, 1628464]",1610612740.0,NOP,,,,Moore,E. Moore,,,,,1.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,
36,PT10M01.00S,2020-01-12T00:14:03.7Z,1,REGULAR,steal,,[],1628464,,,1610612738,5,5,2020-01-12T00:14:05Z,350000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M55.00S,2020-01-12T00:14:08.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,93.9060446780552,54.72579656862745,1610612738,5,5,2020-01-12T00:14:15Z,360000,24.0,5.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,alleyoop,,,Brown,J. Brown,,,,,,,,2.57,Missed,,,,,,,,,,,,,,,,
38,PT09M53.00S,2020-01-12T00:14:10.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,5,5,2020-01-12T00:14:15Z,370000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,
39,PT09M49.00S,2020-01-12T00:14:15.5Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1629637,7.966491458607096,53.01011029411765,1610612740,5,7,2020-01-12T00:14:20Z,380000,-15.0,22.0,1,left,J. Hayes dunk (5 PTS) (L. Ball 1 AST),"[1629637, 1628366]",1610612740.0,NOP,alleyoop,,,Hayes,J. Hayes,,,,,,,,3.17,Made,5.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,
41,PT09M36.00S,2020-01-12T00:14:28.2Z,1,REGULAR,3pt,jumpshot,[],202689,69.72733245729303,72.37285539215686,1610612738,5,7,2020-01-12T00:14:33Z,400000,112.0,232.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,26.26,Missed,,,,,,,,,,,,,,,,
42,PT09M33.00S,2020-01-12T00:14:31.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,7,2020-01-12T00:14:33Z,410000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,
43,PT09M25.00S,2020-01-12T00:14:40.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628366,14.273981603153747,64.03952205882352,1610612740,5,7,2020-01-12T00:25:55Z,420000,-70.0,82.0,1,left,MISS L. Ball 11' layup,[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,11.19,Missed,,,,,,,,,,,,,,,,
