actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,stealPlayerName,stealPersonId,stealTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,blockPersonId,blockPlayerName
367,PT06M53.00S,2020-08-18T00:03:56Z,3,REGULAR,substitution,out,,[],202689,,,1610612738,67,59,2020-08-18T00:05:07,3650000,0,-80,,SUB: Wanamaker FOR Walker,[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,PT06M53.00S,2020-08-18T00:03:56Z,3,REGULAR,substitution,out,,[],201143,,,1610612738,67,59,2020-08-18T00:05:07,3660000,0,-80,,SUB: Thybulle FOR Horford,[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,PT06M53.00S,2020-08-18T00:03:56Z,3,REGULAR,substitution,out,,[],1626196,,,1610612738,67,59,0001-01-01T00:00:00,3685000,0,-80,,SUB: Burks FOR Richardson,[1626196],1610612755,PHI,0,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,PT06M53.00S,2020-08-18T00:05:09Z,3,REGULAR,freethrow,1of2,,"['fromturnover', 'fastbreak']",1628369,,,1610612738,67,59,2020-08-18T00:05:09,3710000,-250,888,right,MISS Tatum Free Throw 1 of 2,[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,,
376,PT06M53.00S,2020-08-18T00:05:09Z,3,REGULAR,rebound,offensive,,"['deadball', 'team']",0,,,1610612738,67,59,0001-01-01T00:00:00,3720000,-250,888,right,CELTICS Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,375.0,,,,,,,,,,,,,,
377,PT06M53.00S,2020-08-18T00:05:21Z,3,REGULAR,freethrow,2of2,,"['fastbreak', 'fromturnover']",1628369,,,1610612738,68,59,0001-01-01T00:00:00,3730000,-250,888,right,Tatum Free Throw 2 of 2 (28 PTS),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,28.0,Made,,,,,,,,,,,,,,,,,,,
378,PT06M28.00S,2020-08-18T00:05:47Z,3,REGULAR,turnover,lostball,,[],203954,,,1610612755,68,59,2020-08-18T00:05:55,3740000,108,9,left,Embiid Lost Ball Turnover (P5.T16) Stolen,"[203954, 202330]",1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,5.0,,,,Hayward,202330.0,4.0,,,,,,,
379,PT06M28.00S,2020-08-18T00:05:47Z,3,REGULAR,steal,,,[],202330,,,1610612738,68,59,0001-01-01T00:00:00,3750000,108,9,left, STEAL ,[202330],1610612738,BOS,0,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,PT06M24.00S,2020-08-18T00:05:53Z,3,REGULAR,2pt,jumpshot,drivingfloating,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202954,87.47,38.55,1610612738,68,59,2020-08-18T00:06:08,3760000,-57,65,right,MISS Wanamaker 9' Driving Floating Jump Shot,[202954],1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,0.0,Missed,8.65,,,,,,,,,,,,,,,,,,
381,PT06M23.00S,2020-08-18T00:05:54Z,3,REGULAR,rebound,offensive,,[],1628464,,,1610612738,68,59,2020-08-18T00:06:08,3770000,-57,65,right,Theis REBOUND (Off:1 Def:1),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,2.0,1.0,1.0,380.0,,,,,,,,,,,,,,
382,PT06M23.00S,2020-08-18T00:05:57Z,3,REGULAR,2pt,layup,tip,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1628464,95.0,50.0,1610612738,70,59,2020-08-18T00:06:20,3780000,0,-6,right,Theis 1' Tip Layup Shot (9 PTS),[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,9.0,Made,0.6,,,,,,,,,,,,,,,,,,
383,PT06M23.00S,2020-08-18T00:06:00Z,3,REGULAR,foul,personal,shooting,['1freethrow'],202692,,,1610612738,70,59,2020-08-18T00:06:15,3790000,0,-6,right,Burks S.FOUL (P1.T3),"[202692, 1628464]",1610612755,PHI,0,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,Theis,1628464.0,1.0,0.0,2534.0,,
385,PT06M23.00S,2020-08-18T00:06:20Z,3,REGULAR,freethrow,1of1,,"['fromturnover', '2ndchance', 'fastbreak']",1628464,,,1610612738,70,59,2020-08-18T00:06:28,3810000,-250,888,right,MISS Theis Free Throw 1 of 1,[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,9.0,Missed,,,,,,,,,,,,,,,,,,,
386,PT06M22.00S,2020-08-18T00:06:21Z,3,REGULAR,rebound,offensive,,[],202954,,,1610612738,70,59,2020-08-18T00:10:56,3820000,-250,888,right,Wanamaker REBOUND (Off:1 Def:1),[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,2.0,1.0,1.0,385.0,,,,,,,,,,,,,,
389,PT06M15.00S,2020-08-18T00:06:30Z,3,REGULAR,3pt,jumpshot,,"['fromturnover', '2ndchance']",202330,65.65,51.05,1610612738,70,59,2020-08-18T00:10:56,3850000,5,270,right,MISS Hayward 27' 3PT Jump Shot,[202330],1610612738,BOS,1,Hayward,G. Hayward,,,,,,,0.0,Missed,27.0,,,,,,,,,,,,,,,,,,
390,PT06M14.00S,2020-08-18T00:06:31Z,3,REGULAR,rebound,defensive,,[],1629680,,,1610612755,70,59,2020-08-18T00:07:11,3860000,5,270,right,Thybulle REBOUND (Off:1 Def:2),[1629680],1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,3.0,2.0,1.0,389.0,,,,,,,,,,,,,,
391,PT06M10.00S,2020-08-18T00:06:35Z,3,REGULAR,2pt,layup,running,"['pointsinthepaint', 'fastbreak']",202699,6.92,46.64,1610612755,70,61,2020-08-18T00:06:44,3870000,17,13,left,Harris 2' Running Layup (10 PTS),[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,10.0,Made,2.14,,,,,,,,,,,,,,,,,,
393,PT06M10.00S,2020-08-18T00:06:42Z,3,REGULAR,foul,personal,shooting,['1freethrow'],202954,,,1610612755,70,61,2020-08-18T00:06:53,3890000,17,13,left,Wanamaker S.FOUL (P2.T3),"[202954, 202699]",1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,Harris,202699.0,2.0,0.0,2003.0,,
395,PT06M10.00S,2020-08-18T00:07:04Z,3,REGULAR,freethrow,1of1,,['fastbreak'],202699,,,1610612755,70,62,2020-08-18T00:07:04,3910000,250,-52,left,Harris Free Throw 1 of 1 (11 PTS),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,11.0,Made,,,,,,,,,,,,,,,,,,,
396,PT05M52.00S,2020-08-18T00:07:22Z,3,REGULAR,2pt,jumpshot,drivingfloating,['pointsinthepaint'],202954,86.15,36.34,1610612738,72,62,2020-08-18T00:07:26,3920000,-68,78,right,Wanamaker 10' Driving Floating Jump Shot (4 PTS),[202954],1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,4.0,Made,10.35,,,,,,,,,,,,,,,,,,
397,PT05M29.00S,2020-08-18T00:07:45Z,3,REGULAR,3pt,jumpshot,stepback,[],202692,15.72,4.97,1610612755,72,62,2020-08-18T00:07:49,3930000,225,95,left,MISS Burks 24' 3PT Step Back Jump Shot,[202692],1610612755,PHI,1,Burks,A. Burks,,,,,,,0.0,Missed,24.42,,,,,,,,,,,,,,,,,,
398,PT05M27.00S,2020-08-18T00:07:47Z,3,REGULAR,rebound,offensive,,[],202699,,,1610612755,72,62,2020-08-18T00:08:01,3940000,225,95,left,Harris REBOUND (Off:2 Def:2),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,4.0,2.0,2.0,397.0,,,,,,,,,,,,,,
399,PT05M26.00S,2020-08-18T00:07:49Z,3,REGULAR,2pt,layup,putback,"['pointsinthepaint', '2ndchance']",202699,7.44,42.47,1610612755,72,64,2020-08-18T00:07:53,3950000,38,17,left,Harris 4' Putback Layup (13 PTS),[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,13.0,Made,4.16,,,,,,,,,,,,,,,,,,
400,PT05M02.00S,2020-08-18T00:08:13Z,3,REGULAR,2pt,jumpshot,drivingfloating,['pointsinthepaint'],1628369,81.42,42.47,1610612738,72,64,2020-08-18T00:08:18,3960000,-38,122,right,MISS Tatum 13' Driving Floating Jump Shot,[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,0.0,Missed,12.78,,,,,,,,,,,,,,,,,,
401,PT05M02.00S,2020-08-18T00:08:13Z,3,REGULAR,rebound,offensive,,['team'],0,,,1610612738,72,64,2020-08-18T00:08:30,3970000,-38,122,right,CELTICS Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,400.0,,,,,,,,,,,,,,
402,PT05M02.00S,2020-08-18T00:08:22Z,3,REGULAR,foul,personal,looseball,[],1629680,,,1610612738,72,64,2020-08-18T00:08:34,3980000,-8,16,right,Thybulle L.B.FOUL (P2.T4),"[1629680, 1628369]",1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,2.0,0.0,2534.0,,
404,PT05M02.00S,2020-08-18T00:08:33Z,3,REGULAR,substitution,out,,[],1628369,,,1610612738,72,64,0001-01-01T00:00:00,4000000,0,-80,,SUB: Brown FOR Tatum,[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT04M49.00S,2020-08-18T00:08:59Z,3,REGULAR,3pt,jumpshot,,['2ndchance'],1628464,81.95,94.43,1610612738,72,64,2020-08-18T00:09:04,4020000,222,117,right,MISS Theis 25' 3PT Jump Shot,[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,0.0,Missed,25.09,,,,,,,,,,,,,,,,,,
407,PT04M45.00S,2020-08-18T00:09:03Z,3,REGULAR,rebound,defensive,,[],202692,,,1610612755,72,64,2020-08-18T00:09:04,4030000,222,117,right,Burks REBOUND (Off:0 Def:1),[202692],1610612755,PHI,0,Burks,A. Burks,,,,,,,,,,1.0,1.0,0.0,406.0,,,,,,,,,,,,,,
408,PT04M37.00S,2020-08-18T00:09:11Z,3,REGULAR,2pt,layup,driving,['pointsinthepaint'],203954,5.86,53.5,1610612755,72,66,2020-08-18T00:09:17,4040000,-18,3,left,Embiid 2' Driving Layup (19 PTS) (Burks 1 AST),"[203954, 202692]",1610612755,PHI,1,Embiid,J. Embiid,,,,,,,19.0,Made,1.82,,,,,,Burks,202692.0,1.0,,,,,,,,,,
410,PT04M21.00S,2020-08-18T00:09:27Z,3,REGULAR,3pt,jumpshot,pullup,[],202330,68.15,68.7,1610612738,75,66,2020-08-18T00:09:33,4060000,94,247,right,Hayward 26' 3PT Pullup Jump Shot (10 PTS) (Theis 2 AST),"[202330, 1628464]",1610612738,BOS,1,Hayward,G. Hayward,,,,,,,10.0,Made,26.43,,,,,,Theis,1628464.0,2.0,,,,,,,,,,
412,PT04M08.00S,2020-08-18T00:09:41Z,3,REGULAR,2pt,jumpshot,drivingfloatingbank,['pointsinthepaint'],1629003,6.39,53.01,1610612755,75,68,2020-08-18T00:09:47,4080000,-15,8,left,Milton 2' Driving Floating Bank Jump Shot (13 PTS),[1629003],1610612755,PHI,1,Milton,S. Milton,,,,,,,13.0,Made,1.7,,,,,,,,,,,,,,,,,,
413,PT03M51.00S,2020-08-18T00:09:56Z,3,REGULAR,2pt,jumpshot,drivingfloating,[],1627759,77.87,41.98,1610612738,75,68,2020-08-18T00:10:04,4090000,-40,156,right,MISS Brown 16' Driving Floating Jump Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,16.1,,,,,,,,,,,,,,,,,,
414,PT03M49.00S,2020-08-18T00:09:58Z,3,REGULAR,rebound,defensive,,[],202699,,,1610612755,75,68,2020-08-18T00:10:04,4100000,-40,156,right,Harris REBOUND (Off:2 Def:3),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,5.0,3.0,2.0,413.0,,,,,,,,,,,,,,
415,PT03M42.00S,2020-08-18T00:10:07Z,3,REGULAR,2pt,layup,drivingfingerroll,['pointsinthepaint'],202699,7.7,46.39,1610612755,75,68,2020-08-18T00:10:14,4110000,18,20,left,MISS Harris 3' Driving Finger Roll Layup Blocked,"[202699, 1628464]",1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,2.69,,,,,,,,,,,,,,,,,1628464.0,Theis
416,PT03M42.00S,2020-08-18T00:10:07Z,3,REGULAR,block,,,[],1628464,,,1610612755,75,68,0001-01-01T00:00:00,4120000,18,20,left, BLOCK ,[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT03M40.00S,2020-08-18T00:10:09Z,3,REGULAR,rebound,defensive,,[],202954,,,1610612738,75,68,2020-08-18T00:10:14,4130000,18,20,left,Wanamaker REBOUND (Off:1 Def:2),[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,3.0,2.0,1.0,415.0,,,,,,,,,,,,,,
418,PT03M31.00S,2020-08-18T00:10:18Z,3,REGULAR,2pt,layup,driving,['pointsinthepaint'],1628464,93.77,44.43,1610612738,75,68,2020-08-18T00:10:26,4140000,-28,6,right,MISS Theis 3' Driving Layup,[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,0.0,Missed,2.86,,,,,,,,,,,,,,,,,,
419,PT03M29.00S,2020-08-18T00:10:20Z,3,REGULAR,rebound,defensive,,[],202699,,,1610612755,75,68,2020-08-18T00:10:26,4150000,-28,6,right,Harris REBOUND (Off:2 Def:4),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,6.0,4.0,2.0,418.0,,,,,,,,,,,,,,
420,PT03M25.00S,2020-08-18T00:10:24Z,3,REGULAR,3pt,jumpshot,runningpullup,['fastbreak'],1629003,28.47,77.77,1610612755,75,68,2020-08-18T00:10:30,4160000,-139,215,left,MISS Milton 26' 3PT Running Pull-Up Jump Shot,[1629003],1610612755,PHI,1,Milton,S. Milton,,,,,,,0.0,Missed,25.6,,,,,,,,,,,,,,,,,,
421,PT03M23.00S,2020-08-18T00:10:26Z,3,REGULAR,rebound,offensive,,[],202692,,,1610612755,75,68,2020-08-18T00:10:45,4170000,-139,215,left,Burks REBOUND (Off:1 Def:1),[202692],1610612755,PHI,0,Burks,A. Burks,,,,,,,,,,2.0,1.0,1.0,420.0,,,,,,,,,,,,,,
422,PT03M22.00S,2020-08-18T00:10:29Z,3,REGULAR,2pt,layup,putback,"['pointsinthepaint', '2ndchance']",202692,6.13,43.21,1610612755,75,70,2020-08-18T00:10:50,4180000,34,5,left,Burks 3' Putback Layup (10 PTS),[202692],1610612755,PHI,1,Burks,A. Burks,,,,,,,10.0,Made,3.44,,,,,,,,,,,,,,,,,,
423,PT03M02.00S,2020-08-18T00:10:46Z,3,REGULAR,2pt,jumpshot,pullup,[],202330,76.95,51.29,1610612738,75,70,2020-08-18T00:10:52,4190000,6,164,right,MISS Hayward 16' Pullup Jump Shot,[202330],1610612738,BOS,1,Hayward,G. Hayward,,,,,,,0.0,Missed,16.41,,,,,,,,,,,,,,,,,,
424,PT03M02.00S,2020-08-18T00:10:46Z,3,REGULAR,rebound,defensive,,[],202692,,,1610612755,75,70,2020-08-18T00:10:52,4200000,6,164,right,Burks REBOUND (Off:1 Def:2),[202692],1610612755,PHI,0,Burks,A. Burks,,,,,,,,,,3.0,2.0,1.0,423.0,,,,,,,,,,,,,,
425,PT02M57.00S,2020-08-18T00:10:56Z,3,REGULAR,timeout,full,,"['team', 'mandatory']",0,,,1610612755,75,70,0001-01-01T00:00:00,4210000,0,-80,,76ers Timeout: Regular (Reg.3 Short 0),[],1610612755,PHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,PT02M57.00S,2020-08-18T00:13:45Z,3,REGULAR,substitution,out,,[],202954,,,1610612755,75,70,0001-01-01T00:00:00,4220000,0,-80,,SUB: Williams III FOR Wanamaker,[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,PT02M57.00S,2020-08-18T00:13:45Z,3,REGULAR,substitution,out,,[],1628464,,,1610612755,75,70,0001-01-01T00:00:00,4230000,0,-80,,SUB: Walker FOR Theis,[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT02M57.00S,2020-08-18T00:13:45Z,3,REGULAR,substitution,out,,[],1629003,,,1610612755,75,70,0001-01-01T00:00:00,4240000,0,-80,,SUB: Korkmaz FOR Milton,[1629003],1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,PT02M57.00S,2020-08-18T00:13:45Z,3,REGULAR,substitution,out,,[],203954,,,1610612755,75,70,0001-01-01T00:00:00,4250000,0,-80,,SUB: Horford FOR Embiid,[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,PT02M57.00S,2020-08-18T00:13:45Z,3,REGULAR,substitution,out,,[],1629680,,,1610612755,75,70,0001-01-01T00:00:00,4260000,0,-80,,SUB: Richardson FOR Thybulle,[1629680],1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT02M45.00S,2020-08-18T00:14:49Z,3,REGULAR,violation,kickedball,,[],203935,,,1610612755,75,70,2020-08-18T00:14:56,4320000,0,-80,,Smart Violation:Kicked Ball,[203935],1610612738,BOS,0,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT02M35.00S,2020-08-18T00:15:13Z,3,REGULAR,3pt,jumpshot,,[],1626196,34.12,44.68,1610612755,75,73,2020-08-18T00:15:19,4330000,27,268,left,Richardson 27' 3PT Jump Shot (13 PTS) (Horford 6 AST),"[1626196, 201143]",1610612755,PHI,1,Richardson,J. Richardson,,,,,,,13.0,Made,26.94,,,,,,Horford,201143.0,6.0,,,,,,,,,,
439,PT02M14.00S,2020-08-18T00:15:35Z,3,REGULAR,2pt,jumpshot,drivingfloating,['pointsinthepaint'],202689,86.42,37.81,1610612738,75,73,2020-08-18T00:15:40,4350000,-61,75,right,MISS Walker 10' Driving Floating Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,9.67,,,,,,,,,,,,,,,,,,
440,PT02M12.00S,2020-08-18T00:15:37Z,3,REGULAR,rebound,defensive,,[],201143,,,1610612755,75,73,2020-08-18T00:15:40,4360000,-61,75,right,Horford REBOUND (Off:1 Def:4),[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,5.0,4.0,1.0,439.0,,,,,,,,,,,,,,
441,PT01M57.00S,2020-08-18T00:15:53Z,3,REGULAR,2pt,jumpshot,,[],201143,11.91,24.82,1610612755,75,75,2020-08-18T00:16:00,4370000,126,59,left,Horford 14' Jump Shot (4 PTS),[201143],1610612755,PHI,1,Horford,A. Horford,,,,,,,4.0,Made,13.91,,,,,,,,,,,,,,,,,,
442,PT01M39.00S,2020-08-18T00:16:09Z,3,REGULAR,3pt,jumpshot,,[],202330,70.38,74.58,1610612738,75,75,2020-08-18T00:16:15,4380000,123,226,right,MISS Hayward 26' 3PT Jump Shot,[202330],1610612738,BOS,1,Hayward,G. Hayward,,,,,,,0.0,Missed,25.73,,,,,,,,,,,,,,,,,,
443,PT01M37.00S,2020-08-18T00:16:11Z,3,REGULAR,rebound,defensive,,[],202699,,,1610612755,75,75,2020-08-18T00:16:41,4390000,123,226,right,Harris REBOUND (Off:2 Def:5),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,7.0,5.0,2.0,442.0,,,,,,,,,,,,,,
444,PT01M30.00S,2020-08-18T00:16:22Z,3,REGULAR,foul,personal,shooting,['2freethrow'],1629057,,,1610612755,75,75,2020-08-18T00:16:35,4400000,-53,26,left,Williams III S.FOUL (P4.T4),"[1629057, 202692]",1610612738,BOS,0,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,Burks,202692.0,4.0,0.0,1151.0,,
446,PT01M30.00S,2020-08-18T00:16:47Z,3,REGULAR,freethrow,1of2,,[],202692,,,1610612755,75,76,0001-01-01T00:00:00,4420000,250,-52,left,Burks Free Throw 1 of 2 (11 PTS),[202692],1610612755,PHI,0,Burks,A. Burks,,,,,,,11.0,Made,,,,,,,,,,,,,,,,,,,
447,PT01M30.00S,2020-08-18T00:16:48Z,3,REGULAR,substitution,out,,[],202330,,,1610612755,75,76,0001-01-01T00:00:00,4430000,0,-80,,SUB: Tatum FOR Hayward,[202330],1610612738,BOS,0,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT01M30.00S,2020-08-18T00:16:48Z,3,REGULAR,substitution,out,,[],1627788,,,1610612755,75,76,0001-01-01T00:00:00,4440000,0,-80,,SUB: Thybulle FOR Korkmaz,[1627788],1610612755,PHI,0,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT01M30.00S,2020-08-18T00:17:12Z,3,REGULAR,freethrow,2of2,,[],202692,,,1610612755,75,77,0001-01-01T00:00:00,4470000,250,-52,left,Burks Free Throw 2 of 2 (12 PTS),[202692],1610612755,PHI,0,Burks,A. Burks,,,,,,,12.0,Made,,,,,,,,,,,,,,,,,,,
452,PT01M19.00S,2020-08-18T00:17:25Z,3,REGULAR,2pt,jumpshot,pullup,[],202689,76.17,38.55,1610612738,75,77,2020-08-18T00:17:34,4480000,-57,172,right,MISS Walker 18' Pullup Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,18.12,,,,,,,,,,,,,,,,,,
453,PT01M17.00S,2020-08-18T00:17:27Z,3,REGULAR,rebound,defensive,,[],1626196,,,1610612755,75,77,2020-08-18T00:17:34,4490000,-57,172,right,Richardson REBOUND (Off:0 Def:4),[1626196],1610612755,PHI,0,Richardson,J. Richardson,,,,,,,,,,4.0,4.0,0.0,452.0,,,,,,,,,,,,,,
454,PT01M05.00S,2020-08-18T00:17:39Z,3,REGULAR,2pt,jumpshot,turnaroundfadeaway,[],202692,18.22,68.94,1610612755,75,77,2020-08-18T00:17:46,4500000,-95,119,left,MISS Burks 15' Turnaround Fadeaway Shot,[202692],1610612755,PHI,1,Burks,A. Burks,,,,,,,0.0,Missed,15.23,,,,,,,,,,,,,,,,,,
455,PT01M02.00S,2020-08-18T00:17:42Z,3,REGULAR,rebound,defensive,,[],1629057,,,1610612738,75,77,2020-08-18T00:17:46,4510000,-95,119,left,Williams III REBOUND (Off:4 Def:2),[1629057],1610612738,BOS,0,Williams III,R. Williams III,,,,,,,,,,6.0,2.0,4.0,454.0,,,,,,,,,,,,,,
456,PT00M59.30S,2020-08-18T00:17:48Z,3,REGULAR,turnover,outofbounds,step,[],1627759,,,1610612738,75,77,2020-08-18T00:17:55,4520000,233,21,right,Brown Step Out of Bounds Turnover (P2.T6),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
457,PT00M39.30S,2020-08-18T00:18:22Z,3,REGULAR,2pt,hook,driving,"['pointsinthepaint', 'fromturnover']",201143,11.38,40.27,1610612755,75,77,2020-08-18T00:18:33,4530000,49,54,left,MISS Horford 7' Driving Hook Shot,[201143],1610612755,PHI,1,Horford,A. Horford,,,,,,,0.0,Missed,7.29,,,,,,,,,,,,,,,,,,
458,PT00M38.70S,2020-08-18T00:18:23Z,3,REGULAR,rebound,offensive,,[],201143,,,1610612755,75,77,2020-08-18T00:18:33,4540000,49,54,left,Horford REBOUND (Off:2 Def:4),[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,6.0,4.0,2.0,457.0,,,,,,,,,,,,,,
459,PT00M37.70S,2020-08-18T00:18:26Z,3,REGULAR,2pt,layup,tip,"['2ndchance', 'pointsinthepaint', 'fromturnover']",201143,5.0,50.0,1610612755,75,79,2020-08-18T00:18:35,4550000,0,-6,left,Horford 1' Tip Layup Shot (6 PTS),[201143],1610612755,PHI,1,Horford,A. Horford,,,,,,,6.0,Made,0.6,,,,,,,,,,,,,,,,,,
460,PT00M26.90S,2020-08-18T00:18:50Z,3,REGULAR,2pt,layup,driving,['pointsinthepaint'],203935,92.72,56.93,1610612738,75,79,2020-08-18T00:18:54,4560000,35,16,right,MISS Smart 4' Driving Layup,[203935],1610612738,BOS,1,Smart,M. Smart,,,,,,,0.0,Missed,3.85,,,,,,,,,,,,,,,,,,
461,PT00M24.30S,2020-08-18T00:18:53Z,3,REGULAR,rebound,defensive,,[],1626196,,,1610612755,75,79,0001-01-01T00:00:00,4570000,35,16,right,Richardson REBOUND (Off:0 Def:5),[1626196],1610612755,PHI,0,Richardson,J. Richardson,,,,,,,,,,5.0,5.0,0.0,460.0,,,,,,,,,,,,,,
462,PT00M05.20S,2020-08-18T00:19:12Z,3,REGULAR,3pt,jumpshot,,[],1626196,27.68,18.21,1610612755,75,79,2020-08-18T00:19:17,4580000,159,208,left,MISS Richardson 26' 3PT Jump Shot,[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,0.0,Missed,26.18,,,,,,,,,,,,,,,,,,
463,PT00M01.10S,2020-08-18T00:19:16Z,3,REGULAR,rebound,defensive,,[],203935,,,1610612738,75,79,2020-08-18T00:19:17,4590000,159,208,left,Smart REBOUND (Off:0 Def:1),[203935],1610612738,BOS,0,Smart,M. Smart,,,,,,,,,,1.0,1.0,0.0,462.0,,,,,,,,,,,,,,
464,PT00M00.00S,2020-08-18T00:19:20Z,3,REGULAR,period,end,,[],0,,,1610612738,75,79,0001-01-01T00:00:00,4600000,0,-80,,End of 3rd Period (8:20 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,PT12M00.00S,2020-08-18T00:21:54Z,4,REGULAR,substitution,out,,['startperiod'],1629057,,,1610612738,75,79,0001-01-01T00:00:00,4610000,0,-80,,,[1629057],1610612738,BOS,0,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,PT12M00.00S,2020-08-18T00:21:54Z,4,REGULAR,substitution,out,,['startperiod'],202699,,,1610612738,75,79,0001-01-01T00:00:00,4620000,0,-80,,,[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,PT12M00.00S,2020-08-18T00:23:07Z,4,REGULAR,period,start,,[],0,,,1610612755,75,79,0001-01-01T00:00:00,4650000,0,-80,,Start of 4th Period (8:23 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,PT11M47.00S,2020-08-18T00:23:22Z,4,REGULAR,stoppage,outofbounds,,[],0,,,1610612755,75,79,0001-01-01T00:00:00,4660000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
