actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,stealPlayerName,stealPersonId,stealTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,blockPersonId,blockPlayerName
310,PT00M00.10S,2020-08-17T23:38:25Z,2,REGULAR,rebound,offensive,,['team'],0,,,1610612738,55,49,2020-08-17T23:38:36,3080000,-192,281,left,CELTICS Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,309.0,,,,,,,,,,,,,,
311,PT00M00.00S,2020-08-17T23:38:28Z,2,REGULAR,period,end,,[],0,,,1610612738,55,49,0001-01-01T00:00:00,3090000,0,-80,,End of 2nd Period (7:39 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2020-08-17T23:52:41Z,3,REGULAR,substitution,out,,['startperiod'],1629057,,,1610612738,55,49,0001-01-01T00:00:00,3100000,0,-80,,,[1629057],1610612738,BOS,0,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT12M00.00S,2020-08-17T23:52:41Z,3,REGULAR,substitution,out,,['startperiod'],1629680,,,1610612738,55,49,0001-01-01T00:00:00,3110000,0,-80,,,[1629680],1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT12M00.00S,2020-08-17T23:54:05Z,3,REGULAR,period,start,,[],0,,,1610612738,55,49,0001-01-01T00:00:00,3140000,0,-80,,Start of 3rd Period (7:54 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT11M35.00S,2020-08-17T23:54:29Z,3,REGULAR,2pt,jumpshot,drivingfloating,[],1628369,88.12,33.65,1610612738,57,49,2020-08-17T23:54:37,3150000,-82,59,right,Tatum 10' Driving Floating Jump Shot (23 PTS) (Brown 2 AST),"[1628369, 1627759]",1610612738,BOS,1,Tatum,J. Tatum,,,,,,,23.0,Made,10.1,,,,,,Brown,1627759.0,2.0,,,,,,,,,,
319,PT11M14.00S,2020-08-17T23:54:49Z,3,REGULAR,3pt,jumpshot,,[],1629003,4.55,94.43,1610612755,57,52,2020-08-17T23:54:54,3170000,-222,-10,left,Milton 3PT Jump Shot (8 PTS) (Horford 4 AST),"[1629003, 201143]",1610612755,PHI,1,Milton,S. Milton,,,,,,,8.0,Made,22.22,,,,,,Horford,201143.0,4.0,,,,,,,,,,
321,PT10M59.00S,2020-08-17T23:55:05Z,3,REGULAR,2pt,jumpshot,fadeaway,[],202330,92.99,81.69,1610612738,59,52,2020-08-17T23:55:11,3190000,158,13,right,Hayward 16' Fadeaway Jumper (7 PTS) (Brown 3 AST),"[202330, 1627759]",1610612738,BOS,1,Hayward,G. Hayward,,,,,,,7.0,Made,15.85,,,,,,Brown,1627759.0,3.0,,,,,,,,,,
323,PT10M42.00S,2020-08-17T23:55:21Z,3,REGULAR,3pt,jumpshot,stepback,[],202699,29.52,72.37,1610612755,59,52,2020-08-17T23:55:28,3210000,-112,225,left,MISS Harris 25' 3PT Step Back Jump Shot,[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,25.13,,,,,,,,,,,,,,,,,,
324,PT10M40.00S,2020-08-17T23:55:23Z,3,REGULAR,rebound,defensive,,[],1627759,,,1610612738,59,52,2020-08-17T23:55:28,3220000,-112,225,left,Brown REBOUND (Off:2 Def:2),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,4.0,2.0,2.0,323.0,,,,,,,,,,,,,,
