actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
21,PT10M06.00S,2020-01-19T00:12:31.4Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,4,2020-01-19T00:12:42Z,210000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M53.00S,2020-01-19T00:12:45.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629028,93.64323258869908,50.80422794117647,1610612756,3,6,2020-01-19T00:12:49Z,220000,4.0,7.0,1,right,D. Ayton layup (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,driving,,,Ayton,D. Ayton,,,,,1.34,Made,2.0,,,,,,,,,D. Booker,1626164.0,1.0,,,,,,,
24,PT09M37.00S,2020-01-19T00:13:02.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,8.229303547963205,42.715992647058826,1610612738,3,6,2020-01-19T00:13:12Z,240000,36.0,25.0,1,left,MISS G. Hayward layup Blocked,"[202330, 1628969]",1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,4.74,Missed,,,,,,,,,,,,,Bridges,1628969.0,,,,,
25,PT09M37.00S,2020-01-19T00:13:02.7Z,1,REGULAR,block,,[],1628969,,,1610612738,3,6,2020-01-19T00:13:05Z,250000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2020-01-19T00:13:03.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,6,2020-01-19T00:13:12Z,260000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2020-01-19T00:13:07.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,3,6,2020-01-19T00:13:07Z,270000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M31.00S,2020-01-19T00:13:17.5Z,1,REGULAR,2pt,jumpshot,['2ndchance'],202330,22.158344283837057,64.03952205882352,1610612738,3,6,2020-01-19T00:13:23Z,280000,-70.0,156.0,1,left,MISS G. Hayward 18' jumpshot,[202330],1610612738.0,BOS,turnaround,,,Hayward,G. Hayward,,,,,17.59,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2020-01-19T00:13:19.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,3,6,2020-01-19T00:13:23Z,290000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M11.00S,2020-01-19T00:13:40.6Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612756,3,6,2020-01-19T00:13:50Z,300000,,,0,,G. Williams FOUL personal (1 PF) (Rubio 2freethrow),"[1629684, 201937]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,101284.0,,,,,,1.0,0.0,Rubio,201937.0,
32,PT09M11.00S,2020-01-19T00:14:05.2Z,1,REGULAR,freethrow,1of2,[],201937,,,1610612756,3,7,2020-01-19T00:14:05Z,320000,,,0,,R. Rubio freethrow 1of2 (1 PTS),[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2020-01-19T00:14:19.5Z,1,REGULAR,freethrow,2of2,[],201937,,,1610612756,3,8,2020-01-19T00:14:19Z,330000,,,0,,R. Rubio freethrow 2of2 (2 PTS),[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2020-01-19T00:14:32.8Z,1,REGULAR,foul,personal,[],1628969,,,1610612738,3,8,2020-01-19T00:14:45Z,340000,,,0,,M. Bridges FOUL personal (1 PF),"[1628969, 1628369]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,101284.0,,,,,,1.0,0.0,Tatum,1628369.0,
36,PT08M55.00S,2020-01-19T00:14:58.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,10.5946123521682,39.5297181372549,1610612738,3,8,2020-01-19T00:15:04Z,360000,52.0,47.0,1,left,MISS J. Tatum 7' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,7.42,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2020-01-19T00:15:00.4Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,3,8,2020-01-19T00:15:04Z,370000,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M42.00S,2020-01-19T00:15:11.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203967,88.64980289093299,51.53952205882353,1610612756,3,10,2020-01-19T00:15:16Z,380000,8.0,54.0,1,right,D. Saric 6' layup (2 PTS),[203967],1610612756.0,PHX,driving,,,Saric,D. Saric,,,,,6.02,Made,2.0,,,,,,,,,,,,,,,,,,
39,PT08M30.00S,2020-01-19T00:15:23.6Z,1,REGULAR,3pt,jumpshot,[],203935,30.436925098554536,22.863051470588236,1610612738,3,10,2020-01-19T00:16:15Z,390000,136.0,234.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2020-01-19T00:15:25.6Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,3,10,2020-01-19T00:15:28Z,400000,,,0,,D. Saric REBOUND (Off:0 Def:2),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M13.00S,2020-01-19T00:15:40.5Z,1,REGULAR,3pt,jumpshot,[],203967,71.43561103810775,77.51991421568627,1610612756,3,10,2020-01-19T00:15:45Z,410000,138.0,216.0,1,right,MISS D. Saric 26' 3PT,[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
