actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
86,PT05M19.00S,2020-01-19T00:22:56.4Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612738,10,18,2020-01-19T00:23:05Z,860000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,,
87,PT05M16.00S,2020-01-19T00:22:59.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629750,5.0,50.0,1610612738,10,18,2020-01-19T00:22:59Z,870000,0.0,-6.0,1,left,MISS J. Green layup,[1629750],1610612738.0,BOS,tip,,,Green,J. Green,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M15.00S,2020-01-19T00:23:00.0Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,10,18,2020-01-19T00:23:00Z,880000,,,0,,D. Saric REBOUND (Off:0 Def:4),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,87.0,4.0,4.0,0.0,,,,,,,,,,,,,,
89,PT05M13.00S,2020-01-19T00:23:03.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629028,94.30026281208936,51.78462009803921,1610612756,10,18,2020-01-19T00:27:20Z,890000,9.0,1.0,1,right,MISS D. Ayton layup,[1629028],1610612756.0,PHX,runningalleyoop,,,Ayton,D. Ayton,,,,,1.11,Missed,,,,,,,,,,,,,,,,,,,
90,PT05M12.00S,2020-01-19T00:23:04.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,10,18,2020-01-19T00:23:15Z,900000,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,89.0,4.0,3.0,1.0,,,,,,,,,,,,,,
91,PT05M10.00S,2020-01-19T00:23:07.1Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1629028,95.0,50.0,1610612756,10,18,2020-01-19T00:23:27Z,910000,0.0,-6.0,1,right,MISS D. Ayton layup,[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
92,PT05M08.00S,2020-01-19T00:23:09.1Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,10,18,2020-01-19T00:23:27Z,920000,,,0,,E. Kanter REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT05M02.00S,2020-01-19T00:23:13.9Z,1,REGULAR,turnover,lostball,[],203935,,,1610612738,10,18,2020-01-19T00:23:20Z,930000,,,0,,M. Smart TURNOVER lostball (1 TOV) Stolen,"[203935, 1628969]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,,,,,,
94,PT05M02.00S,2020-01-19T00:23:13.9Z,1,REGULAR,steal,,[],1628969,,,1610612756,10,18,2020-01-19T00:24:12Z,940000,,,0,,M. Bridges STEAL (2 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M00.00S,2020-01-19T00:23:19.2Z,1,REGULAR,foul,personal,[],202330,,,1610612756,10,18,2020-01-19T00:24:28Z,950000,,,0,,G. Hayward FOUL personal (1 PF),"[202330, 1626164]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,1627529.0,,,,,,1.0,0.0,Booker,1626164.0,
97,PT05M00.00S,2020-01-19T00:23:33.2Z,1,REGULAR,substitution,out,[],201937,,,1610612756,10,18,2020-01-19T00:23:45Z,970000,,,0,,substitution out Rubio,[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M00.00S,2020-01-19T00:23:33.2Z,1,REGULAR,substitution,in,[],1629059,,,1610612756,10,18,2020-01-19T00:23:45Z,980000,,,0,,substitution in Okobo,[1629059],1610612756.0,PHX,,,,Okobo,E. Okobo,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M00.00S,2020-01-19T00:23:52.9Z,1,REGULAR,stoppage,bloodrule,[],0,,,1610612756,10,18,2020-01-19T00:23:52Z,990000,,,0,,stoppage bloodrule,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M53.00S,2020-01-19T00:25:00.4Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1626164,79.97700394218134,29.480698529411764,1610612756,10,20,2020-01-19T00:25:04Z,1000000,-103.0,136.0,1,right,D. Booker 17' jumpshot (7 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,17.45,Made,7.0,,,,,,,,,,,,,,,,,,
101,PT04M32.00S,2020-01-19T00:25:20.6Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202683,12.828515111695138,53.74540441176471,1610612738,10,20,2020-01-19T00:29:34Z,1010000,-19.0,68.0,1,left,MISS E. Kanter 8' hook,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,7.59,Missed,,,,,,,,,,,,,,,,,,,
102,PT04M31.00S,2020-01-19T00:25:21.6Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,10,20,2020-01-19T00:25:24Z,1020000,,,0,,D. Saric REBOUND (Off:0 Def:5),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,101.0,5.0,5.0,0.0,,,,,,,,,,,,,,
103,PT04M23.00S,2020-01-19T00:25:30.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626164,92.06636005256242,41.73560049019608,1610612756,10,22,2020-01-19T00:30:07Z,1030000,-41.0,22.0,1,right,D. Booker jumpshot (9 PTS),[1626164],1610612756.0,PHX,pullupbank,,,Booker,D. Booker,,,,,4.97,Made,9.0,,,,,,,,,,,,,,,,,,
104,PT04M06.00S,2020-01-19T00:25:47.3Z,1,REGULAR,2pt,jumpshot,[],202330,18.347568988173457,73.59834558823529,1610612738,10,22,2020-01-19T00:25:56Z,1040000,-118.0,120.0,1,left,MISS G. Hayward 17' jumpshot,[202330],1610612738.0,BOS,fadeaway,,,Hayward,G. Hayward,,,,,17.23,Missed,,,,,,,,,,,,,,,,,,,
105,PT04M04.00S,2020-01-19T00:25:49.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,10,22,2020-01-19T00:25:56Z,1050000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,104.0,2.0,2.0,0.0,,,,,,,,,,,,,,
106,PT03M57.00S,2020-01-19T00:25:56.9Z,1,REGULAR,2pt,jumpshot,[],1626164,89.17542706964521,25.559129901960787,1610612756,10,24,2020-01-19T00:26:02Z,1060000,-122.0,49.0,1,right,D. Booker 13' jumpshot (11 PTS),[1626164],1610612756.0,PHX,turnaroundfadeawaybank,,,Booker,D. Booker,,,,,13.39,Made,11.0,,,,,,,,,,,,,,,,,,
108,PT03M38.00S,2020-01-19T00:26:14.7Z,1,REGULAR,3pt,jumpshot,[],203935,26.149802890932982,80.23897058823529,1610612738,10,24,2020-01-19T00:26:42Z,1080000,-151.0,193.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M36.00S,2020-01-19T00:26:16.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,24,2020-01-19T00:26:22Z,1090000,,,0,,D. Ayton REBOUND (Off:1 Def:4),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,108.0,5.0,4.0,1.0,,,,,,,,,,,,,,
110,PT03M21.00S,2020-01-19T00:26:31.5Z,1,REGULAR,2pt,hook,['pointsinthepaint'],203967,86.94152431011827,53.50030637254902,1610612756,10,26,2020-01-19T00:26:37Z,1100000,18.0,70.0,1,right,D. Saric 8' hook (6 PTS) (D. Ayton 1 AST),"[203967, 1629028]",1610612756.0,PHX,driving,,,Saric,D. Saric,,,,,7.77,Made,6.0,,,,,,,,,D. Ayton,1629028.0,1.0,,,,,,,
112,PT03M04.00S,2020-01-19T00:26:48.2Z,1,REGULAR,3pt,jumpshot,[],203935,21.23850197109067,91.00030637254902,1610612738,13,26,2020-01-19T00:26:52Z,1120000,-205.0,147.0,1,left,M. Smart 26' 3PT  (9 PTS) (G. Hayward 3 AST),"[203935, 202330]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.56,Made,9.0,,,,,,,,,G. Hayward,202330.0,3.0,,,,,,,
114,PT02M45.00S,2020-01-19T00:27:07.4Z,1,REGULAR,turnover,badpass,[],1626164,,,1610612756,13,26,2020-01-19T00:27:11Z,1140000,,,0,,D. Booker TURNOVER badpass (2 TOV) Stolen,"[1626164, 203935]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,2.0,Smart,203935.0,,,,,,,,,,,
115,PT02M45.00S,2020-01-19T00:27:07.4Z,1,REGULAR,steal,,[],203935,,,1610612738,13,26,2020-01-19T00:27:09Z,1150000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M42.00S,2020-01-19T00:27:12.5Z,1,REGULAR,foul,personal,['2freethrow'],203967,,,1610612738,13,26,2020-01-19T00:30:01Z,1180000,,,0,,D. Saric FOUL personal (1 PF) (Green 2freethrow),"[203967, 1629750]",1610612756.0,PHX,shooting,,,Saric,D. Saric,,,,,,,,,,,,,,,1627529.0,,,,,,1.0,0.0,Green,1629750.0,
120,PT02M42.00S,2020-01-19T00:27:25.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,26,2020-01-19T00:27:25Z,1200000,,,0,,timeout full,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,out,[],202683,,,1610612738,13,26,2020-01-19T00:29:56Z,1210000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,out,[],202330,,,1610612738,13,26,2020-01-19T00:29:56Z,1220000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,13,26,2020-01-19T00:29:56Z,1230000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,out,[],1629028,,,1610612738,13,26,2020-01-19T00:29:56Z,1240000,,,0,,substitution out Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,out,[],1628969,,,1610612738,13,26,2020-01-19T00:29:56Z,1250000,,,0,,substitution out Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,13,26,2020-01-19T00:29:56Z,1260000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,in,[],1629682,,,1610612738,13,26,2020-01-19T00:29:56Z,1270000,,,0,,substitution in Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,13,26,2020-01-19T00:29:56Z,1280000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,in,[],1628975,,,1610612738,13,26,2020-01-19T00:29:56Z,1290000,,,0,,substitution in Carter,[1628975],1610612756.0,PHX,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M42.00S,2020-01-19T00:29:37.3Z,1,REGULAR,substitution,in,[],203382,,,1610612738,13,26,2020-01-19T00:29:56Z,1300000,,,0,,substitution in Baynes,[203382],1610612756.0,PHX,,,,Baynes,A. Baynes,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M42.00S,2020-01-19T00:30:24.4Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1629750,,,1610612738,13,26,2020-01-19T00:30:24Z,1310000,,,0,,MISS J. Green freethrow 1of2,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,,
132,PT02M42.00S,2020-01-19T00:30:24.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,13,26,2020-01-19T00:30:24Z,1320000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,
133,PT02M42.00S,2020-01-19T00:30:36.7Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1629750,,,1610612738,14,26,2020-01-19T00:30:36Z,1330000,,,0,,J. Green freethrow 2of2 (1 PTS),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
165,PT02M23.00S,2020-01-19T00:30:42.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203967,89.30683311432325,48.10814950980392,1610612756,14,26,2020-01-19T00:37:08Z,1335000,-9.0,48.0,1,right,MISS D. Saric jumpshot Blocked,"[203967, 1628369]",1610612756.0,PHX,turnaround,,,Saric,D. Saric,,,,,5.43,Missed,,,,,,,,,,,,,Tatum,1628369.0,,,,,
166,PT02M23.00S,2020-01-19T00:30:42.5Z,1,REGULAR,block,,[],1628369,,,1610612756,14,26,2020-01-19T00:37:08Z,1337500,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT02M21.00S,2020-01-19T00:30:44.5Z,1,REGULAR,rebound,offensive,[],203967,,,1610612756,14,26,2020-01-19T00:37:08Z,1338750,,,0,,D. Saric REBOUND (Off:1 Def:5),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,165.0,6.0,5.0,1.0,,,,,,,,,,,,,,
134,PT02M19.00S,2020-01-19T00:31:00.6Z,1,REGULAR,2pt,hook,"['pointsinthepaint', '2ndchance']",203967,88.25558475689881,54.970894607843135,1610612756,14,26,2020-01-19T00:37:08Z,1340000,25.0,58.0,1,right,MISS D. Saric 7' hook,[203967],1610612756.0,PHX,turnaround,,,Saric,D. Saric,,,,,6.81,Missed,,,,,,,,,,,,,,,,,,,
135,PT02M17.00S,2020-01-19T00:31:02.6Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,14,26,2020-01-19T00:31:09Z,1350000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,
136,PT02M17.00S,2020-01-19T00:31:09.0Z,1,REGULAR,foul,personal,[],1629059,,,1610612738,14,26,2020-01-19T00:31:23Z,1360000,,,0,,E. Okobo FOUL personal (1 PF),"[1629059, 202954]",1610612756.0,PHX,,,,Okobo,E. Okobo,,,,,,,,,,,,,,,1627529.0,,,,,,1.0,0.0,Wanamaker,202954.0,
138,PT02M05.00S,2020-01-19T00:31:36.4Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,14,26,2020-01-19T00:31:44Z,1380000,,,0,,J. Tatum FOUL offensive (1 PF),"[1628369, 1626164]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,101284.0,,,,,,1.0,0.0,Booker,1626164.0,
140,PT02M05.00S,2020-01-19T00:31:36.4Z,1,REGULAR,turnover,offensivefoul,[],1628369,,,1610612738,14,26,2020-01-19T00:31:44Z,1400000,,,0,,J. Tatum TURNOVER offensivefoul (1 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,1.0,,,101284.0,,,,,,,,,,
141,PT02M05.00S,2020-01-19T00:31:56.7Z,1,REGULAR,substitution,out,[],203967,,,1610612756,14,26,2020-01-19T00:31:59Z,1410000,,,0,,substitution out Saric,[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M05.00S,2020-01-19T00:31:56.7Z,1,REGULAR,substitution,in,[],1629660,,,1610612756,14,26,2020-01-19T00:31:59Z,1420000,,,0,,substitution in Jerome,[1629660],1610612756.0,PHX,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M44.00S,2020-01-19T00:32:13.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629682,,,1610612756,14,26,2020-01-19T00:32:37Z,1430000,,,0,,T. Waters FOUL personal (1 PF) (Okobo inpenalty),"[1629682, 1629059]",1610612738.0,BOS,shooting,,,Waters,T. Waters,,,,,,,,,,,,,,,1627529.0,,,,,,1.0,0.0,Okobo,1629059.0,
145,PT01M44.00S,2020-01-19T00:32:41.2Z,1,REGULAR,freethrow,1of2,['fromturnover'],1629059,,,1610612756,14,26,2020-01-19T00:32:57Z,1450000,,,0,,MISS E. Okobo freethrow 1of2,[1629059],1610612756.0,PHX,,,,Okobo,E. Okobo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
146,PT01M44.00S,2020-01-19T00:32:41.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612756,14,26,2020-01-19T00:32:57Z,1460000,,,0,,Team offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,
147,PT01M44.00S,2020-01-19T00:32:41.2Z,1,REGULAR,freethrow,2of2,['fromturnover'],1629059,,,1610612756,14,26,2020-01-19T00:32:57Z,1470000,,,0,,MISS E. Okobo freethrow 2of2,[1629059],1610612756.0,PHX,,,,Okobo,E. Okobo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
148,PT01M44.00S,2020-01-19T00:32:41.2Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612738,14,26,2020-01-19T00:32:57Z,1480000,,,0,,J. Green REBOUND (Off:1 Def:1),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,147.0,2.0,1.0,1.0,,,,,,,,,,,,,,
149,PT01M37.00S,2020-01-19T00:32:58.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202954,5.732588699080158,51.049325980392155,1610612738,16,26,2020-01-19T00:33:05Z,1490000,-5.0,1.0,1,left,B. Wanamaker layup (2 PTS) (J. Green 2 AST),"[202954, 1629750]",1610612738.0,BOS,running,,,Wanamaker,B. Wanamaker,,,,,0.86,Made,2.0,,,,,,,,,J. Green,1629750.0,2.0,,,,,,,
151,PT01M26.00S,2020-01-19T00:33:08.7Z,1,REGULAR,3pt,jumpshot,[],1626164,67.36202365308804,25.80422794117647,1610612756,16,26,2020-01-19T00:33:16Z,1510000,-121.0,254.0,1,right,MISS D. Booker 29' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,28.66,Missed,,,,,,,,,,,,,,,,,,,
152,PT01M23.00S,2020-01-19T00:33:11.7Z,1,REGULAR,rebound,offensive,[],1629660,,,1610612756,16,26,2020-01-19T00:33:16Z,1520000,,,0,,T. Jerome REBOUND (Off:1 Def:0),[1629660],1610612756.0,PHX,,,,Jerome,T. Jerome,,,,,,,,151.0,1.0,0.0,1.0,,,,,,,,,,,,,,
153,PT01M19.00S,2020-01-19T00:33:16.5Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628975,86.94152431011827,97.37285539215686,1610612756,16,26,2020-01-19T00:33:21Z,1530000,237.0,70.0,1,right,MISS J. Carter 25' 3PT,[1628975],1610612756.0,PHX,,,,Carter,J. Carter,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
154,PT01M17.00S,2020-01-19T00:33:18.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,26,2020-01-19T00:33:21Z,1540000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,153.0,2.0,2.0,0.0,,,,,,,,,,,,,,
155,PT01M03.00S,2020-01-19T00:33:32.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,8.360709592641262,50.314031862745104,1610612738,18,26,2020-01-19T00:33:38Z,1550000,-2.0,26.0,1,left,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,3.16,Made,2.0,,,,,,,,,,,,,,,,,,
156,PT00M39.10S,2020-01-19T00:33:57.3Z,1,REGULAR,3pt,jumpshot,[],1629059,66.44218134034165,51.53952205882353,1610612756,18,26,2020-01-19T00:34:05Z,1560000,8.0,263.0,1,right,MISS E. Okobo 27' 3PT,[1629059],1610612756.0,PHX,stepback,,,Okobo,E. Okobo,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,,
157,PT00M36.10S,2020-01-19T00:34:00.3Z,1,REGULAR,rebound,defensive,[],1629682,,,1610612738,18,26,2020-01-19T00:34:05Z,1570000,,,0,,T. Waters REBOUND (Off:0 Def:1),[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,,,,,,
158,PT00M31.70S,2020-01-19T00:34:04.7Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1629682,31.225361366622867,73.84344362745098,1610612738,18,26,2020-01-19T00:34:19Z,1580000,-119.0,241.0,1,left,MISS T. Waters 27' 3PT,[1629682],1610612738.0,BOS,runningpullup,,,Waters,T. Waters,,,,,27.38,Missed,,,,,,,,,,,,,,,,,,,
159,PT00M27.60S,2020-01-19T00:34:08.8Z,1,REGULAR,rebound,defensive,[],1629059,,,1610612756,18,26,2020-01-19T00:34:19Z,1590000,,,0,,E. Okobo REBOUND (Off:0 Def:1),[1629059],1610612756.0,PHX,,,,Okobo,E. Okobo,,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,,
160,PT00M08.20S,2020-01-19T00:34:28.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626164,94.30026281208936,48.10814950980392,1610612756,18,26,2020-01-19T00:34:35Z,1600000,-9.0,1.0,1,right,MISS D. Booker layup Blocked,"[1626164, 1628464]",1610612756.0,PHX,drivingfingerroll,,,Booker,D. Booker,,,,,1.16,Missed,,,,,,,,,,,,,Theis,1628464.0,,,,,
161,PT00M08.20S,2020-01-19T00:34:28.3Z,1,REGULAR,block,,[],1628464,,,1610612756,18,26,2020-01-19T00:34:30Z,1610000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M06.60S,2020-01-19T00:34:29.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,18,26,2020-01-19T00:34:35Z,1620000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,160.0,1.0,1.0,0.0,,,,,,,,,,,,,,
163,PT00M00.50S,2020-01-19T00:34:36.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,6.389618922470433,50.06893382352941,1610612738,20,26,2020-01-19T00:34:44Z,1630000,0.0,8.0,1,left,J. Tatum layup (4 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.31,Made,4.0,,,,,,,,,,,,,,,,,,
164,PT00M00.00S,2020-01-19T00:34:40.9Z,1,REGULAR,period,end,[],0,,,1610612756,20,26,2020-01-19T00:34:40Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2020-01-19T00:36:54.1Z,2,REGULAR,substitution,out,['startperiod'],1626164,,,1610612756,20,26,2020-01-19T00:37:13Z,1650000,,,0,,substitution out Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2020-01-19T00:36:54.1Z,2,REGULAR,substitution,out,['startperiod'],1629059,,,1610612756,20,26,2020-01-19T00:37:13Z,1660000,,,0,,substitution out Okobo,[1629059],1610612756.0,PHX,,,,Okobo,E. Okobo,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2020-01-19T00:36:54.1Z,2,REGULAR,substitution,in,['startperiod'],201937,,,1610612756,20,26,2020-01-19T00:37:13Z,1670000,,,0,,substitution in Rubio,[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2020-01-19T00:36:54.1Z,2,REGULAR,substitution,in,['startperiod'],1628969,,,1610612756,20,26,2020-01-19T00:37:13Z,1680000,,,0,,substitution in Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2020-01-19T00:37:30.5Z,2,REGULAR,period,start,[],0,,,1610612756,20,26,2020-01-19T00:37:30Z,1690000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M49.00S,2020-01-19T00:37:44.3Z,2,REGULAR,foul,personal,[],1629750,,,1610612756,20,26,2020-01-19T00:38:01Z,1700000,,,0,,J. Green FOUL personal (1 PF),"[1629750, 203382]",1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,1627529.0,,,,,,1.0,0.0,Baynes,203382.0,
175,PT11M42.00S,2020-01-19T00:38:04.6Z,2,REGULAR,2pt,hook,['pointsinthepaint'],203382,93.38042049934296,47.372855392156865,1610612756,20,26,2020-01-19T00:38:11Z,1720000,-13.0,10.0,1,right,MISS A. Baynes hook,[203382],1610612756.0,PHX,,,,Baynes,A. Baynes,,,,,2.01,Missed,,,,,,,,,,,,,,,,,,,
176,PT11M39.00S,2020-01-19T00:38:07.6Z,2,REGULAR,rebound,defensive,[],1629682,,,1610612738,20,26,2020-01-19T00:45:42Z,1730000,,,0,,T. Waters REBOUND (Off:0 Def:2),[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,175.0,2.0,2.0,0.0,,,,,,,,,,,,,,
