actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,assistPlayerName,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,turnoverTotal,blockPersonId,blockPlayerName,stealPlayerName,stealPersonId,stealTotal
200,PT06M40.00S,2020-08-19T23:27:14Z,2,REGULAR,rebound,offensive,,[],202699,,,1610612755,43,38,2020-08-19T23:27:56,1930000,56,67,right,Harris REBOUND (Off:1 Def:4),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,5.0,4.0,1.0,199.0,,,,,,,,,,,,,,
201,PT06M40.00S,2020-08-19T23:27:17Z,2,REGULAR,2pt,layup,tip,"['2ndchance', 'pointsinthepaint']",202699,95.0,50.0,1610612755,43,38,2020-08-19T23:28:01,1940000,0,-6,right,MISS Harris 1' Tip Layup Shot,[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,0.6,,,,,,,,,,,,,,,,,,
202,PT06M38.00S,2020-08-19T23:27:19Z,2,REGULAR,rebound,offensive,,['team'],0,,,1610612755,43,38,2020-08-19T23:28:05,1950000,0,-6,right,76ers Rebound,[],1610612755,PHI,0,,,,,,,,,,,,0.0,0.0,0.0,201.0,,,,,,,,,,,,,,
203,PT06M38.00S,2020-08-19T23:27:19Z,2,REGULAR,stoppage,outofbounds,,[],0,,,1610612755,43,38,0001-01-01T00:00:00,1960000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT06M38.00S,2020-08-19T23:27:27Z,2,REGULAR,substitution,out,,[],1628369,,,1610612755,43,38,2020-08-19T23:27:51,1970000,0,-80,,SUB: Brown FOR Tatum,[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT06M38.00S,2020-08-19T23:27:27Z,2,REGULAR,substitution,out,,[],201143,,,1610612755,43,38,2020-08-19T23:27:51,1980000,0,-80,,SUB: Richardson FOR Horford,[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT06M38.00S,2020-08-19T23:27:27Z,2,REGULAR,substitution,out,,[],1629684,,,1610612755,43,38,0001-01-01T00:00:00,2010000,0,-80,,SUB: Smart FOR Williams,[1629684],1610612738,BOS,0,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT06M31.00S,2020-08-19T23:28:06Z,2,REGULAR,2pt,jumpshot,pullup,['2ndchance'],203954,76.03,41.25,1610612755,43,38,2020-08-19T23:28:25,2030000,-44,173,right,MISS Embiid 18' Pullup Jump Shot,[203954],1610612755,PHI,1,Embiid,J. Embiid,,,,,,,0.0,Missed,17.85,,,,,,,,,,,,,,,,,,
211,PT06M31.00S,2020-08-19T23:28:06Z,2,REGULAR,rebound,defensive,,['team'],0,,,1610612738,43,38,2020-08-19T23:28:25,2040000,-44,173,right,CELTICS Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,210.0,,,,,,,,,,,,,,
212,PT06M31.00S,2020-08-19T23:28:09Z,2,REGULAR,stoppage,outofbounds,,[],0,,,1610612738,43,38,0001-01-01T00:00:00,2050000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M31.00S,2020-08-19T23:28:10Z,2,REGULAR,substitution,out,,[],1629680,,,1610612738,43,38,0001-01-01T00:00:00,2060000,0,-80,,SUB: Milton FOR Thybulle,[1629680],1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M12.00S,2020-08-19T23:28:37Z,2,REGULAR,3pt,jumpshot,pullup,[],202954,32.15,68.7,1610612738,46,38,2020-08-19T23:28:41,2080000,-94,250,left,Wanamaker 27' 3PT Pullup Jump Shot (5 PTS),[202954],1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,5.0,Made,26.71,,,,,,,,,,,,,,,,,,
216,PT05M52.00S,2020-08-19T23:28:57Z,2,REGULAR,3pt,jumpshot,,[],1626196,73.67,11.34,1610612755,46,41,2020-08-19T23:29:00,2090000,-193,195,right,Richardson 27' 3PT Jump Shot (8 PTS) (Harris 1 AST),"[1626196, 202699]",1610612755,PHI,1,Richardson,J. Richardson,,,,,,,8.0,Made,27.44,,,,,Harris,202699.0,1.0,,,,,,,,,,,
218,PT05M36.00S,2020-08-19T23:29:13Z,2,REGULAR,2pt,jumpshot,pullup,['pointsinthepaint'],203935,15.85,39.28,1610612738,48,41,2020-08-19T23:29:17,2110000,54,96,left,Smart 11' Pullup Jump Shot (4 PTS),[203935],1610612738,BOS,1,Smart,M. Smart,,,,,,,4.0,Made,11.01,,,,,,,,,,,,,,,,,,
219,PT05M24.00S,2020-08-19T23:29:28Z,2,REGULAR,turnover,backcourt,,[],1629003,,,1610612755,48,41,2020-08-19T23:29:35,2120000,-5,442,right,Milton Backcourt Turnover (P1.T2),[1629003],1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
