actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,assistPlayerName,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,turnoverTotal,blockPersonId,blockPlayerName,stealPlayerName,stealPersonId,stealTotal
270,PT02M15.00S,2020-08-19T23:39:53Z,2,REGULAR,foul,personal,,"['inpenalty', '2freethrow']",1627759,,,1610612755,58,47,2020-08-19T23:40:03,2630000,-93,20,right,Brown P.FOUL (P1.PN),"[1627759, 203954]",1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,,,,,,,,Embiid,203954.0,1.0,0.0,101284.0,,,,,,
272,PT02M15.00S,2020-08-19T23:40:21Z,2,REGULAR,freethrow,1of2,,[],203954,,,1610612755,58,48,0001-01-01T00:00:00,2650000,-250,888,right,Embiid Free Throw 1 of 2 (19 PTS),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,19.0,Made,,,,,,,,,,,,,,,,,,,
273,PT02M15.00S,2020-08-19T23:40:21Z,2,REGULAR,substitution,out,,[],1629684,,,1610612755,58,48,0001-01-01T00:00:00,2660000,0,-80,,SUB: Kanter FOR Williams,[1629684],1610612738,BOS,0,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT02M15.00S,2020-08-19T23:40:46Z,2,REGULAR,freethrow,2of2,,[],203954,,,1610612755,58,49,0001-01-01T00:00:00,2680000,-250,888,right,Embiid Free Throw 2 of 2 (20 PTS),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,20.0,Made,,,,,,,,,,,,,,,,,,,
276,PT02M06.00S,2020-08-19T23:40:57Z,2,REGULAR,2pt,jumpshot,drivingfloating,['pointsinthepaint'],203935,16.51,56.93,1610612738,58,49,2020-08-19T23:41:01,2690000,-35,103,left,MISS Smart 11' Driving Floating Jump Shot,[203935],1610612738,BOS,1,Smart,M. Smart,,,,,,,0.0,Missed,10.88,,,,,,,,,,,,,,,,,,
277,PT02M05.00S,2020-08-19T23:40:58Z,2,REGULAR,rebound,defensive,,[],203954,,,1610612755,58,49,2020-08-19T23:41:04,2700000,-35,103,left,Embiid REBOUND (Off:0 Def:7),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,7.0,7.0,0.0,276.0,,,,,,,,,,,,,,
278,PT01M55.00S,2020-08-19T23:41:07Z,2,REGULAR,2pt,layup,driving,['pointsinthepaint'],1626196,90.1,51.78,1610612755,58,51,2020-08-19T23:41:11,2710000,9,41,right,Richardson 4' Driving Layup (10 PTS),[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,10.0,Made,4.2,,,,,,,,,,,,,,,,,,
279,PT01M39.00S,2020-08-19T23:41:22Z,2,REGULAR,2pt,jumpshot,pullup,[],202689,19.27,29.97,1610612738,60,51,2020-08-19T23:41:25,2720000,100,129,left,Walker 16' Pullup Jump Shot (10 PTS),[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,10.0,Made,16.32,,,,,,,,,,,,,,,,,,
280,PT01M12.00S,2020-08-19T23:41:50Z,2,REGULAR,2pt,jumpshot,fadeaway,[],1626196,86.94,75.31,1610612755,60,53,2020-08-19T23:41:55,2730000,127,70,right,Richardson 15' Fadeaway Jumper (12 PTS),[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,12.0,Made,14.5,,,,,,,,,,,,,,,,,,
281,PT00M56.80S,2020-08-19T23:42:06Z,2,REGULAR,3pt,jumpshot,pullup,[],202689,31.23,70.66,1610612738,63,53,2020-08-19T23:42:16,2740000,-103,241,left,Walker 26' 3PT Pullup Jump Shot (13 PTS),[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,13.0,Made,26.21,,,,,,,,,,,,,,,,,,
282,PT00M36.60S,2020-08-19T23:42:30Z,2,REGULAR,2pt,layup,cutting,['pointsinthepaint'],203954,90.88,53.26,1610612755,63,55,2020-08-19T23:42:34,2750000,16,33,right,Embiid 4' Cutting Layup Shot (22 PTS) (Richardson 3 AST),"[203954, 1626196]",1610612755,PHI,1,Embiid,J. Embiid,,,,,,,22.0,Made,3.67,,,,,Richardson,1626196.0,3.0,,,,,,,,,,,
284,PT00M31.10S,2020-08-19T23:42:43Z,2,REGULAR,3pt,jumpshot,pullup,[],1627759,28.6,80.22,1610612738,63,55,2020-08-19T23:42:50,2770000,-151,216,left,MISS Brown 26' 3PT Pullup Jump Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,26.35,,,,,,,,,,,,,,,,,,
285,PT00M30.30S,2020-08-19T23:42:44Z,2,REGULAR,rebound,defensive,,[],1629680,,,1610612755,63,55,2020-08-19T23:42:51,2780000,-151,216,left,Thybulle REBOUND (Off:0 Def:2),[1629680],1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,2.0,2.0,0.0,284.0,,,,,,,,,,,,,,
286,PT00M10.90S,2020-08-19T23:43:05Z,2,REGULAR,foul,personal,shooting,"['inpenalty', '2freethrow']",202689,,,1610612755,63,55,2020-08-19T23:43:11,2790000,60,37,right,Walker S.FOUL (P1.PN),"[202689, 1626196]",1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,,,,Richardson,1626196.0,1.0,0.0,200832.0,,,,,,
288,PT00M10.90S,2020-08-19T23:43:28Z,2,REGULAR,freethrow,1of2,,[],1626196,,,1610612755,63,56,2020-08-19T23:49:18,2810000,-250,888,right,Richardson Free Throw 1 of 2 (13 PTS),[1626196],1610612755,PHI,0,Richardson,J. Richardson,,,,,,,13.0,Made,,,,,,,,,,,,,,,,,,,
291,PT00M10.90S,2020-08-19T23:43:28Z,2,REGULAR,freethrow,2of2,,[],1626196,,,1610612755,63,57,2020-08-19T23:49:18,2815000,-250,888,right,Richardson Free Throw 2 of 2 (14 PTS),[1626196],1610612755,PHI,0,Richardson,J. Richardson,,,,,,,14.0,Made,,,,,,,,,,,,,,,,,,,
289,PT00M10.90S,2020-08-19T23:43:29Z,2,REGULAR,substitution,out,,[],1629003,,,1610612738,63,57,2020-08-19T23:49:18,2820000,0,-80,,SUB: Neto FOR Milton,[1629003],1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT00M01.10S,2020-08-19T23:44:24Z,2,REGULAR,foul,personal,shooting,"['inpenalty', '2freethrow']",1629680,,,1610612738,63,57,2020-08-19T23:47:21,2835000,-44,22,left,Thybulle S.FOUL (P2.PN),"[1629680, 202689]",1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,Walker,202689.0,2.0,0.0,200832.0,,,,,,
292,PT00M01.10S,2020-08-19T23:44:24Z,2,REGULAR,foul,personal,shooting,"['inpenalty', '2freethrow']",1629680,,,1610612738,63,57,2020-08-19T23:47:21,2835000,-44,22,left,Thybulle S.FOUL (P2.PN),[1629680],1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,2.0,0.0,200832.0,,,,,,
295,PT00M01.10S,2020-08-19T23:46:10Z,2,REGULAR,freethrow,1of2,,[],202689,,,1610612738,64,57,2020-08-19T23:46:35,2880000,250,-52,left,Walker Free Throw 1 of 2 (14 PTS),[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,14.0,Made,,,,,,,,,,,,,,,,,,,
296,PT00M01.10S,2020-08-19T23:46:11Z,2,REGULAR,substitution,out,,[],203526,,,1610612738,65,57,0001-01-01T00:00:00,2890000,0,-80,,SUB: Korkmaz FOR Neto,[203526],1610612755,PHI,0,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT00M01.10S,2020-08-19T23:46:10Z,2,REGULAR,freethrow,2of2,,[],202689,,,1610612738,65,57,2020-08-19T23:46:35,2910000,250,-52,left,Walker Free Throw 2 of 2 (15 PTS),[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,15.0,Made,,,,,,,,,,,,,,,,,,,
299,PT00M00.00S,2020-08-19T23:47:03Z,2,REGULAR,period,end,,[],0,,,1610612755,65,57,0001-01-01T00:00:00,2920000,0,-80,,End of 2nd Period (7:47 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT12M00.00S,2020-08-20T00:02:52Z,3,REGULAR,substitution,out,,['startperiod'],202683,,,1610612755,65,57,0001-01-01T00:00:00,2930000,0,-80,,,[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT12M00.00S,2020-08-20T00:02:52Z,3,REGULAR,substitution,out,,['startperiod'],1627788,,,1610612755,65,57,0001-01-01T00:00:00,2940000,0,-80,,,[1627788],1610612755,PHI,0,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2020-08-20T00:03:26Z,3,REGULAR,period,start,,[],0,,,1610612755,65,57,0001-01-01T00:00:00,2970000,0,-80,,Start of 3rd Period (8:04 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT11M39.00S,2020-08-20T00:03:46Z,3,REGULAR,2pt,jumpshot,turnaroundfadeaway,['pointsinthepaint'],203954,13.62,56.2,1610612755,65,57,2020-08-20T00:03:51,2980000,-31,76,left,MISS Embiid 8' Turnaround Fadeaway Shot,[203954],1610612755,PHI,1,Embiid,J. Embiid,,,,,,,0.0,Missed,8.21,,,,,,,,,,,,,,,,,,
306,PT11M38.00S,2020-08-20T00:03:47Z,3,REGULAR,rebound,defensive,,[],1628369,,,1610612738,65,57,2020-08-20T00:03:57,2990000,-31,76,left,Tatum REBOUND (Off:1 Def:4),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,5.0,4.0,1.0,305.0,,,,,,,,,,,,,,
307,PT11M32.00S,2020-08-20T00:03:53Z,3,REGULAR,2pt,jumpshot,drivingfloating,"['pointsinthepaint', 'fastbreak']",1628369,83.0,39.04,1610612738,67,57,2020-08-20T00:03:58,3000000,-55,107,right,Tatum 12' Driving Floating Jump Shot (20 PTS),[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,20.0,Made,12.03,,,,,,,,,,,,,,,,,,
308,PT11M14.00S,2020-08-20T00:04:10Z,3,REGULAR,3pt,jumpshot,,[],202699,24.52,87.81,1610612755,67,57,2020-08-20T00:04:21,3010000,-189,178,left,MISS Harris 26' 3PT Jump Shot,[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,25.96,,,,,,,,,,,,,,,,,,
309,PT11M14.00S,2020-08-20T00:04:10Z,3,REGULAR,rebound,defensive,,['team'],0,,,1610612738,67,57,2020-08-20T00:04:21,3020000,-189,178,left,CELTICS Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,308.0,,,,,,,,,,,,,,
310,PT11M14.00S,2020-08-20T00:04:18Z,3,REGULAR,stoppage,outofbounds,,[],0,,,1610612738,67,57,0001-01-01T00:00:00,3030000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT10M57.00S,2020-08-20T00:04:41Z,3,REGULAR,2pt,jumpshot,stepback,[],202689,83.52,23.84,1610612738,67,57,2020-08-20T00:04:46,3040000,-131,102,right,MISS Walker 17' Step Back Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,16.6,,,,,,,,,,,,,,,,,,
312,PT10M56.00S,2020-08-20T00:04:42Z,3,REGULAR,rebound,defensive,,[],1626196,,,1610612755,67,57,2020-08-20T00:04:49,3050000,-131,102,right,Richardson REBOUND (Off:1 Def:2),[1626196],1610612755,PHI,0,Richardson,J. Richardson,,,,,,,,,,3.0,2.0,1.0,311.0,,,,,,,,,,,,,,
313,PT10M46.00S,2020-08-20T00:04:53Z,3,REGULAR,2pt,jumpshot,turnaround,['pointsinthepaint'],202699,6.78,58.4,1610612755,67,57,2020-08-20T00:04:57,3060000,-42,11,left,MISS Harris 4' Turnaround Jump Shot Blocked,"[202699, 203935]",1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,4.34,,,,,,,,,,,,,,203935.0,Smart,,,
314,PT10M46.00S,2020-08-20T00:04:53Z,3,REGULAR,block,,,[],203935,,,1610612755,67,57,0001-01-01T00:00:00,3070000,-42,11,left, BLOCK ,[203935],1610612738,BOS,0,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT10M45.00S,2020-08-20T00:04:54Z,3,REGULAR,rebound,offensive,,[],202699,,,1610612755,67,57,2020-08-20T00:05:09,3080000,-42,11,left,Harris REBOUND (Off:2 Def:5),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,7.0,5.0,2.0,313.0,,,,,,,,,,,,,,
316,PT10M34.00S,2020-08-20T00:05:04Z,3,REGULAR,2pt,jumpshot,,['2ndchance'],203954,22.82,32.42,1610612755,67,57,2020-08-20T00:05:07,3090000,88,162,left,MISS Embiid 18' Jump Shot,[203954],1610612755,PHI,1,Embiid,J. Embiid,,,,,,,0.0,Missed,18.44,,,,,,,,,,,,,,,,,,
317,PT10M33.00S,2020-08-20T00:05:05Z,3,REGULAR,rebound,defensive,,[],203935,,,1610612738,67,57,2020-08-20T00:05:13,3100000,88,162,left,Smart REBOUND (Off:0 Def:1),[203935],1610612738,BOS,0,Smart,M. Smart,,,,,,,,,,1.0,1.0,0.0,316.0,,,,,,,,,,,,,,
318,PT10M25.00S,2020-08-20T00:05:16Z,3,REGULAR,foul,personal,,[],1629680,,,1610612738,67,57,2020-08-20T00:05:23,3110000,221,389,right,Thybulle P.FOUL (P3.T1),"[1629680, 1628369]",1610612755,PHI,0,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,Tatum,1628369.0,3.0,0.0,2529.0,,,,,,
320,PT10M13.00S,2020-08-20T00:05:40Z,3,REGULAR,3pt,jumpshot,pullup,[],1628369,67.49,28.99,1610612738,67,57,2020-08-20T00:05:44,3130000,-105,253,right,MISS Tatum 27' 3PT Pullup Jump Shot,[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,0.0,Missed,27.39,,,,,,,,,,,,,,,,,,
321,PT10M12.00S,2020-08-20T00:05:41Z,3,REGULAR,rebound,defensive,,[],203954,,,1610612755,67,57,2020-08-20T00:05:47,3140000,-105,253,right,Embiid REBOUND (Off:0 Def:8),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,8.0,8.0,0.0,320.0,,,,,,,,,,,,,,
322,PT10M04.00S,2020-08-20T00:05:49Z,3,REGULAR,2pt,layup,driving,['pointsinthepaint'],1626196,11.65,52.03,1610612755,67,57,2020-08-20T00:05:55,3150000,-10,57,left,MISS Richardson 6' Driving Layup,[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,0.0,Missed,5.79,,,,,,,,,,,,,,,,,,
323,PT10M03.00S,2020-08-20T00:05:50Z,3,REGULAR,rebound,defensive,,[],1628464,,,1610612738,67,57,2020-08-20T00:05:56,3160000,-10,57,left,Theis REBOUND (Off:0 Def:1),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,1.0,1.0,0.0,322.0,,,,,,,,,,,,,,
324,PT09M55.00S,2020-08-20T00:05:58Z,3,REGULAR,2pt,jumpshot,drivingfloatingbank,['pointsinthepaint'],1627759,91.8,47.13,1610612738,69,57,2020-08-20T00:06:03,3170000,-14,25,right,Brown 3' Driving Floating Bank Jump Shot (13 PTS),[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,13.0,Made,2.87,,,,,,,,,,,,,,,,,,
325,PT09M38.00S,2020-08-20T00:06:17Z,3,REGULAR,foul,personal,shooting,['2freethrow'],1628464,,,1610612755,69,57,2020-08-20T00:06:27,3180000,-53,62,left,Theis S.FOUL (P2.T1),"[1628464, 203954]",1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,Embiid,203954.0,2.0,0.0,2529.0,,,,,,
327,PT09M38.00S,2020-08-20T00:06:42Z,3,REGULAR,freethrow,1of2,,[],203954,,,1610612755,69,58,0001-01-01T00:00:00,3200000,250,-52,left,Embiid Free Throw 1 of 2 (23 PTS),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,23.0,Made,,,,,,,,,,,,,,,,,,,
328,PT09M38.00S,2020-08-20T00:07:01Z,3,REGULAR,freethrow,2of2,,[],203954,,,1610612755,69,59,0001-01-01T00:00:00,3210000,250,-52,left,Embiid Free Throw 2 of 2 (24 PTS),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,24.0,Made,,,,,,,,,,,,,,,,,,,
329,PT09M22.00S,2020-08-20T00:07:20Z,3,REGULAR,3pt,jumpshot,,[],1628464,66.97,61.1,1610612738,69,59,2020-08-20T00:07:24,3220000,56,258,right,MISS Theis 26' 3PT Jump Shot,[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,0.0,Missed,26.4,,,,,,,,,,,,,,,,,,
330,PT09M21.00S,2020-08-20T00:07:21Z,3,REGULAR,rebound,defensive,,[],1629003,,,1610612755,69,59,2020-08-20T00:07:27,3230000,56,258,right,Milton REBOUND (Off:0 Def:2),[1629003],1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,2.0,2.0,0.0,329.0,,,,,,,,,,,,,,
331,PT09M14.00S,2020-08-20T00:07:30Z,3,REGULAR,foul,personal,,[],1628464,,,1610612755,69,59,2020-08-20T00:07:37,3240000,126,80,left,Theis P.FOUL (P3.T2),"[1628464, 203954]",1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,Embiid,203954.0,3.0,0.0,101284.0,,,,,,
333,PT09M01.00S,2020-08-20T00:08:05Z,3,REGULAR,2pt,layup,driving,['pointsinthepaint'],1626196,7.84,44.68,1610612755,69,59,2020-08-20T00:08:08,3260000,27,21,left,MISS Richardson 3' Driving Layup,[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,0.0,Missed,3.42,,,,,,,,,,,,,,,,,,
334,PT09M00.00S,2020-08-20T00:08:06Z,3,REGULAR,rebound,defensive,,[],1627759,,,1610612738,69,59,2020-08-20T00:08:08,3270000,27,21,left,Brown REBOUND (Off:0 Def:3),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,3.0,3.0,0.0,333.0,,,,,,,,,,,,,,
335,PT08M52.00S,2020-08-20T00:08:14Z,3,REGULAR,3pt,jumpshot,,[],203935,66.84,66.74,1610612738,69,59,2020-08-20T00:08:17,3280000,84,259,right,MISS Smart 27' 3PT Jump Shot,[203935],1610612738,BOS,1,Smart,M. Smart,,,,,,,0.0,Missed,27.23,,,,,,,,,,,,,,,,,,
336,PT08M51.00S,2020-08-20T00:08:15Z,3,REGULAR,rebound,defensive,,[],202699,,,1610612755,69,59,2020-08-20T00:08:21,3290000,84,259,right,Harris REBOUND (Off:2 Def:6),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,8.0,6.0,2.0,335.0,,,,,,,,,,,,,,
337,PT08M39.00S,2020-08-20T00:08:27Z,3,REGULAR,turnover,badpass,,[],1626196,,,1610612755,69,59,2020-08-20T00:08:31,3300000,-21,96,left,Richardson Bad Pass Turnover (P1.T3) Stolen,"[1626196, 1628464]",1610612755,PHI,0,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,1.0,,,Theis,1628464.0,1.0
338,PT08M39.00S,2020-08-20T00:08:27Z,3,REGULAR,steal,,,[],1628464,,,1610612738,69,59,0001-01-01T00:00:00,3310000,-21,96,left, STEAL ,[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT08M34.00S,2020-08-20T00:08:35Z,3,REGULAR,2pt,jumpshot,running,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,85.76,59.14,1610612738,71,59,2020-08-20T00:08:48,3320000,46,81,right,Smart 9' Running Jump Shot (6 PTS) (Tatum 3 AST),"[203935, 1628369]",1610612738,BOS,1,Smart,M. Smart,,,,,,,6.0,Made,9.32,,,,,Tatum,1628369.0,3.0,,,,,,,,,,,
341,PT08M34.00S,2020-08-20T00:08:44Z,3,REGULAR,foul,personal,shooting,['1freethrow'],203954,,,1610612738,71,59,2020-08-20T00:08:49,3340000,46,81,right,Embiid S.FOUL (P2.T2),"[203954, 203935]",1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,Smart,203935.0,2.0,0.0,101284.0,,,,,,
343,PT08M34.00S,2020-08-20T00:09:05Z,3,REGULAR,freethrow,1of1,,"['fromturnover', 'fastbreak']",203935,,,1610612738,72,59,2020-08-20T00:09:05,3360000,-250,888,right,Smart Free Throw 1 of 1 (7 PTS),[203935],1610612738,BOS,0,Smart,M. Smart,,,,,,,7.0,Made,,,,,,,,,,,,,,,,,,,
344,PT08M20.00S,2020-08-20T00:09:20Z,3,REGULAR,3pt,jumpshot,,[],1629680,26.1,87.57,1610612755,72,59,2020-08-20T00:09:26,3370000,-188,193,left,MISS Thybulle 27' 3PT Jump Shot,[1629680],1610612755,PHI,1,Thybulle,M. Thybulle,,,,,,,0.0,Missed,26.94,,,,,,,,,,,,,,,,,,
345,PT08M18.00S,2020-08-20T00:09:22Z,3,REGULAR,rebound,offensive,,[],202699,,,1610612755,72,59,2020-08-20T00:09:26,3380000,-188,193,left,Harris REBOUND (Off:3 Def:6),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,9.0,6.0,3.0,344.0,,,,,,,,,,,,,,
346,PT08M17.00S,2020-08-20T00:09:24Z,3,REGULAR,2pt,layup,putback,"['pointsinthepaint', '2ndchance']",202699,7.18,45.41,1610612755,72,59,2020-08-20T00:09:33,3390000,23,15,left,MISS Harris 3' Putback Layup,[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,2.75,,,,,,,,,,,,,,,,,,
348,PT08M16.00S,2020-08-20T00:09:25Z,3,REGULAR,rebound,defensive,,[],1628464,,,1610612738,72,59,2020-08-20T00:10:11,3410000,23,15,left,Theis REBOUND (Off:0 Def:2),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,2.0,2.0,0.0,346.0,,,,,,,,,,,,,,
349,PT08M04.00S,2020-08-20T00:09:36Z,3,REGULAR,2pt,layup,reverse,"['pointsinthepaint', 'fastbreak']",202689,93.64,55.22,1610612738,72,59,2020-08-20T00:09:45,3420000,26,7,right,MISS Walker 3' Reverse Layup Blocked,"[202689, 203954]",1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,2.69,,,,,,,,,,,,,,203954.0,Embiid,,,
350,PT08M04.00S,2020-08-20T00:09:36Z,3,REGULAR,block,,,[],203954,,,1610612738,72,59,0001-01-01T00:00:00,3430000,26,7,right, BLOCK ,[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT08M03.00S,2020-08-20T00:09:37Z,3,REGULAR,rebound,defensive,,[],1629003,,,1610612755,72,59,2020-08-20T00:09:55,3440000,26,7,right,Milton REBOUND (Off:0 Def:3),[1629003],1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,3.0,3.0,0.0,349.0,,,,,,,,,,,,,,
352,PT07M56.00S,2020-08-20T00:09:44Z,3,REGULAR,turnover,lostball,,[],203954,,,1610612755,72,59,2020-08-20T00:09:51,3450000,41,137,left,Embiid Lost Ball Turnover (P1.T4) Stolen,"[203954, 202689]",1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,1.0,,,Walker,202689.0,1.0
353,PT07M56.00S,2020-08-20T00:09:44Z,3,REGULAR,steal,,,[],202689,,,1610612738,72,59,0001-01-01T00:00:00,3460000,41,137,left, STEAL ,[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT07M53.00S,2020-08-20T00:09:48Z,3,REGULAR,2pt,dunk,running,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,90.1,51.05,1610612738,74,59,2020-08-20T00:09:56,3470000,5,41,right,Brown 4' Running Dunk (15 PTS) (Tatum 4 AST),"[1627759, 1628369]",1610612738,BOS,1,Brown,J. Brown,,,,,,,15.0,Made,4.13,,,,,Tatum,1628369.0,4.0,,,,,,,,,,,
356,PT07M53.00S,2020-08-20T00:10:01Z,3,REGULAR,timeout,full,,"['team', 'mandatory']",0,,,1610612755,74,59,0001-01-01T00:00:00,3490000,0,-80,,76ers Timeout: Regular (Reg.4 Short 0),[],1610612755,PHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT07M38.00S,2020-08-20T00:13:40Z,3,REGULAR,2pt,dunk,alleyoop,['pointsinthepaint'],1629680,6.13,51.54,1610612755,74,61,2020-08-20T00:13:47,3500000,-8,5,left,Thybulle 1' Alley Oop Dunk (2 PTS) (Milton 2 AST),"[1629680, 1629003]",1610612755,PHI,1,Thybulle,M. Thybulle,,,,,,,2.0,Made,0.94,,,,,Milton,1629003.0,2.0,,,,,,,,,,,
359,PT07M13.00S,2020-08-20T00:14:03Z,3,REGULAR,2pt,layup,cutting,['pointsinthepaint'],1628464,93.77,53.01,1610612738,74,61,2020-08-20T00:14:08,3520000,15,6,right,MISS Theis 2' Cutting Layup Shot,[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,0.0,Missed,1.62,,,,,,,,,,,,,,,,,,
360,PT07M12.00S,2020-08-20T00:14:04Z,3,REGULAR,rebound,offensive,,[],1628464,,,1610612738,74,61,2020-08-20T00:14:12,3530000,15,6,right,Theis REBOUND (Off:1 Def:2),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,3.0,2.0,1.0,359.0,,,,,,,,,,,,,,
361,PT07M12.00S,2020-08-20T00:14:06Z,3,REGULAR,2pt,layup,tip,"['2ndchance', 'pointsinthepaint']",1628464,95.0,50.0,1610612738,76,61,2020-08-20T00:14:15,3540000,0,-6,right,Theis 1' Tip Layup Shot (2 PTS),[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,2.0,Made,0.6,,,,,,,,,,,,,,,,,,
362,PT06M55.00S,2020-08-20T00:14:20Z,3,REGULAR,3pt,jumpshot,,[],1629003,32.67,65.27,1610612755,76,61,2020-08-20T00:14:25,3550000,-76,255,left,MISS Milton 27' 3PT Jump Shot,[1629003],1610612755,PHI,1,Milton,S. Milton,,,,,,,0.0,Missed,26.61,,,,,,,,,,,,,,,,,,
363,PT06M52.00S,2020-08-20T00:14:23Z,3,REGULAR,rebound,defensive,,[],203935,,,1610612738,76,61,2020-08-20T00:14:29,3560000,-76,255,left,Smart REBOUND (Off:0 Def:2),[203935],1610612738,BOS,0,Smart,M. Smart,,,,,,,,,,2.0,2.0,0.0,362.0,,,,,,,,,,,,,,
364,PT06M46.00S,2020-08-20T00:14:30Z,3,REGULAR,3pt,jumpshot,,['fastbreak'],1627759,92.33,3.75,1610612738,79,61,2020-08-20T00:14:37,3570000,-231,20,right,Brown 3PT Jump Shot (18 PTS) (Smart 1 AST),"[1627759, 203935]",1610612738,BOS,1,Brown,J. Brown,,,,,,,18.0,Made,23.19,,,,,Smart,203935.0,1.0,,,,,,,,,,,
