actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
94,PT04M20.00S,2020-09-20T01:00:39.4Z,1,REGULAR,3pt,jumpshot,[],1628464,94.56307490144546,3.7454044117647056,1610612738,17,20,2020-09-20T01:00:47Z,930000,-231.0,-1.0,1,right,MISS D. Theis 23' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,23.13,Missed,,,,,,,,,,,,,,,,,,,
95,PT04M16.00S,2020-09-20T01:00:43.4Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,17,20,2020-09-20T01:00:47Z,940000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
96,PT04M04.00S,2020-09-20T01:00:56.2Z,1,REGULAR,3pt,jumpshot,[],203482,9.280551905387648,3.990502450980392,1610612748,17,20,2020-09-20T01:01:02Z,950000,230.0,35.0,1,left,MISS K. Olynyk 23' 3PT,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,,
97,PT04M01.00S,2020-09-20T01:00:59.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,17,20,2020-09-20T01:01:02Z,960000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
98,PT03M51.00S,2020-09-20T01:01:09.9Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,94.30026281208936,48.84344362745098,1610612738,17,22,2020-09-20T01:01:16Z,970000,-6.0,1.0,1,right,D. Theis dunk (4 PTS) (G. Hayward 1 AST),"[1628464, 202330]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,0.88,Made,,,,,4.0,G. Hayward,202330.0,1.0,,,,,,,,,,,
100,PT03M30.00S,2020-09-20T01:01:29.5Z,1,REGULAR,3pt,jumpshot,[],203482,29.911300919842315,26.294424019607842,1610612748,17,22,2020-09-20T01:01:34Z,990000,119.0,229.0,1,left,MISS K. Olynyk 26' 3PT,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
101,PT03M27.00S,2020-09-20T01:01:32.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,17,22,2020-09-20T01:01:34Z,1000000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,100.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
102,PT03M19.00S,2020-09-20T01:01:40.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.51182654402102,49.82383578431372,1610612738,17,22,2020-09-20T01:01:45Z,1010000,-1.0,8.0,1,right,MISS K. Walker layup Blocked,"[202689, 202710]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.4,Missed,,,,,,,,,,,,,,,Butler,202710.0,,,
103,PT03M19.00S,2020-09-20T01:01:40.5Z,1,REGULAR,block,,[],202710,,,1610612738,17,22,2020-09-20T01:01:42Z,1020000,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M16.00S,2020-09-20T01:01:43.5Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,17,22,2020-09-20T01:01:45Z,1030000,,,0,,D. Theis REBOUND (Off:2 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,102.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
105,PT03M13.00S,2020-09-20T01:01:46.9Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627759,69.46452036793693,24.57873774509804,1610612738,17,22,2020-09-20T01:01:51Z,1040000,-127.0,235.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.16,Missed,,,,,,,,,,,,,,,,,,,
106,PT03M10.00S,2020-09-20T01:01:49.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,17,22,2020-09-20T01:01:51Z,1050000,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,105.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
107,PT02M54.00S,2020-09-20T01:02:10.0Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612748,17,22,2020-09-20T01:02:22Z,1060000,,,0,,D. Theis FOUL personal (2 PF) (Butler 2freethrow),"[1628464, 202710]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,2003.0,2.0,0.0,Butler,202710.0,,,,,,
109,PT02M54.00S,2020-09-20T01:02:25.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,17,22,2020-09-20T01:02:25Z,1080000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M54.00S,2020-09-20T01:05:15.1Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,17,22,2020-09-20T01:05:36Z,1090000,,,0,,substitution out Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M54.00S,2020-09-20T01:05:15.1Z,1,REGULAR,substitution,out,[],202689,,,1610612748,17,22,2020-09-20T01:05:36Z,1100000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M54.00S,2020-09-20T01:05:15.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612748,17,22,2020-09-20T01:05:36Z,1110000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M54.00S,2020-09-20T01:05:15.1Z,1,REGULAR,substitution,in,[],2738,,,1610612748,17,22,2020-09-20T01:05:36Z,1120000,,,0,,substitution in Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M54.00S,2020-09-20T01:05:15.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612748,17,22,2020-09-20T01:05:36Z,1130000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M54.00S,2020-09-20T01:05:15.1Z,1,REGULAR,substitution,in,[],202683,,,1610612748,17,22,2020-09-20T01:05:36Z,1140000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M54.00S,2020-09-20T01:05:56.9Z,1,REGULAR,freethrow,1of2,[],202710,,,1610612748,18,22,2020-09-20T01:05:56Z,1150000,,,0,,J. Butler freethrow 1of2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
117,PT02M54.00S,2020-09-20T01:06:11.0Z,1,REGULAR,freethrow,2of2,[],202710,,,1610612748,19,22,2020-09-20T01:06:11Z,1160000,,,0,,J. Butler freethrow 2of2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
118,PT02M38.00S,2020-09-20T01:06:28.0Z,1,REGULAR,2pt,jumpshot,[],202330,78.66294349540078,48.59834558823529,1610612738,19,24,2020-09-20T01:06:34Z,1170000,-7.0,148.0,1,right,G. Hayward 15' jumpshot (2 PTS),[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,15.38,Made,,,,,2.0,,,,,,,,,,,,,,
119,PT02M18.00S,2020-09-20T01:06:47.8Z,1,REGULAR,2pt,jumpshot,[],1629639,17.427726675427067,74.08854166666666,1610612748,19,24,2020-09-20T01:06:59Z,1180000,-120.0,111.0,1,left,MISS T. Herro 17' jumpshot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,16.77,Missed,,,,,,,,,,,,,,,,,,,
120,PT02M17.00S,2020-09-20T01:06:48.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,19,24,2020-09-20T01:06:54Z,1190000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,
121,PT02M17.00S,2020-09-20T01:06:53.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,19,24,2020-09-20T01:06:53Z,1200000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M17.00S,2020-09-20T01:06:53.9Z,1,REGULAR,substitution,out,[],202710,,,1610612738,19,24,2020-09-20T01:07:12Z,1210000,,,0,,substitution out Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M17.00S,2020-09-20T01:06:53.9Z,1,REGULAR,substitution,out,[],203109,,,1610612738,19,24,2020-09-20T01:07:12Z,1220000,,,0,,substitution out Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M17.00S,2020-09-20T01:06:53.9Z,1,REGULAR,substitution,out,[],203935,,,1610612738,19,24,2020-09-20T01:07:12Z,1230000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M17.00S,2020-09-20T01:06:53.9Z,1,REGULAR,substitution,in,[],1627884,,,1610612738,19,24,2020-09-20T01:07:12Z,1240000,,,0,,substitution in Jones Jr.,[1627884],1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M17.00S,2020-09-20T01:06:53.9Z,1,REGULAR,substitution,in,[],201609,,,1610612738,19,24,2020-09-20T01:07:12Z,1250000,,,0,,substitution in Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M17.00S,2020-09-20T01:06:53.9Z,1,REGULAR,substitution,in,[],202954,,,1610612738,19,24,2020-09-20T01:07:12Z,1260000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M59.00S,2020-09-20T01:07:27.2Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202683,91.80354796320631,42.22579656862745,1610612738,19,26,2020-09-20T01:07:34Z,1270000,-39.0,25.0,1,right,E. Kanter hook (2 PTS) (J. Brown 1 AST),"[202683, 1627759]",1610612738.0,BOS,turnaround,,,Kanter,E. Kanter,,,,,4.91,Made,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
130,PT01M42.00S,2020-09-20T01:07:46.3Z,1,REGULAR,foul,personal,[],202954,,,1610612748,19,26,2020-09-20T01:07:52Z,1290000,,,0,,B. Wanamaker FOUL personal (1 PF),"[202954, 201609]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,2715.0,1.0,0.0,Dragic,201609.0,,,,,,
132,PT01M28.00S,2020-09-20T01:08:21.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203482,7.966491458607096,56.68658088235294,1610612748,19,26,2020-09-20T01:08:27Z,1310000,-33.0,22.0,1,left,MISS K. Olynyk jumpshot,[203482],1610612748.0,MIA,drivingbank,,,Olynyk,K. Olynyk,,,,,4.35,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M24.00S,2020-09-20T01:08:25.2Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612748,19,26,2020-09-20T01:08:27Z,1320000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,,,132.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
134,PT01M24.00S,2020-09-20T01:08:25.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627884,5.0,50.0,1610612748,19,26,2020-09-20T01:08:25Z,1330000,0.0,-6.0,1,left,MISS D. Jones Jr. layup,[1627884],1610612748.0,MIA,tip,,,Jones Jr.,D. Jones Jr.,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
135,PT01M23.00S,2020-09-20T01:08:26.0Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,19,26,2020-09-20T01:08:26Z,1340000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
136,PT01M20.00S,2020-09-20T01:08:29.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,87.07293035479631,49.82383578431372,1610612738,19,26,2020-09-20T01:11:13Z,1350000,-1.0,69.0,1,right,MISS G. Hayward 7' jumpshot,[202330],1610612738.0,BOS,drivingfloating,,,Hayward,G. Hayward,,,,,7.45,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M17.00S,2020-09-20T01:08:32.3Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,19,26,2020-09-20T01:08:36Z,1360000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,136.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
138,PT01M15.00S,2020-09-20T01:08:34.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,93.64323258869908,48.84344362745098,1610612738,19,26,2020-09-20T01:08:41Z,1370000,-6.0,7.0,1,right,MISS E. Kanter layup Blocked,"[202683, 203482]",1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,1.41,Missed,,,,,,,,,,,,,,,Olynyk,203482.0,,,
139,PT01M15.00S,2020-09-20T01:08:34.4Z,1,REGULAR,block,,[],203482,,,1610612738,19,26,2020-09-20T01:13:27Z,1380000,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M15.00S,2020-09-20T01:08:34.4Z,1,REGULAR,rebound,defensive,[],2738,,,1610612748,19,26,2020-09-20T01:08:41Z,1390000,,,0,,A. Iguodala REBOUND (Off:0 Def:1),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
141,PT01M06.00S,2020-09-20T01:08:43.6Z,1,REGULAR,turnover,badpass,[],201609,,,1610612748,19,26,2020-09-20T01:13:35Z,1400000,,,0,,G. Dragic TURNOVER badpass (3 TOV) Stolen,"[201609, 202954]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,3.0,,,Wanamaker,202954.0,
142,PT01M06.00S,2020-09-20T01:08:43.6Z,1,REGULAR,steal,,[],202954,,,1610612738,19,26,2020-09-20T01:08:45Z,1410000,,,0,,B. Wanamaker STEAL (1 STL),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M03.00S,2020-09-20T01:08:46.3Z,1,REGULAR,turnover,badpass,[],202954,,,1610612738,19,26,2020-09-20T01:08:50Z,1420000,,,0,,B. Wanamaker TURNOVER badpass (1 TOV) Stolen,"[202954, 1629639]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,1.0,,,Herro,1629639.0,
144,PT01M03.00S,2020-09-20T01:08:46.3Z,1,REGULAR,steal,,[],1629639,,,1610612748,19,26,2020-09-20T01:08:48Z,1430000,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M01.00S,2020-09-20T01:08:53.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202683,,,1610612748,19,26,2020-09-20T01:09:02Z,1440000,,,0,,E. Kanter FOUL personal (1 PF) (Herro inpenalty),"[202683, 1629639]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,2534.0,1.0,0.0,Herro,1629639.0,,,,,,
147,PT01M01.00S,2020-09-20T01:09:17.5Z,1,REGULAR,freethrow,1of2,['fromturnover'],1629639,,,1610612748,20,26,2020-09-20T01:09:17Z,1460000,,,0,,T. Herro freethrow 1of2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
148,PT01M01.00S,2020-09-20T01:09:18.4Z,1,REGULAR,substitution,out,[],202330,,,1610612748,20,26,2020-09-20T01:09:22Z,1470000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M01.00S,2020-09-20T01:09:18.4Z,1,REGULAR,substitution,in,[],202689,,,1610612748,20,26,2020-09-20T01:09:22Z,1480000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M01.00S,2020-09-20T01:09:35.0Z,1,REGULAR,freethrow,2of2,['fromturnover'],1629639,,,1610612748,21,26,2020-09-20T01:09:35Z,1490000,,,0,,T. Herro freethrow 2of2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
151,PT00M42.30S,2020-09-20T01:09:59.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.43166885676742,47.372855392156865,1610612738,21,26,2020-09-20T01:10:04Z,1500000,-13.0,0.0,1,right,MISS E. Kanter layup,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.41,Missed,,,,,,,,,,,,,,,,,,,
152,PT00M41.20S,2020-09-20T01:10:02.3Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,21,26,2020-09-20T01:10:02Z,1510000,,,0,,E. Kanter REBOUND (Off:2 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,151.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
153,PT00M41.20S,2020-09-20T01:10:03.9Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612738,21,26,2020-09-20T01:10:09Z,1520000,,,0,,K. Olynyk FOUL personal (1 PF) (Kanter 2freethrow),"[203482, 202683]",1610612748.0,MIA,shooting,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,2715.0,1.0,0.0,Kanter,202683.0,,,,,,
155,PT00M41.20S,2020-09-20T01:10:25.5Z,1,REGULAR,freethrow,1of2,['2ndchance'],202683,,,1610612738,21,27,2020-09-20T01:10:25Z,1540000,,,0,,E. Kanter freethrow 1of2 (3 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
156,PT00M41.20S,2020-09-20T01:10:40.4Z,1,REGULAR,freethrow,2of2,['2ndchance'],202683,,,1610612738,21,28,2020-09-20T01:10:40Z,1550000,,,0,,E. Kanter freethrow 2of2 (4 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
157,PT00M29.50S,2020-09-20T01:10:59.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612748,21,28,2020-09-20T01:11:10Z,1560000,,,0,,J. Tatum FOUL personal (1 PF) (Olynyk inpenalty),"[1628369, 203482]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2715.0,1.0,0.0,Olynyk,203482.0,,,,,,
159,PT00M29.50S,2020-09-20T01:11:23.2Z,1,REGULAR,freethrow,1of2,[],203482,,,1610612748,22,28,2020-09-20T01:11:40Z,1580000,,,0,,K. Olynyk freethrow 1of2 (1 PTS),[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
160,PT00M29.50S,2020-09-20T01:11:24.0Z,1,REGULAR,substitution,out,[],201609,,,1610612748,22,28,2020-09-20T01:11:35Z,1590000,,,0,,substitution out Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M29.50S,2020-09-20T01:11:24.0Z,1,REGULAR,substitution,in,[],202710,,,1610612748,22,28,2020-09-20T01:11:35Z,1600000,,,0,,substitution in Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M29.50S,2020-09-20T01:11:23.2Z,1,REGULAR,freethrow,2of2,[],203482,,,1610612748,22,28,2020-09-20T01:11:40Z,1610000,,,0,,MISS K. Olynyk freethrow 2of2,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,Missed,,,,,,,,,,,,,,,,,,,
163,PT00M27.80S,2020-09-20T01:11:24.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,22,28,2020-09-20T01:11:40Z,1620000,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,162.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
164,PT00M09.20S,2020-09-20T01:11:58.0Z,1,REGULAR,3pt,jumpshot,[],1628369,66.96780551905388,49.82383578431372,1610612738,22,31,2020-09-20T01:12:02Z,1630000,-1.0,258.0,1,right,J. Tatum 26' 3PT  (5 PTS) (B. Wanamaker 1 AST),"[1628369, 202954]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.35,Made,,,,,5.0,B. Wanamaker,202954.0,1.0,,,,,,,,,,,
166,PT00M03.90S,2020-09-20T01:12:06.4Z,1,REGULAR,3pt,jumpshot,[],1629639,25.312089356110377,15.510110294117647,1610612748,22,31,2020-09-20T01:12:13Z,1650000,172.0,185.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
167,PT00M00.50S,2020-09-20T01:12:09.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,31,2020-09-20T01:12:09Z,1660000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,166.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
168,PT00M00.00S,2020-09-20T01:12:15.1Z,1,REGULAR,3pt,jumpshot,[],1628369,38.4526938239159,49.57873774509804,1610612738,22,31,2020-09-20T01:13:53Z,1670000,-2.0,526.0,1,right,MISS J. Tatum 53' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,53.15,Missed,,,,,,,,,,,,,,,,,,,
169,PT00M00.00S,2020-09-20T01:12:15.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,22,31,2020-09-20T01:13:53Z,1680000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,
170,PT00M00.00S,2020-09-20T01:12:18.2Z,1,REGULAR,period,end,[],0,,,1610612738,22,31,2020-09-20T01:12:18Z,1690000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2020-09-20T01:14:15.7Z,2,REGULAR,substitution,out,['startperiod'],202710,,,1610612738,22,31,2020-09-20T01:15:40Z,1700000,,,0,,substitution out Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2020-09-20T01:14:15.7Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,22,31,2020-09-20T01:15:40Z,1710000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2020-09-20T01:14:15.7Z,2,REGULAR,substitution,in,['startperiod'],201609,,,1610612738,22,31,2020-09-20T01:15:40Z,1720000,,,0,,substitution in Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2020-09-20T01:14:15.7Z,2,REGULAR,substitution,in,['startperiod'],202330,,,1610612738,22,31,2020-09-20T01:15:40Z,1730000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2020-09-20T01:15:49.9Z,2,REGULAR,period,start,[],0,,,1610612738,22,31,2020-09-20T01:15:49Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M50.00S,2020-09-20T01:15:59.8Z,2,REGULAR,3pt,jumpshot,[],202330,96.13994743758212,96.39246323529412,1610612738,22,31,2020-09-20T01:16:07Z,1750000,232.0,-16.0,1,right,MISS G. Hayward 23' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,23.22,Missed,,,,,,,,,,,,,,,,,,,
177,PT11M44.00S,2020-09-20T01:16:05.8Z,2,REGULAR,rebound,defensive,[],1627884,,,1610612748,22,31,2020-09-20T01:23:38Z,1760000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:1),[1627884],1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,,,176.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
178,PT11M23.00S,2020-09-20T01:16:25.1Z,2,REGULAR,2pt,jumpshot,[],201609,8.492115637319317,76.53952205882352,1610612748,22,31,2020-09-20T01:16:29Z,1770000,-133.0,27.0,1,left,MISS G. Dragic 14' jumpshot,[201609],1610612748.0,MIA,turnaround,,,Dragic,G. Dragic,,,,,13.67,Missed,,,,,,,,,,,,,,,,,,,
179,PT11M21.00S,2020-09-20T01:16:27.1Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,22,31,2020-09-20T01:16:29Z,1780000,,,0,,E. Kanter REBOUND (Off:2 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,178.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
180,PT11M12.00S,2020-09-20T01:16:36.7Z,2,REGULAR,2pt,jumpshot,[],202330,94.1688567674113,25.314031862745097,1610612738,22,31,2020-09-20T01:16:42Z,1790000,-123.0,2.0,1,right,MISS G. Hayward 12' jumpshot,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,12.36,Missed,,,,,,,,,,,,,,,,,,,
