actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
21,PT10M24.00S,2020-09-20T00:47:36.9Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,2,7,2020-09-20T00:47:47Z,210000,,,0,,B. Adebayo FOUL offensive (1 PF),"[1628389, 1627759]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2003.0,1.0,0.0,Brown,1627759.0,,,,,,
23,PT10M24.00S,2020-09-20T00:47:36.9Z,1,REGULAR,turnover,offensivefoul,[],1628389,,,1610612748,2,7,2020-09-20T00:47:36Z,230000,,,0,,B. Adebayo TURNOVER offensivefoul (1 TOV),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2003.0,,,,,1.0,,,,,
24,PT10M04.00S,2020-09-20T00:48:05.3Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203935,83.26215505913272,93.69638480392157,1610612738,2,7,2020-09-20T00:48:17Z,240000,218.0,105.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.48,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2020-09-20T00:48:07.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,2,7,2020-09-20T00:48:27Z,250000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M55.00S,2020-09-20T00:48:13.6Z,1,REGULAR,3pt,jumpshot,[],201609,29.911300919842315,69.67677696078431,1610612748,5,7,2020-09-20T00:48:23Z,260000,-98.0,229.0,1,left,G. Dragic 25' 3PT  (3 PTS) (J. Crowder 1 AST),"[201609, 203109]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,25.4,Made,,,,,3.0,J. Crowder,203109.0,1.0,,,,,,,,,,,
28,PT09M31.00S,2020-09-20T00:48:38.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.1688567674113,47.61795343137255,1610612738,5,9,2020-09-20T00:48:43Z,280000,-12.0,2.0,1,right,J. Tatum layup (2 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.42,Made,,,,,2.0,M. Smart,203935.0,2.0,,,,,,,,,,,
30,PT09M14.00S,2020-09-20T00:48:57.6Z,1,REGULAR,turnover,outofbounds,[],1628389,,,1610612748,5,9,2020-09-20T00:49:03Z,300000,,,0,,B. Adebayo TURNOVER outofbounds (2 TOV),[1628389],1610612748.0,MIA,lostball,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2534.0,,,,,2.0,,,,,
31,PT08M58.00S,2020-09-20T00:49:19.6Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,86.67871222076215,49.333639705882355,1610612738,5,9,2020-09-20T00:49:41Z,310000,-3.0,73.0,1,right,MISS J. Tatum 8' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,7.83,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M56.00S,2020-09-20T00:49:21.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,5,9,2020-09-20T00:49:29Z,320000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
33,PT08M55.00S,2020-09-20T00:49:22.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,94.1688567674113,47.61795343137255,1610612738,5,9,2020-09-20T00:49:32Z,330000,-12.0,2.0,1,right,MISS J. Brown layup Blocked,"[1627759, 203109]",1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,1.42,Missed,,,,,,,,,,,,,,,Crowder,203109.0,,,
