actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
21,PT10M08.00S,2020-09-05T22:48:19.5Z,1,REGULAR,3pt,jumpshot,[],1627759,94.30026281208936,96.39246323529412,1610612738,2,2,2020-09-05T22:48:22Z,210000,232.0,1.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,23.21,Missed,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2020-09-05T22:48:20.5Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,2,2,2020-09-05T22:48:25Z,220000,,,0,,K. Lowry REBOUND (Off:1 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,,,,,,
23,PT09M50.00S,2020-09-05T22:48:37.4Z,1,REGULAR,3pt,jumpshot,[],1627783,8.623521681997373,94.921875,1610612761,2,5,2020-09-05T22:48:41Z,230000,-225.0,29.0,1,left,P. Siakam 23' 3PT  (3 PTS) (O. Anunoby 1 AST),"[1627783, 1628384]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,22.72,Made,,,,,3.0,,,,,O. Anunoby,1628384.0,1.0,,,,,
25,PT09M31.00S,2020-09-05T22:48:55.3Z,1,REGULAR,3pt,jumpshot,[],203935,73.9323258869908,13.059129901960784,1610612738,2,5,2020-09-05T22:48:57Z,250000,-185.0,193.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,27.08,Missed,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2020-09-05T22:48:56.3Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,2,5,2020-09-05T22:48:57Z,260000,,,0,,K. Lowry REBOUND (Off:1 Def:2),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,25.0,3.0,2.0,1.0,,,,,,,,,,,,,
27,PT09M26.00S,2020-09-05T22:49:03.3Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612761,2,5,2020-09-05T22:49:13Z,270000,,,0,,J. Brown FOUL personal (1 PF) (Lowry 2freethrow),"[1627759, 200768]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,1662.0,,,,,,,,,1.0,0.0,Lowry,200768.0,,,,,,,,
29,PT09M26.00S,2020-09-05T22:49:36.6Z,1,REGULAR,freethrow,1of2,['fastbreak'],200768,,,1610612761,2,6,2020-09-05T22:49:36Z,290000,,,0,,K. Lowry freethrow 1of2 (3 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
30,PT09M26.00S,2020-09-05T22:49:37.5Z,1,REGULAR,substitution,out,[],1628464,,,1610612761,2,6,2020-09-05T22:49:42Z,300000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M26.00S,2020-09-05T22:49:37.5Z,1,REGULAR,substitution,in,[],1629057,,,1610612761,2,6,2020-09-05T22:49:42Z,310000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M26.00S,2020-09-05T22:49:58.7Z,1,REGULAR,freethrow,2of2,['fastbreak'],200768,,,1610612761,2,7,2020-09-05T22:49:58Z,320000,,,0,,K. Lowry freethrow 2of2 (4 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
33,PT09M15.00S,2020-09-05T22:50:12.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,92.9862023653088,47.127757352941174,1610612738,4,7,2020-09-05T22:50:16Z,330000,-14.0,13.0,1,right,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,2.38,Made,,,,,2.0,,,,,,,,,,,,
34,PT09M05.00S,2020-09-05T22:50:24.9Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612761,4,7,2020-09-05T22:50:34Z,340000,,,0,,R. Williams III FOUL personal (1 PF) (Lowry 2freethrow),"[1629057, 200768]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,202041.0,,,,,,,,,1.0,0.0,Lowry,200768.0,,,,,,,,
36,PT09M05.00S,2020-09-05T22:50:52.2Z,1,REGULAR,freethrow,1of2,[],200768,,,1610612761,4,8,2020-09-05T22:50:52Z,360000,,,0,,K. Lowry freethrow 1of2 (5 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
37,PT09M05.00S,2020-09-05T22:51:09.3Z,1,REGULAR,freethrow,2of2,[],200768,,,1610612761,4,9,2020-09-05T22:51:09Z,370000,,,0,,K. Lowry freethrow 2of2 (6 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
38,PT08M51.00S,2020-09-05T22:51:25.6Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1629057,89.83245729303549,36.58854166666667,1610612738,4,9,2020-09-05T22:52:28Z,380000,-67.0,43.0,1,right,MISS R. Williams III 8' hook,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,8.29,Missed,,,,,,,,,,,,,,,,,
39,PT08M50.00S,2020-09-05T22:51:26.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,4,9,2020-09-05T23:45:37Z,390000,,,0,,K. Lowry REBOUND (Off:1 Def:3),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,38.0,4.0,3.0,1.0,,,,,,,,,,,,,
40,PT08M45.00S,2020-09-05T22:51:41.9Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612761,4,9,2020-09-05T22:51:54Z,400000,,,0,,K. Walker FOUL personal (1 PF) (Lowry 2freethrow),"[202689, 200768]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,1662.0,,,,,,,,,1.0,0.0,Lowry,200768.0,,,,,,,,
42,PT08M45.00S,2020-09-05T22:52:01.0Z,1,REGULAR,freethrow,1of2,['fastbreak'],200768,,,1610612761,4,10,2020-09-05T22:52:01Z,420000,,,0,,K. Lowry freethrow 1of2 (7 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
