actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
79,PT05M01.00S,2020-09-05T23:00:12.8Z,1,REGULAR,3pt,jumpshot,['fromturnover'],201188,32.670827858081466,56.196384803921575,1610612761,16,17,2020-09-05T23:00:15Z,790000,-31.0,255.0,1,left,MISS M. Gasol 26' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,26.19,Missed,,,,,,,,,,,,,,,,,
80,PT05M00.00S,2020-09-05T23:00:13.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,16,17,2020-09-05T23:00:18Z,800000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,
81,PT04M41.00S,2020-09-05T23:00:32.6Z,1,REGULAR,3pt,jumpshot,[],1628369,75.3777923784494,9.137561274509803,1610612738,16,17,2020-09-05T23:00:36Z,810000,-204.0,179.0,1,right,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,27.52,Missed,,,,,,,,,,,,,,,,,
82,PT04M40.00S,2020-09-05T23:00:33.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,16,17,2020-09-05T23:00:39Z,820000,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,
83,PT04M32.00S,2020-09-05T23:00:41.9Z,1,REGULAR,3pt,jumpshot,[],1627832,31.09395532194481,66.73560049019608,1610612761,16,17,2020-09-05T23:00:47Z,830000,-84.0,240.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,,25.92,Missed,,,,,,,,,,,,,,,,,
84,PT04M28.00S,2020-09-05T23:00:45.9Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,16,17,2020-09-05T23:00:51Z,840000,,,0,,F. VanVleet REBOUND (Off:1 Def:2),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,83.0,3.0,2.0,1.0,,,,,,,,,,,,,
85,PT04M21.00S,2020-09-05T23:00:53.0Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627832,25.969119579500656,12.323835784313726,1610612761,16,20,2020-09-05T23:00:56Z,850000,188.0,192.0,1,left,F. VanVleet 27' 3PT  (6 PTS) (M. Gasol 2 AST),"[1627832, 201188]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,27.27,Made,,,,,6.0,,,,,M. Gasol,201188.0,2.0,,,,,
87,PT04M06.00S,2020-09-05T23:01:07.3Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629057,93.11760840998686,51.049325980392155,1610612738,18,20,2020-09-05T23:01:10Z,870000,5.0,12.0,1,right,R. Williams III dunk (4 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,1.84,Made,,,,,4.0,,,,,M. Smart,203935.0,1.0,,,,,
89,PT03M49.00S,2020-09-05T23:01:24.2Z,1,REGULAR,3pt,jumpshot,[],1628384,21.632720105124836,5.215992647058823,1610612761,18,23,2020-09-05T23:01:27Z,890000,224.0,151.0,1,left,O. Anunoby 27' 3PT  (3 PTS) (M. Gasol 3 AST),"[1628384, 201188]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,27.31,Made,,,,,3.0,,,,,M. Gasol,201188.0,3.0,,,,,
91,PT03M30.00S,2020-09-05T23:01:42.8Z,1,REGULAR,3pt,jumpshot,[],1629684,93.24901445466492,94.921875,1610612738,18,23,2020-09-05T23:01:45Z,910000,225.0,11.0,1,right,MISS G. Williams 23' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,22.52,Missed,,,,,,,,,,,,,,,,,
92,PT03M29.00S,2020-09-05T23:01:43.8Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,18,23,2020-09-05T23:01:45Z,920000,,,0,,F. VanVleet REBOUND (Off:1 Def:3),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,91.0,4.0,3.0,1.0,,,,,,,,,,,,,
93,PT03M18.00S,2020-09-05T23:02:00.3Z,1,REGULAR,turnover,offensivekickedball,[],1627832,,,1610612761,18,23,2020-09-05T23:02:31Z,930000,,,0,,F. VanVleet TURNOVER offensivekickedball (1 TOV),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,1.0,,,,,,,,,,,,,,,,,,,
95,PT03M18.00S,2020-09-05T23:02:10.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,18,23,2020-09-05T23:02:20Z,950000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M18.00S,2020-09-05T23:02:10.1Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,18,23,2020-09-05T23:02:20Z,960000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M18.00S,2020-09-05T23:02:10.1Z,1,REGULAR,substitution,out,[],201188,,,1610612738,18,23,2020-09-05T23:02:20Z,970000,,,0,,substitution out Gasol,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M18.00S,2020-09-05T23:02:10.1Z,1,REGULAR,substitution,in,[],202689,,,1610612738,18,23,2020-09-05T23:02:20Z,980000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M18.00S,2020-09-05T23:02:10.1Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,18,23,2020-09-05T23:02:20Z,990000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M18.00S,2020-09-05T23:02:10.1Z,1,REGULAR,substitution,in,[],201586,,,1610612738,18,23,2020-09-05T23:02:20Z,1000000,,,0,,substitution in Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M03.00S,2020-09-05T23:02:36.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1627759,89.70105124835742,46.88265931372549,1610612738,18,23,2020-09-05T23:03:00Z,1010000,-16.0,44.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1628384]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,5.22,Missed,,,,,,,,,,,,,,,Anunoby,1628384.0,
153,PT03M03.00S,2020-09-05T23:02:36.9Z,1,REGULAR,block,,[],1628384,,,1610612738,18,23,2020-09-05T23:15:35Z,1015000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M03.00S,2020-09-05T23:02:36.9Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,18,23,2020-09-05T23:03:00Z,1020000,,,0,,K. Lowry REBOUND (Off:1 Def:4),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,101.0,5.0,4.0,1.0,,,,,,,,,,,,,
103,PT02M58.00S,2020-09-05T23:02:44.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627832,7.5722733245729295,43.94148284313725,1610612761,18,23,2020-09-05T23:08:26Z,1030000,30.0,19.0,1,left,MISS F. VanVleet layup Blocked,"[1627832, 203935]",1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,,,3.88,Missed,,,,,,,,,,,,,,,Smart,203935.0,
104,PT02M58.00S,2020-09-05T23:02:44.1Z,1,REGULAR,block,,[],203935,,,1610612761,18,23,2020-09-05T23:02:46Z,1040000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M58.00S,2020-09-05T23:02:44.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,18,23,2020-09-05T23:03:05Z,1050000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,
106,PT02M58.00S,2020-09-05T23:02:49.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,18,23,2020-09-05T23:02:49Z,1060000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M58.00S,2020-09-05T23:03:09.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,18,23,2020-09-05T23:03:09Z,1070000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M58.00S,2020-09-05T23:05:30.9Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,18,23,2020-09-05T23:06:00Z,1080000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M58.00S,2020-09-05T23:05:30.9Z,1,REGULAR,substitution,in,[],1626181,,,1610612761,18,23,2020-09-05T23:06:00Z,1090000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M58.00S,2020-09-05T23:05:30.9Z,1,REGULAR,substitution,out,[],1629684,,,1610612761,18,23,2020-09-05T23:06:22Z,1100000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M58.00S,2020-09-05T23:05:30.9Z,1,REGULAR,substitution,in,[],202954,,,1610612761,18,23,2020-09-05T23:06:22Z,1110000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M43.00S,2020-09-05T23:06:47.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1626181,8.229303547963205,49.57873774509804,1610612761,18,25,2020-09-05T23:06:52Z,1120000,2.0,25.0,1,left,N. Powell layup (2 PTS) (F. VanVleet 1 AST),"[1626181, 1627832]",1610612761.0,TOR,cutting,,,Powell,N. Powell,,,,,,,3.05,Made,,,,,2.0,,,,,F. VanVleet,1627832.0,1.0,,,,,
115,PT02M25.00S,2020-09-05T23:07:05.6Z,1,REGULAR,3pt,jumpshot,[],202954,67.49342969776609,62.32383578431373,1610612738,21,25,2020-09-05T23:07:08Z,1140000,62.0,253.0,1,right,B. Wanamaker 27' 3PT  (3 PTS),[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,,,26.58,Made,,,,,3.0,,,,,,,,,,,,
117,PT02M10.00S,2020-09-05T23:07:20.3Z,1,REGULAR,3pt,jumpshot,[],1627832,19.136005256241788,3.010110294117647,1610612761,21,25,2020-09-05T23:07:26Z,1160000,235.0,127.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,26.99,Missed,,,,,,,,,,,,,,,,,
118,PT02M09.00S,2020-09-05T23:07:21.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,25,2020-09-05T23:07:31Z,1170000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,117.0,3.0,3.0,0.0,,,,,,,,,,,,,
119,PT01M55.00S,2020-09-05T23:07:35.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,92.85479632063075,48.353247549019606,1610612738,23,25,2020-09-05T23:07:38Z,1180000,-8.0,15.0,1,right,D. Theis layup (2 PTS) (K. Walker 2 AST),"[1628464, 202689]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,,,2.18,Made,,,,,2.0,,,,,K. Walker,202689.0,2.0,,,,,
121,PT01M35.00S,2020-09-05T23:07:57.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,7.30946123521682,53.50030637254902,1610612761,23,25,2020-09-05T23:08:16Z,1200000,-18.0,16.0,1,left,MISS K. Lowry layup Blocked,"[200768, 1628464]",1610612761.0,TOR,drivingfingerroll,,,Lowry,K. Lowry,,,,,,,2.79,Missed,,,,,,,,,,,,,,,Theis,1628464.0,
122,PT01M35.00S,2020-09-05T23:07:57.0Z,1,REGULAR,block,,[],1628464,,,1610612761,23,25,2020-09-05T23:07:59Z,1210000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M35.00S,2020-09-05T23:07:57.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,23,25,2020-09-05T23:08:01Z,1220000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,
124,PT01M35.00S,2020-09-05T23:08:01.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,23,25,2020-09-05T23:08:01Z,1230000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M31.00S,2020-09-05T23:08:31.6Z,1,REGULAR,foul,personal,['3freethrow'],202954,,,1610612761,23,25,2020-09-05T23:08:41Z,1240000,,,0,,B. Wanamaker FOUL personal (1 PF) (Powell 3freethrow),"[202954, 1626181]",1610612738.0,BOS,shooting,,,Wanamaker,B. Wanamaker,,,,,1830.0,,,,,,,,,1.0,0.0,Powell,1626181.0,,,,,,,,
127,PT01M31.00S,2020-09-05T23:09:05.7Z,1,REGULAR,freethrow,1of3,['2ndchance'],1626181,,,1610612761,23,26,2020-09-05T23:09:05Z,1260000,,,0,,N. Powell freethrow 1of3 (3 PTS),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
128,PT01M31.00S,2020-09-05T23:09:20.9Z,1,REGULAR,freethrow,2of3,['2ndchance'],1626181,,,1610612761,23,27,2020-09-05T23:09:20Z,1270000,,,0,,N. Powell freethrow 2of3 (4 PTS),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
129,PT01M31.00S,2020-09-05T23:09:21.6Z,1,REGULAR,substitution,out,[],200768,,,1610612761,23,27,2020-09-05T23:09:27Z,1280000,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M31.00S,2020-09-05T23:09:21.6Z,1,REGULAR,substitution,in,[],1628384,,,1610612761,23,27,2020-09-05T23:09:27Z,1290000,,,0,,substitution in Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M31.00S,2020-09-05T23:09:41.4Z,1,REGULAR,freethrow,3of3,['2ndchance'],1626181,,,1610612761,23,28,2020-09-05T23:09:41Z,1300000,,,0,,N. Powell freethrow 3of3 (5 PTS),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
132,PT01M21.00S,2020-09-05T23:09:54.0Z,1,REGULAR,3pt,jumpshot,[],202689,71.30420499342969,20.166973039215684,1610612738,23,28,2020-09-05T23:09:57Z,1310000,-149.0,217.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,26.81,Missed,,,,,,,,,,,,,,,,,
133,PT01M20.00S,2020-09-05T23:09:55.0Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,23,28,2020-09-05T23:10:00Z,1320000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,
134,PT01M13.00S,2020-09-05T23:10:05.0Z,1,REGULAR,turnover,3secviolation,[],201586,,,1610612761,23,28,2020-09-05T23:10:13Z,1330000,,,0,,S. Ibaka TURNOVER 3secviolation (1 TOV),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,1662.0,1.0,,,,,,,,,,,,,,,,,,,
135,PT01M13.00S,2020-09-05T23:10:14.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,23,28,2020-09-05T23:10:18Z,1340000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M13.00S,2020-09-05T23:10:14.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,23,28,2020-09-05T23:10:18Z,1350000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M01.00S,2020-09-05T23:10:36.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628369,92.32917214191852,53.50030637254902,1610612738,25,28,2020-09-05T23:10:40Z,1360000,18.0,20.0,1,right,J. Tatum layup (6 PTS) (D. Theis 1 AST),"[1628369, 1628464]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,3.06,Made,,,,,6.0,,,,,D. Theis,1628464.0,1.0,,,,,
139,PT00M49.10S,2020-09-05T23:10:56.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626181,14.536793692509855,39.28462009803921,1610612761,25,28,2020-09-05T23:12:11Z,1380000,54.0,84.0,1,left,MISS N. Powell 10' jumpshot,[1626181],1610612761.0,TOR,drivingfloating,,,Powell,N. Powell,,,,,,,10.44,Missed,,,,,,,,,,,,,,,,,
140,PT00M48.60S,2020-09-05T23:10:57.1Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,25,28,2020-09-05T23:15:53Z,1390000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,
141,PT00M39.90S,2020-09-05T23:11:05.8Z,1,REGULAR,2pt,jumpshot,[],1628464,92.19776609724047,20.657169117647058,1610612738,27,28,2020-09-05T23:11:13Z,1400000,-147.0,21.0,1,right,D. Theis 15' jumpshot (4 PTS) (M. Smart 2 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,14.9,Made,,,,,4.0,,,,,M. Smart,203935.0,2.0,,,,,
143,PT00M31.10S,2020-09-05T23:11:20.5Z,1,REGULAR,3pt,jumpshot,[],201586,31.882391590013142,65.01991421568627,1610612761,27,31,2020-09-05T23:11:28Z,1420000,-75.0,247.0,1,left,S. Ibaka 26' 3PT  (3 PTS) (F. VanVleet 2 AST),"[201586, 1627832]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,26.36,Made,,,,,3.0,,,,,F. VanVleet,1627832.0,2.0,,,,,
145,PT00M07.80S,2020-09-05T23:11:47.9Z,1,REGULAR,3pt,jumpshot,[],1628369,66.17936925098554,50.06893382352941,1610612738,27,31,2020-09-05T23:11:59Z,1440000,0.0,265.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,27.09,Missed,,,,,,,,,,,,,,,,,
146,PT00M05.60S,2020-09-05T23:11:50.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,27,31,2020-09-05T23:13:34Z,1450000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,
147,PT00M05.60S,2020-09-05T23:11:56.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,27,31,2020-09-05T23:11:56Z,1460000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2020-09-05T23:12:12.8Z,1,REGULAR,3pt,jumpshot,[],1627783,28.86005256241787,78.01011029411765,1610612761,27,31,2020-09-05T23:14:52Z,1470000,-140.0,219.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,26.45,Missed,,,,,,,,,,,,,,,,,
149,PT00M00.00S,2020-09-05T23:12:12.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,27,31,2020-09-05T23:14:52Z,1480000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,
150,PT00M00.00S,2020-09-05T23:12:35.5Z,1,REGULAR,period,end,[],0,,,1610612761,27,31,2020-09-05T23:12:35Z,1490000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2020-09-05T23:14:28.8Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612761,27,31,2020-09-05T23:15:34Z,1500000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2020-09-05T23:14:28.8Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612761,27,31,2020-09-05T23:15:34Z,1510000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2020-09-05T23:15:58.2Z,2,REGULAR,period,start,[],0,,,1610612761,27,31,2020-09-05T23:15:58Z,1520000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M51.00S,2020-09-05T23:16:07.1Z,2,REGULAR,3pt,jumpshot,[],201586,28.33442838370565,80.7061887254902,1610612761,27,34,2020-09-05T23:16:10Z,1530000,-154.0,214.0,1,left,S. Ibaka 27' 3PT  (6 PTS) (F. VanVleet 3 AST),"[201586, 1627832]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,26.77,Made,,,,,6.0,,,,,F. VanVleet,1627832.0,3.0,,,,,
157,PT11M36.00S,2020-09-05T23:16:21.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627759,92.9862023653088,53.255208333333336,1610612738,27,34,2020-09-05T23:16:29Z,1550000,16.0,13.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,2.5,Missed,,,,,,,,,,,,,,,,,
158,PT11M35.00S,2020-09-05T23:16:22.9Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,27,34,2020-09-05T23:16:29Z,1560000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,,,,
159,PT11M22.00S,2020-09-05T23:16:37.4Z,2,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612761,27,34,2020-09-05T23:16:52Z,1570000,,,0,,J. Brown FOUL personal (2 PF) (Anunoby 2freethrow),"[1627759, 1628384]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,1830.0,,,,,,,,,2.0,0.0,Anunoby,1628384.0,,,,,,,,
161,PT11M22.00S,2020-09-05T23:16:58.9Z,2,REGULAR,freethrow,1of2,[],1628384,,,1610612761,27,34,2020-09-05T23:16:58Z,1590000,,,0,,MISS O. Anunoby freethrow 1of2,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Missed,,,,,,,,,,,,,,,,,
162,PT11M22.00S,2020-09-05T23:16:58.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,27,34,2020-09-05T23:16:58Z,1600000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,
163,PT11M22.00S,2020-09-05T23:17:11.8Z,2,REGULAR,freethrow,2of2,[],1628384,,,1610612761,27,35,2020-09-05T23:17:11Z,1610000,,,0,,O. Anunoby freethrow 2of2 (4 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
164,PT11M05.00S,2020-09-05T23:17:30.5Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,92.19776609724047,51.049325980392155,1610612738,27,35,2020-09-05T23:17:35Z,1620000,5.0,21.0,1,right,MISS D. Theis dunk Blocked,"[1628464, 201586]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,,,2.68,Missed,,,,,,,,,,,,,,,Ibaka,201586.0,
165,PT11M05.00S,2020-09-05T23:17:30.5Z,2,REGULAR,block,,[],201586,,,1610612738,27,35,2020-09-05T23:17:33Z,1630000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M04.00S,2020-09-05T23:17:31.5Z,2,REGULAR,rebound,defensive,[],1627832,,,1610612761,27,35,2020-09-05T23:17:38Z,1640000,,,0,,F. VanVleet REBOUND (Off:1 Def:4),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,164.0,5.0,4.0,1.0,,,,,,,,,,,,,
167,PT10M45.00S,2020-09-05T23:17:50.7Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628384,6.652431011826544,47.61795343137255,1610612761,27,35,2020-09-05T23:22:26Z,1650000,12.0,10.0,1,left,MISS O. Anunoby layup,[1628384],1610612761.0,TOR,alleyoop,,,Anunoby,O. Anunoby,,,,,,,1.95,Missed,,,,,,,,,,,,,,,,,
168,PT10M44.00S,2020-09-05T23:17:51.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612761,27,35,2020-09-05T23:18:04Z,1660000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,167.0,,,,,,,,,,,,,,,,
169,PT10M44.00S,2020-09-05T23:18:00.7Z,2,REGULAR,turnover,traveling,[],1628384,,,1610612761,27,35,2020-09-05T23:18:16Z,1670000,,,0,,O. Anunoby TURNOVER traveling (2 TOV),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1662.0,2.0,,,,,,,,,,,,,,,,,,,
170,PT10M33.00S,2020-09-05T23:18:19.6Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1627759,95.3515111695138,96.14736519607843,1610612738,27,35,2020-09-05T23:18:23Z,1680000,231.0,-9.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,23.07,Missed,,,,,,,,,,,,,,,,,
