actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
17,PT10M22.00S,2020-07-31T22:48:07.7Z,1,REGULAR,3pt,jumpshot,[],202689,70.90998685939553,76.78462009803921,1610612738,5,0,2020-07-31T22:48:14Z,170000,134.0,221.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2020-07-31T22:48:12.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,5,0,2020-07-31T22:48:14Z,180000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
19,PT10M17.00S,2020-07-31T22:48:12.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,95.0,50.0,1610612738,5,2,2020-07-31T22:48:12Z,190000,0.0,-6.0,1,right,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
20,PT10M09.00S,2020-07-31T22:48:21.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'defensivegoaltending']",203114,6.1268068331143235,53.255208333333336,1610612749,7,2,2020-07-31T22:48:44Z,200000,-16.0,5.0,1,left,K. Middleton layup (2 PTS),[203114],1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,1.94,Made,,,,,2.0,,,,,,,,,,,,,,
21,PT10M09.00S,2020-07-31T22:48:28.8Z,1,REGULAR,violation,defensivegoaltending,[],1628464,,,1610612749,7,2,2020-07-31T22:48:44Z,210000,,,0,,D. Theis violation defensivegoaltending,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,1148.0,,,,,,,,,,
22,PT09M57.00S,2020-07-31T22:48:44.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,83.65637319316689,56.44148284313726,1610612738,7,2,2020-07-31T22:49:32Z,220000,32.0,101.0,1,right,MISS J. Tatum 11' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,11.14,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2020-07-31T22:48:45.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,2,2020-07-31T22:49:03Z,230000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT09M48.00S,2020-07-31T22:48:52.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203507,6.389618922470433,51.049325980392155,1610612749,9,2,2020-07-31T22:49:03Z,240000,-5.0,8.0,1,left,G. Antetokounmpo layup (4 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,1.41,Made,,,,,4.0,,,,,,,,,,,,,,
25,PT09M22.00S,2020-07-31T22:49:23.5Z,1,REGULAR,turnover,shotclock,['team'],0,,,1610612738,9,2,2020-07-31T22:49:32Z,250000,,,0,,Team TURNOVER shotclock,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,201638.0,,,,,,,,,,
26,PT09M14.00S,2020-07-31T22:49:46.0Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203114,29.122864651773984,79.23560049019608,1610612749,12,2,2020-07-31T22:49:54Z,260000,-146.0,221.0,1,left,K. Middleton 27' 3PT  (5 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.98,Made,,,,,5.0,,,,,,,,,,,,,,
27,PT09M14.00S,2020-07-31T22:49:49.0Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612749,12,2,2020-07-31T22:49:55Z,270000,,,0,,J. Tatum FOUL personal (1 PF) (Middleton 1freethrow),"[1628369, 203114]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1148.0,1.0,0.0,Middleton,203114.0,,,,,,
29,PT09M14.00S,2020-07-31T22:50:11.0Z,1,REGULAR,freethrow,1of1,['fromturnover'],203114,,,1610612749,13,2,2020-07-31T22:50:11Z,290000,,,0,,K. Middleton freethrow 1of1 (6 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
30,PT09M00.00S,2020-07-31T22:50:27.8Z,1,REGULAR,3pt,jumpshot,[],202330,71.17279894875165,23.598345588235293,1610612738,13,2,2020-07-31T22:50:32Z,300000,-132.0,218.0,1,right,MISS G. Hayward 26' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M59.00S,2020-07-31T22:50:28.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,13,2,2020-07-31T22:50:36Z,310000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
32,PT08M52.00S,2020-07-31T22:50:37.9Z,1,REGULAR,foul,personal,[],1627759,,,1610612749,13,2,2020-07-31T22:50:45Z,320000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 203507]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1148.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
34,PT08M47.00S,2020-07-31T22:51:05.7Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],203507,6.389618922470433,50.80422794117647,1610612749,15,2,2020-07-31T22:51:53Z,340000,-4.0,8.0,1,left,G. Antetokounmpo dunk (6 PTS) (K. Middleton 2 AST),"[203507, 203114]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,1.37,Made,,,,,6.0,K. Middleton,203114.0,2.0,,,,,,,,,,,
36,PT08M45.00S,2020-07-31T22:51:12.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,2,2020-07-31T22:51:12Z,360000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2020-07-31T22:54:40.9Z,1,REGULAR,foul,personal,[],1628978,,,1610612738,15,2,2020-07-31T22:54:53Z,370000,,,0,,D. DiVincenzo FOUL personal (1 PF),"[1628978, 202689]",1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,202041.0,1.0,0.0,Walker,202689.0,,,,,,
39,PT08M29.00S,2020-07-31T22:55:02.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,93.77463863337714,55.21599264705882,1610612738,15,2,2020-07-31T22:55:07Z,390000,26.0,6.0,1,right,MISS J. Tatum layup Blocked,"[1628369, 201572]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.85,Missed,,,,,,,,,,,,,,Lopez,201572.0,,,,
40,PT08M29.00S,2020-07-31T22:55:02.9Z,1,REGULAR,block,,[],201572,,,1610612738,15,2,2020-07-31T22:55:05Z,400000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M28.00S,2020-07-31T22:55:03.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,15,2,2020-07-31T22:55:17Z,410000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
42,PT08M22.00S,2020-07-31T22:55:09.3Z,1,REGULAR,2pt,dunk,"['fastbreak', 'pointsinthepaint']",203507,5.863994743758213,50.314031862745104,1610612749,17,2,2020-07-31T22:56:16Z,420000,-2.0,3.0,1,left,G. Antetokounmpo dunk (8 PTS) (D. DiVincenzo 1 AST),"[203507, 1628978]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,0.83,Made,,,,,8.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,
44,PT08M09.00S,2020-07-31T22:55:22.3Z,1,REGULAR,2pt,jumpshot,[],202689,77.4802890932983,65.26501225490196,1610612738,17,4,2020-07-31T22:55:26Z,440000,76.0,159.0,1,right,K. Walker 18' jumpshot (2 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,18.15,Made,,,,,2.0,,,,,,,,,,,,,,
45,PT07M54.00S,2020-07-31T22:55:37.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203114,14.011169513797633,41.98069852941176,1610612749,17,4,2020-07-31T22:55:44Z,450000,40.0,79.0,1,left,MISS K. Middleton 9' layup Blocked,"[203114, 202689]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,9.37,Missed,,,,,,,,,,,,,,Walker,202689.0,,,,
46,PT07M54.00S,2020-07-31T22:55:37.6Z,1,REGULAR,block,,[],202689,,,1610612749,17,4,2020-07-31T22:56:07Z,460000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2020-07-31T22:55:38.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,17,4,2020-07-31T22:56:27Z,470000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
88,PT07M51.00S,2020-07-31T22:55:43.4Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1627759,93.08475689881735,44.048713235294116,1610612738,17,4,2020-07-31T23:03:29Z,475000,-30.0,13.0,1,right,MISS J. Brown layup Blocked,"[1627759, 201572]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.48,Missed,,,,,,,,,,,,,,Lopez,201572.0,,,,
89,PT07M51.00S,2020-07-31T22:55:43.4Z,1,REGULAR,block,,[],201572,,,1610612738,17,4,2020-07-31T23:03:10Z,477500,,,0,,B. Lopez BLOCK (2 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT07M50.00S,2020-07-31T22:55:44.4Z,1,REGULAR,rebound,offensive,[],202330,,,1610612738,17,4,2020-07-31T23:03:10Z,478750,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,88.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
48,PT07M49.00S,2020-07-31T22:55:49.2Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612738,17,4,2020-07-31T22:55:57Z,480000,,,0,,G. Antetokounmpo FOUL personal (1 PF) (Hayward 2freethrow),"[203507, 202330]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,201638.0,1.0,0.0,Hayward,202330.0,,,,,,
50,PT07M49.00S,2020-07-31T22:56:05.8Z,1,REGULAR,freethrow,1of2,"['fastbreak', '2ndchance']",202330,,,1610612738,17,5,2020-07-31T23:03:10Z,500000,,,0,,G. Hayward freethrow 1of2 (1 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
51,PT07M49.00S,2020-07-31T22:56:15.5Z,1,REGULAR,freethrow,2of2,"['fastbreak', '2ndchance']",202330,,,1610612738,17,6,2020-07-31T23:03:10Z,510000,,,0,,G. Hayward freethrow 2of2 (2 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
52,PT07M31.00S,2020-07-31T22:56:38.0Z,1,REGULAR,foul,personal,['3freethrow'],1628464,,,1610612749,17,6,2020-07-31T22:56:46Z,520000,,,0,,D. Theis FOUL personal (1 PF) (Matthews 3freethrow),"[1628464, 202083]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1148.0,1.0,0.0,Matthews,202083.0,,,,,,
54,PT07M31.00S,2020-07-31T22:57:03.7Z,1,REGULAR,freethrow,1of3,[],202083,,,1610612749,18,6,2020-07-31T22:57:03Z,540000,,,0,,W. Matthews freethrow 1of3 (4 PTS),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
55,PT07M31.00S,2020-07-31T22:57:16.8Z,1,REGULAR,freethrow,2of3,[],202083,,,1610612749,19,6,2020-07-31T22:57:16Z,550000,,,0,,W. Matthews freethrow 2of3 (5 PTS),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
56,PT07M31.00S,2020-07-31T22:57:31.0Z,1,REGULAR,freethrow,3of3,[],202083,,,1610612749,20,6,2020-07-31T22:57:31Z,560000,,,0,,W. Matthews freethrow 3of3 (6 PTS),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
57,PT07M21.00S,2020-07-31T22:57:42.9Z,1,REGULAR,3pt,jumpshot,[],202689,91.80354796320631,2.5199142156862746,1610612738,20,9,2020-07-31T22:57:47Z,570000,-237.0,25.0,1,right,K. Walker 24' 3PT  (5 PTS) (G. Hayward 1 AST),"[202689, 202330]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.93,Made,,,,,5.0,G. Hayward,202330.0,1.0,,,,,,,,,,,
59,PT07M02.00S,2020-07-31T22:58:01.9Z,1,REGULAR,3pt,jumpshot,[],1628978,12.040078843626807,3.010110294117647,1610612749,20,9,2020-07-31T22:58:06Z,590000,235.0,61.0,1,left,MISS D. DiVincenzo 24' 3PT,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,24.41,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M01.00S,2020-07-31T22:58:02.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,20,9,2020-07-31T22:58:09Z,600000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
61,PT06M55.00S,2020-07-31T22:58:11.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,20,9,2020-07-31T22:58:11Z,610000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,out,[],203507,,,1610612738,20,9,2020-07-31T22:58:26Z,620000,,,0,,substitution out Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,out,[],1628978,,,1610612738,20,9,2020-07-31T22:58:26Z,630000,,,0,,substitution out DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,20,9,2020-07-31T22:58:26Z,640000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,out,[],202689,,,1610612738,20,9,2020-07-31T22:58:26Z,650000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
