actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
16,PT11M03.00S,2019-12-25T17:16:39.5Z,1,REGULAR,block,,[],202330,,,1610612761,2,0,2019-12-25T17:16:41Z,160000,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2019-12-25T17:16:44.5Z,1,REGULAR,rebound,offensive,[],201586,,,1610612761,2,0,2019-12-25T17:16:48Z,170000,,,0,,S. Ibaka REBOUND (Off:1 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,
18,PT10M58.00S,2019-12-25T17:16:44.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",201586,5.0,50.0,1610612761,4,0,2019-12-25T17:16:44Z,180000,0.0,-6.0,1,left,S. Ibaka layup (4 PTS),[201586],1610612761.0,TOR,putback,,,Ibaka,S. Ibaka,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2019-12-25T17:16:54.1Z,1,REGULAR,3pt,jumpshot,[],202689,68.41327201051249,55.21599264705882,1610612738,4,0,2019-12-25T17:16:59Z,190000,26.0,244.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M47.00S,2019-12-25T17:16:55.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,4,0,2019-12-25T17:16:59Z,200000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M37.00S,2019-12-25T17:17:06.4Z,1,REGULAR,3pt,jumpshot,[],200768,32.013797634691194,66.24540441176471,1610612761,7,0,2019-12-25T17:17:11Z,210000,-81.0,248.0,1,left,K. Lowry 27' 3PT  (3 PTS),[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,26.66,Made,3.0,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2019-12-25T17:17:28.0Z,1,REGULAR,3pt,jumpshot,[],202330,94.69448094612353,3.010110294117647,1610612738,7,0,2019-12-25T17:17:32Z,220000,-235.0,-3.0,1,right,MISS G. Hayward 23' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,23.49,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M12.00S,2019-12-25T17:17:30.0Z,1,REGULAR,rebound,defensive,[],1627775,,,1610612761,7,0,2019-12-25T17:17:32Z,230000,,,0,,P. McCaw REBOUND (Off:0 Def:1),[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M04.00S,2019-12-25T17:17:38.4Z,1,REGULAR,3pt,jumpshot,[],200768,32.40801576872536,66.98069852941177,1610612761,10,0,2019-12-25T17:17:42Z,240000,-85.0,252.0,1,left,K. Lowry 27' 3PT  (6 PTS) (S. Ibaka 1 AST),"[200768, 201586]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,27.12,Made,6.0,S. Ibaka,201586.0,1.0,,,,,,,,,,,,,,,
26,PT10M03.00S,2019-12-25T17:17:43.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,0,2019-12-25T17:17:43Z,260000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2019-12-25T17:21:17.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,93.9060446780552,49.08854166666667,1610612738,10,2,2019-12-25T17:21:21Z,270000,-5.0,5.0,1,right,J. Brown layup (2 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.13,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
29,PT09M42.00S,2019-12-25T17:21:25.4Z,1,REGULAR,foul,personal,[],1627759,,,1610612761,10,2,2019-12-25T17:21:37Z,290000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Lowry,200768.0,,,,
31,PT09M31.00S,2019-12-25T17:21:50.8Z,1,REGULAR,turnover,badpass,[],200768,,,1610612761,10,2,2019-12-25T17:21:54Z,310000,,,0,,K. Lowry TURNOVER badpass (1 TOV) Stolen,"[200768, 202330]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,1.0,Hayward,202330.0,
32,PT09M31.00S,2019-12-25T17:21:50.8Z,1,REGULAR,steal,,[],202330,,,1610612738,10,2,2019-12-25T17:24:26Z,320000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M26.00S,2019-12-25T17:21:55.4Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202689,94.30026281208936,52.27481617647059,1610612738,10,2,2019-12-25T17:24:38Z,330000,11.0,1.0,1,right,MISS K. Walker layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.32,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M24.00S,2019-12-25T17:21:57.4Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,10,2,2019-12-25T17:24:38Z,340000,,,0,,J. Tatum REBOUND (Off:3 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,33.0,3.0,0.0,3.0,,,,,,,,,,,
35,PT09M23.00S,2019-12-25T17:22:01.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,10,2,2019-12-25T17:22:01Z,350000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M18.00S,2019-12-25T17:22:20.2Z,1,REGULAR,foul,personal,[],1628384,,,1610612738,10,2,2019-12-25T17:22:27Z,360000,,,0,,O. Anunoby FOUL personal (1 PF),"[1628384, 202330]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Hayward,202330.0,,,,
38,PT09M09.00S,2019-12-25T17:22:41.6Z,1,REGULAR,2pt,jumpshot,"['fromturnover', '2ndchance']",1628464,92.46057818659659,70.41207107843137,1610612738,10,4,2019-12-25T17:22:47Z,380000,102.0,18.0,1,right,D. Theis 10' jumpshot (2 PTS) (J. Brown 1 AST),"[1628464, 1627759]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,10.49,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
40,PT08M52.00S,2019-12-25T17:22:58.6Z,1,REGULAR,turnover,lostball,[],201586,,,1610612761,10,4,2019-12-25T17:28:01Z,400000,,,0,,S. Ibaka TURNOVER lostball (1 TOV) Stolen,"[201586, 202330]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,1.0,Hayward,202330.0,
41,PT08M52.00S,2019-12-25T17:22:58.6Z,1,REGULAR,steal,,[],202330,,,1610612738,10,4,2019-12-25T17:28:01Z,410000,,,0,,G. Hayward STEAL (2 STL),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M47.00S,2019-12-25T17:23:03.7Z,1,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",202689,68.41327201051249,31.44148284313725,1610612738,10,7,2019-12-25T17:28:28Z,420000,-93.0,244.0,1,right,K. Walker 27' 3PT  (3 PTS) (G. Hayward 1 AST),"[202689, 202330]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.66,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
44,PT08M31.00S,2019-12-25T17:23:19.4Z,1,REGULAR,turnover,badpass,[],1628384,,,1610612761,10,7,2019-12-25T17:23:23Z,440000,,,0,,O. Anunoby TURNOVER badpass (1 TOV) Stolen,"[1628384, 1628369]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,
45,PT08M31.00S,2019-12-25T17:23:19.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,10,7,2019-12-25T17:23:21Z,450000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M28.00S,2019-12-25T17:23:23.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202689,93.38042049934296,48.59834558823529,1610612738,10,9,2019-12-25T17:23:28Z,460000,-7.0,10.0,1,right,K. Walker layup (5 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,runningfingerroll,,,Walker,K. Walker,,,,,1.67,Made,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
49,PT08M09.00S,2019-12-25T17:23:42.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628384,6.783837056504599,52.51991421568627,1610612761,10,9,2019-12-25T17:23:48Z,490000,-13.0,11.0,1,left,MISS O. Anunoby layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,2.1,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M07.00S,2019-12-25T17:23:44.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,10,9,2019-12-25T17:23:48Z,500000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,
51,PT08M07.00S,2019-12-25T17:23:47.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,10,9,2019-12-25T17:23:47Z,510000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M51.00S,2019-12-25T17:24:20.9Z,1,REGULAR,2pt,jumpshot,[],1627759,74.98357424441524,31.44148284313725,1610612738,10,9,2019-12-25T17:24:25Z,520000,-93.0,183.0,1,right,MISS J. Brown 21' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,20.98,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M47.00S,2019-12-25T17:24:24.9Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,10,9,2019-12-25T17:24:25Z,530000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,,
54,PT07M41.00S,2019-12-25T17:24:30.5Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,10,9,2019-12-25T17:24:34Z,540000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 1627832]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,1.0,VanVleet,1627832.0,
55,PT07M41.00S,2019-12-25T17:24:30.5Z,1,REGULAR,steal,,[],1627832,,,1610612761,10,9,2019-12-25T17:24:32Z,550000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M35.00S,2019-12-25T17:24:35.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,5.601182654402102,54.970894607843135,1610612761,12,9,2019-12-25T17:24:44Z,560000,-25.0,0.0,1,left,O. Anunoby layup (2 PTS),[1628384],1610612761.0,TOR,runningfingerroll,,,Anunoby,O. Anunoby,,,,,2.55,Made,2.0,,,,,,,,,,,,,,,,,,
57,PT07M25.00S,2019-12-25T17:24:50.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,90.3580814717477,39.77481617647059,1610612738,12,9,2019-12-25T17:24:58Z,570000,-51.0,38.0,1,right,MISS J. Tatum 7' layup Blocked,"[1628369, 200768]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,6.72,Missed,,,,,,,,,Lowry,200768.0,,,,,,,,,
58,PT07M25.00S,2019-12-25T17:24:50.9Z,1,REGULAR,block,,[],200768,,,1610612738,12,9,2019-12-25T17:24:52Z,580000,,,0,,K. Lowry BLOCK (1 BLK),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M25.00S,2019-12-25T17:24:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,12,9,2019-12-25T17:24:58Z,590000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,
60,PT07M25.00S,2019-12-25T17:24:54.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,12,9,2019-12-25T17:24:54Z,600000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2019-12-25T17:25:04.6Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,12,9,2019-12-25T17:30:29Z,610000,,,0,,J. Tatum FOUL offensive (1 PF),"[1628369, 200768]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Lowry,200768.0,,,,
63,PT07M20.00S,2019-12-25T17:25:04.6Z,1,REGULAR,turnover,offensivefoul,[],1628369,,,1610612738,12,9,2019-12-25T17:25:04Z,630000,,,0,,J. Tatum TURNOVER offensivefoul (1 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,2004.0,,,,,1.0,,,
64,PT07M05.00S,2019-12-25T17:25:40.1Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1627832,23.47240473061761,69.43167892156863,1610612761,12,9,2019-12-25T17:25:44Z,640000,-97.0,168.0,1,left,MISS F. VanVleet 20' jumpshot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,19.9,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M03.00S,2019-12-25T17:25:42.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,12,9,2019-12-25T17:25:44Z,650000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,
66,PT06M56.00S,2019-12-25T17:25:50.4Z,1,REGULAR,2pt,jumpshot,[],1628369,77.87450722733246,45.166973039215684,1610612738,12,9,2019-12-25T17:25:54Z,660000,-24.0,155.0,1,right,MISS J. Tatum 16' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,16.28,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M52.00S,2019-12-25T17:25:54.4Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,12,9,2019-12-25T17:25:54Z,670000,,,0,,S. Ibaka REBOUND (Off:1 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,66.0,3.0,2.0,1.0,,,,,,,,,,,
68,PT06M35.00S,2019-12-25T17:26:10.5Z,1,REGULAR,2pt,hook,['pointsinthepaint'],201586,15.719448094612352,45.65716911764706,1610612761,12,9,2019-12-25T17:26:15Z,680000,22.0,95.0,1,left,MISS S. Ibaka 10' hook,[201586],1610612761.0,TOR,turnaround,,,Ibaka,S. Ibaka,,,,,10.31,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2019-12-25T17:26:12.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,9,2019-12-25T17:26:15Z,690000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,
70,PT06M26.00S,2019-12-25T17:26:19.7Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,12,9,2019-12-25T17:26:22Z,700000,,,0,,J. Brown TURNOVER lostball (2 TOV) Stolen,"[1627759, 1627775]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,2.0,McCaw,1627775.0,
71,PT06M26.00S,2019-12-25T17:26:19.7Z,1,REGULAR,steal,,[],1627775,,,1610612761,12,9,2019-12-25T17:26:21Z,710000,,,0,,P. McCaw STEAL (1 STL),[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2019-12-25T17:26:23.5Z,1,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",200768,32.14520367936925,35.853247549019606,1610612761,12,9,2019-12-25T17:26:30Z,720000,71.0,250.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612761.0,TOR,runningpullup,,,Lowry,K. Lowry,,,,,26.48,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M19.00S,2019-12-25T17:26:26.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,12,9,2019-12-25T17:26:30Z,730000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,,,,
74,PT06M04.00S,2019-12-25T17:26:41.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,82.47371879106439,37.07873774509804,1610612738,12,11,2019-12-25T17:26:50Z,740000,-65.0,112.0,1,right,G. Hayward 13' jumpshot (2 PTS),[202330],1610612738.0,BOS,fadeaway,,,Hayward,G. Hayward,,,,,13.43,Made,2.0,,,,,,,,,,,,,,,,,,
75,PT05M47.00S,2019-12-25T17:26:58.9Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],201586,7.440867279894875,49.333639705882355,1610612761,14,11,2019-12-25T17:27:03Z,750000,3.0,17.0,1,left,S. Ibaka dunk (6 PTS) (K. Lowry 1 AST),"[201586, 200768]",1610612761.0,TOR,cutting,,,Ibaka,S. Ibaka,,,,,2.31,Made,6.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,,
77,PT05M23.00S,2019-12-25T17:27:22.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202689,85.23324572930355,40.510110294117645,1610612738,14,11,2019-12-25T17:27:28Z,770000,-47.0,86.0,1,right,MISS K. Walker 10' jumpshot,[202689],1610612738.0,BOS,drivingfloating,,,Walker,K. Walker,,,,,10.33,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M21.00S,2019-12-25T17:27:24.6Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,14,11,2019-12-25T17:27:28Z,780000,,,0,,S. Ibaka REBOUND (Off:1 Def:3),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,77.0,4.0,3.0,1.0,,,,,,,,,,,
79,PT05M08.00S,2019-12-25T17:27:37.7Z,1,REGULAR,2pt,jumpshot,[],201586,24.52365308804205,29.970894607843135,1610612761,14,11,2019-12-25T17:27:42Z,790000,100.0,178.0,1,left,MISS S. Ibaka 21' jumpshot,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,20.9,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M05.00S,2019-12-25T17:27:40.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,14,11,2019-12-25T17:27:42Z,800000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,
81,PT04M58.00S,2019-12-25T17:27:48.0Z,1,REGULAR,2pt,jumpshot,[],202330,79.84559789750328,25.80422794117647,1610612738,14,13,2019-12-25T17:27:51Z,810000,-121.0,137.0,1,right,G. Hayward 19' jumpshot (4 PTS),[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,18.69,Made,4.0,,,,,,,,,,,,,,,,,,
82,PT04M49.00S,2019-12-25T17:27:59.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,14,13,2019-12-25T17:27:59Z,820000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M49.00S,2019-12-25T17:30:43.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612761,14,13,2019-12-25T17:31:08Z,830000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M49.00S,2019-12-25T17:30:43.9Z,1,REGULAR,substitution,out,[],202330,,,1610612761,14,13,2019-12-25T17:31:08Z,840000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M49.00S,2019-12-25T17:30:43.9Z,1,REGULAR,substitution,out,[],1628464,,,1610612761,14,13,2019-12-25T17:31:08Z,850000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M49.00S,2019-12-25T17:30:43.9Z,1,REGULAR,substitution,in,[],202683,,,1610612761,14,13,2019-12-25T17:31:08Z,860000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M49.00S,2019-12-25T17:30:43.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612761,14,13,2019-12-25T17:31:08Z,870000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M49.00S,2019-12-25T17:30:43.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612761,14,13,2019-12-25T17:31:08Z,880000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M40.00S,2019-12-25T17:31:48.1Z,1,REGULAR,foul,offensive,[],1628384,,,1610612761,14,13,2019-12-25T17:31:59Z,890000,,,0,,O. Anunoby FOUL offensive (2 PF),"[1628384, 202689]",1610612761.0,TOR,charge,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,1198.0,2.0,0.0,Walker,202689.0,,,,
