actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2019-12-25T17:15:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-25T17:15:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-25T17:15:45.8Z,1,REGULAR,jumpball,recovered,[],1628384,,,1610612761,0,0,2019-12-25T17:15:45Z,40000,,,0,,Jump Ball S. Ibaka vs. D. Theis: Tip to O. Anunoby,"[1628384, 201586, 1628464]",1610612761.0,TOR,startperiod,O. Anunoby,1628384.0,Anunoby,O. Anunoby,Ibaka,201586.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2019-12-25T17:16:06.3Z,1,REGULAR,2pt,hook,['pointsinthepaint'],201586,9.674770039421814,49.57873774509804,1610612761,2,0,2019-12-25T17:16:11Z,70000,2.0,38.0,1,left,S. Ibaka hook (2 PTS) (F. VanVleet 1 AST),"[201586, 1627832]",1610612761.0,TOR,turnaround,,,Ibaka,S. Ibaka,,,,,4.4,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
9,PT11M12.00S,2019-12-25T17:16:30.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.24901445466492,39.03952205882353,1610612738,2,0,2019-12-25T17:19:13Z,90000,-55.0,11.0,1,right,MISS D. Theis 6' layup,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,5.72,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2019-12-25T17:16:34.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,0,2019-12-25T17:16:37Z,100000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M08.00S,2019-12-25T17:16:34.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,95.0,50.0,1610612738,2,0,2019-12-25T17:16:34Z,110000,0.0,-6.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2019-12-25T17:16:35.2Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,0,2019-12-25T17:16:35Z,120000,,,0,,J. Tatum REBOUND (Off:2 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,11.0,2.0,0.0,2.0,,,,,,,,,,,
13,PT11M07.00S,2019-12-25T17:16:35.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,95.0,50.0,1610612738,2,0,2019-12-25T17:16:35Z,130000,0.0,-6.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2019-12-25T17:16:35.8Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,2,0,2019-12-25T17:16:35Z,140000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT11M03.00S,2019-12-25T17:16:39.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",200768,7.835085413929041,44.921875,1610612761,2,0,2019-12-25T17:16:48Z,150000,25.0,21.0,1,left,MISS K. Lowry layup Blocked,"[200768, 202330]",1610612761.0,TOR,running,,,Lowry,K. Lowry,,,,,3.68,Missed,,,,,,,,,Hayward,202330.0,,,,,,,,,
