actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,blockPlayerName,blockPersonId,blockTotal,value
526,PT05M19.00S,2020-03-05T02:00:46.3Z,4,REGULAR,3pt,jumpshot,[],201567,71.43561103810775,14.284620098039216,1610612739,89,92,2020-03-05T02:03:28Z,5250000,right,[CLE] Love 3pt jumpshot: Missed,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,28.45,: Missed,,,,,,,,,,,,,,,,,,,,,,,
527,PT05M19.00S,2020-03-05T02:00:46.3Z,4,REGULAR,rebound,offensive,[],1626224,,,1610612739,89,92,2020-03-05T02:01:15Z,5260000,,[CLE] Osman offensive rebound (Off:3 Def:1),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,526.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
528,PT05M05.00S,2020-03-05T02:01:00.2Z,4,REGULAR,3pt,jumpshot,['2ndchance'],201567,72.35545335085413,5.46109068627451,1610612739,89,92,2020-03-05T02:01:36Z,5270000,right,[CLE] Love 3pt jumpshot: Missed,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,30.81,: Missed,,,,,,,,,,,,,,,,,,,,,,,
529,PT05M02.00S,2020-03-05T02:01:03.2Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,89,92,2020-03-05T02:09:50Z,5280000,,[BOS] Tatum defensive rebound (Off:0 Def:8),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,528.0,8.0,8.0,0.0,,,,,,,,,,,,,,,,,,,
530,PT04M54.00S,2020-03-05T02:01:10.7Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,6.783837056504599,62.32383578431373,1610612738,89,94,2020-03-05T02:01:40Z,5290000,left,[BOS] Smart jumpshot: Made (10 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,6.38,: Made,,,,,10.0,,,,,,,,,,,,,,,,,,
531,PT04M34.00S,2020-03-05T02:01:31.2Z,4,REGULAR,3pt,jumpshot,[],1626224,74.58935611038108,83.64736519607843,1610612739,92,94,2020-03-05T02:01:44Z,5300000,right,[CLE] Osman 3pt shot: Made (13 PTS) assist: Nance Jr. (4 AST),"[1626224, 1626204]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,25.52,: Made,,,,,13.0,Nance Jr.,1626204.0,4.0,,,,,,,,,,,,,,,
533,PT04M15.00S,2020-03-05T02:01:53.0Z,4,REGULAR,2pt,jumpshot,[],1628369,11.251642575558476,33.892463235294116,1610612738,92,96,2020-03-05T02:02:00Z,5320000,left,[BOS] Tatum jumpshot: Made (27 PTS),[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,9.97,: Made,,,,,27.0,,,,,,,,,,,,,,,,,,
534,PT04M15.00S,2020-03-05T02:01:56.5Z,4,REGULAR,foul,personal,['1freethrow'],1626224,,,1610612738,92,96,2020-03-05T02:02:03Z,5330000,,[CLE] Osman foul personal (3 PF) (Tatum 1freethrow),"[1626224, 1628369]",1610612739.0,CLE,shooting,,,Osman,C. Osman,,,,,,,,,,,,,,,1198.0,3.0,0.0,Tatum,1628369.0,,,,,,,,,,
536,PT04M15.00S,2020-03-05T02:02:21.7Z,4,REGULAR,freethrow,1of1,[],1628369,,,1610612738,92,96,2020-03-05T02:02:27Z,5350000,,[BOS] Tatum freethrow 1of1: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
537,PT04M11.00S,2020-03-05T02:02:25.7Z,4,REGULAR,rebound,offensive,[],1628464,,,1610612738,92,96,2020-03-05T02:02:27Z,5360000,,[BOS] Theis offensive rebound (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,536.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
538,PT04M03.00S,2020-03-05T02:02:32.7Z,4,REGULAR,3pt,jumpshot,['2ndchance'],1628369,29.25427069645204,83.64736519607843,1610612738,92,96,2020-03-05T02:02:55Z,5370000,left,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.33,: Missed,,,,,,,,,,,,,,,,,,,,,,,
539,PT04M00.00S,2020-03-05T02:02:35.7Z,4,REGULAR,rebound,defensive,[],1626224,,,1610612739,92,96,2020-03-05T02:02:55Z,5380000,,[CLE] Osman defensive rebound (Off:3 Def:2),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,538.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
540,PT03M46.00S,2020-03-05T02:02:49.9Z,4,REGULAR,3pt,jumpshot,[],1626224,68.15045992115637,64.28462009803921,1610612739,92,96,2020-03-05T02:03:00Z,5390000,right,[CLE] Osman 3pt jumpshot: Missed,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,26.23,: Missed,,,,,,,,,,,,,,,,,,,,,,,
541,PT03M43.00S,2020-03-05T02:02:52.9Z,4,REGULAR,rebound,offensive,[],203521,,,1610612739,92,96,2020-03-05T02:03:00Z,5400000,,[CLE] Dellavedova offensive rebound (Off:1 Def:4),[203521],1610612739.0,CLE,,,,Dellavedova,M. Dellavedova,,,,,,,540.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
542,PT03M40.00S,2020-03-05T02:02:59.4Z,4,REGULAR,stoppage,outofbounds,[],0,,,1610612739,92,96,2020-03-05T02:02:59Z,5410000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,PT03M39.00S,2020-03-05T02:03:25.8Z,4,REGULAR,2pt,jumpshot,['2ndchance'],201567,94.82588699080158,16.735600490196077,1610612739,94,96,2020-03-05T02:03:35Z,5420000,right,[CLE] Love jumpshot: Made (22 PTS) assist: Dellavedova (4 AST),"[201567, 203521]",1610612739.0,CLE,,,,Love,K. Love,,,,,16.63,: Made,,,,,22.0,Dellavedova,203521.0,4.0,,,,,,,,,,,,,,,
545,PT03M39.00S,2020-03-05T02:03:29.7Z,4,REGULAR,foul,personal,['1freethrow'],203935,,,1610612739,94,96,2020-03-05T02:03:37Z,5440000,,[BOS] Smart foul personal (2 PF) (Love 1freethrow),"[203935, 201567]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,1198.0,2.0,0.0,Love,201567.0,,,,,,,,,,
547,PT03M39.00S,2020-03-05T02:03:51.2Z,4,REGULAR,freethrow,1of1,['2ndchance'],201567,,,1610612739,95,96,2020-03-05T02:03:51Z,5460000,,[CLE] Love freethrow 1of1: Made (23 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,: Made,,,,,23.0,,,,,,,,,,,,,,,,,,
548,PT03M34.00S,2020-03-05T02:04:02.2Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,95,96,2020-03-05T02:04:02Z,5470000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,PT03M34.00S,2020-03-05T02:05:24.0Z,4,REGULAR,memo,,[],0,,,1610612738,95,96,2020-03-05T02:05:24Z,5480000,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kevin Porter, Jr. being evaluated for a head injury. Wil not return."
550,PT03M34.00S,2020-03-05T02:06:55.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,95,96,2020-03-05T02:06:55Z,5490000,,[CLE] timeout full,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,PT03M18.00S,2020-03-05T02:08:42.8Z,4,REGULAR,2pt,layup,['pointsinthepaint'],1628369,5.469776609724048,48.353247549019606,1610612738,95,98,2020-03-05T02:09:36Z,5500000,left,[BOS] Tatum layup: Made (29 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,0.93,: Made,,,,,29.0,,,,,,,,,,,,,,,,,,
552,PT02M59.00S,2020-03-05T02:09:02.6Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629012,91.93495400788436,48.84344362745098,1610612739,97,98,2020-03-05T02:10:25Z,5510000,right,[CLE] Sexton jumpshot: Made (36 PTS),[1629012],1610612739.0,CLE,drivingfloating,,,Sexton,C. Sexton,,,,,2.94,: Made,,,,,36.0,,,,,,,,,,,,,,,,,,
553,PT02M38.00S,2020-03-05T02:09:27.2Z,4,REGULAR,foul,personal,['2freethrow'],201567,,,1610612738,97,98,2020-03-05T02:09:35Z,5520000,,[CLE] Love foul personal (2 PF) (Smart 2freethrow),"[201567, 203935]",1610612739.0,CLE,shooting,,,Love,K. Love,,,,,,,,,,,,,,,1162.0,2.0,0.0,Smart,203935.0,,,,,,,,,,
555,PT02M38.00S,2020-03-05T02:09:57.1Z,4,REGULAR,freethrow,1of2,[],203935,,,1610612738,97,99,2020-03-05T02:09:57Z,5540000,,[BOS] Smart freethrow 1of2: Made (11 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,11.0,,,,,,,,,,,,,,,,,,
556,PT02M38.00S,2020-03-05T02:10:11.2Z,4,REGULAR,freethrow,2of2,[],203935,,,1610612738,97,100,2020-03-05T02:10:11Z,5550000,,[BOS] Smart freethrow 2of2: Made (12 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,12.0,,,,,,,,,,,,,,,,,,
557,PT02M31.00S,2020-03-05T02:10:23.9Z,4,REGULAR,turnover,traveling,[],1629012,,,1610612739,97,100,2020-03-05T02:10:33Z,5560000,,[CLE] Sexton traveling turnover (4 TO),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,1198.0,,,,,,,4.0,,,,,,,
558,PT02M15.00S,2020-03-05T02:10:52.1Z,4,REGULAR,3pt,jumpshot,['fromturnover'],1628400,6.915243101182654,1.7846200980392155,1610612738,97,103,2020-03-05T02:10:58Z,5570000,left,[BOS] Ojeleye 3pt shot: Made (22 PTS) assist: Tatum (6 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,24.18,: Made,,,,,22.0,Tatum,1628369.0,6.0,,,,,,,,,,,,,,,
560,PT02M05.00S,2020-03-05T02:11:08.1Z,4,REGULAR,foul,personal,[],203935,,,1610612739,97,103,2020-03-05T02:11:19Z,5590000,,[BOS] Smart foul personal (3 PF),"[203935, 1629012]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1198.0,3.0,0.0,Sexton,1629012.0,,,,,,,,,,
562,PT01M54.00S,2020-03-05T02:11:34.4Z,4,REGULAR,3pt,jumpshot,[],1629012,64.60249671484888,60.36305147058824,1610612739,97,103,2020-03-05T02:11:39Z,5610000,right,[CLE] Sexton 3pt jumpshot: Missed,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,29.04,: Missed,,,,,,,,,,,,,,,,,,,,,,,
563,PT01M51.00S,2020-03-05T02:11:37.4Z,4,REGULAR,rebound,defensive,[],1628400,,,1610612738,97,103,2020-03-05T02:11:39Z,5620000,,[BOS] Ojeleye defensive rebound (Off:0 Def:6),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,562.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
564,PT01M36.00S,2020-03-05T02:11:52.2Z,4,REGULAR,3pt,jumpshot,[],1628369,17.69053876478318,3.990502450980392,1610612738,97,103,2020-03-05T02:11:56Z,5630000,left,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.91,: Missed,,,,,,,,,,,,,,,,,,,,,,,
565,PT01M33.00S,2020-03-05T02:11:55.2Z,4,REGULAR,rebound,offensive,[],1628464,,,1610612738,97,103,2020-03-05T02:11:56Z,5640000,,[BOS] Theis offensive rebound (Off:2 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,564.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
566,PT01M27.00S,2020-03-05T02:12:02.3Z,4,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",203935,9.280551905387648,46.63756127450981,1610612738,97,105,2020-03-05T02:12:08Z,5650000,left,[BOS] Smart jumpshot: Made (14 PTS),[203935],1610612738.0,BOS,floating,,,Smart,M. Smart,,,,,4.36,: Made,,,,,14.0,,,,,,,,,,,,,,,,,,
567,PT01M27.00S,2020-03-05T02:12:07.3Z,4,REGULAR,timeout,full,['team'],0,,,1610612739,97,105,2020-03-05T02:12:07Z,5660000,,[CLE] timeout full,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,PT01M21.00S,2020-03-05T02:14:02.3Z,4,REGULAR,turnover,badpass,[],201567,,,1610612739,97,105,2020-03-05T02:14:08Z,5670000,,[CLE] Love badpass turnover (4 TO) Steal: Smart (2 STL),"[201567, 203935]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,4.0,Smart,203935.0,2.0,,,,
570,PT01M11.00S,2020-03-05T02:14:17.6Z,4,REGULAR,turnover,palming,[],202954,,,1610612738,97,105,2020-03-05T02:14:25Z,5690000,,[BOS] Wanamaker palming turnover (1 TO),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,1198.0,,,,,,,1.0,,,,,,,
571,PT01M03.00S,2020-03-05T02:14:40.5Z,4,REGULAR,stoppage,outofbounds,[],0,,,1610612739,97,105,2020-03-05T02:14:40Z,5700000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,PT01M00.00S,2020-03-05T02:14:59.1Z,4,REGULAR,3pt,jumpshot,['fromturnover'],201567,73.80091984231275,5.46109068627451,1610612739,100,105,2020-03-05T02:15:05Z,5710000,right,[CLE] Love 3pt shot: Made (26 PTS) assist: Osman (1 AST),"[201567, 1626224]",1610612739.0,CLE,,,,Love,K. Love,,,,,29.89,: Made,,,,,26.0,Osman,1626224.0,1.0,,,,,,,,,,,,,,,
574,PT00M53.30S,2020-03-05T02:15:19.7Z,4,REGULAR,foul,personal,[],203521,,,1610612738,100,105,2020-03-05T02:16:10Z,5730000,,[CLE] Dellavedova foul personal (3 PF),"[203521, 1628400]",1610612739.0,CLE,take,,,Dellavedova,M. Dellavedova,,,,,,,,,,,,,,,1198.0,3.0,0.0,Ojeleye,1628400.0,,,,,,,,,,
576,PT00M48.90S,2020-03-05T02:15:40.5Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629012,,,1610612738,100,105,2020-03-05T02:15:49Z,5750000,,[CLE] Sexton foul personal (4 PF) (Smart inpenalty),"[1629012, 203935]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,1627961.0,4.0,0.0,Smart,203935.0,,,,,,,,,,
578,PT00M48.90S,2020-03-05T02:16:05.6Z,4,REGULAR,freethrow,1of2,[],203935,,,1610612738,100,106,2020-03-05T02:16:05Z,5770000,,[BOS] Smart freethrow 1of2: Made (15 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,15.0,,,,,,,,,,,,,,,,,,
579,PT00M48.90S,2020-03-05T02:16:07.5Z,4,REGULAR,substitution,out,[],1628464,,,1610612738,100,106,2020-03-05T02:16:11Z,5780000,,[BOS] substitution Theis replaced by Williams,"[1628464, 1629684]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,Williams,1629684.0,,,,,,,,
581,PT00M48.90S,2020-03-05T02:16:23.5Z,4,REGULAR,freethrow,2of2,[],203935,,,1610612738,100,107,2020-03-05T02:16:23Z,5800000,,[BOS] Smart freethrow 2of2: Made (16 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,16.0,,,,,,,,,,,,,,,,,,
582,PT00M39.60S,2020-03-05T02:16:36.3Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203521,94.56307490144546,50.06893382352941,1610612739,100,107,2020-03-05T02:16:45Z,5810000,right,[CLE] Dellavedova layup: Missed,[203521],1610612739.0,CLE,driving,,,Dellavedova,M. Dellavedova,,,,,0.41,: Missed,,,,,,,,,,,,,,,,,,,,,,,
583,PT00M38.00S,2020-03-05T02:16:39.8Z,4,REGULAR,rebound,offensive,[],1626204,,,1610612739,100,107,2020-03-05T02:16:39Z,5820000,,[CLE] Nance Jr. offensive rebound (Off:5 Def:10),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,582.0,15.0,10.0,5.0,,,,,,,,,,,,,,,,,,,
584,PT00M38.00S,2020-03-05T02:16:42.0Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612739,100,107,2020-03-05T02:16:59Z,5830000,,[BOS] Williams foul personal (1 PF) (Nance Jr. inpenalty),"[1629684, 1626204]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,1162.0,1.0,0.0,Nance Jr.,1626204.0,,,,,,,,,,
586,PT00M38.00S,2020-03-05T02:17:07.8Z,4,REGULAR,freethrow,1of2,['2ndchance'],1626204,,,1610612739,101,107,2020-03-05T02:17:07Z,5850000,,[CLE] Nance Jr. freethrow 1of2: Made (19 PTS),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,: Made,,,,,19.0,,,,,,,,,,,,,,,,,,
587,PT00M38.00S,2020-03-05T02:17:25.8Z,4,REGULAR,freethrow,2of2,['2ndchance'],1626204,,,1610612739,101,107,2020-03-05T02:17:25Z,5860000,,[CLE] Nance Jr. freethrow 2of2: Missed,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
588,PT00M32.90S,2020-03-05T02:17:30.5Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,101,107,2020-03-05T02:17:30Z,5870000,,[BOS] Tatum defensive rebound (Off:0 Def:9),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,587.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,
589,PT00M31.10S,2020-03-05T02:17:36.4Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629012,,,1610612738,101,107,2020-03-05T02:17:42Z,5880000,,[CLE] Sexton foul personal (5 PF) (Tatum inpenalty),"[1629012, 1628369]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,1198.0,5.0,0.0,Tatum,1628369.0,,,,,,,,,,
591,PT00M31.10S,2020-03-05T02:18:03.6Z,4,REGULAR,freethrow,1of2,[],1628369,,,1610612738,101,107,2020-03-05T02:18:03Z,5900000,,[BOS] Tatum freethrow 1of2: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
592,PT00M31.10S,2020-03-05T02:18:03.6Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,101,107,2020-03-05T02:18:03Z,5910000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,591.0,,,,,,,,,,,,,,,,,,,,,,
593,PT00M31.10S,2020-03-05T02:18:20.5Z,4,REGULAR,freethrow,2of2,[],1628369,,,1610612738,101,108,2020-03-05T02:18:20Z,5920000,,[BOS] Tatum freethrow 2of2: Made (30 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,,,,,30.0,,,,,,,,,,,,,,,,,,
594,PT00M31.10S,2020-03-05T02:18:23.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612739,101,108,2020-03-05T02:18:23Z,5930000,,[CLE] timeout full,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,PT00M25.10S,2020-03-05T02:20:16.5Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629012,84.05059132720105,46.14736519607843,1610612739,103,108,2020-03-05T02:21:07Z,5940000,right,[CLE] Sexton jumpshot: Made (38 PTS) assist: Osman (2 AST),"[1629012, 1626224]",1610612739.0,CLE,floating,,,Sexton,C. Sexton,,,,,10.47,: Made,,,,,38.0,Osman,1626224.0,2.0,,,,,,,,,,,,,,,
597,PT00M20.80S,2020-03-05T02:21:31.1Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201567,,,1610612738,103,108,2020-03-05T02:22:06Z,5960000,,[CLE] Love foul personal (3 PF) (Tatum inpenalty),"[201567, 1628369]",1610612739.0,CLE,take,,,Love,K. Love,,,,,,,,,,,,,,,1627961.0,3.0,0.0,Tatum,1628369.0,,,,,,,,,,
599,PT00M20.80S,2020-03-05T02:21:56.3Z,4,REGULAR,freethrow,1of2,[],1628369,,,1610612738,103,109,2020-03-05T02:21:56Z,5980000,,[BOS] Tatum freethrow 1of2: Made (31 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,,,,,31.0,,,,,,,,,,,,,,,,,,
600,PT00M20.80S,2020-03-05T02:22:16.3Z,4,REGULAR,freethrow,2of2,[],1628369,,,1610612738,103,110,2020-03-05T02:22:16Z,5990000,,[BOS] Tatum freethrow 2of2: Made (32 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,,,,,32.0,,,,,,,,,,,,,,,,,,
601,PT00M13.20S,2020-03-05T02:22:25.9Z,4,REGULAR,3pt,jumpshot,[],1629012,72.35545335085413,17.47089460784314,1610612739,106,110,2020-03-05T02:23:04Z,6000000,right,[CLE] Sexton 3pt shot: Made (41 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,26.79,: Made,,,,,41.0,,,,,,,,,,,,,,,,,,
602,PT00M12.00S,2020-03-05T02:22:40.6Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201567,,,1610612738,106,110,2020-03-05T02:23:02Z,6010000,,[CLE] Love foul personal (4 PF) (Smart inpenalty),"[201567, 203935]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,1627961.0,4.0,0.0,Smart,203935.0,,,,,,,,,,
604,PT00M12.00S,2020-03-05T02:23:16.0Z,4,REGULAR,instantreplay,request,[],0,,,1610612738,106,110,2020-03-05T02:23:55Z,6030000,,,[],,,support,,,,,,,,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,Common Foul Upheld
605,PT00M12.00S,2020-03-05T02:24:24.3Z,4,REGULAR,freethrow,1of2,[],203935,,,1610612738,106,111,2020-03-05T02:24:24Z,6040000,,[BOS] Smart freethrow 1of2: Made (17 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,17.0,,,,,,,,,,,,,,,,,,
606,PT00M12.00S,2020-03-05T02:24:38.4Z,4,REGULAR,freethrow,2of2,[],203935,,,1610612738,106,112,2020-03-05T02:24:38Z,6050000,,[BOS] Smart freethrow 2of2: Made (18 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,18.0,,,,,,,,,,,,,,,,,,
607,PT00M04.50S,2020-03-05T02:24:54.3Z,4,REGULAR,3pt,jumpshot,[],1629012,80.50262812089356,4.4806985294117645,1610612739,106,112,2020-03-05T02:25:06Z,6060000,right,[CLE] Sexton bank 3pt jumpshot: Missed,[1629012],1610612739.0,CLE,bank,,,Sexton,C. Sexton,,,,,26.53,: Missed,,,,,,,,,,,,,,,,,,,,,,,
608,PT00M01.90S,2020-03-05T02:24:56.9Z,4,REGULAR,rebound,defensive,[],1629684,,,1610612738,106,112,2020-03-05T02:24:56Z,6070000,,[BOS] Williams defensive rebound (Off:1 Def:4),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,607.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
609,PT00M00.00S,2020-03-05T02:25:12.1Z,4,REGULAR,period,end,[],0,,,1610612738,106,112,2020-03-05T02:25:12Z,6080000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,PT00M00.00S,2020-03-05T02:25:33.0Z,4,REGULAR,game,end,[],0,,,0,106,112,2020-03-05T02:25:33Z,6090000,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
