actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,blockPlayerName,blockPersonId,blockTotal,value
464,PT11M15.00S,2020-03-05T01:50:11.8Z,4,REGULAR,3pt,jumpshot,[],1628400,25.969119579500656,9.627757352941178,1610612738,79,81,2020-03-05T01:50:17Z,4630000,left,[BOS] Ojeleye 3pt jumpshot: Missed,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,28.22,: Missed,,,,,,,,,,,,,,,,,,,,,,,
465,PT11M12.00S,2020-03-05T01:50:14.8Z,4,REGULAR,rebound,defensive,[],1626204,,,1610612739,79,81,2020-03-05T01:50:17Z,4640000,,[CLE] Nance Jr. defensive rebound (Off:4 Def:9),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,464.0,13.0,9.0,4.0,,,,,,,,,,,,,,,,,,,
466,PT10M56.00S,2020-03-05T01:50:30.9Z,4,REGULAR,3pt,jumpshot,[],1626224,94.95729303547962,2.5199142156862746,1610612739,82,81,2020-03-05T01:50:36Z,4650000,right,[CLE] Osman 3pt shot: Made (7 PTS) assist: Nance Jr. (2 AST),"[1626224, 1626204]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,23.74,: Made,,,,,7.0,Nance Jr.,1626204.0,2.0,,,,,,,,,,,,,,,
468,PT10M41.00S,2020-03-05T01:50:45.6Z,4,REGULAR,3pt,jumpshot,[],1629682,28.33442838370565,19.431678921568626,1610612738,82,84,2020-03-05T01:50:52Z,4670000,left,[BOS] Waters 3pt shot: Made (5 PTS),[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,26.73,: Made,,,,,5.0,,,,,,,,,,,,,,,,,,
469,PT10M17.00S,2020-03-05T01:51:13.8Z,4,REGULAR,stoppage,outofbounds,[],0,,,1610612739,82,84,2020-03-05T01:51:13Z,4680000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,PT10M10.00S,2020-03-05T01:51:34.3Z,4,REGULAR,2pt,jumpshot,[],1629012,93.11760840998686,68.69638480392157,1610612739,82,84,2020-03-05T01:52:24Z,4690000,right,[CLE] Sexton jumpshot: Missed,[1629012],1610612739.0,CLE,turnaroundfadeaway,,,Sexton,C. Sexton,,,,,9.52,: Missed,,,,,,,,,,,,,,,,,,,,,,,
471,PT10M07.00S,2020-03-05T01:51:37.3Z,4,REGULAR,rebound,defensive,[],202683,,,1610612738,82,84,2020-03-05T01:55:30Z,4700000,,[BOS] Kanter defensive rebound (Off:4 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,470.0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
472,PT09M52.00S,2020-03-05T01:51:52.4Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,18.610381077529567,52.27481617647059,1610612738,82,84,2020-03-05T01:53:44Z,4710000,left,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,12.84,: Missed,,,,,,,,,,,,,,,,,,,,,,,
473,PT09M50.00S,2020-03-05T01:51:54.4Z,4,REGULAR,rebound,defensive,[],1626204,,,1610612739,82,84,2020-03-05T01:51:57Z,4720000,,[CLE] Nance Jr. defensive rebound (Off:4 Def:10),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,472.0,14.0,10.0,4.0,,,,,,,,,,,,,,,,,,,
474,PT09M48.00S,2020-03-05T01:52:00.0Z,4,REGULAR,turnover,outofbounds,[],1629012,,,1610612739,82,84,2020-03-05T01:52:32Z,4730000,,[CLE] Sexton outofbounds turnover (3 TO),[1629012],1610612739.0,CLE,badpass,,,Sexton,C. Sexton,,,,,,,,,,,,,,,1627961.0,,,,,,,3.0,,,,,,,
