actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-08-06T01:20:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-06T01:20:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M47.00S,2020-08-06T01:20:58.8Z,1,REGULAR,jumpball,recovered,[],202498,,,0,0,0,2020-08-06T01:20:58Z,40000,,,0,,Jump Ball J. Allen vs. D. Theis: Tip to L. Thomas,"[202498, 1628386, 1628464]",1610612751.0,BKN,unclearpass,L. Thomas,202498.0,Thomas,L. Thomas,Allen,1628386.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2020-08-06T01:21:04.6Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628386,92.9862023653088,50.06893382352941,1610612751,0,2,2020-08-06T01:22:55Z,80000,0.0,13.0,1,right,J. Allen hook (2 PTS) (L. Thomas 1 AST),"[1628386, 202498]",1610612751.0,BKN,,,,Allen,J. Allen,,,,,1.89,Made,2.0,L. Thomas,202498.0,1.0,,,,,,,,,,,,,,,
10,PT11M35.00S,2020-08-06T01:21:11.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,9.116294349540084,58.509497549019606,1610612738,0,2,2020-08-06T01:23:32Z,100000,-43.0,33.0,1,left,MISS G. Hayward 6' jumpshot,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,5.75,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2020-08-06T01:21:11.4Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612751,0,2,2020-08-06T01:29:32Z,110000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT11M14.00S,2020-08-06T01:21:33.2Z,1,REGULAR,3pt,jumpshot,[],1627747,66.83639947437582,46.14736519607843,1610612751,0,2,2020-08-06T01:29:36Z,150000,-19.0,259.0,1,right,MISS C. LeVert 27' 3PT,[1627747],1610612751.0,BKN,pullup,,,LeVert,C. LeVert,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2020-08-06T01:21:36.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2020-08-06T01:21:36Z,160000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT11M05.00S,2020-08-06T01:21:41.5Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628369,24.129434954007884,87.07873774509804,1610612738,3,2,2020-08-06T01:21:53Z,170000,-185.0,174.0,1,left,J. Tatum 26' 3PT  (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.83,Made,3.0,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2020-08-06T01:22:00.8Z,1,REGULAR,3pt,jumpshot,[],203925,68.28186596583443,69.18658088235294,1610612751,3,5,2020-08-06T01:22:06Z,180000,96.0,246.0,1,right,J. Harris 27' 3PT  (3 PTS),[203925],1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,26.89,Made,3.0,,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2020-08-06T01:22:20.3Z,1,REGULAR,3pt,jumpshot,[],1628464,32.802233902759525,63.30422794117647,1610612738,3,5,2020-08-06T01:22:24Z,190000,-67.0,256.0,1,left,MISS D. Theis 27' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.96,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2020-08-06T01:22:20.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612751,3,5,2020-08-06T01:22:24Z,200000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M19.00S,2020-08-06T01:22:31.9Z,1,REGULAR,foul,personal,[],1628369,,,1610612751,3,5,2020-08-06T01:22:57Z,210000,,,0,,J. Tatum FOUL personal (1 PF),"[1628369, 1628386]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1151.0,1.0,0.0,Allen,1628386.0,,,,,,
23,PT10M06.00S,2020-08-06T01:22:57.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203925,92.32917214191852,52.029718137254896,1610612751,3,5,2020-08-06T01:23:08Z,230000,10.0,20.0,1,right,MISS J. Harris layup,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,2.71,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M03.00S,2020-08-06T01:23:00.5Z,1,REGULAR,rebound,offensive,[],203925,,,1610612751,3,5,2020-08-06T01:23:08Z,240000,,,0,,J. Harris REBOUND (Off:1 Def:0),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,
25,PT10M03.00S,2020-08-06T01:23:01.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203925,90.75229960578186,49.82383578431372,1610612751,3,7,2020-08-06T01:23:09Z,250000,-1.0,34.0,1,right,J. Harris layup (5 PTS),[203925],1610612751.0,BKN,putback,,,Harris,J. Harris,,,,,3.99,Made,5.0,,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2020-08-06T01:23:18.9Z,1,REGULAR,3pt,jumpshot,[],202330,7.046649145860711,94.43167892156863,1610612738,3,7,2020-08-06T01:23:24Z,260000,-222.0,14.0,1,left,MISS G. Hayward 22' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,22.3,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M41.00S,2020-08-06T01:23:22.9Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,3,7,2020-08-06T01:23:24Z,270000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,
