actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
21,PT10M19.00S,2019-12-19T02:43:03.7Z,1,REGULAR,steal,,[],204001,,,1610612742,3,0,2019-12-19T02:43:32Z,210000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M13.00S,2019-12-19T02:43:10.0Z,1,REGULAR,3pt,jumpshot,['fromturnover'],204001,33.196452036793694,52.51991421568627,1610612742,3,0,2019-12-19T02:43:14Z,220000,-13.0,260.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612742.0,DAL,pullup,,,Porzingis,K. Porzingis,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2019-12-19T02:43:13.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,0,2019-12-19T02:43:14Z,230000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
24,PT10M02.00S,2019-12-19T02:43:21.2Z,1,REGULAR,3pt,jumpshot,[],1628400,94.56307490144546,94.921875,1610612738,3,3,2019-12-19T02:43:25Z,240000,225.0,-1.0,1,right,S. Ojeleye 22' 3PT  (3 PTS) (K. Walker 1 AST),"[1628400, 202689]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.46,Made,,,,,,,3.0,K. Walker,202689.0,1.0,,,,,,,,,
26,PT09M47.00S,2019-12-19T02:43:38.8Z,1,REGULAR,foul,personal,[],1628400,,,1610612742,3,3,2019-12-19T02:44:04Z,260000,,,0,,S. Ojeleye FOUL personal (1 PF),"[1628400, 203939]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,202056.0,,,,,,,,1.0,0.0,Powell,203939.0,,,
28,PT09M41.00S,2019-12-19T02:44:14.3Z,1,REGULAR,foul,personal,[],1627759,,,1610612742,3,3,2019-12-19T02:44:28Z,280000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 203939]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,202056.0,,,,,,,,1.0,0.0,Powell,203939.0,,,
30,PT09M31.00S,2019-12-19T02:44:47.9Z,1,REGULAR,3pt,jumpshot,[],1628973,31.882391590013142,44.43167892156863,1610612742,3,3,2019-12-19T02:44:52Z,300000,28.0,247.0,1,left,MISS J. Brunson 25' 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M28.00S,2019-12-19T02:44:50.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,3,2019-12-19T02:44:52Z,310000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
32,PT09M13.00S,2019-12-19T02:45:05.3Z,1,REGULAR,3pt,jumpshot,[],202689,73.14388961892247,18.206188725490197,1610612738,3,3,2019-12-19T02:45:13Z,320000,-159.0,200.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2019-12-19T02:45:07.3Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,3,3,2019-12-19T02:45:50Z,330000,,,0,,D. Theis REBOUND (Off:1 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,32.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
