actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
77,PT06M22.00S,2019-12-19T02:54:51.8Z,1,REGULAR,freethrow,1of2,[],204001,,,1610612742,13,7,2019-12-19T02:54:51Z,770000,,,0,,MISS K. Porzingis freethrow 1of2,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M22.00S,2019-12-19T02:54:51.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,13,7,2019-12-19T02:54:51Z,780000,,,0,,Team offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,
79,PT06M22.00S,2019-12-19T02:54:53.8Z,1,REGULAR,substitution,out,[],1628467,,,1610612742,13,7,2019-12-19T02:55:07Z,790000,,,0,,substitution out Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M22.00S,2019-12-19T02:54:53.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612742,13,7,2019-12-19T02:55:07Z,800000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M22.00S,2019-12-19T02:54:53.8Z,1,REGULAR,substitution,out,[],1628464,,,1610612742,13,7,2019-12-19T02:55:07Z,810000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M22.00S,2019-12-19T02:54:53.8Z,1,REGULAR,substitution,in,[],203939,,,1610612742,13,7,2019-12-19T02:55:07Z,820000,,,0,,substitution in Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M22.00S,2019-12-19T02:54:53.8Z,1,REGULAR,substitution,in,[],1629750,,,1610612742,13,7,2019-12-19T02:55:07Z,830000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M22.00S,2019-12-19T02:54:53.8Z,1,REGULAR,substitution,in,[],202683,,,1610612742,13,7,2019-12-19T02:55:07Z,840000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M22.00S,2019-12-19T02:55:12.3Z,1,REGULAR,freethrow,2of2,[],204001,,,1610612742,14,7,2019-12-19T02:55:12Z,850000,,,0,,K. Porzingis freethrow 2of2 (3 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
86,PT06M07.00S,2019-12-19T02:55:28.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202689,88.25558475689881,49.82383578431372,1610612738,14,9,2019-12-19T02:55:37Z,860000,-1.0,58.0,1,right,K. Walker 6' jumpshot (4 PTS),[202689],1610612738.0,BOS,drivingfloating,,,Walker,K. Walker,,,,,6.34,Made,,,,,,,4.0,,,,,,,,,,,,
87,PT05M52.00S,2019-12-19T02:55:44.3Z,1,REGULAR,3pt,jumpshot,[],203501,31.61957950065703,59.62775735294118,1610612742,14,9,2019-12-19T02:55:54Z,870000,-48.0,245.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M49.00S,2019-12-19T02:55:47.3Z,1,REGULAR,rebound,offensive,[],1628973,,,1610612742,14,9,2019-12-19T02:55:54Z,880000,,,0,,J. Brunson REBOUND (Off:1 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,87.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
89,PT05M46.00S,2019-12-19T02:55:49.8Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1628973,5.0,50.0,1610612742,14,9,2019-12-19T03:04:44Z,890000,0.0,-6.0,1,left,MISS J. Brunson layup,[1628973],1610612742.0,DAL,tip,,,Brunson,J. Brunson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
90,PT05M45.00S,2019-12-19T02:55:50.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,14,9,2019-12-19T02:55:58Z,900000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
91,PT05M43.00S,2019-12-19T02:55:54.3Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,69.85873850197109,28.745404411764707,1610612738,14,12,2019-12-19T02:56:36Z,910000,-106.0,231.0,1,right,K. Walker 26' 3PT  (7 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.91,Made,,,,,,,7.0,,,,,,,,,,,,
92,PT05M20.00S,2019-12-19T02:56:15.9Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],204001,6.389618922470433,49.08854166666667,1610612742,16,12,2019-12-19T02:56:25Z,920000,5.0,8.0,1,left,K. Porzingis dunk (5 PTS) (J. Brunson 2 AST),"[204001, 1628973]",1610612742.0,DAL,cutting,,,Porzingis,K. Porzingis,,,,,1.39,Made,,,,,,,5.0,J. Brunson,1628973.0,2.0,,,,,,,,,
94,PT05M20.00S,2019-12-19T02:56:26.1Z,1,REGULAR,stoppage,other,[],0,,,1610612738,16,12,2019-12-19T02:56:26Z,940000,,,0,,stoppage other,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M05.00S,2019-12-19T02:56:42.4Z,1,REGULAR,2pt,jumpshot,[],202689,78.9257555847569,36.34344362745098,1610612738,16,14,2019-12-19T02:57:00Z,950000,-68.0,146.0,1,right,K. Walker 17' jumpshot (9 PTS),[202689],1610612738.0,BOS,fadeaway,,,Walker,K. Walker,,,,,16.58,Made,,,,,,,9.0,,,,,,,,,,,,
96,PT04M51.00S,2019-12-19T02:56:55.9Z,1,REGULAR,3pt,jumpshot,[],203501,20.318659658344284,90.51011029411765,1610612742,16,14,2019-12-19T02:57:05Z,960000,-203.0,138.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,24.86,Missed,,,,,,,,,,,,,,,,,,,
97,PT04M51.00S,2019-12-19T02:56:55.9Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,16,14,2019-12-19T02:57:05Z,970000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,96.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
98,PT04M43.00S,2019-12-19T02:57:03.9Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203501,4.944152431011826,94.921875,1610612742,16,14,2019-12-19T02:57:08Z,980000,-225.0,-6.0,1,left,MISS T. Hardaway Jr. 22' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,22.46,Missed,,,,,,,,,,,,,,,,,,,
99,PT04M39.00S,2019-12-19T02:57:07.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,16,14,2019-12-19T02:57:08Z,990000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
100,PT04M35.00S,2019-12-19T02:57:12.4Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,70.25295663600527,24.57873774509804,1610612738,16,17,2019-12-19T02:57:17Z,1000000,-127.0,227.0,1,right,K. Walker 27' 3PT  (12 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.51,Made,,,,,,,12.0,,,,,,,,,,,,
101,PT04M30.00S,2019-12-19T02:57:21.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,16,17,2019-12-19T02:57:21Z,1010000,,,0,,timeout full,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M30.00S,2019-12-19T02:58:47.6Z,1,REGULAR,substitution,out,[],1627759,,,1610612742,16,17,2019-12-19T03:00:39Z,1020000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M30.00S,2019-12-19T02:58:47.6Z,1,REGULAR,substitution,in,[],1629641,,,1610612742,16,17,2019-12-19T03:00:39Z,1030000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M15.00S,2019-12-19T03:01:00.5Z,1,REGULAR,2pt,jumpshot,[],1628973,15.325229960578188,25.80422794117647,1610612742,18,17,2019-12-19T03:01:08Z,1040000,121.0,92.0,1,left,J. Brunson 16' jumpshot (7 PTS),[1628973],1610612742.0,DAL,pullupbank,,,Brunson,J. Brunson,,,,,15.51,Made,,,,,,,7.0,,,,,,,,,,,,
106,PT04M00.00S,2019-12-19T03:01:22.2Z,1,REGULAR,foul,technical,['1freethrow'],204001,,,1610612738,18,17,2019-12-19T03:01:30Z,1060000,,,0,,Team foul technical,[204001],1610612742.0,DAL,defensive3second,,,Porzingis,K. Porzingis,,,,,,,,,,,202026.0,,,,,,,,,,,,,,
107,PT04M00.00S,2019-12-19T03:01:41.1Z,1,REGULAR,freethrow,1of1,[],202689,,,1610612738,18,18,2019-12-19T03:01:41Z,1070000,,,0,,K. Walker technical freethrow 1of1 (13 PTS),[202689],1610612738.0,BOS,technical,,,Walker,K. Walker,,,,,,Made,,,,,,,13.0,,,,,,,,,,,,
108,PT04M00.00S,2019-12-19T03:01:42.4Z,1,REGULAR,substitution,out,[],1627827,,,1610612738,18,18,2019-12-19T03:01:54Z,1080000,,,0,,substitution out Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M00.00S,2019-12-19T03:01:42.4Z,1,REGULAR,substitution,out,[],203501,,,1610612738,18,18,2019-12-19T03:01:54Z,1090000,,,0,,substitution out Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M00.00S,2019-12-19T03:01:42.4Z,1,REGULAR,substitution,in,[],203552,,,1610612738,18,18,2019-12-19T03:01:54Z,1100000,,,0,,substitution in Curry,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M00.00S,2019-12-19T03:01:42.4Z,1,REGULAR,substitution,in,[],1628382,,,1610612738,18,18,2019-12-19T03:01:54Z,1110000,,,0,,substitution in Jackson,[1628382],1610612742.0,DAL,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M55.00S,2019-12-19T03:02:06.1Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1629684,92.85479632063075,55.4610906862745,1610612738,18,18,2019-12-19T03:02:10Z,1120000,27.0,15.0,1,right,MISS G. Williams hook,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,3.4,Missed,,,,,,,,,,,,,,,,,,,
113,PT03M55.00S,2019-12-19T03:02:06.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,18,18,2019-12-19T03:02:10Z,1130000,,,0,,Team defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,
114,PT03M55.00S,2019-12-19T03:02:09.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202683,,,1610612742,18,18,2019-12-19T03:02:50Z,1140000,,,0,,E. Kanter FOUL personal (1 PF) (Powell inpenalty),"[202683, 203939]",1610612738.0,BOS,looseball,,,Kanter,E. Kanter,,,,,,,,,,,202056.0,,,,,,,,1.0,0.0,Powell,203939.0,,,
116,PT03M55.00S,2019-12-19T03:02:51.3Z,1,REGULAR,freethrow,1of2,[],203939,,,1610612742,19,18,2019-12-19T03:02:51Z,1160000,,,0,,D. Powell freethrow 1of2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
117,PT03M55.00S,2019-12-19T03:02:52.4Z,1,REGULAR,substitution,out,[],204001,,,1610612742,19,18,2019-12-19T03:02:54Z,1170000,,,0,,substitution out Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M55.00S,2019-12-19T03:02:52.4Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,19,18,2019-12-19T03:02:54Z,1180000,,,0,,substitution in Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M55.00S,2019-12-19T03:03:05.9Z,1,REGULAR,freethrow,2of2,[],203939,,,1610612742,20,18,2019-12-19T03:03:05Z,1190000,,,0,,D. Powell freethrow 2of2 (2 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
120,PT03M39.00S,2019-12-19T03:03:27.2Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612738,20,18,2019-12-19T03:03:39Z,1200000,,,0,,D. Powell FOUL personal (1 PF) (Kanter 2freethrow),"[203939, 202683]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,,,,,,,202026.0,,,,,,,,1.0,0.0,Kanter,202683.0,,,
122,PT03M39.00S,2019-12-19T03:03:56.3Z,1,REGULAR,freethrow,1of2,[],202683,,,1610612738,20,19,2019-12-19T03:03:56Z,1220000,,,0,,E. Kanter freethrow 1of2 (1 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
123,PT03M39.00S,2019-12-19T03:04:13.2Z,1,REGULAR,freethrow,2of2,[],202683,,,1610612738,20,20,2019-12-19T03:04:13Z,1230000,,,0,,E. Kanter freethrow 2of2 (2 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
124,PT03M22.00S,2019-12-19T03:04:33.3Z,1,REGULAR,3pt,jumpshot,[],1628382,7.178055190538765,95.65716911764706,1610612742,20,20,2019-12-19T03:04:37Z,1240000,-228.0,15.0,1,left,MISS J. Jackson 23' 3PT,[1628382],1610612742.0,DAL,,,,Jackson,J. Jackson,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
125,PT03M20.00S,2019-12-19T03:04:35.3Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,20,20,2019-12-19T03:04:37Z,1250000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
126,PT03M13.00S,2019-12-19T03:04:42.1Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,68.67608409986859,64.5297181372549,1610612738,20,23,2019-12-19T03:04:49Z,1260000,73.0,242.0,1,right,K. Walker 26' 3PT  (16 PTS) (G. Williams 1 AST),"[202689, 1629684]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.78,Made,,,,,,,16.0,G. Williams,1629684.0,1.0,,,,,,,,,
128,PT02M46.00S,2019-12-19T03:05:13.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612742,20,23,2019-12-19T03:05:22Z,1280000,,,0,,G. Williams FOUL personal (2 PF) (Jackson inpenalty),"[1629684, 1628382]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,202056.0,,,,,,,,2.0,0.0,Jackson,1628382.0,,,
130,PT02M46.00S,2019-12-19T03:05:37.4Z,1,REGULAR,freethrow,1of2,[],1628382,,,1610612742,21,23,2019-12-19T03:05:37Z,1300000,,,0,,J. Jackson freethrow 1of2 (1 PTS),[1628382],1610612742.0,DAL,,,,Jackson,J. Jackson,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
131,PT02M46.00S,2019-12-19T03:05:37.9Z,1,REGULAR,substitution,out,[],1628973,,,1610612742,21,23,2019-12-19T03:05:48Z,1310000,,,0,,substitution out Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M46.00S,2019-12-19T03:05:37.9Z,1,REGULAR,substitution,in,[],1626153,,,1610612742,21,23,2019-12-19T03:05:48Z,1320000,,,0,,substitution in Wright,[1626153],1610612742.0,DAL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M46.00S,2019-12-19T03:05:52.9Z,1,REGULAR,freethrow,2of2,[],1628382,,,1610612742,22,23,2019-12-19T03:05:53Z,1330000,,,0,,J. Jackson freethrow 2of2 (2 PTS),[1628382],1610612742.0,DAL,,,,Jackson,J. Jackson,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
134,PT02M27.00S,2019-12-19T03:06:14.5Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1629750,94.43166885676742,45.41207107843137,1610612738,22,25,2019-12-19T03:06:25Z,1340000,-23.0,0.0,1,right,J. Green hook (2 PTS) (R. Langford 1 AST),"[1629750, 1629641]",1610612738.0,BOS,drivingbank,,,Green,J. Green,,,,,2.35,Made,,,,,,,2.0,R. Langford,1629641.0,1.0,,,,,,,,,
135,PT02M04.00S,2019-12-19T03:06:36.8Z,1,REGULAR,3pt,jumpshot,[],203552,31.882391590013142,48.59834558823529,1610612742,25,25,2019-12-19T03:06:41Z,1350000,7.0,247.0,1,left,S. Curry 25' 3PT  (3 PTS) (D. Wright 1 AST),"[203552, 1626153]",1610612742.0,DAL,pullup,,,Curry,S. Curry,,,,,25.28,Made,,,,,,,3.0,D. Wright,1626153.0,1.0,,,,,,,,,
137,PT01M53.00S,2019-12-19T03:06:52.0Z,1,REGULAR,turnover,traveling,[],1629684,,,1610612738,25,25,2019-12-19T03:06:59Z,1370000,,,0,,G. Williams TURNOVER traveling (1 TOV),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,1146.0,1.0,,,,,,,,,,,,,
138,PT01M53.00S,2019-12-19T03:07:05.2Z,1,REGULAR,substitution,out,[],202689,,,1610612742,25,25,2019-12-19T03:07:21Z,1380000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M53.00S,2019-12-19T03:07:05.2Z,1,REGULAR,substitution,out,[],1629641,,,1610612742,25,25,2019-12-19T03:07:21Z,1390000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M53.00S,2019-12-19T03:07:05.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612742,25,25,2019-12-19T03:07:21Z,1400000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M53.00S,2019-12-19T03:07:05.2Z,1,REGULAR,substitution,in,[],202954,,,1610612742,25,25,2019-12-19T03:07:21Z,1410000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M33.00S,2019-12-19T03:07:35.4Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1626153,7.178055190538765,58.647365196078425,1610612742,27,25,2019-12-19T03:07:41Z,1420000,-43.0,15.0,1,left,D. Wright jumpshot (2 PTS),[1626153],1610612742.0,DAL,pullupbank,,,Wright,D. Wright,,,,,4.78,Made,,,,,,,2.0,,,,,,,,,,,,
143,PT01M16.00S,2019-12-19T03:07:52.4Z,1,REGULAR,2pt,jumpshot,[],1628369,78.26872536136662,51.294424019607845,1610612738,27,27,2019-12-19T03:07:58Z,1430000,6.0,152.0,1,right,J. Tatum 16' jumpshot (2 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,15.74,Made,,,,,,,2.0,,,,,,,,,,,,
144,PT01M00.00S,2019-12-19T03:08:11.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612742,27,27,2019-12-19T03:08:11Z,1440000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M57.70S,2019-12-19T03:08:26.3Z,1,REGULAR,3pt,jumpshot,[],1628467,24.52365308804205,85.36305147058823,1610612742,27,27,2019-12-19T03:08:39Z,1450000,-177.0,178.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M55.80S,2019-12-19T03:08:28.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,27,2019-12-19T03:08:39Z,1460000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,145.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
148,PT00M47.90S,2019-12-19T03:08:36.5Z,1,REGULAR,3pt,jumpshot,[],1628369,67.62483574244416,48.84344362745098,1610612738,27,27,2019-12-19T03:08:42Z,1470000,-6.0,252.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
149,PT00M45.70S,2019-12-19T03:08:38.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612742,27,27,2019-12-19T03:08:42Z,1480000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
150,PT00M36.30S,2019-12-19T03:08:48.1Z,1,REGULAR,3pt,jumpshot,[],203552,20.71287779237845,8.64736519607843,1610612742,27,27,2019-12-19T03:09:02Z,1490000,207.0,142.0,1,left,MISS S. Curry 25' 3PT,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,,
151,PT00M33.90S,2019-12-19T03:08:50.6Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,27,27,2019-12-19T03:08:50Z,1500000,,,0,,D. Powell REBOUND (Off:2 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,150.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
152,PT00M21.10S,2019-12-19T03:09:04.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203552,6.389618922470433,47.86305147058824,1610612742,29,27,2019-12-19T03:09:08Z,1510000,11.0,8.0,1,left,S. Curry layup (5 PTS),[203552],1610612742.0,DAL,driving,,,Curry,S. Curry,,,,,1.69,Made,,,,,,,5.0,,,,,,,,,,,,
153,PT00M00.00S,2019-12-19T03:09:30.6Z,1,REGULAR,2pt,jumpshot,[],1628369,85.62746386333771,26.53952205882353,1610612738,29,29,2019-12-19T03:11:48Z,1520000,-117.0,83.0,1,right,J. Tatum 15' jumpshot (4 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,14.67,Made,,,,,,,4.0,,,,,,,,,,,,
154,PT00M00.00S,2019-12-19T03:09:36.6Z,1,REGULAR,instantreplay,request,[],0,,,1610612742,29,29,2019-12-19T03:10:11Z,1530000,,,0,,,[],,,support,,,,,,,,,,,,,,,1146.0,,,,,,,,,,,,,,End Period - Good Basket
155,PT00M00.00S,2019-12-19T03:10:13.2Z,1,REGULAR,period,end,[],0,,,1610612742,29,29,2019-12-19T03:10:13Z,1540000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2019-12-19T03:10:17.2Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612742,29,29,2019-12-19T03:13:11Z,1550000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2019-12-19T03:10:17.2Z,2,REGULAR,substitution,in,['startperiod'],1628400,,,1610612742,29,29,2019-12-19T03:13:11Z,1560000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2019-12-19T03:13:10.4Z,2,REGULAR,period,start,[],0,,,1610612738,29,29,2019-12-19T03:13:11Z,1570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M45.00S,2019-12-19T03:13:25.0Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202683,94.03745072273325,52.51991421568627,1610612738,29,31,2019-12-19T03:13:32Z,1580000,13.0,4.0,1,right,E. Kanter hook (4 PTS),[202683],1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,1.55,Made,,,,,,,4.0,,,,,,,,,,,,
160,PT11M29.00S,2019-12-19T03:13:41.9Z,2,REGULAR,3pt,jumpshot,[],1628382,32.14520367936925,49.82383578431372,1610612742,29,31,2019-12-19T03:13:52Z,1590000,1.0,250.0,1,left,MISS J. Jackson 26' 3PT,[1628382],1610612742.0,DAL,pullup,,,Jackson,J. Jackson,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
161,PT11M27.00S,2019-12-19T03:13:43.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,29,31,2019-12-19T03:13:52Z,1600000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,
162,PT11M27.00S,2019-12-19T03:13:48.2Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,29,31,2019-12-19T03:13:48Z,1610000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M16.00S,2019-12-19T03:14:03.9Z,2,REGULAR,foul,offensive,[],202683,,,1610612738,29,31,2019-12-19T03:14:23Z,1620000,,,0,,E. Kanter FOUL offensive (2 PF),"[202683, 203939]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,202056.0,,,,,,,,2.0,0.0,Powell,203939.0,,,
165,PT11M16.00S,2019-12-19T03:14:03.9Z,2,REGULAR,turnover,offensivefoul,[],202683,,,1610612738,29,31,2019-12-19T03:14:03Z,1640000,,,0,,E. Kanter TURNOVER offensivefoul (1 TOV),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,202056.0,1.0,,,,,,,,,,,,,
