actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2020-01-04T00:11:30.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-04T00:11:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-01-04T00:11:32.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2020-01-04T00:11:32Z,40000,,,0,,Jump Ball D. Theis vs. J. Collins: Tip to M. Smart,"[203935, 1628464, 1628381]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Theis,1628464.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2020-01-04T00:11:46.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,95.0886990801577,45.166973039215684,1610612738,2,0,2020-01-04T00:11:54Z,70000,-24.0,-6.0,1,right,G. Hayward layup (2 PTS) (D. Theis 1 AST),"[202330, 1628464]",1610612738.0,BOS,cuttingfingerroll,,,Hayward,G. Hayward,,,,,2.42,Made,2.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2020-01-04T00:12:11.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612737,2,0,2020-01-04T00:12:11Z,90000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2020-01-04T00:12:31.6Z,1,REGULAR,2pt,jumpshot,[],1629631,24.26084099868594,77.51991421568627,1610612737,2,2,2020-01-04T00:12:38Z,100000,-138.0,176.0,1,left,D. Hunter 23' jumpshot (2 PTS) (J. Collins 1 AST),"[1629631, 1628381]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,22.74,Made,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
12,PT11M00.00S,2020-01-04T00:12:46.9Z,1,REGULAR,3pt,jumpshot,[],1628369,67.23061760840999,49.333639705882355,1610612738,2,2,2020-01-04T00:12:55Z,120000,-3.0,256.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2020-01-04T00:12:49.9Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,2,2020-01-04T00:12:55Z,130000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M51.00S,2020-01-04T00:12:56.8Z,1,REGULAR,3pt,jumpshot,[],1629631,4.812746386333772,3.5003063725490198,1610612737,2,2,2020-01-04T00:13:05Z,140000,232.0,-7.0,1,left,MISS D. Hunter 23' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,23.25,Missed,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2020-01-04T00:12:58.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,2,2020-01-04T00:13:05Z,150000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
33,PT10M42.00S,2020-01-04T00:13:03.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,92.59198423127464,47.127757352941174,1610612738,2,2,2020-01-04T00:19:06Z,155000,-14.0,17.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1629629]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.68,Missed,,,,,,,,,Reddish,1629629.0,,,,,,,,
34,PT10M42.00S,2020-01-04T00:13:03.3Z,1,REGULAR,block,,[],1629629,,,1610612738,2,2,2020-01-04T00:15:48Z,157500,,,0,,C. Reddish BLOCK (1 BLK),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,
35,PT10M41.00S,2020-01-04T00:13:04.3Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,2,2020-01-04T00:19:06Z,158750,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,
16,PT10M37.00S,2020-01-04T00:13:09.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627759,93.77463863337714,45.166973039215684,1610612738,2,2,2020-01-04T00:15:48Z,160000,-24.0,6.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.68,Missed,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2020-01-04T00:13:13.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,2,2020-01-04T00:13:13Z,170000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M29.00S,2020-01-04T00:13:17.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1629027,30.436925098554536,76.53952205882352,1610612737,2,2,2020-01-04T00:13:27Z,180000,-133.0,234.0,1,left,MISS T. Young 27' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,27.35,Missed,,,,,,,,,,,,,,,,,,
