actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-01-10T00:15:30.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-10T00:15:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-01-10T00:15:33.9Z,1,REGULAR,jumpball,recovered,[],203118,,,1610612755,0,0,2020-01-10T00:15:33Z,40000,,,0,,Jump Ball A. Horford vs. D. Theis: Tip to M. Scott,"[203118, 201143, 1628464]",1610612755.0,PHI,startperiod,M. Scott,203118.0,Scott,M. Scott,Horford,201143.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2020-01-10T00:15:42.5Z,1,REGULAR,2pt,jumpshot,[],1626196,20.54862023653088,32.529105392156865,1610612755,2,0,2020-01-10T00:15:48Z,70000,87.0,141.0,1,left,J. Richardson 17' jumpshot (2 PTS),[1626196],1610612755.0,PHI,pullup,,,Richardson,J. Richardson,,,,,17.03,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2020-01-10T00:15:56.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,84.93758212877792,55.078125,1610612738,2,2,2020-01-10T00:16:01Z,80000,25.0,89.0,1,right,G. Hayward 10' jumpshot (2 PTS) (K. Walker 1 AST),"[202330, 202689]",1610612738.0,BOS,drivingfloating,,,Hayward,G. Hayward,,,,,9.8,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
10,PT11M09.00S,2020-01-10T00:16:20.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627732,6.093955321944804,53.85263480392157,1610612755,4,2,2020-01-10T00:16:24Z,100000,-19.0,5.0,1,left,B. Simmons layup (2 PTS) (J. Richardson 1 AST),"[1627732, 1626196]",1610612755.0,PHI,drivingfingerroll,,,Simmons,B. Simmons,,,,,2.19,Made,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,,,
12,PT10M54.00S,2020-01-10T00:16:35.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,83.22930354796321,47.970281862745104,1610612738,4,2,2020-01-10T00:16:39Z,120000,-10.0,105.0,1,right,MISS G. Hayward 11' jumpshot,[202330],1610612738.0,BOS,turnaroundfadeaway,,,Hayward,G. Hayward,,,,,11.11,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2020-01-10T00:16:38.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612755,4,2,2020-01-10T00:16:40Z,130000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M42.00S,2020-01-10T00:16:48.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627732,5.831143232588701,53.36243872549019,1610612755,6,2,2020-01-10T00:16:54Z,140000,-17.0,2.0,1,left,B. Simmons layup (4 PTS) (A. Horford 1 AST),"[1627732, 201143]",1610612755.0,PHI,cuttingfingerroll,,,Simmons,B. Simmons,,,,,1.85,Made,4.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
16,PT10M23.00S,2020-01-10T00:17:06.4Z,1,REGULAR,2pt,jumpshot,[],1627759,90.98226018396846,74.19577205882354,1610612738,6,2,2020-01-10T00:17:11Z,160000,121.0,32.0,1,right,MISS J. Brown 13' jumpshot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,12.68,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2020-01-10T00:17:09.4Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612755,6,2,2020-01-10T00:17:11Z,170000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M15.00S,2020-01-10T00:17:14.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627732,7.145203679369246,47.72518382352941,1610612755,6,2,2020-01-10T00:17:20Z,180000,11.0,15.0,1,left,MISS B. Simmons layup,[1627732],1610612755.0,PHI,running,,,Simmons,B. Simmons,,,,,2.32,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2020-01-10T00:17:17.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,2,2020-01-10T00:17:17Z,190000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M05.00S,2020-01-10T00:17:25.9Z,1,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612738,6,2,2020-01-10T00:17:33Z,200000,,,0,,J. Richardson FOUL personal (1 PF) (Tatum 2freethrow),"[1626196, 1628369]",1610612755.0,PHI,shooting,,,Richardson,J. Richardson,,,,,,,,,,,,,,,201640.0,1.0,0.0,Tatum,1628369.0,,,,,,
22,PT10M05.00S,2020-01-10T00:17:52.5Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,6,3,2020-01-10T00:17:52Z,220000,,,0,,J. Tatum freethrow 1of2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
23,PT10M05.00S,2020-01-10T00:18:05.7Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,6,4,2020-01-10T00:18:05Z,230000,,,0,,J. Tatum freethrow 2of2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2020-01-10T00:18:20.8Z,1,REGULAR,2pt,jumpshot,[],1626196,26.067674113009204,65.12714460784314,1610612755,8,4,2020-01-10T00:18:37Z,240000,-76.0,193.0,1,left,J. Richardson 21' jumpshot (4 PTS),[1626196],1610612755.0,PHI,stepback,,,Richardson,J. Richardson,,,,,21.19,Made,4.0,,,,,,,,,,,,,,,,,,
25,PT09M35.00S,2020-01-10T00:18:36.6Z,1,REGULAR,3pt,jumpshot,[],202689,69.69448094612352,26.646752450980387,1610612738,8,7,2020-01-10T00:18:43Z,250000,-117.0,232.0,1,right,K. Walker 26' 3PT  (3 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.5,Made,3.0,,,,,,,,,,,,,,,,,,
26,PT09M23.00S,2020-01-10T00:18:47.9Z,1,REGULAR,3pt,jumpshot,[],1626196,30.929697766097235,37.185968137254896,1610612755,11,7,2020-01-10T00:18:52Z,260000,64.0,238.0,1,left,J. Richardson 25' 3PT  (7 PTS) (M. Scott 1 AST),"[1626196, 203118]",1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,25.2,Made,7.0,M. Scott,203118.0,1.0,,,,,,,,,,,,,,,
28,PT09M08.00S,2020-01-10T00:19:03.5Z,1,REGULAR,3pt,jumpshot,[],202689,69.1688567674113,70.27420343137256,1610612738,11,10,2020-01-10T00:19:07Z,280000,101.0,237.0,1,right,K. Walker 26' 3PT  (6 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.31,Made,6.0,,,,,,,,,,,,,,,,,,
