actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
79,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,out,[],1626168,,,1610612738,6,24,2020-01-09T00:24:50Z,770000,,,0,,substitution out Lyles,[1626168],1610612759.0,SAS,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,in,[],1629750,,,1610612738,6,24,2020-01-09T00:24:50Z,780000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,6,24,2020-01-09T00:24:50Z,790000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,in,[],201988,,,1610612738,6,24,2020-01-09T00:24:50Z,800000,,,0,,substitution in Mills,[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,in,[],200752,,,1610612738,6,24,2020-01-09T00:24:50Z,810000,,,0,,substitution in Gay,[200752],1610612759.0,SAS,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,6,24,2020-01-09T00:24:50Z,820000,,,0,,substitution in White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M16.00S,2020-01-09T00:25:16.6Z,1,REGULAR,freethrow,2of2,[],203935,,,1610612738,7,24,2020-01-09T00:25:16Z,830000,,,0,,M. Smart freethrow 2of2 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
86,PT03M58.00S,2020-01-09T00:25:38.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628401,94.95729303547962,51.53952205882353,1610612759,7,26,2020-01-09T00:25:44Z,840000,8.0,-5.0,1,right,D. White layup (2 PTS) (L. Aldridge 3 AST),"[1628401, 200746]",1610612759.0,SAS,driving,,,White,D. White,,,,,0.77,Made,2.0,,,,,L. Aldridge,200746.0,3.0,,,,,,,,,,,
88,PT03M33.00S,2020-01-09T00:26:02.7Z,1,REGULAR,3pt,jumpshot,[],1629750,31.750985545335087,27.519914215686274,1610612738,10,26,2020-01-09T00:26:07Z,860000,112.0,246.0,1,left,J. Green 28' 3PT  (3 PTS) (J. Tatum 1 AST),"[1629750, 1628369]",1610612738.0,BOS,,,,Green,J. Green,,,,,27.55,Made,3.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,,
90,PT03M15.00S,2020-01-09T00:26:21.0Z,1,REGULAR,3pt,jumpshot,[],200752,67.62483574244416,63.794424019607845,1610612759,10,26,2020-01-09T00:26:29Z,880000,69.0,252.0,1,right,MISS R. Gay 27' 3PT,[200752],1610612759.0,SAS,,,,Gay,R. Gay,,,,,26.64,Missed,,,,,,,,,,,,,,,,,,,
91,PT03M14.00S,2020-01-09T00:26:22.0Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,10,26,2020-01-09T00:26:29Z,890000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,,,,
92,PT03M04.00S,2020-01-09T00:26:32.1Z,1,REGULAR,2pt,jumpshot,[],1628369,21.632720105124836,65.51011029411765,1610612738,12,26,2020-01-09T00:26:36Z,900000,-78.0,151.0,1,left,J. Tatum 17' jumpshot (2 PTS),[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,17.45,Made,2.0,,,,,,,,,,,,,,,,,,
93,PT02M49.00S,2020-01-09T00:26:46.5Z,1,REGULAR,2pt,jumpshot,[],201942,78.26872536136662,47.86305147058824,1610612759,12,28,2020-01-09T00:28:10Z,910000,-11.0,152.0,1,right,D. DeRozan 16' jumpshot (6 PTS),[201942],1610612759.0,SAS,pullup,,,DeRozan,D. DeRozan,,,,,15.77,Made,6.0,,,,,,,,,,,,,,,,,,
95,PT02M22.00S,2020-01-09T00:27:16.3Z,1,REGULAR,turnover,traveling,[],1628369,,,1610612738,12,28,2020-01-09T00:27:20Z,930000,,,0,,J. Tatum TURNOVER traveling (1 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1.0,,,204059.0,,,,,,,
96,PT02M22.00S,2020-01-09T00:27:18.9Z,1,REGULAR,substitution,out,[],201942,,,1610612759,12,28,2020-01-09T00:27:23Z,940000,,,0,,substitution out DeRozan,[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT02M22.00S,2020-01-09T00:27:18.9Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,12,28,2020-01-09T00:27:23Z,950000,,,0,,substitution in Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT02M09.00S,2020-01-09T00:27:46.9Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",200746,92.46057818659659,56.196384803921575,1610612759,12,28,2020-01-09T00:29:45Z,960000,31.0,18.0,1,right,MISS L. Aldridge jumpshot,[200746],1610612759.0,SAS,drivingfloating,,,Aldridge,L. Aldridge,,,,,3.91,Missed,,,,,,,,,,,,,,,,,,,
99,PT02M06.00S,2020-01-09T00:27:49.9Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,12,28,2020-01-09T00:27:53Z,970000,,,0,,E. Kanter REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,98.0,2.0,2.0,0.0,,,,,,,,,,,,,,
100,PT02M01.00S,2020-01-09T00:27:56.9Z,1,REGULAR,2pt,layup,[],1628369,8.492115637319317,69.921875,1610612738,12,28,2020-01-09T00:28:08Z,980000,-100.0,27.0,1,left,MISS J. Tatum 10' layup Blocked,"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,10.49,Missed,,,,,,,,,,,,,,,,,White,1628401.0,
101,PT02M01.00S,2020-01-09T00:27:56.9Z,1,REGULAR,block,,[],1628401,,,1610612738,12,28,2020-01-09T00:28:00Z,990000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M00.00S,2020-01-09T00:27:57.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,12,28,2020-01-09T00:28:08Z,1000000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,
103,PT02M00.00S,2020-01-09T00:28:03.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,12,28,2020-01-09T00:28:03Z,1010000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT01M50.00S,2020-01-09T00:28:17.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,26.62614980289093,84.87285539215686,1610612738,15,28,2020-01-09T00:28:22Z,1020000,-174.0,198.0,1,left,M. Smart 27' 3PT  (5 PTS) (J. Tatum 2 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.79,Made,5.0,,,,,J. Tatum,1628369.0,2.0,,,,,,,,,,,
106,PT01M41.00S,2020-01-09T00:28:30.0Z,1,REGULAR,foul,personal,[],1629750,,,1610612759,15,28,2020-01-09T00:28:37Z,1040000,,,0,,J. Green FOUL personal (1 PF),"[1629750, 1628401]",1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,White,1628401.0,,,
108,PT01M32.00S,2020-01-09T00:28:56.6Z,1,REGULAR,3pt,jumpshot,[],201988,70.38436268068331,80.7061887254902,1610612759,15,28,2020-01-09T00:29:02Z,1060000,154.0,226.0,1,right,MISS P. Mills 28' 3PT,[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,27.77,Missed,,,,,,,,,,,,,,,,,,,
109,PT01M31.00S,2020-01-09T00:28:57.6Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,15,28,2020-01-09T00:29:02Z,1070000,,,0,,E. Kanter REBOUND (Off:0 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,108.0,3.0,3.0,0.0,,,,,,,,,,,,,,
110,PT01M19.00S,2020-01-09T00:29:09.9Z,1,REGULAR,3pt,jumpshot,[],1628369,33.327858081471746,66.49050245098039,1610612738,15,28,2020-01-09T00:31:14Z,1080000,-82.0,261.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.88,Missed,,,,,,,,,,,,,,,,,,,
111,PT01M18.00S,2020-01-09T00:29:10.9Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612738,15,28,2020-01-09T00:29:20Z,1090000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,110.0,1.0,0.0,1.0,,,,,,,,,,,,,,
112,PT01M18.00S,2020-01-09T00:29:17.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629750,6.521024967148489,49.08854166666667,1610612738,15,28,2020-01-09T00:29:31Z,1100000,5.0,9.0,1,left,MISS J. Green layup,[1629750],1610612738.0,BOS,tip,,,Green,J. Green,,,,,1.5,Missed,,,,,,,,,,,,,,,,,,,
113,PT01M16.00S,2020-01-09T00:29:19.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,15,28,2020-01-09T00:29:31Z,1110000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
114,PT01M06.00S,2020-01-09T00:29:23.0Z,1,REGULAR,turnover,badpass,[],201988,,,1610612759,15,28,2020-01-09T00:29:34Z,1120000,,,0,,P. Mills TURNOVER badpass (1 TOV) Stolen,"[201988, 1629684]",1610612759.0,SAS,,,,Mills,P. Mills,,,,,,,,,,,,,,,1.0,Williams,1629684.0,,,,,,,,
115,PT01M06.00S,2020-01-09T00:29:23.0Z,1,REGULAR,steal,,[],1629684,,,1610612738,15,28,2020-01-09T00:29:25Z,1130000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M00.00S,2020-01-09T00:29:28.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203935,32.14520367936925,26.049325980392158,1610612738,18,28,2020-01-09T00:29:36Z,1140000,120.0,250.0,1,left,M. Smart 28' 3PT  (8 PTS) (J. Green 1 AST),"[203935, 1629750]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.19,Made,8.0,,,,,J. Green,1629750.0,1.0,,,,,,,,,,,
118,PT01M00.00S,2020-01-09T00:29:38.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612759,18,28,2020-01-09T00:29:38Z,1160000,,,0,,timeout full,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M00.00S,2020-01-09T00:30:30.7Z,1,REGULAR,substitution,out,[],200746,,,1610612759,18,28,2020-01-09T00:30:57Z,1170000,,,0,,substitution out Aldridge,[200746],1610612759.0,SAS,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M00.00S,2020-01-09T00:30:30.7Z,1,REGULAR,substitution,in,[],1627751,,,1610612759,18,28,2020-01-09T00:30:57Z,1180000,,,0,,substitution in Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT00M53.40S,2020-01-09T00:31:08.7Z,1,REGULAR,2pt,jumpshot,[],200752,78.580814717477,55.42662377450981,1610612759,18,30,2020-01-09T00:31:14Z,1190000,27.0,149.0,1,right,R. Gay 16' jumpshot (2 PTS) (J. Poeltl 1 AST),"[200752, 1627751]",1610612759.0,SAS,turnaround,,,Gay,R. Gay,,,,,15.67,Made,2.0,,,,,J. Poeltl,1627751.0,1.0,,,,,,,,,,,
123,PT00M42.80S,2020-01-09T00:31:24.7Z,1,REGULAR,turnover,badpass,[],1629684,,,1610612738,18,30,2020-01-09T00:31:28Z,1210000,,,0,,G. Williams TURNOVER badpass (1 TOV) Stolen,"[1629684, 201988]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1.0,Mills,201988.0,,,,,,,,
124,PT00M42.80S,2020-01-09T00:31:24.7Z,1,REGULAR,steal,,[],201988,,,1610612759,18,30,2020-01-09T00:31:26Z,1220000,,,0,,P. Mills STEAL (1 STL),[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT00M39.20S,2020-01-09T00:31:28.9Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201988,94.1688567674113,42.96109068627451,1610612759,18,32,2020-01-09T00:32:34Z,1230000,-35.0,2.0,1,right,P. Mills layup (2 PTS),[201988],1610612759.0,SAS,runningreverse,,,Mills,P. Mills,,,,,3.61,Made,2.0,,,,,,,,,,,,,,,,,,
126,PT00M30.40S,2020-01-09T00:31:39.3Z,1,REGULAR,2pt,jumpshot,[],1628369,18.347568988173457,18.45128676470588,1610612738,20,32,2020-01-09T00:31:47Z,1240000,158.0,120.0,1,left,J. Tatum 20' jumpshot (4 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,20.15,Made,4.0,,,,,M. Smart,203935.0,1.0,,,,,,,,,,,
127,PT00M18.90S,2020-01-09T00:31:55.8Z,1,REGULAR,3pt,jumpshot,[],201988,65.78515111695138,30.706188725490197,1610612759,20,32,2020-01-09T00:33:09Z,1250000,-96.0,269.0,1,right,MISS P. Mills 29' 3PT,[201988],1610612759.0,SAS,pullup,,,Mills,P. Mills,,,,,29.11,Missed,,,,,,,,,,,,,,,,,,,
128,PT00M17.20S,2020-01-09T00:31:57.5Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,20,32,2020-01-09T00:32:09Z,1260000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,127.0,1.0,0.0,1.0,,,,,,,,,,,,,,
129,PT00M17.20S,2020-01-09T00:32:02.0Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1627751,95.0,50.0,1610612759,20,34,2020-01-09T00:32:13Z,1270000,0.0,-6.0,1,right,J. Poeltl layup (2 PTS),[1627751],1610612759.0,SAS,tip,,,Poeltl,J. Poeltl,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
131,PT00M04.90S,2020-01-09T00:32:15.3Z,1,REGULAR,foul,personal,[],1628401,,,1610612738,20,34,2020-01-09T00:32:24Z,1280000,,,0,,D. White FOUL personal (1 PF),"[1628401, 1628369]",1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Tatum,1628369.0,,,
133,PT00M01.10S,2020-01-09T00:32:35.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,12.171484888304862,60.853247549019606,1610612738,22,34,2020-01-09T00:32:58Z,1300000,-54.0,62.0,1,left,J. Tatum 9' jumpshot (6 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,8.66,Made,6.0,,,,,M. Smart,203935.0,2.0,,,,,,,,,,,
134,PT00M00.00S,2020-01-09T00:32:41.9Z,1,REGULAR,period,end,[],0,,,1610612759,22,34,2020-01-09T00:32:41Z,1310000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2020-01-09T00:34:49.1Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612759,22,34,2020-01-09T00:35:10Z,1320000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2020-01-09T00:34:49.1Z,2,REGULAR,substitution,out,['startperiod'],1629750,,,1610612759,22,34,2020-01-09T00:35:10Z,1330000,,,0,,substitution out Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2020-01-09T00:34:49.1Z,2,REGULAR,substitution,in,['startperiod'],202954,,,1610612759,22,34,2020-01-09T00:35:10Z,1340000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2020-01-09T00:34:49.1Z,2,REGULAR,substitution,in,['startperiod'],202689,,,1610612759,22,34,2020-01-09T00:35:10Z,1350000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2020-01-09T00:35:19.3Z,2,REGULAR,period,start,[],0,,,1610612738,22,34,2020-01-09T00:35:19Z,1360000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT11M47.00S,2020-01-09T00:35:31.7Z,2,REGULAR,3pt,jumpshot,[],203935,28.465834428383708,16.490502450980394,1610612738,22,34,2020-01-09T00:35:38Z,1370000,168.0,215.0,1,left,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.7,Missed,,,,,,,,,,,,,,,,,,,
142,PT11M46.00S,2020-01-09T00:35:32.7Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612759,22,34,2020-01-09T00:35:38Z,1380000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,141.0,2.0,2.0,0.0,,,,,,,,,,,,,,
143,PT11M38.00S,2020-01-09T00:35:40.2Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628401,88.5676741130092,36.23238357843137,1610612759,22,36,2020-01-09T00:35:45Z,1390000,-69.0,55.0,1,right,D. White 9' jumpshot (4 PTS),[1628401],1610612759.0,SAS,drivingfloating,,,White,D. White,,,,,9.16,Made,4.0,,,,,,,,,,,,,,,,,,
144,PT11M21.00S,2020-01-09T00:36:00.1Z,2,REGULAR,turnover,outofbounds,[],202683,,,1610612738,22,36,2020-01-09T00:36:31Z,1400000,,,0,,E. Kanter TURNOVER outofbounds (1 TOV),[202683],1610612738.0,BOS,badpass,,,Kanter,E. Kanter,,,,,,,,,,,,,,,1.0,,,,,,,,,,
145,PT11M04.00S,2020-01-09T00:36:23.4Z,2,REGULAR,2pt,jumpshot,['fromturnover'],200752,82.60512483574244,31.93167892156863,1610612759,22,36,2020-01-09T00:37:06Z,1410000,-90.0,111.0,1,right,MISS R. Gay 15' jumpshot,[200752],1610612759.0,SAS,pullup,,,Gay,R. Gay,,,,,14.74,Missed,,,,,,,,,,,,,,,,,,,
146,PT11M02.00S,2020-01-09T00:36:25.2Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,22,36,2020-01-09T00:36:25Z,1420000,,,0,,E. Kanter REBOUND (Off:0 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,145.0,4.0,4.0,0.0,,,,,,,,,,,,,,
147,PT10M50.00S,2020-01-09T00:36:37.5Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,4.418528252299605,66.00030637254902,1610612738,22,36,2020-01-09T00:36:41Z,1430000,-80.0,-11.0,1,left,MISS B. Wanamaker 8' jumpshot,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,8.02,Missed,,,,,,,,,,,,,,,,,,,
148,PT10M48.00S,2020-01-09T00:36:39.5Z,2,REGULAR,rebound,defensive,[],1629022,,,1610612759,22,36,2020-01-09T00:36:41Z,1440000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,147.0,1.0,1.0,0.0,,,,,,,,,,,,,,
149,PT10M42.00S,2020-01-09T00:36:46.2Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fastbreak']",1629022,91.40932982917214,60.36305147058824,1610612759,22,38,2020-01-09T00:36:53Z,1450000,52.0,28.0,1,right,L. Walker IV 6' jumpshot (2 PTS),[1629022],1610612759.0,SAS,drivingfloatingbank,,,Walker IV,L. Walker IV,,,,,6.19,Made,2.0,,,,,,,,,,,,,,,,,,
150,PT10M24.00S,2020-01-09T00:37:03.7Z,2,REGULAR,turnover,lostball,[],202689,,,1610612738,22,38,2020-01-09T00:52:34Z,1460000,,,0,,K. Walker TURNOVER lostball (1 TOV) Stolen,"[202689, 1629022]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,1.0,Walker IV,1629022.0,1179.0,,,,,,,
241,PT10M24.00S,2020-01-09T00:37:03.7Z,2,REGULAR,steal,,[],1629022,,,1610612759,22,38,2020-01-09T00:52:34Z,1470000,,,0,,L. Walker IV STEAL (1 STL),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT10M19.00S,2020-01-09T00:37:08.5Z,2,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629022,94.56307490144546,55.21599264705882,1610612759,22,40,2020-01-09T00:37:17Z,1480000,26.0,-1.0,1,right,L. Walker IV layup (4 PTS),[1629022],1610612759.0,SAS,runningfingerroll,,,Walker IV,L. Walker IV,,,,,2.64,Made,4.0,,,,,,,,,,,,,,,,,,
153,PT10M19.00S,2020-01-09T00:37:13.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,40,2020-01-09T00:37:13Z,1490000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT10M19.00S,2020-01-09T00:39:16.5Z,2,REGULAR,substitution,out,[],202683,,,1610612738,22,40,2020-01-09T00:39:44Z,1500000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT10M19.00S,2020-01-09T00:39:16.5Z,2,REGULAR,substitution,in,[],1629605,,,1610612738,22,40,2020-01-09T00:39:44Z,1510000,,,0,,substitution in Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT10M02.00S,2020-01-09T00:40:17.5Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],202689,17.16491458607096,37.56893382352941,1610612738,24,40,2020-01-09T00:40:21Z,1520000,62.0,109.0,1,left,K. Walker 13' jumpshot (2 PTS),[202689],1610612738.0,BOS,drivingfloating,,,Walker,K. Walker,,,,,13.02,Made,2.0,,,,,,,,,,,,,,,,,,
157,PT09M47.00S,2020-01-09T00:40:32.6Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628401,86.41590013140605,42.96109068627451,1610612759,24,42,2020-01-09T00:40:40Z,1530000,-35.0,75.0,1,right,D. White 9' jumpshot (6 PTS),[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,8.8,Made,6.0,,,,,,,,,,,,,,,,,,
158,PT09M36.00S,2020-01-09T00:40:44.8Z,2,REGULAR,3pt,jumpshot,[],202954,30.436925098554536,23.84344362745098,1610612738,27,42,2020-01-09T00:40:52Z,1540000,131.0,234.0,1,left,B. Wanamaker 27' 3PT  (3 PTS) (G. Williams 1 AST),"[202954, 1629684]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,27.25,Made,3.0,,,,,G. Williams,1629684.0,1.0,,,,,,,,,,,
161,PT09M19.00S,2020-01-09T00:41:00.6Z,2,REGULAR,turnover,badpass,[],1629022,,,1610612759,27,42,2020-01-09T00:41:05Z,1560000,,,0,,L. Walker IV TURNOVER badpass (1 TOV) Stolen,"[1629022, 203935]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,,,,,,
162,PT09M19.00S,2020-01-09T00:41:00.6Z,2,REGULAR,steal,,[],203935,,,1610612738,27,42,2020-01-09T20:01:52Z,1570000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT09M14.00S,2020-01-09T00:41:06.1Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202954,5.469776609724048,61.588541666666664,1610612738,27,42,2020-01-09T00:41:16Z,1580000,-58.0,-1.0,1,left,MISS B. Wanamaker 6' layup Blocked,"[202954, 1628401]",1610612738.0,BOS,running,,,Wanamaker,B. Wanamaker,,,,,5.81,Missed,,,,,,,,,,,,,,,,,White,1628401.0,
164,PT09M14.00S,2020-01-09T00:41:06.1Z,2,REGULAR,block,,[],1628401,,,1610612738,27,42,2020-01-09T00:41:08Z,1590000,,,0,,D. White BLOCK (2 BLK),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT09M12.00S,2020-01-09T00:41:08.1Z,2,REGULAR,rebound,defensive,[],200752,,,1610612759,27,42,2020-01-09T00:41:16Z,1600000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612759.0,SAS,,,,Gay,R. Gay,,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,,,,,,
166,PT09M03.00S,2020-01-09T00:41:16.5Z,2,REGULAR,2pt,jumpshot,[],200752,89.56964520367937,18.696384803921568,1610612759,27,44,2020-01-09T00:41:21Z,1610000,-157.0,46.0,1,right,R. Gay 16' jumpshot (4 PTS) (D. White 1 AST),"[200752, 1628401]",1610612759.0,SAS,,,,Gay,R. Gay,,,,,16.46,Made,4.0,,,,,D. White,1628401.0,1.0,,,,,,,,,,,
168,PT08M41.00S,2020-01-09T00:41:38.2Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,14.536793692509855,35.36305147058824,1610612738,27,44,2020-01-09T00:41:44Z,1630000,73.0,84.0,1,left,MISS M. Smart 12' jumpshot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,11.57,Missed,,,,,,,,,,,,,,,,,,,
