actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
22,PT09M34.00S,2020-01-09T00:12:53.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,8,2020-01-09T00:13:00Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M21.00S,2020-01-09T00:13:06.2Z,1,REGULAR,3pt,jumpshot,[],202330,26.757555847568987,13.794424019607842,1610612738,3,8,2020-01-09T00:13:10Z,230000,181.0,199.0,1,left,G. Hayward 27' 3PT  (3 PTS) (K. Walker 1 AST),"[202330, 202689]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.31,Made,3.0,,,,,K. Walker,202689.0,1.0,,,,,,,,,,,
25,PT08M55.00S,2020-01-09T00:13:32.1Z,1,REGULAR,3pt,jumpshot,[],1627854,76.5604467805519,86.58854166666666,1610612759,3,8,2020-01-09T00:13:36Z,250000,183.0,168.0,1,right,MISS B. Forbes 25' 3PT,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
26,PT08M53.00S,2020-01-09T00:13:34.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,8,2020-01-09T00:13:36Z,260000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT08M41.00S,2020-01-09T00:13:46.4Z,1,REGULAR,3pt,jumpshot,[],1628369,28.465834428383708,18.696384803921568,1610612738,3,8,2020-01-09T00:13:52Z,270000,157.0,215.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,,
28,PT08M39.00S,2020-01-09T00:13:48.4Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612759,3,8,2020-01-09T00:13:52Z,280000,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612759.0,SAS,,,,Lyles,T. Lyles,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT08M30.00S,2020-01-09T00:13:57.4Z,1,REGULAR,3pt,jumpshot,[],1627854,67.49342969776609,60.11795343137255,1610612759,3,11,2020-01-09T00:14:02Z,290000,51.0,253.0,1,right,B. Forbes 26' 3PT  (3 PTS) (L. Aldridge 2 AST),"[1627854, 200746]",1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,26.35,Made,3.0,,,,,L. Aldridge,200746.0,2.0,,,,,,,,,,,
31,PT08M07.00S,2020-01-09T00:14:19.4Z,1,REGULAR,3pt,jumpshot,[],202330,29.38567674113009,78.99050245098039,1610612738,3,11,2020-01-09T00:14:26Z,310000,-145.0,224.0,1,left,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.12,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M05.00S,2020-01-09T00:14:21.4Z,1,REGULAR,rebound,defensive,[],1627854,,,1610612759,3,11,2020-01-09T00:14:26Z,320000,,,0,,B. Forbes REBOUND (Off:0 Def:2),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT07M56.00S,2020-01-09T00:14:30.7Z,1,REGULAR,3pt,jumpshot,[],1626168,75.50919842312747,7.912071078431373,1610612759,3,14,2020-01-09T00:14:35Z,330000,-210.0,178.0,1,right,T. Lyles 28' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1626168, 201942]",1610612759.0,SAS,,,,Lyles,T. Lyles,,,,,27.9,Made,3.0,,,,,D. DeRozan,201942.0,1.0,,,,,,,,,,,
35,PT07M55.00S,2020-01-09T00:14:38.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,3,14,2020-01-09T00:14:38Z,350000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT07M39.00S,2020-01-09T00:17:44.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,3,14,2020-01-09T00:17:44Z,360000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT07M39.00S,2020-01-09T00:17:55.5Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,3,14,2020-01-09T00:18:05Z,370000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 1627854]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1.0,Forbes,1627854.0,,,,,,,,
38,PT07M39.00S,2020-01-09T00:17:55.5Z,1,REGULAR,steal,,[],1627854,,,1610612759,3,14,2020-01-09T00:17:58Z,380000,,,0,,B. Forbes STEAL (1 STL),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT07M24.00S,2020-01-09T00:18:08.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1627854,73.53810775295663,16.00030637254902,1610612759,3,14,2020-01-09T00:18:16Z,390000,-170.0,196.0,1,right,MISS B. Forbes 26' 3PT,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M22.00S,2020-01-09T00:18:10.7Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612759,3,14,2020-01-09T00:18:16Z,400000,,,0,,T. Lyles REBOUND (Off:1 Def:2),[1626168],1610612759.0,SAS,,,,Lyles,T. Lyles,,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,,,,
