actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-09-03T22:50:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-03T22:50:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-09-03T22:50:43.8Z,1,REGULAR,jumpball,recovered,[],1628384,,,1610612761,0,0,2020-09-03T22:50:43Z,40000,,,0,,Jump Ball M. Gasol vs. D. Theis: Tip to O. Anunoby,"[1628384, 201188, 1628464]",1610612761.0,TOR,startperiod,O. Anunoby,1628384.0,Anunoby,O. Anunoby,Gasol,201188.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2020-09-03T22:50:54.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,6.652431011826544,50.314031862745104,1610612761,0,2,2020-09-03T22:50:58Z,70000,-2.0,10.0,1,left,K. Lowry layup (2 PTS),[200768],1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,1.56,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2020-09-03T22:50:59.6Z,1,REGULAR,foul,personal,['1freethrow'],203935,,,1610612761,0,2,2020-09-03T22:51:21Z,80000,,,0,,M. Smart FOUL personal (1 PF) (Lowry 1freethrow),"[203935, 200768]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,1179.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,
10,PT11M47.00S,2020-09-03T22:51:22.4Z,1,REGULAR,freethrow,1of1,[],200768,,,1610612761,0,3,2020-09-03T22:51:22Z,100000,,,0,,K. Lowry freethrow 1of1 (3 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2020-09-03T22:51:35.2Z,1,REGULAR,3pt,jumpshot,[],202689,76.47831800262811,88.81740196078431,1610612738,0,3,2020-09-03T22:52:20Z,110000,194.0,169.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2020-09-03T22:51:38.2Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,0,3,2020-09-03T22:51:38Z,120000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,
13,PT11M28.00S,2020-09-03T22:51:39.5Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,70.51576872536137,23.598345588235293,1610612738,0,3,2020-09-03T22:51:43Z,130000,-132.0,225.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2020-09-03T22:51:42.5Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,0,3,2020-09-03T22:51:43Z,140000,,,0,,M. Gasol REBOUND (Off:0 Def:1),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M18.00S,2020-09-03T22:51:50.9Z,1,REGULAR,2pt,jumpshot,[],201188,24.129434954007884,62.56893382352941,1610612761,0,5,2020-09-03T22:51:55Z,150000,-63.0,174.0,1,left,M. Gasol 19' jumpshot (2 PTS) (F. VanVleet 1 AST),"[201188, 1627832]",1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,19.05,Made,2.0,,,,,,,,,,F. VanVleet,1627832.0,1.0,,,,,,
17,PT11M01.00S,2020-09-03T22:52:06.6Z,1,REGULAR,2pt,jumpshot,[],1627759,75.1149802890933,46.63756127450981,1610612738,2,5,2020-09-03T22:52:11Z,170000,-17.0,181.0,1,right,J. Brown 19' jumpshot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,18.77,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2020-09-03T22:52:20.9Z,1,REGULAR,3pt,jumpshot,[],201188,33.196452036793694,54.23560049019608,1610612761,2,5,2020-09-03T22:52:24Z,180000,-21.0,260.0,1,left,MISS M. Gasol 27' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2020-09-03T22:52:23.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,5,2020-09-03T22:52:24Z,190000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M36.00S,2020-09-03T22:52:31.7Z,1,REGULAR,3pt,jumpshot,[],1628464,84.31340341655716,3.2552083333333335,1610612738,2,5,2020-09-03T22:52:37Z,200000,-234.0,95.0,1,right,MISS D. Theis 25' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2020-09-03T22:52:35.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,5,2020-09-03T22:52:37Z,210000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT10M31.00S,2020-09-03T22:52:38.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",200768,6.389618922470433,48.353247549019606,1610612761,2,7,2020-09-03T22:52:53Z,220000,8.0,8.0,1,left,K. Lowry layup (5 PTS),[200768],1610612761.0,TOR,running,,,Lowry,K. Lowry,,,,,1.55,Made,5.0,,,,,,,,,,,,,,,,,,
23,PT10M31.00S,2020-09-03T22:52:48.6Z,1,REGULAR,violation,defensivegoaltending,[],1628464,,,1610612761,2,7,2020-09-03T22:53:51Z,230000,,,0,,D. Theis violation defensivegoaltending,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,1148.0,,,,,,,,,,,,,,,,,
24,PT10M13.00S,2020-09-03T22:53:10.2Z,1,REGULAR,2pt,jumpshot,[],1627759,92.24704336399473,8.915441176470589,1610612738,2,7,2020-09-03T22:57:13Z,240000,-205.0,20.0,1,right,MISS J. Brown 21' jumpshot Blocked,"[1627759, 1627783]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,20.7,Missed,,,,,,,,,,,,,,Siakam,1627783.0,,,,
25,PT10M13.00S,2020-09-03T22:53:10.2Z,1,REGULAR,block,,[],1627783,,,1610612738,2,7,2020-09-03T22:53:13Z,250000,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2020-09-03T22:53:14.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,2,7,2020-09-03T22:53:14Z,260000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,
27,PT10M07.00S,2020-09-03T22:53:16.5Z,1,REGULAR,3pt,jumpshot,['fastbreak'],200768,33.459264126149804,47.61795343137255,1610612761,2,7,2020-09-03T22:53:22Z,270000,12.0,262.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2020-09-03T22:53:19.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,7,2020-09-03T22:53:22Z,280000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
29,PT10M04.00S,2020-09-03T22:53:22.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,2,7,2020-09-03T22:53:22Z,290000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2020-09-03T22:53:35.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,90.88370565045992,49.57873774509804,1610612738,2,7,2020-09-03T22:53:39Z,300000,-2.0,33.0,1,right,MISS J. Tatum jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,3.88,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M49.00S,2020-09-03T22:53:37.9Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,2,7,2020-09-03T22:53:39Z,310000,,,0,,M. Gasol REBOUND (Off:0 Def:2),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,
32,PT09M36.00S,2020-09-03T22:53:50.7Z,1,REGULAR,3pt,jumpshot,[],1627832,29.6484888304862,23.353247549019606,1610612761,2,7,2020-09-03T22:53:54Z,320000,133.0,226.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,26.73,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M33.00S,2020-09-03T22:53:53.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,7,2020-09-03T22:53:54Z,330000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
