actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
34,PT09M29.00S,2020-09-03T22:54:00.9Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612738,2,7,2020-09-03T22:54:30Z,340000,,,0,,P. Siakam FOUL personal (1 PF) (Smart 2freethrow),"[1627783, 203935]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,201639.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,
36,PT09M29.00S,2020-09-03T22:54:29.8Z,1,REGULAR,freethrow,1of2,[],203935,,,1610612738,2,7,2020-09-03T22:54:29Z,360000,,,0,,MISS M. Smart freethrow 1of2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M29.00S,2020-09-03T22:54:29.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,7,2020-09-03T22:54:29Z,370000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,
38,PT09M29.00S,2020-09-03T22:54:44.4Z,1,REGULAR,freethrow,2of2,[],203935,,,1610612738,3,7,2020-09-03T22:54:44Z,380000,,,0,,M. Smart freethrow 2of2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
39,PT09M15.00S,2020-09-03T22:55:04.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,8.229303547963205,50.80422794117647,1610612761,3,9,2020-09-03T22:55:09Z,390000,-4.0,25.0,1,left,K. Lowry layup (7 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,3.07,Made,7.0,,,,,,,,,,,,,,,,,,
40,PT09M15.00S,2020-09-03T22:55:06.8Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612761,3,9,2020-09-03T22:55:14Z,400000,,,0,,D. Theis FOUL personal (1 PF) (Lowry 1freethrow),"[1628464, 200768]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,201639.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,
42,PT09M15.00S,2020-09-03T22:55:29.3Z,1,REGULAR,freethrow,1of1,[],200768,,,1610612761,3,10,2020-09-03T22:55:29Z,420000,,,0,,K. Lowry freethrow 1of1 (8 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
43,PT09M03.00S,2020-09-03T22:55:44.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,92.9862023653088,52.27481617647059,1610612738,5,10,2020-09-03T22:55:47Z,430000,11.0,13.0,1,right,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,2.21,Made,2.0,,,,,,,,,,,,,,,,,,
44,PT08M54.00S,2020-09-03T22:55:52.8Z,1,REGULAR,3pt,jumpshot,[],201188,33.590670170827856,46.14736519607843,1610612761,5,10,2020-09-03T22:55:56Z,440000,19.0,263.0,1,left,MISS M. Gasol 27' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M52.00S,2020-09-03T22:55:54.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,10,2020-09-03T22:55:56Z,450000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,
46,PT08M44.00S,2020-09-03T22:56:02.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,91.93495400788436,64.5297181372549,1610612738,5,10,2020-09-03T23:03:15Z,460000,73.0,23.0,1,right,MISS J. Tatum 8' jumpshot,[1628369],1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,7.81,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M39.00S,2020-09-03T22:56:07.8Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,5,10,2020-09-03T22:56:10Z,470000,,,0,,D. Theis REBOUND (Off:2 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,46.0,2.0,0.0,2.0,,,,,,,,,
48,PT08M39.00S,2020-09-03T22:56:07.9Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1628464,95.0,50.0,1610612738,7,10,2020-09-03T22:56:47Z,480000,0.0,-6.0,1,right,D. Theis layup (2 PTS),[1628464],1610612738.0,BOS,putback,,,Theis,D. Theis,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
49,PT08M26.00S,2020-09-03T22:56:23.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,7.966491458607096,46.14736519607843,1610612761,7,10,2020-09-03T22:56:26Z,490000,19.0,22.0,1,left,MISS K. Lowry layup Blocked,"[200768, 1627759]",1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,3.39,Missed,,,,,,,,,,,,,,Brown,1627759.0,,,,
50,PT08M26.00S,2020-09-03T22:56:23.5Z,1,REGULAR,block,,[],1627759,,,1610612761,7,10,2020-09-03T22:56:25Z,500000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M26.00S,2020-09-03T22:56:23.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,7,10,2020-09-03T22:56:26Z,510000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,
52,PT08M26.00S,2020-09-03T22:56:27.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,7,10,2020-09-03T22:56:27Z,520000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M24.00S,2020-09-03T22:56:39.7Z,1,REGULAR,2pt,jumpshot,['2ndchance'],201188,13.354139290407357,17.47089460784314,1610612761,7,10,2020-09-03T22:56:43Z,530000,163.0,73.0,1,left,MISS M. Gasol 18' jumpshot,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,18.06,Missed,,,,,,,,,,,,,,,,,,,
54,PT08M21.00S,2020-09-03T22:56:42.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,10,2020-09-03T22:56:43Z,540000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,
55,PT08M17.00S,2020-09-03T22:56:48.7Z,1,REGULAR,foul,personal,[],200768,,,1610612738,7,10,2020-09-03T22:56:54Z,550000,,,0,,K. Lowry FOUL personal (1 PF),"[200768, 1627759]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,
57,PT08M06.00S,2020-09-03T22:57:13.6Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,7,10,2020-09-03T22:57:28Z,570000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,1.0,Lowry,200768.0,
58,PT08M06.00S,2020-09-03T22:57:13.6Z,1,REGULAR,steal,,[],200768,,,1610612761,7,10,2020-09-03T22:57:14Z,580000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M59.00S,2020-09-03T22:57:21.5Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",201188,6.521024967148489,49.333639705882355,1610612761,7,12,2020-09-03T22:57:31Z,590000,3.0,9.0,1,left,M. Gasol dunk (4 PTS) (K. Lowry 1 AST),"[201188, 200768]",1610612761.0,TOR,cutting,,,Gasol,M. Gasol,,,,,1.47,Made,4.0,,,,,,,,,,K. Lowry,200768.0,1.0,,,,,,
61,PT07M57.00S,2020-09-03T22:57:26.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,7,12,2020-09-03T22:57:26Z,610000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M44.00S,2020-09-03T22:57:48.0Z,1,REGULAR,3pt,jumpshot,[],202689,69.46452036793693,27.76501225490196,1610612738,10,12,2020-09-03T22:57:51Z,620000,-111.0,235.0,1,right,K. Walker 26' 3PT  (5 PTS) (D. Theis 1 AST),"[202689, 1628464]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.45,Made,5.0,,,,,,,,,,D. Theis,1628464.0,1.0,,,,,,
64,PT07M22.00S,2020-09-03T22:58:09.7Z,1,REGULAR,2pt,hook,['pointsinthepaint'],200768,9.806176084099869,45.90226715686275,1610612761,10,14,2020-09-03T22:58:21Z,640000,20.0,40.0,1,left,K. Lowry hook (10 PTS),[200768],1610612761.0,TOR,turnaround,,,Lowry,K. Lowry,,,,,4.96,Made,10.0,,,,,,,,,,,,,,,,,,
65,PT07M00.00S,2020-09-03T22:58:30.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,84.57621550591328,55.4610906862745,1610612738,10,14,2020-09-03T22:58:34Z,650000,27.0,92.0,1,right,MISS J. Tatum 10' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,10.17,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M57.00S,2020-09-03T22:58:33.5Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,10,14,2020-09-03T22:58:34Z,660000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,65.0,3.0,2.0,1.0,,,,,,,,,
67,PT06M57.00S,2020-09-03T22:58:33.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,95.0,50.0,1610612738,12,14,2020-09-03T22:58:33Z,670000,0.0,-6.0,1,right,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
68,PT06M45.00S,2020-09-03T22:58:45.5Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627783,10.726018396846255,49.333639705882355,1610612761,12,14,2020-09-03T22:58:48Z,680000,3.0,48.0,1,left,MISS P. Siakam hook,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,5.39,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M44.00S,2020-09-03T22:58:46.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,14,2020-09-03T22:58:48Z,690000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,
70,PT06M38.00S,2020-09-03T22:58:53.0Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,67.88764783180025,22.37285539215686,1610612738,12,14,2020-09-03T23:00:22Z,700000,-138.0,249.0,1,right,MISS M. Smart 29' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.99,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2020-09-03T22:58:56.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,12,14,2020-09-03T22:58:56Z,710000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,
72,PT06M31.00S,2020-09-03T22:58:59.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627832,21.76412614980289,91.00030637254902,1610612761,12,14,2020-09-03T22:59:05Z,720000,-205.0,152.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M28.00S,2020-09-03T22:59:02.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,12,14,2020-09-03T22:59:05Z,730000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,
74,PT06M25.00S,2020-09-03T22:59:08.0Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612738,12,14,2020-09-03T22:59:19Z,740000,,,0,,P. Siakam FOUL personal (2 PF) (Walker 2freethrow),"[1627783, 202689]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,201639.0,2.0,0.0,Walker,202689.0,,,,,,,,,,,,,
76,PT06M25.00S,2020-09-03T22:59:24.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,14,2020-09-03T22:59:24Z,760000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M25.00S,2020-09-03T23:02:31.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,12,14,2020-09-03T23:02:52Z,770000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M25.00S,2020-09-03T23:02:31.7Z,1,REGULAR,substitution,out,[],1627783,,,1610612738,12,14,2020-09-03T23:02:52Z,780000,,,0,,substitution out Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M25.00S,2020-09-03T23:02:31.7Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,12,14,2020-09-03T23:02:52Z,790000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M25.00S,2020-09-03T23:02:31.7Z,1,REGULAR,substitution,in,[],1626181,,,1610612738,12,14,2020-09-03T23:02:52Z,800000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M25.00S,2020-09-03T23:03:14.7Z,1,REGULAR,freethrow,1of2,['fastbreak'],202689,,,1610612738,13,14,2020-09-03T23:03:14Z,810000,,,0,,K. Walker freethrow 1of2 (6 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
82,PT06M25.00S,2020-09-03T23:03:31.0Z,1,REGULAR,freethrow,2of2,['fastbreak'],202689,,,1610612738,14,14,2020-09-03T23:03:31Z,820000,,,0,,K. Walker freethrow 2of2 (7 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
83,PT06M07.00S,2020-09-03T23:03:54.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201188,6.258212877792378,50.314031862745104,1610612761,14,16,2020-09-03T23:03:58Z,830000,-2.0,6.0,1,left,M. Gasol layup (6 PTS) (K. Lowry 2 AST),"[201188, 200768]",1610612761.0,TOR,cutting,,,Gasol,M. Gasol,,,,,1.19,Made,6.0,,,,,,,,,,K. Lowry,200768.0,2.0,,,,,,
85,PT05M52.00S,2020-09-03T23:04:08.0Z,1,REGULAR,2pt,jumpshot,[],1627759,75.64060446780552,56.44148284313726,1610612738,16,16,2020-09-03T23:04:11Z,850000,32.0,176.0,1,right,J. Brown 18' jumpshot (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,18.48,Made,4.0,,,,,,,,,,M. Smart,203935.0,1.0,,,,,,
87,PT05M44.00S,2020-09-03T23:04:16.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,6.1268068331143235,48.59834558823529,1610612761,16,16,2020-09-03T23:04:20Z,870000,7.0,5.0,1,left,MISS K. Lowry layup Blocked,"[200768, 1627759]",1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,1.27,Missed,,,,,,,,,,,,,,Brown,1627759.0,,,,
88,PT05M44.00S,2020-09-03T23:04:16.4Z,1,REGULAR,block,,[],1627759,,,1610612761,16,16,2020-09-03T23:04:18Z,880000,,,0,,J. Brown BLOCK (2 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
