actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
19,PT10M25.00S,2020-09-07T22:46:57.9Z,1,REGULAR,3pt,jumpshot,[],1627759,69.20170827858082,28.010110294117645,1610612738,0,3,2020-09-07T22:47:03Z,190000,-110.0,237.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2020-09-07T22:47:02.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,3,2020-09-07T22:47:02Z,200000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
21,PT10M24.00S,2020-09-07T22:47:03.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,0,3,2020-09-07T22:47:03Z,210000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2020-09-07T22:47:29.9Z,1,REGULAR,turnover,outofbounds,[],1627783,,,1610612761,0,3,2020-09-07T22:47:35Z,220000,,,0,,P. Siakam TURNOVER outofbounds (1 TOV),[1627783],1610612761.0,TOR,lostball,,,Siakam,P. Siakam,,,,,,,,,,,,,,,2715.0,1.0,,,,,,,,,
23,PT09M58.00S,2020-09-07T22:47:46.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202689,94.69448094612353,48.10814950980392,1610612738,0,5,2020-09-07T22:47:49Z,230000,-9.0,-3.0,1,right,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,0.99,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M34.00S,2020-09-07T22:48:09.7Z,1,REGULAR,3pt,jumpshot,[],1628384,5.075558475689881,94.18658088235294,1610612761,3,5,2020-09-07T22:48:13Z,240000,-221.0,-5.0,1,left,O. Anunoby 22' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,22.09,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
26,PT09M24.00S,2020-09-07T22:48:23.1Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,3,5,2020-09-07T22:48:28Z,260000,,,0,,F. VanVleet FOUL personal (1 PF),"[1627832, 202689]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,201640.0,,1.0,0.0,Walker,202689.0,,,,,
28,PT09M14.00S,2020-09-07T22:48:53.2Z,1,REGULAR,turnover,traveling,[],203935,,,1610612738,3,5,2020-09-07T22:48:57Z,280000,,,0,,M. Smart TURNOVER traveling (1 TOV),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,2715.0,1.0,,,,,,,,,
29,PT09M02.00S,2020-09-07T22:49:11.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",200768,6.1268068331143235,52.76501225490197,1610612761,3,5,2020-09-07T22:49:14Z,290000,-14.0,5.0,1,left,MISS K. Lowry layup Blocked,"[200768, 202689]",1610612761.0,TOR,drivingfingerroll,,,Lowry,K. Lowry,,,,,1.74,Missed,,,,,,,,,,,,,,,Walker,202689.0,,,
30,PT09M02.00S,2020-09-07T22:49:11.5Z,1,REGULAR,block,,[],202689,,,1610612761,3,5,2020-09-07T22:49:42Z,300000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M00.00S,2020-09-07T22:49:13.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,5,2020-09-07T22:49:14Z,310000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT08M57.00S,2020-09-07T22:49:18.1Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612738,3,5,2020-09-07T22:49:31Z,320000,,,0,,F. VanVleet FOUL personal (2 PF) (Brown 2freethrow),"[1627832, 1627759]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,2715.0,,2.0,0.0,Brown,1627759.0,,,,,
34,PT08M57.00S,2020-09-07T22:49:40.4Z,1,REGULAR,freethrow,1of2,['fastbreak'],1627759,,,1610612738,3,6,2020-09-07T22:49:40Z,340000,,,0,,J. Brown freethrow 1of2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
35,PT08M57.00S,2020-09-07T22:49:54.2Z,1,REGULAR,freethrow,2of2,['fastbreak'],1627759,,,1610612738,3,7,2020-09-07T22:49:54Z,350000,,,0,,J. Brown freethrow 2of2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
36,PT08M40.00S,2020-09-07T22:50:12.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628384,7.703679369250986,49.82383578431372,1610612761,3,7,2020-09-07T22:50:27Z,360000,1.0,20.0,1,left,MISS O. Anunoby layup,[1628384],1610612761.0,TOR,reverse,,,Anunoby,O. Anunoby,,,,,2.54,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M39.00S,2020-09-07T22:50:13.4Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,3,7,2020-09-07T22:50:27Z,370000,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,
38,PT08M39.00S,2020-09-07T22:50:19.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628384,5.0,50.0,1610612761,3,7,2020-09-07T22:50:19Z,380000,0.0,-6.0,1,left,MISS O. Anunoby layup,[1628384],1610612761.0,TOR,tip,,,Anunoby,O. Anunoby,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M39.00S,2020-09-07T22:50:20.8Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,3,7,2020-09-07T22:50:20Z,390000,,,0,,O. Anunoby REBOUND (Off:2 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,38.0,3.0,1.0,2.0,,,,,,,,,,,
40,PT08M37.00S,2020-09-07T22:50:49.4Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612761,3,7,2020-09-07T22:50:49Z,400000,,,0,,Jump Ball J. Brown vs. O. Anunoby: Tip to D. Theis,"[1628464, 1627759, 1628384]",1610612738.0,BOS,heldball,D. Theis,1628464.0,Theis,D. Theis,Brown,1627759.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,,,,,
