actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
21,PT10M18.00S,2020-08-08T01:13:24.0Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,0,3,2020-08-08T01:13:25Z,210000,,,0,,M. Gasol REBOUND (Off:0 Def:1),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M12.00S,2020-08-08T01:13:29.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627783,13.091327201051248,36.833639705882355,1610612761,0,3,2020-08-08T01:13:37Z,220000,66.0,71.0,1,left,MISS P. Siakam 10' jumpshot,[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,10.06,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2020-08-08T01:13:32.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,3,2020-08-08T01:13:37Z,230000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT10M02.00S,2020-08-08T01:13:39.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202689,88.78120893561103,65.26501225490196,1610612738,0,3,2020-08-08T01:21:46Z,240000,76.0,53.0,1,right,MISS K. Walker 10' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,9.61,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2020-08-08T01:13:42.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,3,2020-08-08T01:13:44Z,250000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M49.00S,2020-08-08T01:13:52.6Z,1,REGULAR,3pt,jumpshot,[],1627783,28.203022339027594,20.902267156862745,1610612761,0,3,2020-08-08T01:13:57Z,260000,145.0,213.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M47.00S,2020-08-08T01:13:54.6Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,0,3,2020-08-08T01:13:57Z,270000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M40.00S,2020-08-08T01:14:01.8Z,1,REGULAR,3pt,jumpshot,[],1627759,91.67214191852825,95.16697303921569,1610612738,0,3,2020-08-08T01:14:07Z,280000,226.0,26.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2020-08-08T01:14:06.8Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,3,2020-08-08T01:14:07Z,290000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M27.00S,2020-08-08T01:14:14.4Z,1,REGULAR,3pt,jumpshot,[],1628384,30.036547306176086,73.86642156862744,1610612761,0,3,2020-08-08T01:14:20Z,300000,-119.0,230.0,1,left,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M25.00S,2020-08-08T01:14:16.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,3,2020-08-08T01:14:19Z,310000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
32,PT09M18.00S,2020-08-08T01:14:25.3Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,0,3,2020-08-08T01:14:29Z,320000,,,0,,F. VanVleet FOUL personal (1 PF),"[1627832, 202689]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,202041.0,1.0,0.0,Walker,202689.0,,,,,,,,,,
34,PT09M05.00S,2020-08-08T01:14:52.6Z,1,REGULAR,3pt,jumpshot,[],202689,84.1819973718791,1.5395220588235294,1610612738,0,3,2020-08-08T01:14:58Z,340000,-242.0,96.0,1,right,MISS K. Walker 26' 3PT Blocked,"[202689, 200768]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.28,Missed,,,,,,,,,,,,,,Lowry,200768.0,,,,
35,PT09M05.00S,2020-08-08T01:14:52.6Z,1,REGULAR,block,,[],200768,,,1610612738,0,3,2020-08-08T01:14:57Z,350000,,,0,,K. Lowry BLOCK (1 BLK),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2020-08-08T01:14:58.6Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,0,3,2020-08-08T01:14:58Z,360000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
37,PT08M58.00S,2020-08-08T01:14:59.2Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627759,73.40670170827858,19.431678921568626,1610612738,0,6,2020-08-08T01:22:23Z,370000,-153.0,197.0,1,right,J. Brown 25' 3PT  (3 PTS) (D. Theis 1 AST),"[1627759, 1628464]",1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,25.41,Made,,,,,,,,,,3.0,D. Theis,1628464.0,1.0,,,,,,
39,PT08M39.00S,2020-08-08T01:15:18.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201188,18.610381077529567,60.11795343137255,1610612761,2,6,2020-08-08T01:15:24Z,390000,-51.0,122.0,1,left,M. Gasol 14' jumpshot (2 PTS),[201188],1610612761.0,TOR,turnaroundfadeaway,,,Gasol,M. Gasol,,,,,13.75,Made,,,,,,,,,,2.0,,,,,,,,,
40,PT08M26.00S,2020-08-08T01:15:32.0Z,1,REGULAR,2pt,jumpshot,[],202330,74.98357424441524,49.57873774509804,1610612738,2,6,2020-08-08T01:15:38Z,400000,-2.0,183.0,1,right,MISS G. Hayward 19' jumpshot,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,18.82,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M24.00S,2020-08-08T01:15:34.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,6,2020-08-08T01:15:38Z,410000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,
42,PT08M24.00S,2020-08-08T01:15:36.6Z,1,REGULAR,foul,personal,[],201188,,,1610612738,2,6,2020-08-08T01:15:45Z,420000,,,0,,M. Gasol FOUL personal (1 PF),"[201188, 1628464]",1610612761.0,TOR,looseball,,,Gasol,M. Gasol,,,,,,,,,,,201640.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,
44,PT08M14.00S,2020-08-08T01:16:05.3Z,1,REGULAR,turnover,lostball,[],202330,,,1610612738,2,6,2020-08-08T01:16:09Z,440000,,,0,,G. Hayward TURNOVER lostball (1 TOV) Stolen,"[202330, 1627832]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,1.0,VanVleet,1627832.0,
45,PT08M14.00S,2020-08-08T01:16:05.3Z,1,REGULAR,steal,,[],1627832,,,1610612761,2,6,2020-08-08T01:18:11Z,450000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M08.00S,2020-08-08T01:16:13.6Z,1,REGULAR,turnover,traveling,[],200768,,,1610612761,2,6,2020-08-08T01:16:20Z,460000,,,0,,K. Lowry TURNOVER traveling (1 TOV),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,202041.0,,,,,,,,,,,1.0,,,
47,PT07M55.00S,2020-08-08T01:16:40.6Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1628464,92.46057818659659,48.10814950980392,1610612738,2,8,2020-08-08T01:16:45Z,470000,-9.0,18.0,1,right,D. Theis dunk (5 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.57,Made,,,,,,,,,,5.0,K. Walker,202689.0,1.0,,,,,,
49,PT07M33.00S,2020-08-08T01:17:01.5Z,1,REGULAR,3pt,jumpshot,[],1627832,3.630091984231275,3.2552083333333335,1610612761,2,8,2020-08-08T01:17:06Z,490000,234.0,-18.0,1,left,MISS F. VanVleet 23' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M32.00S,2020-08-08T01:17:02.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,8,2020-08-08T01:17:06Z,500000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT07M28.00S,2020-08-08T01:17:07.4Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628369,71.04139290407359,74.33363970588235,1610612738,2,8,2020-08-08T01:22:32Z,510000,122.0,220.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,runningpullup,,,Tatum,J. Tatum,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M25.00S,2020-08-08T01:17:10.4Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,2,8,2020-08-08T01:17:15Z,520000,,,0,,M. Gasol REBOUND (Off:0 Def:2),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
53,PT07M10.00S,2020-08-08T01:17:28.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,2,8,2020-08-08T01:17:28Z,530000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M08.00S,2020-08-08T01:17:43.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627832,5.863994743758213,52.76501225490197,1610612761,2,8,2020-08-08T01:17:47Z,540000,-14.0,3.0,1,left,MISS F. VanVleet layup Blocked,"[1627832, 202689]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,1.6,Missed,,,,,,,,,,,,,,Walker,202689.0,,,,
55,PT07M08.00S,2020-08-08T01:17:43.1Z,1,REGULAR,block,,[],202689,,,1610612761,2,8,2020-08-08T01:17:45Z,550000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M05.00S,2020-08-08T01:17:46.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,8,2020-08-08T01:17:47Z,560000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
57,PT07M00.00S,2020-08-08T01:17:50.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,93.64323258869908,46.14736519607843,1610612738,2,10,2020-08-08T01:17:55Z,570000,-19.0,7.0,1,right,J. Brown layup (5 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.32,Made,,,,,,,,,,5.0,K. Walker,202689.0,2.0,,,,,,
59,PT07M00.00S,2020-08-08T01:17:55.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,2,10,2020-08-08T01:17:55Z,590000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2020-08-08T01:21:35.4Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627783,7.966491458607096,53.990502450980394,1610612761,2,10,2020-08-08T01:21:42Z,610000,-20.0,22.0,1,left,MISS P. Siakam hook,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,3.43,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M43.00S,2020-08-08T01:21:38.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,10,2020-08-08T01:21:38Z,620000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
63,PT06M32.00S,2020-08-08T01:21:50.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,92.59198423127464,44.921875,1610612738,2,12,2020-08-08T01:21:56Z,630000,-25.0,17.0,1,right,G. Hayward layup (2 PTS),[202330],1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,3.4,Made,,,,,,,,,,2.0,,,,,,,,,
64,PT06M14.00S,2020-08-08T01:22:10.6Z,1,REGULAR,foul,personal,[],1628464,,,1610612761,2,12,2020-08-08T01:22:17Z,640000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 201188]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,201640.0,1.0,0.0,Gasol,201188.0,,,,,,,,,,
66,PT06M14.00S,2020-08-08T01:22:23.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612761,2,12,2020-08-08T01:22:26Z,660000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M14.00S,2020-08-08T01:22:23.7Z,1,REGULAR,substitution,in,[],203935,,,1610612761,2,12,2020-08-08T01:22:26Z,670000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M14.00S,2020-08-08T01:22:23.7Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,2,12,2020-08-08T01:22:32Z,680000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M14.00S,2020-08-08T01:22:23.7Z,1,REGULAR,substitution,in,[],1626181,,,1610612761,2,12,2020-08-08T01:22:32Z,690000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M09.00S,2020-08-08T01:22:49.1Z,1,REGULAR,3pt,jumpshot,[],200768,30.962549277266753,26.049325980392158,1610612761,2,12,2020-08-08T01:22:54Z,700000,120.0,239.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,27.18,Missed,,,,,,,,,,,,,,,,,,,
