actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-07-26T17:36:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-07-26T17:36:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-07-26T17:36:27.6Z,1,REGULAR,jumpball,recovered,[],201937,,,1610612756,0,0,2020-07-26T17:36:27Z,40000,,,0,,Jump Ball D. Ayton vs. D. Theis: Tip to R. Rubio,"[201937, 1629028, 1628464]",1610612756.0,PHX,startperiod,R. Rubio,201937.0,Rubio,R. Rubio,Ayton,1629028.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2020-07-26T17:36:33.5Z,1,REGULAR,turnover,badpass,[],1626164,,,1610612756,0,0,2020-07-26T17:36:38Z,70000,,,0,,D. Booker TURNOVER badpass (1 TOV) Stolen,"[1626164, 1628464]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,1.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2020-07-26T17:36:33.5Z,1,REGULAR,steal,,[],1628464,,,1610612738,0,0,2020-07-26T17:36:36Z,80000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2020-07-26T17:36:39.4Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,91.40932982917214,49.57873774509804,1610612738,2,0,2020-07-26T17:36:45Z,90000,-2.0,28.0,1,right,J. Brown jumpshot (2 PTS),[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,,,,3.39,Made,2.0,,,,,,,,,,,,,,,
10,PT11M26.00S,2020-07-26T17:36:57.4Z,1,REGULAR,2pt,jumpshot,[],1626164,4.28712220762155,71.6375612745098,1610612756,2,0,2020-07-26T17:37:03Z,100000,-108.0,-12.0,1,left,MISS D. Booker 11' jumpshot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,10.84,Missed,,,,,,,,,,,,,,,,
11,PT11M22.00S,2020-07-26T17:37:01.4Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,0,2020-07-26T17:37:03Z,110000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M18.00S,2020-07-26T17:37:05.7Z,1,REGULAR,turnover,lostball,[],1628369,,,1610612738,2,0,2020-07-26T17:37:10Z,120000,,,0,,J. Tatum TURNOVER lostball (1 TOV) Stolen,"[1628369, 201937]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,Rubio,201937.0,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2020-07-26T17:37:05.7Z,1,REGULAR,steal,,[],201937,,,1610612756,2,0,2020-07-26T17:37:08Z,130000,,,0,,R. Rubio STEAL (1 STL),[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2020-07-26T17:37:16.9Z,1,REGULAR,foul,personal,[],202689,,,1610612756,2,0,2020-07-26T17:37:37Z,140000,,,0,,K. Walker FOUL personal (1 PF),"[202689, 1629028]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,1146.0,1.0,0.0,Ayton,1629028.0,,,,,,
