actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT10M57.00S,2020-07-26T17:37:47.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],201937,29.911300919842315,21.147365196078432,1610612756,2,0,2020-07-26T17:41:10Z,160000,144.0,229.0,1,left,MISS R. Rubio 28' 3PT,[201937],1610612756.0,PHX,pullup,,,Rubio,R. Rubio,,,,,,,,27.51,Missed,,,,,,,,,,,,,,,,
17,PT10M53.00S,2020-07-26T17:37:51.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,0,2020-07-26T17:37:54Z,170000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,
18,PT10M46.00S,2020-07-26T17:38:00.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,92.32917214191852,49.57873774509804,1610612738,4,0,2020-07-26T17:38:07Z,180000,-2.0,20.0,1,right,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,,2.52,Made,2.0,,,,,,,,,,,,,,,
19,PT10M46.00S,2020-07-26T17:38:07.9Z,1,REGULAR,foul,personal,['1freethrow'],1629028,,,1610612738,4,0,2020-07-26T17:38:18Z,190000,,,0,,D. Ayton FOUL personal (1 PF) (Walker 1freethrow),"[1629028, 202689]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,,,,,,,,,,,202026.0,1.0,0.0,Walker,202689.0,,,,,,
21,PT10M46.00S,2020-07-26T17:38:28.7Z,1,REGULAR,freethrow,1of1,[],202689,,,1610612738,4,0,2020-07-26T17:38:35Z,210000,,,0,,MISS K. Walker freethrow 1of1,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,Missed,,,,,,,,,,,,,,,,
22,PT10M44.00S,2020-07-26T17:38:30.7Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,4,0,2020-07-26T17:38:35Z,220000,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M34.00S,2020-07-26T17:38:39.3Z,1,REGULAR,3pt,jumpshot,[],1628969,5.732588699080158,2.5199142156862746,1610612756,4,0,2020-07-26T17:38:45Z,230000,237.0,1.0,1,left,MISS M. Bridges 24' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,23.75,Missed,,,,,,,,,,,,,,,,
24,PT10M31.00S,2020-07-26T17:38:43.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,4,0,2020-07-26T17:38:43Z,240000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,
25,PT10M27.00S,2020-07-26T17:38:45.7Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1626164,27.283180026281208,79.97089460784314,1610612756,4,0,2020-07-26T17:38:50Z,250000,-150.0,204.0,1,left,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,25.76,Missed,,,,,,,,,,,,,,,,
26,PT10M24.00S,2020-07-26T17:38:48.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,4,0,2020-07-26T17:38:50Z,260000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M23.00S,2020-07-26T17:38:55.5Z,1,REGULAR,foul,personal,[],201937,,,1610612738,4,0,2020-07-26T17:39:11Z,270000,,,0,,R. Rubio FOUL personal (1 PF),"[201937, 1627759]",1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,202007.0,1.0,0.0,Brown,1627759.0,,,,,,
29,PT10M15.00S,2020-07-26T17:39:16.2Z,1,REGULAR,turnover,badpass,[],1628464,,,1610612738,4,0,2020-07-26T17:39:28Z,290000,,,0,,D. Theis TURNOVER badpass (1 TOV) Stolen,"[1628464, 1629028]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,1.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,
30,PT10M15.00S,2020-07-26T17:39:16.2Z,1,REGULAR,steal,,[],1629028,,,1610612756,4,0,2020-07-26T17:39:18Z,300000,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M12.00S,2020-07-26T17:39:20.3Z,1,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",1626164,29.38567674113009,24.333639705882355,1610612756,4,0,2020-07-26T17:39:33Z,310000,128.0,224.0,1,left,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,runningpullup,,,Booker,D. Booker,,,,,,,,26.27,Missed,,,,,,,,,,,,,,,,
32,PT10M09.00S,2020-07-26T17:39:25.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,4,0,2020-07-26T17:39:25Z,320000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,
33,PT10M09.00S,2020-07-26T17:39:28.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,4,0,2020-07-26T17:39:28Z,330000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M54.00S,2020-07-26T17:39:49.1Z,1,REGULAR,3pt,jumpshot,[],1627759,93.24901445466492,2.7650122549019605,1610612738,7,0,2020-07-26T17:39:54Z,340000,-236.0,11.0,1,right,J. Brown 24' 3PT  (5 PTS) (G. Hayward 1 AST),"[1627759, 202330]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,23.68,Made,5.0,,,,,,,,,,G. Hayward,202330.0,1.0,,,
36,PT09M43.00S,2020-07-26T17:40:03.0Z,1,REGULAR,turnover,outofbounds,[],1629028,,,1610612756,7,0,2020-07-26T17:41:36Z,360000,,,0,,D. Ayton TURNOVER outofbounds (1 TOV),[1629028],1610612756.0,PHX,lostball,,,Ayton,D. Ayton,,,,,1.0,,,,,,,,,,1146.0,,,,,,,,,,
37,PT09M28.00S,2020-07-26T17:40:22.7Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1628369,74.32654402102497,28.010110294117645,1610612738,7,0,2020-07-26T17:40:28Z,370000,-110.0,189.0,1,right,MISS J. Tatum 22' jumpshot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,22.32,Missed,,,,,,,,,,,,,,,,
38,PT09M25.00S,2020-07-26T17:40:25.7Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,7,0,2020-07-26T17:40:28Z,380000,,,0,,D. Saric REBOUND (Off:0 Def:2),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,
39,PT09M15.00S,2020-07-26T17:40:36.2Z,1,REGULAR,3pt,jumpshot,[],1626164,30.962549277266753,67.9610906862745,1610612756,7,0,2020-07-26T17:40:41Z,390000,-90.0,239.0,1,left,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,26.0,Missed,,,,,,,,,,,,,,,,
40,PT09M11.00S,2020-07-26T17:40:40.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,0,2020-07-26T17:40:41Z,400000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,
41,PT09M04.00S,2020-07-26T17:40:47.3Z,1,REGULAR,3pt,jumpshot,[],1627759,91.40932982917214,3.7454044117647056,1610612738,7,0,2020-07-26T17:40:52Z,410000,-231.0,28.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,23.38,Missed,,,,,,,,,,,,,,,,
42,PT09M01.00S,2020-07-26T17:40:50.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,7,0,2020-07-26T17:40:52Z,420000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,
43,PT08M53.00S,2020-07-26T17:40:58.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203967,6.783837056504599,45.65716911764706,1610612756,7,2,2020-07-26T17:41:03Z,430000,22.0,11.0,1,left,D. Saric layup (2 PTS) (R. Rubio 1 AST),"[203967, 201937]",1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,2.74,Made,2.0,,,,,,,,,,R. Rubio,201937.0,1.0,,,
45,PT08M39.00S,2020-07-26T17:41:11.8Z,1,REGULAR,3pt,jumpshot,[],202689,69.07030223390277,64.03952205882352,1610612738,7,2,2020-07-26T17:45:05Z,450000,70.0,238.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,25.36,Missed,,,,,,,,,,,,,,,,
46,PT08M36.00S,2020-07-26T17:41:14.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,7,2,2020-07-26T17:41:16Z,460000,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,45.0,3.0,2.0,1.0,,,,,,,,,,,
47,PT08M31.00S,2020-07-26T17:41:23.9Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612756,7,2,2020-07-26T17:41:35Z,470000,,,0,,D. Theis FOUL personal (1 PF) (Booker 2freethrow),"[1628464, 1626164]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,202026.0,1.0,0.0,Booker,1626164.0,,,,,,
49,PT08M31.00S,2020-07-26T17:41:46.5Z,1,REGULAR,freethrow,1of2,[],1626164,,,1610612756,7,3,2020-07-26T17:41:46Z,490000,,,0,,D. Booker freethrow 1of2 (1 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
50,PT08M31.00S,2020-07-26T17:41:55.0Z,1,REGULAR,freethrow,2of2,[],1626164,,,1610612756,7,4,2020-07-26T17:41:55Z,500000,,,0,,D. Booker freethrow 2of2 (2 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
51,PT08M15.00S,2020-07-26T17:42:14.1Z,1,REGULAR,2pt,jumpshot,[],1628369,89.04402102496715,82.17677696078431,1610612738,7,4,2020-07-26T17:42:19Z,510000,161.0,50.0,1,right,MISS J. Tatum 17' jumpshot,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,,17.04,Missed,,,,,,,,,,,,,,,,
52,PT08M12.00S,2020-07-26T17:42:17.1Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,7,4,2020-07-26T17:42:19Z,520000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,
53,PT08M09.00S,2020-07-26T17:42:19.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202330,72.61826544021025,16.245404411764707,1610612738,7,4,2020-07-26T17:42:24Z,530000,-169.0,205.0,1,right,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,26.97,Missed,,,,,,,,,,,,,,,,
54,PT08M05.00S,2020-07-26T17:42:22.9Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,7,4,2020-07-26T17:42:22Z,540000,,,0,,J. Tatum REBOUND (Off:2 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,53.0,3.0,1.0,2.0,,,,,,,,,,,
55,PT08M02.00S,2020-07-26T17:42:26.3Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1628369,81.68528252299606,44.921875,1610612738,7,4,2020-07-26T17:42:31Z,550000,-25.0,120.0,1,right,MISS J. Tatum 13' jumpshot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,12.78,Missed,,,,,,,,,,,,,,,,
56,PT08M00.00S,2020-07-26T17:42:28.5Z,1,REGULAR,rebound,defensive,[],201937,,,1610612756,7,4,2020-07-26T17:42:28Z,560000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,
57,PT07M52.00S,2020-07-26T17:42:35.8Z,1,REGULAR,2pt,jumpshot,[],1628969,11.645860709592641,79.97089460784314,1610612756,7,4,2020-07-26T17:46:09Z,570000,-150.0,57.0,1,left,MISS M. Bridges 16' jumpshot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,,,,16.24,Missed,,,,,,,,,,,,,,,,
58,PT07M50.00S,2020-07-26T17:42:37.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,4,2020-07-26T17:42:37Z,580000,,,0,,J. Tatum REBOUND (Off:2 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,57.0,4.0,2.0,2.0,,,,,,,,,,,
59,PT07M47.00S,2020-07-26T17:42:41.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628369,89.83245729303549,34.38265931372549,1610612738,7,4,2020-07-26T17:47:30Z,590000,-78.0,43.0,1,right,MISS J. Tatum 9' layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,9.2,Missed,,,,,,,,,,,,,,,,
60,PT07M44.00S,2020-07-26T17:42:44.5Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,7,4,2020-07-26T17:42:48Z,600000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,
61,PT07M44.00S,2020-07-26T17:42:48.1Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612756,7,4,2020-07-26T17:43:05Z,610000,,,0,,K. Walker FOUL personal (2 PF) (Bridges 2freethrow),"[202689, 1628969]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,1146.0,2.0,0.0,Bridges,1628969.0,,,,,,
63,PT07M44.00S,2020-07-26T17:43:17.6Z,1,REGULAR,freethrow,1of2,['fastbreak'],1628969,,,1610612756,7,5,2020-07-26T17:43:17Z,630000,,,0,,M. Bridges freethrow 1of2 (1 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
64,PT07M44.00S,2020-07-26T17:43:35.2Z,1,REGULAR,freethrow,2of2,['fastbreak'],1628969,,,1610612756,7,6,2020-07-26T17:43:35Z,640000,,,0,,M. Bridges freethrow 2of2 (2 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
65,PT07M35.00S,2020-07-26T17:43:47.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.38042049934296,51.78462009803921,1610612738,7,6,2020-07-26T17:43:54Z,650000,9.0,10.0,1,right,MISS K. Walker layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,,1.76,Missed,,,,,,,,,,,,,,,,
66,PT07M33.00S,2020-07-26T17:43:49.7Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,7,6,2020-07-26T17:43:54Z,660000,,,0,,D. Saric REBOUND (Off:0 Def:3),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,,,,65.0,3.0,3.0,0.0,,,,,,,,,,,
67,PT07M30.00S,2020-07-26T17:43:52.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1626164,10.068988173455978,44.921875,1610612756,7,6,2020-07-26T17:44:01Z,670000,25.0,42.0,1,left,MISS D. Booker layup Blocked,"[1626164, 202330]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,5.4,Missed,,,,,,,,,,,,,,Hayward,202330.0,
68,PT07M30.00S,2020-07-26T17:43:52.9Z,1,REGULAR,block,,[],202330,,,1610612756,7,6,2020-07-26T17:43:55Z,680000,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M30.00S,2020-07-26T17:43:52.9Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,7,6,2020-07-26T17:44:01Z,690000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,67.0,2.0,1.0,1.0,,,,,,,,,,,
70,PT07M28.00S,2020-07-26T17:43:58.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance', 'fastbreak']",1628969,7.966491458607096,46.63756127450981,1610612756,7,8,2020-07-26T17:44:07Z,700000,17.0,22.0,1,left,M. Bridges layup (4 PTS),[1628969],1610612756.0,PHX,putback,,,Bridges,M. Bridges,,,,,,,,3.26,Made,4.0,,,,,,,,,,,,,,,
71,PT07M28.00S,2020-07-26T17:44:09.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,7,8,2020-07-26T17:44:09Z,710000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M28.00S,2020-07-26T17:45:56.3Z,1,REGULAR,substitution,out,[],202689,,,1610612738,7,8,2020-07-26T17:46:24Z,720000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M28.00S,2020-07-26T17:45:56.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,7,8,2020-07-26T17:46:24Z,730000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M28.00S,2020-07-26T17:45:56.3Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,7,8,2020-07-26T17:46:24Z,740000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M28.00S,2020-07-26T17:45:56.3Z,1,REGULAR,substitution,in,[],202954,,,1610612738,7,8,2020-07-26T17:46:24Z,750000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT07M28.00S,2020-07-26T17:45:56.3Z,1,REGULAR,substitution,in,[],203935,,,1610612738,7,8,2020-07-26T17:46:24Z,760000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT07M28.00S,2020-07-26T17:45:56.3Z,1,REGULAR,substitution,in,[],202683,,,1610612738,7,8,2020-07-26T17:46:24Z,770000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT07M10.00S,2020-07-26T17:47:10.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203935,92.46057818659659,55.21599264705882,1610612738,9,8,2020-07-26T17:47:15Z,780000,26.0,18.0,1,right,M. Smart layup (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,,,3.54,Made,2.0,,,,,,,,,,,,,,,
79,PT06M51.00S,2020-07-26T17:47:29.7Z,1,REGULAR,2pt,hook,['pointsinthepaint'],203967,11.777266754270697,48.353247549019606,1610612756,9,10,2020-07-26T17:47:36Z,790000,8.0,58.0,1,left,D. Saric 6' hook (4 PTS),[203967],1610612756.0,PHX,turnaroundbank,,,Saric,D. Saric,,,,,,,,6.42,Made,4.0,,,,,,,,,,,,,,,
80,PT06M37.00S,2020-07-26T17:47:49.5Z,1,REGULAR,turnover,3secviolation,[],202683,,,1610612738,9,10,2020-07-26T17:48:08Z,800000,,,0,,E. Kanter TURNOVER 3secviolation (1 TOV),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.0,,,,,,,,,,202007.0,,,,,,,,,,
81,PT06M26.00S,2020-07-26T17:48:05.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629028,30.305519053876477,72.37285539215686,1610612756,9,13,2020-07-26T17:48:12Z,810000,-112.0,232.0,1,left,D. Ayton 26' 3PT  (3 PTS) (R. Rubio 2 AST),"[1629028, 201937]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,26.29,Made,3.0,,,,,,,,,,R. Rubio,201937.0,2.0,,,
83,PT06M04.00S,2020-07-26T17:48:27.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,81.42247043363994,40.510110294117645,1610612738,11,13,2020-07-26T17:48:33Z,830000,-47.0,122.0,1,right,J. Brown 14' jumpshot (7 PTS),[1627759],1610612738.0,BOS,turnaroundfadeaway,,,Brown,J. Brown,,,,,,,,13.61,Made,7.0,,,,,,,,,,,,,,,
84,PT05M51.00S,2020-07-26T17:48:41.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628969,6.783837056504599,53.990502450980394,1610612756,11,15,2020-07-26T17:48:47Z,840000,-20.0,11.0,1,left,M. Bridges layup (6 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,drivingreverse,,,Bridges,M. Bridges,,,,,,,,2.61,Made,6.0,,,,,,,,,,D. Booker,1626164.0,1.0,,,
86,PT05M35.00S,2020-07-26T17:48:56.5Z,1,REGULAR,2pt,jumpshot,[],203935,77.87450722733246,31.196384803921568,1610612738,13,15,2020-07-26T17:49:02Z,860000,-94.0,155.0,1,right,M. Smart 19' jumpshot (4 PTS),[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,,,,18.64,Made,4.0,,,,,,,,,,,,,,,
87,PT05M21.00S,2020-07-26T17:49:10.5Z,1,REGULAR,2pt,jumpshot,[],201937,12.302890932982917,71.8826593137255,1610612756,13,17,2020-07-26T17:49:16Z,870000,-109.0,63.0,1,left,R. Rubio 13' jumpshot (2 PTS) (D. Booker 2 AST),"[201937, 1626164]",1610612756.0,PHX,fadeaway,,,Rubio,R. Rubio,,,,,,,,12.91,Made,2.0,,,,,,,,,,D. Booker,1626164.0,2.0,,,
