actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
532,PT07M25.00S,2020-03-11T00:53:50.2Z,4,REGULAR,rebound,defensive,[],202330,,,1610612738,86,102,2020-03-11T00:53:51Z,5260000,,[BOS] Hayward defensive rebound (Off:2 Def:7),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,531.0,9.0,7.0,2.0,,,,,,,,,,,,,,,,,,,
533,PT07M12.00S,2020-03-11T00:54:06.2Z,4,REGULAR,turnover,badpass,[],202689,,,1610612738,86,102,2020-03-11T00:54:13Z,5270000,,[BOS] Walker badpass turnover (2 TO) Steal: Turner (1 STL),"[202689, 1626167]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,2.0,Turner,1626167.0,1.0,,,,,,,,,,,
535,PT07M12.00S,2020-03-11T00:54:09.6Z,4,REGULAR,foul,personal,[],202330,,,1610612754,86,102,2020-03-11T00:54:30Z,5290000,,[BOS] Hayward foul personal (3 PF),"[202330, 203506]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,2148.0,3.0,0.0,Oladipo,203506.0,,,,,,
537,PT06M58.00S,2020-03-11T00:54:36.9Z,4,REGULAR,stoppage,outofbounds,[],0,,,1610612754,86,102,2020-03-11T00:54:36Z,5310000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,PT06M55.00S,2020-03-11T00:54:53.3Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",203933,90.3580814717477,58.40226715686274,1610612754,86,102,2020-03-11T00:54:56Z,5320000,right,[IND] Warren layup: Missed,[203933],1610612754.0,IND,,,,Warren,T. Warren,,,,,6.05,: Missed,,,,,,,,,,,,,,,,,,,,,,,
539,PT06M54.00S,2020-03-11T00:54:54.3Z,4,REGULAR,rebound,offensive,[],203933,,,1610612754,86,102,2020-03-11T00:54:56Z,5330000,,[IND] Warren offensive rebound (Off:3 Def:1),[203933],1610612754.0,IND,,,,Warren,T. Warren,,,,,,,538.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
540,PT06M53.00S,2020-03-11T00:54:56.0Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203933,94.43166885676742,49.57873774509804,1610612754,88,102,2020-03-11T00:55:03Z,5340000,right,[IND] Warren layup: Made (16 PTS),[203933],1610612754.0,IND,putback,,,Warren,T. Warren,,,,,0.57,: Made,,,,,16.0,,,,,,,,,,,,,,,,,,
541,PT06M53.00S,2020-03-11T00:54:58.9Z,4,REGULAR,foul,personal,['1freethrow'],1628400,,,1610612754,88,102,2020-03-11T00:55:06Z,5350000,,[BOS] Ojeleye foul personal (1 PF) (Warren 1freethrow),"[1628400, 203933]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Warren,203933.0,,,,,,
543,PT06M53.00S,2020-03-11T00:55:14.8Z,4,REGULAR,freethrow,1of1,"['fromturnover', '2ndchance']",203933,,,1610612754,89,102,2020-03-11T00:55:14Z,5370000,,[IND] Warren freethrow 1of1: Made (17 PTS),[203933],1610612754.0,IND,,,,Warren,T. Warren,,,,,,: Made,,,,,17.0,,,,,,,,,,,,,,,,,,
544,PT06M35.00S,2020-03-11T00:55:36.2Z,4,REGULAR,3pt,jumpshot,[],202689,34.11629434954008,53.255208333333336,1610612738,89,102,2020-03-11T00:55:43Z,5380000,left,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.42,: Missed,,,,,,,,,,,,,,,,,,,,,,,
545,PT06M33.00S,2020-03-11T00:55:38.2Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612738,89,102,2020-03-11T00:55:43Z,5390000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,544.0,,,,,,,,,,,,,,,,,,,,,,
546,PT06M33.00S,2020-03-11T00:55:43.1Z,4,REGULAR,foul,personal,[],1626167,,,1610612738,89,102,2020-03-11T00:55:56Z,5400000,,[IND] Turner foul personal (3 PF),"[1626167, 1628400]",1610612754.0,IND,looseball,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,201640.0,3.0,0.0,Ojeleye,1628400.0,,,,,,
548,PT06M22.00S,2020-03-11T00:56:14.2Z,4,REGULAR,3pt,jumpshot,['2ndchance'],202689,27.151773981603156,84.3826593137255,1610612738,89,102,2020-03-11T00:56:18Z,5420000,left,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.0,: Missed,,,,,,,,,,,,,,,,,,,,,,,
549,PT06M19.00S,2020-03-11T00:56:17.2Z,4,REGULAR,rebound,defensive,[],203506,,,1610612754,89,102,2020-03-11T00:56:18Z,5430000,,[IND] Oladipo defensive rebound (Off:0 Def:6),[203506],1610612754.0,IND,,,,Oladipo,V. Oladipo,,,,,,,548.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
550,PT06M15.00S,2020-03-11T00:56:20.7Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203933,93.64323258869908,53.01011029411765,1610612754,89,102,2020-03-11T00:56:28Z,5440000,right,[IND] Warren layup: Missed,[203933],1610612754.0,IND,driving,,,Warren,T. Warren,,,,,1.98,: Missed,,,,,,,,,,,,,,,,,,,,,,,
551,PT06M12.00S,2020-03-11T00:56:23.7Z,4,REGULAR,rebound,offensive,[],203933,,,1610612754,89,102,2020-03-11T00:56:28Z,5450000,,[IND] Warren offensive rebound (Off:4 Def:1),[203933],1610612754.0,IND,,,,Warren,T. Warren,,,,,,,550.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
552,PT06M12.00S,2020-03-11T00:56:23.6Z,4,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203933,95.0,50.0,1610612754,91,102,2020-03-11T00:56:23Z,5460000,right,[IND] Warren layup: Made (19 PTS),[203933],1610612754.0,IND,tip,,,Warren,T. Warren,,,,,0.0,: Made,,,,,19.0,,,,,,,,,,,,,,,,,,
553,PT06M12.00S,2020-03-11T00:56:26.7Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,91,102,2020-03-11T00:56:26Z,5470000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,PT06M12.00S,2020-03-11T00:58:58.5Z,4,REGULAR,substitution,out,[],202954,,,1610612738,91,102,2020-03-11T00:59:14Z,5480000,,[BOS] substitution Wanamaker replaced by Tatum,"[202954, 1628369]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,
555,PT06M12.00S,2020-03-11T00:58:58.5Z,4,REGULAR,substitution,out,[],202683,,,1610612738,91,102,2020-03-11T00:59:14Z,5490000,,[BOS] substitution Kanter replaced by Theis,"[202683, 1628464]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,,,Theis,1628464.0,
556,PT06M12.00S,2020-03-11T00:58:58.5Z,4,REGULAR,substitution,out,[],1628400,,,1610612738,91,102,2020-03-11T00:59:14Z,5500000,,[BOS] substitution Ojeleye replaced by Smart,"[1628400, 203935]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart,203935.0,
560,PT05M49.00S,2020-03-11T00:59:44.5Z,4,REGULAR,3pt,jumpshot,[],202689,32.802233902759525,71.14736519607843,1610612738,91,102,2020-03-11T00:59:49Z,5540000,left,[BOS] Walker pullup 3pt jumpshot: Missed,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,28.19,: Missed,,,,,,,,,,,,,,,,,,,,,,,
561,PT05M45.00S,2020-03-11T00:59:48.5Z,4,REGULAR,rebound,defensive,[],1627734,,,1610612754,91,102,2020-03-11T00:59:49Z,5550000,,[IND] Sabonis defensive rebound (Off:3 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,560.0,8.0,5.0,3.0,,,,,,,,,,,,,,,,,,,
562,PT05M34.00S,2020-03-11T00:59:59.2Z,4,REGULAR,2pt,jumpshot,[],203933,76.03482260183968,51.53952205882353,1610612754,91,102,2020-03-11T01:00:04Z,5560000,right,[IND] Warren jumpshot: Missed,[203933],1610612754.0,IND,pullup,,,Warren,T. Warren,,,,,17.85,: Missed,,,,,,,,,,,,,,,,,,,,,,,
563,PT05M31.00S,2020-03-11T01:00:02.2Z,4,REGULAR,rebound,defensive,[],202330,,,1610612738,91,102,2020-03-11T01:00:04Z,5570000,,[BOS] Hayward defensive rebound (Off:2 Def:8),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,562.0,10.0,8.0,2.0,,,,,,,,,,,,,,,,,,,
564,PT05M22.00S,2020-03-11T01:00:13.1Z,4,REGULAR,foul,offensive,[],202330,,,1610612738,91,102,2020-03-11T01:00:19Z,5580000,,[BOS] Hayward foul offensive (4 PF),"[202330, 1628988]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,1626302.0,4.0,0.0,Holiday,1628988.0,,,,,,
566,PT05M22.00S,2020-03-11T01:00:13.1Z,4,REGULAR,turnover,offensivefoul,[],202330,,,1610612738,91,102,2020-03-11T01:00:13Z,5600000,,[BOS] Hayward offensivefoul turnover (2 TO),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,2.0,,,,1626302.0,,,,,,,,,,
567,PT05M10.00S,2020-03-11T01:00:37.4Z,4,REGULAR,2pt,jumpshot,['fromturnover'],203506,76.03482260183968,42.22579656862745,1610612754,93,102,2020-03-11T01:00:42Z,5610000,right,[IND] Oladipo jumpshot: Made (17 PTS) assist: Sabonis (7 AST),"[203506, 1627734]",1610612754.0,IND,floating,,,Oladipo,V. Oladipo,,,,,18.25,: Made,,,,,17.0,Sabonis,1627734.0,7.0,,,,,,,,,,,,,,,
569,PT04M50.00S,2020-03-11T01:00:58.1Z,4,REGULAR,3pt,jumpshot,[],203935,26.757555847568987,11.588541666666668,1610612738,93,102,2020-03-11T01:01:21Z,5630000,left,[BOS] Smart stepback 3pt jumpshot: Missed,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,28.06,: Missed,,,,,,,,,,,,,,,,,,,,,,,
570,PT04M47.00S,2020-03-11T01:01:01.1Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612754,93,102,2020-03-11T01:01:21Z,5640000,,[IND] Team defensive rebound,[],1610612754.0,IND,,,,,,,,,,,,569.0,,,,,,,,,,,,,,,,,,,,,,
571,PT04M47.00S,2020-03-11T01:01:03.6Z,4,REGULAR,foul,personal,[],1628464,,,1610612754,93,102,2020-03-11T01:01:13Z,5650000,,[BOS] Theis foul personal (3 PF),"[1628464, 1626167]",1610612738.0,BOS,looseball,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,201640.0,3.0,0.0,Turner,1626167.0,,,,,,
573,PT04M35.00S,2020-03-11T01:01:32.9Z,4,REGULAR,3pt,jumpshot,[],203506,66.70499342969777,67.22579656862744,1610612754,96,102,2020-03-11T01:01:36Z,5670000,right,[IND] Oladipo 3pt shot: Made (20 PTS),[203506],1610612754.0,IND,pullup,,,Oladipo,V. Oladipo,,,,,27.96,: Made,,,,,20.0,,,,,,,,,,,,,,,,,,
574,PT04M22.00S,2020-03-11T01:01:47.3Z,4,REGULAR,violation,kickedball,[],1626167,,,1610612738,96,102,2020-03-11T01:01:51Z,5680000,,[IND] Turner violation kickedball,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,2148.0,,,,,,,,,,
575,PT04M15.00S,2020-03-11T01:02:12.5Z,4,REGULAR,2pt,dunk,['pointsinthepaint'],1628369,6.389618922470433,52.27481617647059,1610612738,96,104,2020-03-11T01:02:15Z,5690000,left,[BOS] Tatum dunk: Made (28 PTS) assist: Hayward (4 AST),"[1628369, 202330]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.74,: Made,,,,,28.0,Hayward,202330.0,4.0,,,,,,,,,,,,,,,
577,PT03M58.00S,2020-03-11T01:02:30.1Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203506,94.1688567674113,49.82383578431372,1610612754,98,104,2020-03-11T01:02:37Z,5710000,right,[IND] Oladipo layup: Made (22 PTS),[203506],1610612754.0,IND,drivingreverse,,,Oladipo,V. Oladipo,,,,,0.79,: Made,,,,,22.0,,,,,,,,,,,,,,,,,,
