actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
598,PT01M50.00S,2020-03-11T01:07:04.3Z,4,REGULAR,rebound,defensive,[],1628464,,,1610612738,107,104,2020-03-11T01:07:08Z,5910000,,[BOS] Theis defensive rebound (Off:2 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,597.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
599,PT01M43.00S,2020-03-11T01:07:11.4Z,4,REGULAR,3pt,jumpshot,[],1628464,33.722076215505915,55.951286764705884,1610612738,107,107,2020-03-11T01:07:15Z,5920000,left,[BOS] Theis 3pt shot: Made (20 PTS) assist: Hayward (5 AST),"[1628464, 202330]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,27.16,: Made,,,,,20.0,Hayward,202330.0,5.0,,,,,,,,,,,,,,,
601,PT01M29.00S,2020-03-11T01:07:32.3Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612754,107,107,2020-03-11T01:07:44Z,5940000,,[BOS] Theis foul personal (5 PF) (Oladipo inpenalty),"[1628464, 203506]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,201640.0,5.0,0.0,Oladipo,203506.0,,,,,,
603,PT01M29.00S,2020-03-11T01:07:57.1Z,4,REGULAR,freethrow,1of2,[],203506,,,1610612754,108,107,2020-03-11T01:07:57Z,5960000,,[IND] Oladipo freethrow 1of2: Made (26 PTS),[203506],1610612754.0,IND,,,,Oladipo,V. Oladipo,,,,,,: Made,,,,,26.0,,,,,,,,,,,,,,,,,,
604,PT01M29.00S,2020-03-11T01:08:12.4Z,4,REGULAR,freethrow,2of2,[],203506,,,1610612754,109,107,2020-03-11T01:08:12Z,5970000,,[IND] Oladipo freethrow 2of2: Made (27 PTS),[203506],1610612754.0,IND,,,,Oladipo,V. Oladipo,,,,,,: Made,,,,,27.0,,,,,,,,,,,,,,,,,,
605,PT01M17.00S,2020-03-11T01:08:28.7Z,4,REGULAR,2pt,dunk,['pointsinthepaint'],1628369,6.258212877792378,50.80422794117647,1610612738,109,109,2020-03-11T01:08:31Z,5980000,left,[BOS] Tatum dunk: Made (30 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.25,: Made,,,,,30.0,,,,,,,,,,,,,,,,,,
606,PT01M02.00S,2020-03-11T01:08:50.6Z,4,REGULAR,3pt,jumpshot,[],1626167,86.02168199737189,96.14736519607843,1610612754,109,109,2020-03-11T01:08:54Z,5990000,right,[IND] Turner pullup 3pt jumpshot: Missed,[1626167],1610612754.0,IND,pullup,,,Turner,M. Turner,,,,,24.57,: Missed,,,,,,,,,,,,,,,,,,,,,,,
607,PT00M59.40S,2020-03-11T01:08:53.2Z,4,REGULAR,rebound,defensive,[],1628464,,,1610612738,109,109,2020-03-11T01:08:54Z,6000000,,[BOS] Theis defensive rebound (Off:2 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,606.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
608,PT00M49.90S,2020-03-11T01:09:03.3Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203935,8.886333771353483,51.294424019607845,1610612738,109,111,2020-03-11T01:09:06Z,6010000,left,[BOS] Smart layup: Made (14 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,3.71,: Made,,,,,14.0,,,,,,,,,,,,,,,,,,
609,PT00M26.80S,2020-03-11T01:09:28.6Z,4,REGULAR,3pt,jumpshot,[],203506,66.96780551905388,46.392463235294116,1610612754,109,111,2020-03-11T01:09:33Z,6020000,right,[IND] Oladipo pullup 3pt jumpshot: Missed,[203506],1610612754.0,IND,pullup,,,Oladipo,V. Oladipo,,,,,26.41,: Missed,,,,,,,,,,,,,,,,,,,,,,,
610,PT00M24.00S,2020-03-11T01:09:31.4Z,4,REGULAR,rebound,defensive,[],203935,,,1610612738,109,111,2020-03-11T01:09:33Z,6030000,,[BOS] Smart defensive rebound (Off:0 Def:4),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,609.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
611,PT00M18.90S,2020-03-11T01:09:38.3Z,4,REGULAR,foul,personal,[],203506,,,1610612738,109,111,2020-03-11T01:09:46Z,6040000,,[IND] Oladipo foul personal (3 PF),"[203506, 202689]",1610612754.0,IND,take,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,2148.0,3.0,0.0,Walker,202689.0,,,,,,
613,PT00M18.90S,2020-03-11T01:09:54.4Z,4,REGULAR,substitution,out,[],203506,,,1610612738,109,111,2020-03-11T01:10:00Z,6060000,,[IND] substitution Oladipo replaced by Holiday,"[203506, 203200]",1610612754.0,IND,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday,203200.0,
615,PT00M17.40S,2020-03-11T01:10:11.6Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628988,,,1610612738,109,111,2020-03-11T01:10:18Z,6080000,,[IND] Holiday foul personal (1 PF) (Walker inpenalty),"[1628988, 202689]",1610612754.0,IND,take,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,2148.0,1.0,0.0,Walker,202689.0,,,,,,
617,PT00M17.40S,2020-03-11T01:10:41.3Z,4,REGULAR,freethrow,1of2,[],202689,,,1610612738,109,111,2020-03-11T01:10:41Z,6100000,,[BOS] Walker freethrow 1of2: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
618,PT00M17.40S,2020-03-11T01:10:41.3Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,109,111,2020-03-11T01:10:41Z,6110000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,,,,
619,PT00M17.40S,2020-03-11T01:11:02.3Z,4,REGULAR,freethrow,2of2,[],202689,,,1610612738,109,112,2020-03-11T01:11:02Z,6120000,,[BOS] Walker freethrow 2of2: Made (11 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,: Made,,,,,11.0,,,,,,,,,,,,,,,,,,
620,PT00M17.40S,2020-03-11T01:11:06.3Z,4,REGULAR,timeout,full,['team'],0,,,1610612754,109,112,2020-03-11T01:11:06Z,6130000,,[IND] timeout full,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,PT00M17.40S,2020-03-11T01:11:59.7Z,4,REGULAR,substitution,out,[],1626167,,,1610612754,109,112,2020-03-11T01:12:33Z,6140000,,[IND] substitution Turner replaced by Oladipo,"[1626167, 203506]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,Oladipo,203506.0,
623,PT00M08.00S,2020-03-11T01:13:05.2Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203506,93.11760840998686,52.51991421568627,1610612754,109,112,2020-03-11T01:13:10Z,6160000,right,[IND] Oladipo layup: Missed,[203506],1610612754.0,IND,driving,,,Oladipo,V. Oladipo,,,,,2.17,: Missed,,,,,,,,,,,,,,,,,,,,,,,
624,PT00M07.80S,2020-03-11T01:13:07.1Z,4,REGULAR,rebound,offensive,[],1627734,,,1610612754,109,112,2020-03-11T01:13:07Z,6170000,,[IND] Sabonis offensive rebound (Off:4 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,623.0,9.0,5.0,4.0,,,,,,,,,,,,,,,,,,,
625,PT00M07.80S,2020-03-11T01:13:07.1Z,4,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627734,95.0,50.0,1610612754,111,112,2020-03-11T01:13:07Z,6180000,right,[IND] Sabonis layup: Made (28 PTS),[1627734],1610612754.0,IND,tip,,,Sabonis,D. Sabonis,,,,,0.0,: Made,,,,,28.0,,,,,,,,,,,,,,,,,,
626,PT00M07.80S,2020-03-11T01:13:09.2Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,111,112,2020-03-11T01:13:09Z,6190000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,PT00M07.80S,2020-03-11T01:14:29.6Z,4,REGULAR,substitution,out,[],203200,,,1610612738,111,112,2020-03-11T01:14:32Z,6200000,,[IND] substitution Holiday replaced by Turner,"[203200, 1626167]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,Turner,1626167.0,
629,PT00M07.00S,2020-03-11T01:14:59.1Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612738,111,112,2020-03-11T01:15:27Z,6220000,,[IND] Sabonis foul personal (2 PF) (Smart inpenalty),"[1627734, 203935]",1610612754.0,IND,take,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,201640.0,2.0,0.0,Smart,203935.0,,,,,,
631,PT00M07.00S,2020-03-11T01:15:29.5Z,4,REGULAR,freethrow,1of2,[],203935,,,1610612738,111,113,2020-03-11T01:15:29Z,6240000,,[BOS] Smart freethrow 1of2: Made (15 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,15.0,,,,,,,,,,,,,,,,,,
632,PT00M07.00S,2020-03-11T01:15:40.6Z,4,REGULAR,freethrow,2of2,[],203935,,,1610612738,111,114,2020-03-11T01:15:40Z,6250000,,[BOS] Smart freethrow 2of2: Made (16 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,16.0,,,,,,,,,,,,,,,,,,
633,PT00M07.00S,2020-03-11T01:15:47.8Z,4,REGULAR,timeout,full,['team'],0,,,1610612754,111,114,2020-03-11T01:15:47Z,6260000,,[IND] timeout full,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,PT00M07.00S,2020-03-11T01:16:57.1Z,4,REGULAR,substitution,out,[],1626167,,,1610612754,111,114,2020-03-11T01:17:01Z,6270000,,[IND] substitution Turner replaced by Holiday,"[1626167, 203200]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday,203200.0,
636,PT00M02.30S,2020-03-11T01:17:37.6Z,4,REGULAR,3pt,jumpshot,[],203200,69.99014454664915,7.666973039215687,1610612754,111,114,2020-03-11T01:17:57Z,6290000,right,[IND] Holiday pullup 3pt jumpshot: Missed,[203200],1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,31.64,: Missed,,,,,,,,,,,,,,,,,,,,,,,
637,PT00M00.20S,2020-03-11T01:17:40.0Z,4,REGULAR,rebound,defensive,[],203935,,,1610612738,111,114,2020-03-11T01:17:40Z,6300000,,[BOS] Smart defensive rebound (Off:0 Def:5),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,636.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
640,PT00M02.30S,2020-03-11T01:17:45.7Z,4,REGULAR,instantreplay,request,[],0,,,1610612738,111,114,2020-03-11T01:19:05Z,6305000,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,201640.0,,,,,,,,,,End Period
638,PT00M00.00S,2020-03-11T01:17:53.8Z,4,REGULAR,period,end,[],0,,,1610612738,111,114,2020-03-11T01:17:53Z,6310000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,PT00M00.00S,2020-03-11T01:17:55.8Z,4,REGULAR,game,end,[],0,,,0,111,114,2020-03-11T01:17:55Z,6320000,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
